orf	hom | growth (pooled culture, microarray) | Jawsamycin [IC30] | YPD + DMSO [2%] | Fu Y~Hoepfner D, 2020	het | growth (pooled culture, microarray) | Jawsamycin [IC30] | YPD + DMSO [2%] | Fu Y~Hoepfner D, 2020
YAL001C	0.12273277413587229	0.08309944951637704
YAL002W	-0.011414987823154314	1.6644456501139027
YAL003W		-0.03277811866127094
YAL004W	0.1598492796320659	-0.9324007441924682
YAL005C	0.12559780375893304	0.6566448067903123
YAL007C	0.07543504004143181	0.12307449326275022
YAL008W	0.5057697454691077	0.12016351988973958
YAL009W	-0.2641714062442297	0.06221164307807435
YAL010C	1.2149735423779293	-0.17301371866216464
YAL011W	-1.2792726652979145	-2.5042361086314644
YAL012W	-0.12695059267197756	0.026769527769824962
YAL013W	-1.0559521679963582	1.3081986555617586
YAL014C	-0.6858693140154377	-1.7033113692509518
YAL015C	-1.4995291771461656	-0.3050823399938255
YAL016W		-0.3746027829149407
YAL017W	-0.34884555589710614	-0.09878959778032725
YAL018C	0.009806586698873333	-0.1373966073602779
YAL019W	0.5907889372423577	1.3091241882889988
YAL020C	1.6137379000533913	0.19794005684890584
YAL021C	-3.4514389536641956	-0.13056152074054983
YAL022C	0.15360474540762792	0.022896081091431396
YAL023C	-1.802829099871867	-2.687429281861275
YAL024C	0.6935115745675933	0.8334594290817566
YAL025C		2.012571218363852
YAL026C	-0.10048323588839492	0.43858304724642155
YAL027W	0.1459205729931491	0.2054907872085022
YAL028W	-0.1098207004976373	-0.40110377634018674
YAL029C	0.23954296553024215	1.3349180537508714
YAL030W	0.06879256219427089	-0.326795512415516
YAL031C	-0.03421304777160056	-0.28814802062820355
YAL032C		-0.19566119146210975
YAL033W		-0.07558931430004963
YAL034C	-0.05439258981778163	0.032529393268474135
YAL034C-B		0.45514659898810644
YAL034W-A		0.3588383009480833
YAL035W	1.5147570120370943	-2.5775849533549384
YAL036C	0.08366364291306498	-0.18513011377187127
YAL037W	-0.09848155910919174	-0.771244847535047
YAL038W		-0.5048655101900767
YAL039C	0.057616903294066164	-0.17315284927310057
YAL040C	0.4470251100068903	0.13145883568414368
YAL041W		0.8378186141994562
YAL042C-A	-0.2285813844517466	0.12223737564374482
YAL042W	-0.3771252151389071	-0.07367123341234835
YAL043C		0.6467534623216392
YAL044C	0.42840075886926504	1.38505182945873
YAL045C	0.12168523911411835	-5.788517375446639
YAL046C	0.06427645689726938	-0.039703327329915036
YAL047C	-1.535533597043419	-0.23204808480183695
YAL048C	0.13320018729475155	0.037828534204323805
YAL049C	-0.06692229671540088	-0.2707396568523604
YAL051W	0.09813291142404423	0.20195191030765763
YAL053W	0.6499162014716403	0.4747208066583155
YAL054C	0.005794364521768077	-0.07849269687822241
YAL055W	0.1541063931749443	0.060567258464422034
YAL056C-A	-0.8599168748219983	-0.08816029936353859
YAL056W	-0.036828167602323165	-0.058321530845803604
YAL058W	-0.47112108857485735	0.187514133617739
YAL059W	0.07706871525714126	-0.20485300940129142
YAL060W	0.07843346040809632	-0.03564098218756081
YAL061W	0.003761164910470389	0.44630485801092296
YAL062W	0.025424806629666306	-0.028867659603285106
YAL064C-A	0.09750891970352747	0.15802253363721808
YAL065C	-0.027154077610583884	0.18263643301281193
YAL066W	-0.5359696794172524	-0.009069030585439803
YAL067C	-0.2443183504477754	0.30685971264076545
YAL068C	0.0724392022488749	-0.11033265995881004
YAR002C-A	0.06860301884126577	0.2359276489164262
YAR002W	1.9109807372077987	1.689582211758538
YAR003W	0.34472141708861626	-0.23134260363471007
YAR007C		0.24136582636068937
YAR008W		0.1968008286647431
YAR014C	0.16526740079105354	-0.09979841061277338
YAR015W		0.1223605664825002
YAR018C	0.20277726871710394	2.404180244233416
YAR019C		-0.2064156501770545
YAR020C	0.10067081712674081	1.0757557371125839
YAR023C	0.0871416076782508	0.2365941047087708
YAR027W	0.11835911263150085	-0.24158171099941453
YAR028W	-0.05631477291369096	0.6802124370489269
YAR029W	0.047157648924551855	-0.07492825573526278
YAR030C	0.06775998790582463	0.14773937370442683
YAR031W	0.07629459191233448	-0.05045988911173211
YAR035W	0.08306226262927252	0.021092144112811333
YAR042W	0.237141941457534	-0.5041435682860057
YAR047C	0.07301490892799936	-3.993302534782666
YAR050W	0.0817771344704255	-0.3881852055745427
YBL001C	0.08067979400086144	
YBL002W	0.27180353069658214	1.8078470487109497
YBL003C	0.04568835088301456	
YBL004W		-0.29193726954268373
YBL005W	0.08935149568300117	
YBL006C	-1.1878205441655292	0.15286599790500974
YBL007C	-2.270384190474824	-0.701174897785222
YBL008W	-0.28636041198007983	0.06181710700788988
YBL009W	-0.24342682539490967	-0.9491743673028442
YBL010C	0.019861718741453177	0.04799703118518643
YBL011W	-0.30206249679985053	-0.7908864483808639
YBL012C	-0.11091581235714937	0.24869708087826936
YBL013W	0.02290470488583748	-4.77150328514491
YBL015W	0.13238436645005297	-1.310199077674755
YBL016W		0.2877268615532752
YBL017C	0.18523459683923957	0.1749674595218401
YBL018C		-0.0013241746182662115
YBL019W	0.05384027396808061	-0.283794588407194
YBL020W		0.08510741448014775
YBL022C	0.0002870999312826315	
YBL023C		0.7702457802677233
YBL024W	-0.29692586282274386	-0.09645907579186597
YBL025W		0.1333074104170317
YBL026W		-0.29808557254406853
YBL027W	1.410938664866244	5.375942181341718
YBL028C	0.038078539710306704	0.15272478675665838
YBL029W	-0.19655670226618993	0.1109358069312091
YBL030C		-0.3001205353212918
YBL031W	-0.6796704789183279	-0.49787816491915693
YBL032W	0.7500493843119233	-0.42798159238406924
YBL033C		-0.35787494615955545
YBL034C		-0.263323769485428
YBL035C		-0.09726695973199657
YBL036C	0.07512257426335561	-0.2739288692718422
YBL037W	0.3107087466620239	0.12470492612826785
YBL038W	2.762566470409974	-0.4170885132982508
YBL039C	2.368355416970116	-0.5468365321610203
YBL040C		-0.01842575596864313
YBL041W		0.17077801000931644
YBL042C	-0.1781319970811385	-1.4912758471192482
YBL043W	0.07486380968189023	-0.008668994262727906
YBL044W	-0.023058658570470483	0.03265054786866518
YBL045C	0.04588845667051482	-0.800110613787935
YBL046W	-0.6154852577873935	-2.0573286624018476
YBL047C	-1.5661322624489153	0.5562580335987415
YBL048W	0.04506882887678619	0.0400026436297694
YBL049W	-0.04606877867101702	-0.020839689698379144
YBL050W		-0.9599439036206675
YBL051C	-0.1156167694865766	0.28826791782719224
YBL052C	0.07821513950951055	-0.45389171363111863
YBL053W	-0.09700565804365512	0.09919609293266478
YBL054W	-0.5445969750833036	-0.343475155128583
YBL055C	-0.023319444521728454	0.10703915989968563
YBL056W	-0.06339624586644536	-0.1115224669214269
YBL057C	0.07320206466318957	-0.06108399699178824
YBL058W	1.371919839251934	-0.08036474327998142
YBL059W	0.2575467914160196	-0.022294767696854765
YBL060W	-0.04107177066892994	0.0865301129585693
YBL061C	-3.8167355229307454	-1.0767580806127746
YBL062W	-4.5789032314661195	-1.5896793562597618
YBL063W	-0.08484085545716985	0.06472689719009943
YBL064C	-0.08398777201016322	-0.19406280334501752
YBL065W	-0.16320460260170166	3.3306578710128747
YBL066C	0.005180090692731844	-0.09472512182169653
YBL067C	-2.0552239537537282	4.269336863211863
YBL068W	0.14828072689635224	-0.10847745935953722
YBL069W	0.0363886897025638	
YBL070C	0.05611988665750189	0.08148838051847522
YBL071C	2.332175442580368	0.8257950136752102
YBL072C	0.6069423095102192	1.9448990802007882
YBL073W		0.3061505040348467
YBL074C		-0.03920097396347553
YBL075C	-0.02523375218509969	
YBL076C		-0.08493280680077138
YBL077W		-0.30428976558645754
YBL078C	0.03575144258360006	0.07305593768159527
YBL079W	-0.005273149864299354	-1.6279629174486152
YBL080C	0.13235330335151368	0.3284594738213922
YBL081W	-0.7586062460709915	-1.5575463776677745
YBL082C	-0.9031819623237767	-0.34898823434473175
YBL083C	-3.7739089052196353	0.08638185531732497
YBL084C		0.15696033762657483
YBL085W	0.6678707682040355	0.37992542748789243
YBL086C	0.08231388833817763	-2.2396583219875312
YBL087C	0.6563468073055486	2.89891270005918
YBL088C	0.07395293933923916	0.07435001948028595
YBL089W	0.03202179478460736	-0.03115967130047333
YBL090W	1.3035993639153305	-0.1245200785669296
YBL091C	0.010032283432239303	1.5550916743035317
YBL091C-A	-0.349855211743667	-2.086161373485029
YBL092W		0.34158115406099204
YBL093C	0.9824914638266422	
YBL094C	-0.4458377445324131	-0.30545438578590306
YBL095W	0.048910174419171615	-0.16537465296137607
YBL096C	-0.08762513137611413	0.3193219705942964
YBL097W		-0.015059119114839844
YBL098W	0.10083270814658224	0.05088565681984063
YBL099W	0.03791822319485929	-0.09615961358163953
YBL100C	0.7021788892695242	0.173895946530607
YBL101C	0.10214437793012993	0.2937643117342675
YBL102W	0.1144144162003748	-0.357933538508798
YBL103C		-0.10369573130627732
YBL104C	-0.35271303548306143	-0.041434555380528926
YBL105C		-0.799735532585177
YBL106C	0.14659938242884613	-0.2162605577958097
YBL107C	0.15020557292902081	0.22687580719447345
YBR001C	0.07816116605632245	-0.2863561223914807
YBR002C		0.6271072238994199
YBR003W	-0.23250753703962362	-0.1139666490379982
YBR004C		-0.892679112963014
YBR005W	-0.19364382948623365	0.6037351513291211
YBR006W	0.5237520919189461	-0.50839704395872
YBR007C	0.1303806891869144	0.22001889675906214
YBR008C	0.08662987350740495	-0.09620767064239932
YBR009C	-0.4194539884345536	0.09299678036186214
YBR010W	-0.1354264564197436	-0.07049158329077324
YBR011C		0.11919073086756954
YBR012C	0.06569593720740745	0.1983163764001074
YBR013C	-0.006696750703410585	-0.37916944776784717
YBR014C	0.06992402897254325	-0.5675775442467951
YBR015C	-0.9585072189890859	0.21122976669210972
YBR016W	0.05534529908208573	0.22009256680997083
YBR017C		0.1819752738871578
YBR018C	0.06573807484941827	0.29471649203978945
YBR019C	-0.03675485945182013	-0.339018470352702
YBR020W	-0.2141366377454104	-0.3467577787851406
YBR021W		-0.49934691596310443
YBR022W	0.10138447629523374	0.10741292519906814
YBR023C	-5.091615641816206	-0.7454623650914833
YBR024W	-0.03636339019075221	-0.21768320577157352
YBR025C	0.49951627217348915	-0.14277250099049826
YBR026C	0.6836824610934147	-0.24585474769883756
YBR027C	-1.1693322792316438	-0.10721257844689043
YBR028C	0.04554327943807681	-0.27993015055730974
YBR029C		-2.0915777134889653
YBR030W	0.09810180942724421	-0.4140409650139543
YBR031W	4.150025175441137	0.6371440662401329
YBR032W	-0.2283140663243101	0.2140778866563648
YBR033W	0.1000156475286491	-0.146208944063908
YBR034C	0.5798609446917654	0.44269725135806137
YBR035C	0.15573420454050438	0.186159650021892
YBR036C	-0.5633754102357087	-0.469025519914558
YBR037C	-0.1958215454006333	-0.14107256059110757
YBR038W		-0.46481572108277786
YBR039W		-0.0740124545634438
YBR040W	-0.13674747131561765	0.010154735400824861
YBR041W	-0.1883102641801361	
YBR042C	0.11013498349018495	-0.2679095675476642
YBR043C	0.08308908376947832	-0.530883426057569
YBR044C	-0.6623710588427744	-0.32985285842571777
YBR045C	-0.003601844545837598	0.08571160426086463
YBR046C	-0.11585152917302646	-0.21938820770940787
YBR047W	0.060594894763319085	0.05889363246357422
YBR048W	2.581948734856361	0.9985488263527819
YBR049C		0.43092802900149224
YBR050C	0.08153558677224781	-0.0018305198184565144
YBR051W	0.06127534421061279	-0.06364946671010259
YBR052C	-0.11010027015789081	-0.03707744399400246
YBR053C	0.1447980918464673	-0.49644121273090785
YBR054W	-0.003894117499233667	-0.4471962571097955
YBR055C		0.030883597431686605
YBR056W	0.0917340801247902	-0.019726507765985977
YBR057C	0.4882453570122471	0.2680462393604335
YBR058C	1.3036693866058882	-0.06304278542460136
YBR059C	-0.0626529038975542	0.5680014285178605
YBR060C		-0.21826836192039567
YBR061C		-0.14213471453572482
YBR062C	0.023506996974587087	-0.004142294424534142
YBR063C	0.051522351138626535	0.5449632871643645
YBR064W	0.09306112470882098	-0.16663179719613005
YBR065C	0.08246744549150418	-0.5180615758674265
YBR066C	-0.5736744755739366	-0.45929006643716147
YBR067C	0.07183803368608202	-0.011973953704237332
YBR068C	0.09966556620779453	-0.00225187928403136
YBR069C	1.4005811094493548	-0.23274453289400188
YBR070C		0.10455707790759575
YBR071W	0.09449095276784666	-2.49889776152627
YBR072W	-0.013321120108006616	-0.2868253913662426
YBR073W	-0.00833177696055872	-0.053640457389187185
YBR074W	0.05482519032853152	0.17100691010651883
YBR076W	0.0732856950272748	0.02564510391596126
YBR077C	-0.46444239524007125	0.046763156821268005
YBR078W		-0.5211747479359148
YBR079C		-0.2803947770885421
YBR080C		0.1544333881389224
YBR081C		-2.4629838453844193
YBR082C		-0.22107692095758302
YBR083W	0.0804156571229505	-0.04109061425307749
YBR084C-A	1.6264827458959037	3.8732955636148683
YBR084W	-0.02246273148571054	0.19375425756462797
YBR085W		-0.039671907953795604
YBR086C		0.08470770783469109
YBR087W		-0.5269983770731896
YBR088C		-0.3236558934534023
YBR089W		-0.11060892109783069
YBR090C	0.07902318405472442	-0.4028837112453545
YBR091C		-2.372049491854224
YBR092C	-0.08187528658469624	-0.8308034154426502
YBR093C	0.09556566871751607	-0.21506207902285282
YBR094W	0.07601574690773247	-0.2863800932976714
YBR095C		0.824254046246668
YBR096W	-0.15284882319132548	-0.14371300732778258
YBR097W		-0.013288852413354372
YBR098W	0.23302825383583842	-0.0845885804464003
YBR099C	0.6621791990325665	-0.06640245598319881
YBR101C	0.7365604131772249	1.6983688092383227
YBR102C		0.632571753811207
YBR103W	0.9933751946577682	1.079434763779422
YBR104W	0.08980774728795297	0.10006855671410174
YBR105C	0.1131435830624057	
YBR106W	0.38668889879605134	-0.12426039351141598
YBR107C	0.06206755530313456	-0.09680118591054775
YBR108W	-0.0757109162457441	-0.1647022258936544
YBR109C		2.343890717335452
YBR110W		0.09921411722729864
YBR111C		0.05762904271201808
YBR112C		0.0547203026067965
YBR113W	0.1774203062484303	-0.1246184752057238
YBR114W	0.2428525398933363	-0.4313823630603202
YBR115C		0.218645988330485
YBR116C	0.03892344717436518	-0.005309164031750627
YBR117C		-0.38995354108188923
YBR118W		0.5206369664958019
YBR119W	0.4082598243076331	-0.9072417054690425
YBR120C	0.3663489693240357	0.05471822855636795
YBR121C		-0.15063659640319615
YBR123C		0.4970398515488018
YBR124W		0.06288162218378224
YBR125C	0.05143050966940053	0.047178667958024105
YBR126C	0.25099268405492914	4.27084751399749
YBR127C	-0.9826890858620084	-0.059007211306371134
YBR128C	-0.25400658315798197	-0.18930717436431158
YBR129C	0.17991105792972842	-0.08336068212718292
YBR130C	0.07872059032157784	0.8887507357894779
YBR131W	-0.5506669796482273	0.015880083521141456
YBR132C		0.07627375873609825
YBR133C	0.9060491170713341	0.7499785479620195
YBR134W	-0.5998072038386347	-0.07342429889536507
YBR135W		-0.7079132816275314
YBR136W		-0.2985077264727374
YBR137W	0.003965779714861304	-0.10570999958247053
YBR138C	0.0764502855605368	-0.09717157337743394
YBR139W	0.02132191812443771	0.07969648744327186
YBR140C		-1.4327729853996463
YBR141C	-0.0812661425438457	-0.43771136429110047
YBR142W		0.268906328580585
YBR143C		-4.478871408438403
YBR144C	0.09604681843976057	-0.3690209452261272
YBR145W	0.009870185472747161	-0.047249568987900246
YBR146W	-0.019838381490140344	-0.1647496207217941
YBR147W	0.06074114433369019	-0.1542573485953025
YBR148W	0.09191989148461566	0.24533904503734424
YBR149W	-0.05506501268420901	-0.5745675003744901
YBR150C	-0.21069662439252956	-0.7702974356013588
YBR151W	0.2855723375370881	-0.37797045833674914
YBR152W		0.4351356880999139
YBR153W		-0.24779873499924887
YBR154C		2.4596331057459144
YBR155W		-0.17636100474693134
YBR156C	-0.19765960816071834	-3.0710938385314495
YBR157C	0.15673639401746783	0.02417833796508084
YBR158W	0.029249574351003643	0.21931833268095757
YBR159W	-0.09135227242351941	-0.4470119639588592
YBR160W		0.030993600624008057
YBR161W	0.03603262128747076	-0.1256530072696383
YBR162C	1.1304954188618266	-0.1283764042463645
YBR162W-A	0.34165625746506656	-0.14511005150029796
YBR163W	2.7989406808316617	-0.044987069318988056
YBR164C	0.6152910222846043	0.11555548761812584
YBR165W		-0.44491077942711643
YBR166C		-0.19421549592669182
YBR167C		-0.22366058385480972
YBR168W	1.6675665694176507	-0.17321551752202968
YBR169C	0.022049411523501074	0.09027836428090832
YBR170C	0.4068795283868983	0.21192860123140198
YBR171W	1.6173631720010369	-0.2732521299799595
YBR172C	0.0668336205273962	0.1488635674138774
YBR173C	0.2658948166438254	0.8749040389299741
YBR174C	0.5545544114757214	0.09238610030108059
YBR175W	0.5167091591782632	-0.5087873853007837
YBR176W	-0.025361824210776616	0.18737659267846457
YBR177C	0.1465479513692669	0.3220029885975595
YBR178W	0.002386232801555252	-0.25407212896421055
YBR179C	1.1682078433634158	0.1247311822601065
YBR180W	0.06770696080538796	-0.2383771394349978
YBR181C	1.8888219641325554	2.9880623266768627
YBR182C	0.0837509182802452	-0.17585130688249884
YBR183W	0.0355331477637211	-0.15007956081695878
YBR184W	0.0571171634715278	-0.0022565888741662623
YBR185C	0.14106227936572605	-0.32019630136494737
YBR186W	0.0055400188644678374	-0.14640251274787086
YBR187W	0.014115837904017388	-0.545152850924802
YBR188C	-0.0014529404077604736	-0.29986611845811667
YBR189W	2.64611966054633	0.9204974310508414
YBR190W		4.511799637799576
YBR191W	2.894147665335731	5.375032813761843
YBR192W		-0.12488699752355036
YBR193C		-1.3508605387067683
YBR194W		-0.38256603013876966
YBR195C	-0.10406096257042667	-0.03694490641598736
YBR196C		-0.5397119159781749
YBR197C	-0.2871725355869668	-0.06580744747255525
YBR198C		0.24776022195597758
YBR199W	0.08181678675955502	-0.21428993978568608
YBR200W		0.11582312922422833
YBR201W	-1.0054539515500833	-0.31244371210527916
YBR202W		1.8215472412832825
YBR203W	0.06704831895940155	0.12251512712180272
YBR204C	0.021432259163587517	0.04317950517906413
YBR205W	0.07455029597605765	0.10958793685784923
YBR206W	0.07390206995196809	0.27290174838033865
YBR207W	0.04736234251708766	-0.0922743197423251
YBR208C	-0.9146530484046582	-1.2370360702819418
YBR209W		-0.2306867372171418
YBR210W	0.06867048211767136	-0.0946483181005455
YBR211C		-0.07390682220736068
YBR212W	-0.07903291637646141	-0.3758045558814458
YBR213W	0.21814045175040164	0.008914665848253418
YBR214W	0.0736141622587517	-0.10004439864845363
YBR215W	-0.10483498075304284	-0.21055020611577643
YBR216C	0.3538241616587675	-0.09624557843206974
YBR217W	0.02327381255795474	-0.5355432882991643
YBR218C	0.05953075719453144	-0.30592865737943414
YBR219C	-0.023762365396473983	0.026524889768266516
YBR220C	0.047768398288098285	-0.08565182590007951
YBR221C	0.49005770506849633	0.38895664041715244
YBR222C	0.14082092327590073	0.1445085736156031
YBR223C	0.05434964775900965	-0.09825429616843835
YBR224W	0.21502820653238056	0.3594562726444194
YBR225W	0.21994644443272746	0.060434175125428
YBR226C	0.10085941164934846	0.17692585738153457
YBR227C	-0.3608988984089443	-0.5108804008191636
YBR228W	-0.1941975032874109	-0.09076564539288519
YBR229C	-0.5012921564963216	-0.2073034573794716
YBR230C	0.015433976640149791	-0.33057639038395076
YBR231C	-0.9418754992573976	-0.15155864731069094
YBR232C	0.03669159764491711	-0.07733060320681232
YBR233W	0.0457584506138429	-0.026366899072588903
YBR234C		-0.4004721926366432
YBR235W	-0.08896739477718865	0.03976222254325081
YBR236C		-0.14550177353572194
YBR237W		0.21599916559883686
YBR238C	0.2471802076128366	0.12236984316485783
YBR239C	0.0005752134656650684	0.33047537055836695
YBR240C	-0.20258685346290614	-0.05444917029589686
YBR241C	0.09300403928867233	0.32525561752728627
YBR242W	-0.2810270698043666	-0.07098744201384245
YBR243C		-0.1736787000343979
YBR244W	0.05879341197434268	0.33837682723044277
YBR245C	0.06053124314397718	0.6432477909580709
YBR246W	-0.21506694248708047	0.48457255724953435
YBR247C		0.4491402447144147
YBR248C	0.03877511895795491	-0.06241832885831581
YBR249C	-0.07415185351455704	-0.24126140408635793
YBR250W	-0.0127126393199024	-0.45772491783942
YBR251W	1.9567267083596898	-0.13916571679697076
YBR252W		-0.02564306215659805
YBR253W		-0.05963372395718739
YBR254C		1.5615033940922234
YBR255W	-0.3136895162330828	0.31328244282269135
YBR256C		-0.07277228768879418
YBR257W		0.0996650746587242
YBR258C	-0.041120504714525906	-0.18570403745692832
YBR259W	0.13356580674661264	-0.06654315473477887
YBR260C	-3.665055858482512	-0.9357085022023114
YBR261C	-0.07248239403586015	0.3724220214919206
YBR262C	0.059848266398306316	-0.15800805225130493
YBR263W	0.028356098585542836	-0.3973379069110893
YBR264C	0.02268424108396825	-0.07892302275048606
YBR265W		0.12985758628152394
YBR266C	3.0048468495234246	2.5286941941266403
YBR267W	3.5632877456030387	2.501159563910012
YBR268W	2.8206579550800726	0.05428508673630801
YBR269C	1.169420189858332	-0.383670750094617
YBR270C	-0.09849369761622438	-0.04792999843679934
YBR271W	-0.14597069486367492	3.1377462004220984
YBR272C	0.3603395327503292	0.17613807169492368
YBR273C	-0.2154396757182088	-0.15216627834315663
YBR275C	0.047031069281952845	-0.18743214328837696
YBR276C	0.0035106926514507316	-0.18162847442066476
YBR277C	2.2391319429338448	1.7042527868926018
YBR278W	2.6346492278514524	2.4139815001566145
YBR279W		3.1389562401024325
YBR280C	0.057399249815607595	-0.4508229126821804
YBR281C	1.1207037873629482	1.821890405032635
YBR282W		3.2238193096931984
YBR283C	3.0047527679327652	2.881854946105947
YBR284W	1.127374840436394	2.1042538093436787
YBR285W	0.08007870081541267	1.0738837588807533
YBR286W	1.1815484182491047	1.5825165004630406
YBR287W	0.026691474858833397	-0.26934561398944884
YBR288C	0.8228712782765663	1.039782261841785
YBR289W	-1.9033360144518754	0.09142339515116295
YBR290W	0.16372163199035708	2.243193089059471
YBR291C	0.5685918813046061	1.7788255084304236
YBR292C	1.451888349378922	1.864943955704894
YBR293W	0.13478380353007446	1.4224510552673242
YBR294W	0.08362653074920112	0.21917714943992153
YBR295W	1.0247557637601472	2.768068301770423
YBR296C	0.7458350709407888	2.4862465694128337
YBR297W	0.820939205167968	2.2841037199349596
YBR298C	0.7906847330161978	3.267872111450831
YBR299W	0.07587557599628073	
YBR300C	1.126273121872569	2.2602555961420685
YBR301W	0.18529580897514616	-0.0719230165913385
YCL001W	0.141645765716196	0.2581660649330694
YCL001W-A	0.9378970839646722	2.46463900920185
YCL002C	0.2304297930412976	0.7650757914007885
YCL004W		0.06214539924140165
