orf	hap a | growth (spot assay) | EtOH (ethanol [8%]) | Teixeira MC~Sa Correia I, 2009
YAL016W	-4.2616962979508966
YAL055W	-4.2616962979508966
YAR015W	-4.2616962979508966
YBL006C	-4.2616962979508966
YBL007C	-4.2616962979508966
YBL024W	-4.2616962979508966
YBL025W	-4.2616962979508966
YBL079W	-4.2616962979508966
YBL080C	-4.2616962979508966
YBL090W	-4.2616962979508966
YBL094C	-4.2616962979508966
YBL103C	-4.2616962979508966
YBR011C	-4.2616962979508966
YBR035C	-4.2616962979508966
YBR077C	-4.2616962979508966
YBR095C	-4.2616962979508966
YBR097W	-4.2616962979508966
YBR101C	-4.2616962979508966
YBR123C	-4.2616962979508966
YBR126C	-4.2616962979508966
YBR127C	-4.2616962979508966
YBR132C	-4.2616962979508966
YBR152W	-4.2616962979508966
YBR171W	-4.2616962979508966
YBR179C	-4.2616962979508966
YBR193C	-4.2616962979508966
YBR194W	-4.2616962979508966
YBR200W	-4.2616962979508966
YCL005W-A	-4.2616962979508966
YCL007C	-4.2616962979508966
YCL008C	-4.2616962979508966
YCL032W	-4.2616962979508966
YCL036W	-4.2616962979508966
YCR009C	-4.2616962979508966
YCR019W	-4.2616962979508966
YCR024C	-4.2616962979508966
YCR063W	-4.2616962979508966
YCR071C	-4.2616962979508966
YDL005C	-4.2616962979508966
YDL040C	-4.2616962979508966
YDL043C	-4.2616962979508966
YDL047W	-4.2616962979508966
YDL065C	-4.2616962979508966
YDL115C	-4.2616962979508966
YDL116W	-4.2616962979508966
YDL160C	-4.2616962979508966
YDL167C	-4.2616962979508966
YDL192W	-4.2616962979508966
YDL225W	-4.2616962979508966
YDL226C	-4.2616962979508966
YDR005C	-4.2616962979508966
YDR008C	-4.2616962979508966
YDR017C	-4.2616962979508966
YDR027C	-4.2616962979508966
YDR028C	-4.2616962979508966
YDR065W	-4.2616962979508966
YDR069C	-4.2616962979508966
YDR079C-A	-4.2616962979508966
YDR080W	-4.2616962979508966
YDR114C	-4.2616962979508966
YDR115W	-4.2616962979508966
YDR129C	-4.2616962979508966
YDR138W	-4.2616962979508966
YDR195W	-4.2616962979508966
YDR207C	-4.2616962979508966
YDR244W	-4.2616962979508966
YDR245W	-4.2616962979508966
YDR260C	-4.2616962979508966
YDR264C	-4.2616962979508966
YDR265W	-4.2616962979508966
YDR293C	-4.2616962979508966
YDR295C	-4.2616962979508966
YDR298C	-4.2616962979508966
YDR329C	-4.2616962979508966
YDR392W	-4.2616962979508966
YDR433W	-4.2616962979508966
YDR470C	-4.2616962979508966
YEL009C	-4.2616962979508966
YEL027W	-4.2616962979508966
YEL036C	-4.2616962979508966
YEL045C	-4.2616962979508966
YEL046C	-4.2616962979508966
YEL051W	-4.2616962979508966
YER122C	-4.2616962979508966
YER155C	-4.2616962979508966
YFL023W	-4.2616962979508966
YFL028C	-4.2616962979508966
YFR029W	-4.2616962979508966
YGL003C	-4.2616962979508966
YGL020C	-4.2616962979508966
YGL024W	-4.2616962979508966
YGL025C	-4.2616962979508966
YGL035C	-4.2616962979508966
YGL058W	-4.2616962979508966
YGL066W	-4.2616962979508966
YGL070C	-4.2616962979508966
YGL127C	-4.2616962979508966
YGL135W	-4.2616962979508966
YGL152C	-4.2616962979508966
YGL153W	-4.2616962979508966
YGL218W	-4.2616962979508966
YGL220W	-4.2616962979508966
YGL235W	-4.2616962979508966
YGL237C	-4.2616962979508966
YGL240W	-4.2616962979508966
YGL244W	-4.2616962979508966
YGR020C	-4.2616962979508966
YGR077C	-4.2616962979508966
YGR104C	-4.2616962979508966
YGR105W	-4.2616962979508966
YGR133W	-4.2616962979508966
YGR147C	-4.2616962979508966
YGR180C	-4.2616962979508966
YGR252W	-4.2616962979508966
YHL011C	-4.2616962979508966
YHL025W	-4.2616962979508966
YHR008C	-4.2616962979508966
YHR013C	-4.2616962979508966
YHR030C	-4.2616962979508966
YHR041C	-4.2616962979508966
YHR060W	-4.2616962979508966
YHR065C	-4.2616962979508966
YHR091C	-4.2616962979508966
YHR100C	-4.2616962979508966
YHR120W	-4.2616962979508966
YHR147C	-4.2616962979508966
YHR167W	-4.2616962979508966
YHR206W	-4.2616962979508966
YHR207C	-4.2616962979508966
YIL026C	-4.2616962979508966
YIL098C	-4.2616962979508966
YIL107C	-4.2616962979508966
YIL117C	-4.2616962979508966
YIL128W	-4.2616962979508966
YIL141W	-4.2616962979508966
YIL153W	-4.2616962979508966
YIR011C	-4.2616962979508966
YJL026W	-4.2616962979508966
YJL140W	-4.2616962979508966
YJL180C	-4.2616962979508966
YJL204C	-4.2616962979508966
YJL210W	-4.2616962979508966
YJL211C	-4.2616962979508966
YJR011C	-4.2616962979508966
YJR018W	-4.2616962979508966
YJR025C	-4.2616962979508966
YJR033C	-4.2616962979508966
YJR043C	-4.2616962979508966
YJR073C	-4.2616962979508966
YJR075W	-4.2616962979508966
YJR104C	-4.2616962979508966
YJR105W	-4.2616962979508966
YKL002W	-4.2616962979508966
YKL037W	-4.2616962979508966
YKL054C	-4.2616962979508966
YKL055C	-4.2616962979508966
YKL059C	-4.2616962979508966
YKL080W	-4.2616962979508966
YKL197C	-4.2616962979508966
YKR024C	-4.2616962979508966
YKR035C	-4.2616962979508966
YLL018C-A	-4.2616962979508966
YLL043W	-4.2616962979508966
YLR025W	-4.2616962979508966
YLR039C	-4.2616962979508966
YLR148W	-4.2616962979508966
YLR182W	-4.2616962979508966
YLR194C	-4.2616962979508966
YLR337C	-4.2616962979508966
YLR338W	-4.2616962979508966
YLR358C	-4.2616962979508966
YLR369W	-4.2616962979508966
YLR396C	-4.2616962979508966
YLR403W	-4.2616962979508966
YLR414C	-4.2616962979508966
YLR417W	-4.2616962979508966
YML012C-A	-4.2616962979508966
YML121W	-4.2616962979508966
YMR026C	-4.2616962979508966
YMR038C	-4.2616962979508966
YMR060C	-4.2616962979508966
YMR077C	-4.2616962979508966
YMR097C	-4.2616962979508966
YMR142C	-4.2616962979508966
YMR145C	-4.2616962979508966
YMR198W	-4.2616962979508966
YMR202W	-4.2616962979508966
YMR203W	-4.2616962979508966
YMR228W	-4.2616962979508966
YMR231W	-4.2616962979508966
YMR326C	-4.2616962979508966
YNL006W	-4.2616962979508966
YNL007C	-4.2616962979508966
YNL025C	-4.2616962979508966
YNL039W	-4.2616962979508966
YNL055C	-4.2616962979508966
YNL081C	-4.2616962979508966
YNL084C	-4.2616962979508966
YNL133C	-4.2616962979508966
YNL139C	-4.2616962979508966
YNL232W	-4.2616962979508966
YNL236W	-4.2616962979508966
YNL245C	-4.2616962979508966
YNL280C	-4.2616962979508966
YNL297C	-4.2616962979508966
YNL307C	-4.2616962979508966
YNR005C	-4.2616962979508966
YNR006W	-4.2616962979508966
YNR010W	-4.2616962979508966
YNR026C	-4.2616962979508966
YNR035C	-4.2616962979508966
YNR036C	-4.2616962979508966
YNR037C	-4.2616962979508966
YNR051C	-4.2616962979508966
YOL143C	-4.2616962979508966
YOL145C	-4.2616962979508966
YOR008C	-4.2616962979508966
YOR035C	-4.2616962979508966
YOR036W	-4.2616962979508966
YOR043W	-4.2616962979508966
YOR115C	-4.2616962979508966
YOR141C	-4.2616962979508966
YOR196C	-4.2616962979508966
YOR306C	-4.2616962979508966
YOR330C	-4.2616962979508966
YOR331C	-4.2616962979508966
YOR332W	-4.2616962979508966
YPL002C	-4.2616962979508966
YPL013C	-4.2616962979508966
YPL031C	-4.2616962979508966
YPL045W	-4.2616962979508966
YPL075W	-4.2616962979508966
YPL077C	-4.2616962979508966
YPL084W	-4.2616962979508966
YPL117C	-4.2616962979508966
YPL161C	-4.2616962979508966
YPL234C	-4.2616962979508966
YPL241C	-4.2616962979508966
YPL271W	-4.2616962979508966
YPR033C	-4.2616962979508966
YPR036W	-4.2616962979508966
YPR049C	-4.2616962979508966
YPR099C	-4.2616962979508966
YPR101W	-4.2616962979508966
YPR104C	-4.2616962979508966
YPR131C	-4.2616962979508966
YPR133W-A	-4.2616962979508966
YPR139C	-4.2616962979508966
YPR159W	-4.2616962979508966
YPR160W	-4.2616962979508966
YPR166C	-4.2616962979508966
YPR173C	-4.2616962979508966
YPR194C	-4.2616962979508966
