ORF	hap a | tRNA processed form 1/2 (tRNA(Ile)(UAU)) | standard [standard] | Wu J~Hopper AK, 2015	hap a | tRNA processed form 1/2 + extra band below I (tRNA(Ile)(UAU)) | standard [standard] | Wu J~Hopper AK, 2015	hap a | tRNA processed form 2* (tRNA(Ile)(UAU)) | standard [standard] | Wu J~Hopper AK, 2015	hap a | tRNA processed form 4/5/6 (tRNA(Ile)(UAU)) | standard [standard] | Wu J~Hopper AK, 2015	hap a | tRNA processed form 7 (tRNA(Ile)(UAU)) | standard [standard] | Wu J~Hopper AK, 2015	hap a | tRNA processed form 9 (tRNA(Ile)(UAU)) | standard [standard] | Wu J~Hopper AK, 2015
YAL001C	0.000	0.000	0.000	0.000	0.000	0.000
YAL003W	0.000	0.000	0.000	0.000	0.000	0.000
YAL025C	0.000	0.000	0.000	0.000	0.000	0.000
YAL034W-A	0.000	0.000	0.000	0.000	0.000	0.000
YAL038W	0.000	0.000	0.000	0.000	0.000	0.000
YAL041W	0.000	0.000	0.000	0.000	0.000	0.000
YAL043C	0.000	0.000	0.000	0.000	0.000	0.000
YAR007C	0.000	0.000	0.000	0.000	0.000	0.000
YAR008W	0.000	0.000	0.000	0.000	0.000	0.000
YAR019C	0.000	0.000	0.000	0.000	0.000	0.000
YBL023C	0.000	0.000	0.000	0.000	0.000	0.000
YBL026W	0.000	0.000	0.000	0.000	0.000	0.000
YBL034C	0.000	0.000	0.000	0.000	0.000	0.000
YBL035C	0.000	0.000	0.000	0.000	0.000	0.000
YBL040C	0.000	0.000	0.000	0.000	0.000	0.000
YBL041W	0.000	0.000	0.000	0.000	0.000	0.000
YBL050W	0.000	0.000	0.000	0.000	0.000	0.000
YBL074C	0.000	0.000	0.000	0.000	0.000	0.000
YBL076C	0.000	0.000	0.000	1.000	0.000	0.000
YBL084C	0.000	0.000	0.000	0.000	0.000	0.000
YBL093C	0.000	0.000	0.000	0.000	0.000	0.000
YBL105C	0.000	0.000	0.000	0.000	0.000	0.000
YBR004C	0.000	0.000	0.000	0.000	0.000	0.000
YBR011C	0.000	0.000	0.000	0.000	0.000	0.000
YBR029C	0.000	0.000	0.000	0.000	0.000	0.000
YBR049C	0.000	0.000	0.000	0.000	0.000	0.000
YBR055C	0.000	0.000	0.000	0.000	0.000	0.000
YBR058C-A	0.000	0.000	0.000	0.000	0.000	0.000
YBR060C	0.000	0.000	0.000	0.000	0.000	0.000
YBR070C	1.000	0.000	0.000	0.000	0.000	0.000
YBR080C	0.000	0.000	0.000	1.000	0.000	0.000
YBR087W	0.000	0.000	0.000	0.000	0.000	0.000
YBR088C	0.000	0.000	0.000	0.000	0.000	0.000
YBR102C	0.000	0.000	0.000	0.000	0.000	0.000
YBR109C	0.000	0.000	0.000	0.000	0.000	0.000
YBR110W	0.000	0.000	0.000	0.000	0.000	0.000
YBR121C	0.000	0.000	0.000	0.000	0.000	0.000
YBR123C	0.000	0.000	0.000	0.000	0.000	0.000
YBR135W	1.000	0.000	0.000	0.000	0.000	0.000
YBR142W	0.000	0.000	0.000	0.000	0.000	0.000
YBR143C	0.000	0.000	0.000	1.000	0.000	0.000
YBR152W	0.000	0.000	0.000	0.000	0.000	0.000
YBR153W	0.000	0.000	0.000	0.000	0.000	0.000
YBR155W	0.000	0.000	0.000	0.000	0.000	0.000
YBR156C	0.000	0.000	0.000	0.000	0.000	0.000
YBR160W	1.000	0.000	0.000	0.000	0.000	0.000
YBR167C	1.000	0.000	0.000	0.000	0.000	0.000
YBR193C	0.000	0.000	0.000	0.000	0.000	0.000
YBR196C	0.000	0.000	0.000	0.000	0.000	0.000
