ORF	hap alpha | growth (colony size) | cadmium dichloride [50 uM] | Ruotolo R~Ottonello S, 2008	hap alpha | growth (colony size) | nickel dichloride [2.5 mM] | Ruotolo R~Ottonello S, 2008
YDR323C	-4.000	0.000
YDR363W	-4.000	0.000
YDR369C	-4.000	0.000
YDR388W	-2.000	0.000
YDR418W	0.000	-2.000
YDR423C	-2.000	0.000
YDR432W	-4.000	-2.000
YDR448W	-2.000	0.000
YDR456W	-2.000	2.000
YDR469W	-2.000	0.000
YDR486C	0.000	2.000
YDR495C	-4.000	0.000
YDR500C	-4.000	0.000
YEL003W	0.000	2.000
YEL027W	-4.000	-4.000
YEL046C	-2.000	0.000
YEL051W	-4.000	-2.000
YER072W	0.000	2.000
YER083C	-4.000	0.000
YER111C	-2.000	0.000
YER117W	-2.000	0.000
YER123W	0.000	-4.000
YER145C	-4.000	-4.000
YER151C	-2.000	-2.000
YER155C	-4.000	0.000
YER164W	-2.000	0.000
YFL018C	-2.000	2.000
YFL031W	-2.000	0.000
YFR010W	-2.000	0.000
YFR019W	-4.000	-6.000
YFR036W	-6.000	0.000
YFR038W	2.000	0.000
YGL016W	2.000	0.000
YGL025C	-2.000	0.000
YGL045W	2.000	2.000
YGL058W	-2.000	0.000
YGL070C	0.000	-2.000
YGL071W	-6.000	-6.000
YGL095C	-4.000	0.000
YGL148W	-2.000	2.000
YGL168W	-2.000	-2.000
YGL173C	-4.000	-2.000
YGL212W	-4.000	-4.000
YGL244W	-4.000	-4.000
YGR020C	-4.000	-4.000
YGR089W	-2.000	2.000
YGR092W	-4.000	-4.000
YGR105W	-4.000	-4.000
YGR122W	2.000	0.000
YGR135W	2.000	0.000
YGR155W	-6.000	-2.000
YGR167W	-4.000	-2.000
YGR206W	-2.000	2.000
YGR252W	-4.000	0.000
YGR260W	-4.000	2.000
YGR261C	0.000	-2.000
YHL011C	-4.000	0.000
YHL019C	-2.000	0.000
YHL023C	-4.000	0.000
YHL027W	2.000	2.000
YHR008C	-2.000	0.000
YHR012W	-2.000	2.000
YHR013C	-4.000	0.000
YHR021C	-4.000	0.000
YHR026W	0.000	-2.000
YHR030C	-2.000	-2.000
YHR039C-A	-2.000	-4.000
YHR050W	2.000	0.000
YHR060W	-4.000	-4.000
YHR091C	2.000	0.000
YHR100C	-2.000	0.000
YHR108W	-6.000	0.000
YHR151C	0.000	-2.000
YHR167W	0.000	-4.000
YHR178W	2.000	0.000
YHR191C	-2.000	0.000
YIL009C-A	-6.000	0.000
YIL015W	-2.000	0.000
YIL039W	-4.000	2.000
YIL053W	-2.000	0.000
YIL065C	-2.000	0.000
YIL090W	-4.000	-2.000
YIL122W	-2.000	0.000
YIL128W	-4.000	0.000
YIL158W	-2.000	0.000
YIR023W	0.000	2.000
YIR033W	-4.000	-6.000
YJL004C	-2.000	0.000
YJL012C	2.000	2.000
YJL024C	0.000	-4.000
YJL053W	-4.000	2.000
YJL056C	0.000	-2.000
YJL080C	0.000	-2.000
YJL095W	-4.000	-2.000
YJL101C	-6.000	0.000
YJL115W	-4.000	0.000
YJL117W	-4.000	-2.000
YJL128C	-4.000	0.000
YJL136C	-4.000	0.000
YJL154C	-2.000	2.000
YJL176C	-4.000	-2.000
YJL183W	-2.000	0.000
YJL190C	-4.000	0.000
YJR033C	0.000	-2.000
YJR040W	-2.000	0.000
YJR043C	-4.000	0.000
YJR074W	-4.000	2.000
YJR102C	-6.000	2.000
YJR104C	-6.000	0.000
YJR117W	0.000	-2.000
YJR118C	-2.000	-2.000
YJR122W	-2.000	0.000
YJR125C	-2.000	0.000
YJR139C	-4.000	0.000
YKL002W	-4.000	2.000
YKL003C	2.000	0.000
YKL006W	-2.000	-4.000
YKL011C	-2.000	0.000
YKL041W	-4.000	2.000
YKL057C	-2.000	-2.000
YKL080W	-4.000	-4.000
YKL113C	-4.000	0.000
YKL119C	-4.000	-2.000
YKL139W	-6.000	-4.000
YKL175W	2.000	0.000
YKL212W	-2.000	0.000
YKL213C	-6.000	0.000
YKR001C	-4.000	2.000
YKR019C	-2.000	0.000
YKR020W	-2.000	0.000
YKR028W	0.000	2.000
YKR035W-A	-4.000	2.000
YKR043C	2.000	0.000
YKR072C	0.000	2.000
YLL027W	-4.000	0.000
YLL039C	-2.000	0.000
YLL040C	-2.000	0.000
YLL043W	-4.000	0.000
YLL048C	0.000	-6.000
YLR001C	2.000	2.000
YLR015W	-2.000	0.000
YLR025W	-6.000	2.000
YLR027C	-4.000	2.000
YLR034C	-4.000	0.000
YLR039C	-2.000	0.000
YLR068W	-2.000	-2.000
YLR079W	-2.000	0.000
YLR087C	-4.000	-2.000
YLR095C	-2.000	0.000
YLR113W	-2.000	0.000
YLR119W	-4.000	2.000
YLR148W	-6.000	-2.000
YLR181C	0.000	2.000
YLR182W	-2.000	0.000
YLR192C	-2.000	0.000
YLR248W	-2.000	0.000
YLR262C	-2.000	0.000
YLR268W	-4.000	0.000
YLR320W	-2.000	0.000
YLR330W	2.000	2.000
YLR360W	-4.000	2.000
YLR362W	-4.000	0.000
YLR386W	-4.000	-4.000
YLR417W	-4.000	2.000
YLR423C	-4.000	0.000
YLR447C	-4.000	-6.000
YML007W	-4.000	0.000
YML008C	-4.000	-2.000
YML013W	-2.000	0.000
YML024W	-2.000	0.000
YML036W	2.000	0.000
YML052W	-2.000	0.000
YML062C	0.000	-2.000
YML067C	-2.000	0.000
YML071C	-2.000	0.000
YML097C	-2.000	0.000
YML103C	-2.000	-2.000
YML112W	-2.000	-4.000
YMR010W	0.000	-2.000
YMR014W	-2.000	0.000
YMR021C	-2.000	-2.000
YMR022W	-2.000	-2.000
YMR032W	-4.000	0.000
YMR038C	-4.000	0.000
YMR058W	-2.000	-4.000
YMR060C	0.000	-2.000
YMR063W	2.000	2.000
YMR077C	-2.000	2.000
YMR092C	2.000	0.000
YMR123W	0.000	-4.000
YMR154C	2.000	2.000
YMR161W	-2.000	0.000
YMR164C	-4.000	0.000
YMR179W	-2.000	0.000
YMR198W	-2.000	0.000
YMR202W	-2.000	-4.000
YMR205C	-2.000	0.000
YMR224C	-2.000	0.000
YMR231W	-4.000	-4.000
YMR238W	-2.000	0.000
YMR264W	0.000	-2.000
YMR275C	-4.000	2.000
YMR319C	2.000	0.000
YNL001W	-2.000	0.000
YNL021W	-2.000	2.000
YNL032W	0.000	2.000
YNL051W	-2.000	0.000
YNL059C	-2.000	0.000
YNL064C	-2.000	-2.000
YNL080C	-2.000	-2.000
YNL136W	-2.000	2.000
YNL147W	-4.000	-2.000
YNL148C	-2.000	-2.000
YNL155W	2.000	0.000
YNL197C	0.000	-2.000
YNL229C	-2.000	-2.000
YNL241C	-2.000	0.000
YNL280C	-2.000	-6.000
YNL294C	2.000	2.000
YNL302C	-2.000	0.000
YNL325C	-2.000	-2.000
YNL329C	-2.000	0.000
YNR006W	-4.000	2.000
YNR023W	-4.000	-2.000
YNR051C	-2.000	0.000
YNR052C	-4.000	-2.000
YOL004W	0.000	-2.000
YOL018C	-2.000	0.000
YOL049W	-6.000	0.000
YOL051W	-4.000	0.000
YOL060C	-2.000	2.000
YOL072W	0.000	-2.000
YOL075C	2.000	0.000
YOL122C	2.000	-2.000
YOL148C	-4.000	0.000
YOL151W	-4.000	0.000
YOR026W	0.000	-2.000
YOR030W	2.000	2.000
YOR036W	-6.000	-2.000
YOR043W	-2.000	0.000
YOR068C	-2.000	2.000
YOR069W	-4.000	2.000
YOR079C	-4.000	0.000
YOR080W	-2.000	0.000
YOR089C	-2.000	0.000
YOR106W	-4.000	-2.000
YOR132W	-2.000	2.000
YOR141C	-4.000	0.000
YOR219C	-2.000	0.000
YOR221C	-2.000	0.000
YOR270C	0.000	-6.000
YOR275C	2.000	2.000
YOR322C	-4.000	0.000
YOR323C	-4.000	0.000
YOR332W	-4.000	-4.000
YOR357C	-2.000	2.000
YPL002C	-4.000	2.000
YPL031C	-6.000	-2.000
YPL042C	-4.000	0.000
YPL045W	-4.000	-2.000
YPL051W	-2.000	0.000
YPL055C	-4.000	0.000
YPL065W	-4.000	2.000
YPL084W	-4.000	2.000
YPL091W	-4.000	0.000
YPL097W	-2.000	0.000
YPL099C	-4.000	0.000
YPL101W	-2.000	0.000
YPL120W	-4.000	2.000
YPL121C	-2.000	0.000
YPL123C	-4.000	0.000
YPL129W	-4.000	0.000
YPL148C	-2.000	0.000
YPL162C	-2.000	0.000
YPL166W	-2.000	0.000
YPL176C	-2.000	2.000
YPL179W	0.000	-2.000
YPL181W	-2.000	-2.000
YPL187W	-2.000	0.000
YPL188W	-2.000	0.000
YPL195W	0.000	-2.000
YPL234C	-2.000	-2.000
YPL254W	-6.000	0.000
YPL260W	2.000	0.000
YPR024W	-2.000	0.000
YPR036W	-4.000	-4.000
YPR065W	-4.000	0.000
YPR124W	-2.000	-2.000
YPR131C	-2.000	0.000
YPR133W-A	-2.000	0.000
YPR135W	-4.000	0.000
YPR139C	0.000	2.000
YPR153W	0.000	-2.000
YPR163C	-2.000	0.000
YPR173C	-2.000	2.000
