orf	hom | growth (relative abundance in pooled culture) | sirolimus [7.5 ng/ml] | Neklesa TK~Davis RW, 2008
YAL013W	14.069702261921908
YCR053W	14.069702261921908
YDR158W	14.069702261921908
YDR435C	14.069702261921908
YER040W	14.069702261921908
YER052C	14.069702261921908
YGL025C	14.069702261921908
YGL167C	14.069702261921908
YGR208W	14.069702261921908
YHR025W	14.069702261921908
YIL153W	14.069702261921908
YJR104C	14.069702261921908
YJR139C	14.069702261921908
YKR028W	14.069702261921908
YLR055C	14.069702261921908
YLR058C	14.069702261921908
YMR038C	14.069702261921908
YMR073C	14.069702261921908
YNL097C	14.069702261921908
YNL183C	14.069702261921908
YOR184W	14.069702261921908
YPR040W	14.069702261921908
YPR124W	14.069702261921908
