ORF	hom | growth (relative abundance in pooled culture) | cisplatin [1 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [0.23 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | mitomycin C [0.5 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | oxaliplatin [10 mM] | Wu HI~Brown JM, 2004
YMR036C	-0.188	-0.409	-0.238	-0.229
YCL037C	-0.305	-0.407	NaN	NaN
YBL083C	-0.478	-0.403	-0.051	-1.346
YNL136W	-0.290	-0.403	-0.288	-0.273
YNL070W	-0.819	-0.402	-0.081	-1.699
YMR020W	0.013	-0.396	-0.135	-0.274
YOL012C	-0.252	-0.392	0.242	-0.191
YMR017W	-0.023	-0.387	-0.253	-0.299
YOR360C	-0.523	-0.385	-0.118	-0.708
YDR372C	-0.780	-0.384	0.094	-1.691
YER019W	-0.004	-0.384	-0.014	0.116
YER048C	-0.217	-0.382	0.054	-0.420
YDL133W	-0.803	-0.381	-0.045	-1.616
YNL291C	-0.295	-0.381	-0.073	-0.557
YOR085W	-0.318	-0.378	0.130	-0.962
YER041W	-0.169	-0.377	-0.092	-0.243
YAL002W	-0.188	-0.375	-0.032	-0.877
YBR156C	-0.586	-0.375	NaN	-0.115
YML030W	-0.040	-0.375	-0.118	-0.105
YHR041C	-0.144	-0.373	NaN	-0.465
YBL022C	-0.528	-0.371	-0.029	-1.471
YNL264C	-0.412	-0.368	-0.004	-0.674
YCL061C	-0.445	-0.366	NaN	-0.818
YJL192C	-0.527	-0.364	-0.197	-1.226
YHL044W	-0.455	-0.363	-0.126	-0.943
YIL041W	-0.432	-0.363	NaN	0.001
YAL011W	-0.252	-0.362	0.132	-0.648
YDR455C	-0.411	-0.362	-0.039	-0.901
YGL251C	-0.175	-0.361	0.094	0.637
YGL127C	-0.275	-0.360	NaN	NaN
YCL032W	-0.367	-0.358	-0.025	-0.452
YDR414C	-0.431	-0.357	0.078	-1.146
YGR092W	-0.860	-0.355	NaN	-0.308
YML013C-A	-0.631	-0.354	NaN	-0.555
YOL076W	-0.455	-0.354	NaN	NaN
YMR038C	0.256	-0.352	-0.341	-0.436
YCL060C	-0.608	-0.351	0.027	-0.796
YKL113C	-0.464	-0.350	NaN	-0.139
YJR052W	-0.460	-0.349	-0.286	-0.194
YIL036W	-0.213	-0.347	0.049	0.125
YOR025W	-0.320	-0.346	-0.013	-0.456
YDR162C	-0.394	-0.345	0.045	-0.710
YOR233W	-0.247	-0.345	-0.003	-0.195
YPL047W	-0.329	-0.345	0.038	0.017
YBL006C	-0.626	-0.342	0.028	-1.534
YIL077C	-0.388	-0.341	-0.020	-0.017
YER145C	0.029	-0.339	-0.120	-0.333
YML001W	-0.030	-0.339	-0.042	-0.348
YMR167W	-0.179	-0.339	-0.064	-0.093
YHR129C	-0.646	-0.338	-0.305	-1.495
YBL031W	-0.823	-0.337	-0.155	-1.593
YLR262C	-0.355	-0.337	0.076	-0.535
YPL180W	-0.349	-0.331	0.059	-0.501
YBL046W	-0.726	-0.330	-0.012	-1.486
YDR442W	-0.676	-0.328	NaN	-0.676
YCR008W	-0.478	-0.327	-0.034	-0.809
YML006C	-0.001	-0.324	-0.087	0.021
YDR253C	-0.487	-0.323	-0.092	-1.222
YER072W	-0.277	-0.321	-0.080	-0.725
YMR018W	-0.001	-0.321	-0.140	-0.403
YMR023C	0.009	-0.321	-0.198	-0.288
YMR044W	0.045	-0.321	-0.014	-0.014
YAL040C	0.008	-0.320	-0.091	-0.505
YDR291W	-0.273	-0.320	-0.718	-0.552
YAR028W	0.037	-0.319	0.005	0.028
YER063W	-0.024	-0.319	-0.138	0.069
YMR019W	-0.021	-0.319	-0.225	-0.423
YOL054W	-0.298	-0.318	-0.156	-0.157
YCR081W	-0.348	-0.316	0.056	-0.323
YMR027W	-0.006	-0.315	-0.033	-0.164
YPL195W	-0.051	-0.314	0.003	-0.633
YCL010C	-0.194	-0.313	-0.037	0.174
YGR057C	-0.511	-0.313	0.047	-0.944
YAR035W	-0.039	-0.311	-0.015	-0.005
YER130C	-0.104	-0.311	-0.118	-0.142
YHL009C	-0.590	-0.311	-0.066	-1.598
YER060W	0.015	-0.310	-0.114	0.013
YIL098C	-0.285	-0.310	0.012	0.363
YNL068C	-0.434	-0.310	-0.065	-0.522
YMR048W	-0.441	-0.308	-0.174	-0.525
YDR150W	-0.499	-0.307	0.026	-0.763
YHR154W	-0.364	-0.307	NaN	NaN
YAR040C	-0.059	-0.306	-0.090	-0.019
YHL027W	0.188	-0.305	-0.039	0.518
YJL204C	-0.245	-0.305	-0.159	0.202
YOR061W	-0.618	-0.303	0.107	-0.162
YML097C	-0.103	-0.302	0.016	-0.657
YIL152W	-0.419	-0.301	-0.012	-0.583
YLR200W	-0.332	-0.300	NaN	-0.291
YGR229C	-0.220	-0.298	-0.249	-0.419
YMR280C	-0.150	-0.297	-0.059	0.011
YML035C-A	-0.050	-0.296	-0.249	-0.184
YER129W	-0.016	-0.295	-0.177	-0.098
YIL065C	-0.378	-0.295	-0.114	0.216
YLR102C	-0.410	-0.294	-0.021	-0.354
YAR044W	0.048	-0.293	-0.068	0.051
YBR044C	-0.254	-0.293	-0.181	-0.217
YLR085C	-0.238	-0.293	0.243	-0.397
YER058W	0.056	-0.289	0.026	0.109
YKL101W	-0.861	-0.289	-0.153	-0.629
YNL091W	-0.397	-0.289	-0.021	-0.286
YOR036W	-0.283	-0.289	NaN	NaN
YOR072W	-0.182	-0.289	0.222	-0.059
YOR371C	-0.332	-0.289	-0.020	-0.505
YHL012W	-0.146	-0.288	-0.049	-0.193
YAL024C	-0.673	-0.287	-0.249	-0.251
YDL077C	-0.130	-0.286	0.037	-0.494
YER128W	0.020	-0.286	-0.154	-0.001
YML029W	0.023	-0.286	-0.118	-0.133
YDR540C	-0.536	-0.285	-0.206	-0.315
YEL042W	-0.488	-0.284	0.137	-1.250
YHL019C	-0.030	-0.284	-0.109	0.049
YDR435C	-0.496	-0.283	-0.136	-0.626
