ORF	hom | growth (relative abundance in pooled culture) | cisplatin [1 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [0.23 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | mitomycin C [0.5 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | oxaliplatin [10 mM] | Wu HI~Brown JM, 2004
YER019C-A	-0.016	-0.170	-0.001	-0.088
YHL024W	-0.003	-0.170	0.082	-0.022
YHL026C	0.025	-0.170	0.031	0.075
YIL107C	-0.063	-0.170	-0.144	0.029
YLR087C	-0.073	-0.170	0.037	-0.258
YOR322C	0.068	-0.170	0.190	-1.143
YAL049C	-0.138	-0.169	-0.019	-0.280
YBL045C	-0.209	-0.169	NaN	NaN
YER093C-A	-0.009	-0.169	0.038	0.062
YIL116W	-0.053	-0.169	-0.018	0.020
YJL206C-A	-0.025	-0.169	0.004	-0.167
YMR315W	-0.172	-0.169	0.033	-0.049
YAR027W	0.047	-0.168	-0.048	0.082
YHR014W	-0.017	-0.168	0.055	0.112
YDR216W	-0.249	-0.167	0.011	-0.086
YMR121C	-0.316	-0.167	-0.172	0.053
YGR106C	-0.462	-0.166	-0.067	-0.998
YHL036W	0.029	-0.166	-0.006	0.034
YMR173W-A	0.007	-0.166	-0.007	0.064
YOR043W	-0.242	-0.166	-0.108	0.143
YOR136W	-0.362	-0.166	0.053	-0.291
YAL017W	-0.041	-0.165	-0.014	-0.193
YER108C	-0.032	-0.165	-0.147	-0.209
YMR148W	-0.047	-0.165	-0.046	-0.064
YNL285W	-0.020	-0.165	0.007	0.027
YBR036C	-0.283	-0.164	0.221	0.005
YHL037C	-0.020	-0.164	0.004	-0.048
YML070W	-0.061	-0.164	-0.020	-0.093
YMR008C	-0.033	-0.164	-0.280	0.052
YPR037C	-0.295	-0.164	-0.024	-0.321
YER135C	0.007	-0.163	-0.092	-0.025
YHR018C	-0.070	-0.163	-0.015	-0.014
YJL138C	-0.033	-0.163	0.176	-0.165
YMR241W	0.029	-0.163	0.018	-0.001
YOR064C	-0.101	-0.163	-0.261	-0.276
YJR040W	0.071	-0.162	-0.088	-0.127
YMR156C	-0.067	-0.162	0.038	0.102
YOL008W	-0.082	-0.162	0.040	0.070
YAL014C	-0.045	-0.161	-0.028	-0.139
YER167W	-0.002	-0.161	0.030	-0.470
YJL179W	-0.122	-0.161	-0.028	0.063
YML020W	-0.002	-0.161	-0.263	-0.114
YMR316W	-0.153	-0.161	0.023	-0.195
YOR031W	-0.028	-0.161	0.061	-0.037
YCL005W	-0.422	-0.160	-0.074	-0.887
YML071C	-0.080	-0.160	0.045	-0.674
YNL318C	-0.021	-0.160	0.057	-0.063
YDL117W	-0.165	-0.159	-0.136	-0.158
YDR474C	-0.369	-0.159	-0.005	-0.314
YMR209C	-0.110	-0.159	-0.033	-0.024
YPR061C	-0.286	-0.159	-0.151	0.032
YJL169W	-0.042	-0.158	-0.017	-0.697
YJL218W	-0.116	-0.158	-0.076	-0.061
YER137C	0.133	-0.157	0.087	0.098
YHL042W	-0.081	-0.157	0.038	-0.133
YMR030W	0.044	-0.157	-0.105	0.018
YMR292W	-0.058	-0.157	0.035	-0.097
YNL128W	-0.078	-0.157	0.021	-0.179
YAR031W	0.018	-0.156	-0.094	0.004
YER032W	-0.017	-0.156	0.022	-0.026
YER095W	-0.618	-0.156	NaN	-0.559
YJR048W	-0.059	-0.156	0.007	-0.009
YMR313C	0.012	-0.156	-0.023	0.016
YNL303W	0.045	-0.156	0.012	0.060
YBL051C	-0.325	-0.155	-0.017	-0.205
YDL021W	-0.353	-0.155	-0.136	-1.434
YHL046C	-0.069	-0.155	-0.022	-0.075
YIL001W	-0.138	-0.155	0.010	-0.014
YIL160C	-0.058	-0.155	-0.039	0.074
YMR215W	0.003	-0.155	0.012	0.071
YNL098C	-0.239	-0.155	-0.055	-0.243
YOR342C	-0.243	-0.155	0.062	-0.294
YJR103W	0.035	-0.154	-0.026	-0.025
YPL049C	-0.342	-0.154	-0.073	-0.743
YPL152W	-0.138	-0.154	-0.017	-0.370
YER109C	-0.028	-0.153	-0.188	-0.204
YHL040C	0.026	-0.153	0.006	-0.028
YLR286C	0.014	-0.153	-0.097	-0.088
YPL130W	-0.042	-0.153	-0.007	-0.016
YIL015W	-0.165	-0.152	-0.053	-0.084
YJL147C	-0.070	-0.152	-0.143	-0.032
YMR159C	0.001	-0.152	-0.004	-0.119
YMR175W	-0.032	-0.041	-0.004	-0.041
YNL270C	-0.064	-0.152	-0.006	-0.140
YBR221C	0.123	-0.151	0.191	0.700
YER081W	0.033	-0.151	-0.034	0.012
YKL190W	-0.245	-0.151	-0.049	-0.194
YML117W	-0.379	-0.151	-0.194	-1.196
YPL149W	-0.040	-0.151	0.037	0.139
YER024W	-0.016	-0.150	0.001	0.025
YIL097W	-0.040	-0.150	NaN	0.320
YNL224C	-0.214	-0.150	-0.038	-0.279
YNL279W	-0.054	-0.150	-0.030	-0.149
YGR051C	-0.213	-0.149	0.032	-0.149
YMR150C	0.092	-0.149	0.067	0.181
YAL030W	-0.056	-0.148	-0.041	-0.048
YBR290W	-0.111	-0.148	-0.061	-0.040
YDR334W	-0.196	-0.148	0.225	-0.182
YML048W-A	-0.029	-0.148	0.107	-0.131
YMR225C	-0.100	-0.148	-0.008	0.023
YNL332W	-0.031	-0.148	-0.025	0.012
YNR007C	-0.464	-0.148	-0.042	-1.200
YER061C	0.267	-0.147	0.097	0.520
YIL070C	-0.044	-0.147	0.024	0.057
YJL157C	-0.030	-0.147	-0.079	-0.131
YLL010C	-0.161	-0.147	0.007	-0.141
YLR064W	-0.102	-0.147	-0.021	-0.135
YOR092W	-0.022	-0.147	0.134	-0.193
YNL324W	0.029	-0.146	0.293	-0.143
YPL120W	-0.077	-0.146	-0.008	-0.326
YER007W	-0.002	-0.145	0.069	-0.009
YER071C	0.079	-0.145	-0.020	-0.015
YMR250W	-0.042	-0.145	-0.007	0.080
YNL154C	-0.037	-0.145	-0.003	0.008
YOR055W	-0.058	-0.145	0.028	-0.227
YJL126W	-0.041	-0.144	-0.032	-0.163
YJL152W	0.016	-0.144	0.035	0.030
YJL207C	-0.076	-0.144	-0.028	-0.010
YLR096W	-0.109	-0.144	-0.064	0.045
YLR120C	-0.087	-0.144	0.050	-0.167
YBL039C	-0.136	-0.143	NaN	0.043
YHL038C	-0.013	-0.143	0.091	0.105
YNL122C	-0.086	-0.143	0.077	-0.041
YOR238W	-0.108	-0.143	0.056	-0.080
YPL246C	0.031	-0.143	0.026	0.037
YHR017W	-0.044	-0.142	-0.030	0.011
YMR163C	0.011	-0.142	0.040	0.004
YAL008W	-0.035	-0.141	-0.082	-0.121
YIL044C	-0.056	-0.141	0.041	0.041
YJR117W	-0.224	-0.141	0.115	-0.374
YML089C	-0.078	-0.141	-0.073	-0.296
YNL316C	-0.023	-0.141	-0.009	0.024
YOR050C	-0.071	-0.141	0.003	-0.091
YOR094W	-0.008	-0.141	-0.086	-0.106
YER031C	0.010	-0.140	0.178	-0.182
YHR044C	-0.020	-0.140	-0.041	-0.059
YNL148C	-0.245	-0.140	NaN	-0.128
YNL325C	0.040	-0.140	0.040	-0.151
YPL140C	-0.128	-0.139	-0.011	-0.281
YAL031C	-0.042	-0.138	0.055	-0.054
YBR056W	-0.186	-0.138	0.029	-0.236
YKR006C	-0.546	-0.138	-0.091	-1.490
YLR089C	-0.060	-0.137	-0.061	-0.108
YMR180C	0.042	-0.137	-0.063	0.043
YOL016C	-0.118	-0.137	-0.044	-0.089
YER098W	0.024	-0.136	-0.089	0.067
YHR022C	-0.001	-0.136	-0.024	-0.139
YHR193C	-0.146	-0.136	-0.112	-0.254
YNL117W	-0.076	-0.136	0.023	-0.007
YOR150W	-0.034	-0.136	0.115	-0.089
YPL194W	-0.172	-0.136	-1.058	-0.352
YAL028W	-0.003	-0.135	-0.028	0.005
YCR094W	-0.366	-0.135	-0.365	0.004
YER142C	0.041	-0.135	-0.005	-0.053
YHR045W	0.008	-0.135	-0.012	-0.134
YLL040C	-0.356	-0.135	-0.153	-1.074
YML037C	0.021	-0.135	-0.251	-0.096
YMR262W	0.002	-0.135	-0.075	0.042
YOL115W	-0.446	-0.135	NaN	-0.890
YOR138C	-0.130	-0.135	0.067	0.074
YPL065W	0.016	-0.135	0.113	0.114
YEL031W	-0.184	-0.134	0.193	-0.907
YER069W	0.058	-0.134	-0.023	0.040
YJL185C	-0.192	-0.134	-0.095	-0.360
YLR077W	-0.055	-0.134	-0.017	-0.086
YLR093C	-0.110	-0.134	-0.014	-0.150
YLR268W	0.066	-0.134	NaN	-0.094
YNL305C	-0.016	-0.134	-0.048	0.179
YBR130C	0.004	-0.133	0.058	-0.002
YDR304C	-0.257	-0.133	-0.048	-0.176
YOL028C	-0.051	-0.133	0.055	-0.015
YOR266W	-0.111	-0.133	0.015	-0.060
YPL230W	0.025	-0.133	-0.026	0.023
YPR070W	-0.111	-0.133	0.071	0.309
YBL091C-A	-0.026	-0.132	-0.014	0.033
YGL101W	-0.257	-0.132	-0.011	0.051
YNL286W	-0.019	-0.132	-0.060	0.049
YNL292W	-0.025	-0.132	0.053	-0.129
YPL203W	-0.010	-0.132	0.069	-0.129
YPL245W	-0.041	-0.132	-0.009	-0.098
YPL272C	-0.063	-0.132	0.041	-0.031
YEL038W	0.046	-0.131	-0.019	-0.030
YJR044C	-0.041	-0.131	0.046	-0.073
YLR108C	-0.051	-0.131	0.056	-0.689
YLR125W	-0.065	-0.131	-0.114	-0.053
YLR326W	0.035	-0.131	0.084	0.055
YNL135C	-0.221	-0.131	0.042	-0.855
YAL037W	0.047	-0.130	-0.043	-0.091
YBR244W	-0.343	-0.130	-0.180	-0.041
YER113C	0.029	-0.130	-0.125	-0.100
YHL022C	0.091	-0.130	-0.076	0.139
YHL043W	-0.034	-0.130	-0.058	-0.041
YHR035W	-0.022	-0.130	0.001	-0.054
YJL020C	-0.090	-0.130	-0.066	0.046
YJR142W	-0.314	-0.130	-0.167	-1.022
YMR311C	-0.020	-0.130	-0.052	-0.054
YCR062W	-0.175	-0.129	-0.044	-0.413
YCR086W	-0.192	-0.129	-0.284	-0.293
YER091C	0.067	-0.129	-0.007	0.039
YER169W	-0.119	-0.129	-0.081	-0.229
YIL117C	-0.041	-0.129	0.047	-0.066
YMR176W	0.004	-0.129	-0.087	-0.011
YPL027W	-0.046	-0.129	-0.061	-0.065
YPL215W	-0.146	-0.129	0.079	-0.005
YBR032W	-0.074	-0.128	-0.023	-0.028
YBR075W	-0.092	-0.084	0.005	-0.110
YDR028C	-0.195	-0.128	NaN	-1.233
YDR465C	-0.234	-0.128	NaN	-0.102
YER066C-A	0.017	-0.128	-0.057	0.041
YNL095C	-0.133	-0.128	0.005	-0.064
YPL060W	-0.167	-0.128	-0.048	-0.172
YDR221W	-0.239	-0.127	0.014	-0.375
YER067C-A	0.049	-0.127	-0.046	0.002
YMR300C	-0.155	-0.127	0.260	0.158
YOR123C	0.036	-0.127	-0.018	-0.043
YPL091W	-0.214	-0.127	0.052	-0.453
YPL162C	-0.041	-0.127	-0.058	-0.055
YBL013W	-0.038	-0.126	0.092	-0.036
YBR212W	-0.298	-0.126	0.079	-0.157
YLR329W	0.086	-0.126	0.012	0.099
YMR055C	-0.457	-0.126	-0.380	-0.317
YMR119W-A	-0.058	-0.126	0.056	-0.081
YNL265C	-0.025	-0.126	0.012	-0.037
YPL227C	-0.034	-0.126	-0.056	-0.243
YNL327W	0.007	-0.125	0.071	0.006
YOL011W	0.028	-0.125	0.002	0.013
YPL159C	0.030	-0.125	0.038	0.115
YIR001C	-0.110	-0.124	-0.021	-0.184
YJL053W	0.008	-0.124	-0.076	-0.149
YLR121C	-0.056	-0.124	-0.041	-0.012
YLR334C	0.022	-0.124	-0.035	-0.080
YMR182C	0.062	-0.124	0.071	0.129
YNL219C	0.023	-0.124	0.030	-0.187
YNL319W	0.034	-0.124	-0.008	0.032
YOR195W	-0.300	-0.124	-0.069	-0.360
YOR368W	-0.175	-0.124	-1.031	-0.348
YPL198W	0.033	-0.124	-0.105	0.120
YER056C	0.107	-0.123	-0.065	-0.032
YJL216C	-0.030	-0.123	-0.091	0.034
YMR237W	-0.082	-0.123	-0.073	-0.151
YNL106C	-0.174	-0.123	-0.030	-0.229
YPL033C	-0.093	-0.123	0.058	-0.180
YEL060C	-0.008	-0.122	-0.014	-0.162
YFR048W	-0.223	-0.122	0.087	-0.112
YGR228W	-0.048	-0.122	-0.147	-0.196
YIL161W	0.008	-0.122	-0.055	0.121
YML078W	-0.106	-0.122	0.001	-0.442
YMR303C	-0.020	-0.122	0.030	-0.032
YNL339C	-0.013	-0.122	0.039	0.029
YPL148C	0.143	-0.122	NaN	NaN
YDL162C	-0.049	-0.121	-0.002	0.018
YIL012W	-0.009	-0.121	0.008	0.019
YJL162C	-0.206	-0.121	0.039	-0.178
YMR283C	0.026	-0.121	-0.004	0.061
YNL085W	-0.068	-0.121	-0.055	0.005
YOR231W	-0.087	-0.121	0.041	-0.029
YPL170W	-0.002	-0.121	0.062	0.027
YER164W	-0.123	-0.120	-0.064	-0.038
YLR374C	-0.299	-0.120	0.168	-0.847
YMR153C-A	0.008	-0.120	-0.047	-0.112
YNL157W	-0.061	-0.120	-0.020	-0.031
YOR024W	-0.184	-0.120	-0.034	-0.360
YAL018C	-0.089	-0.119	0.122	-0.177
YBR114W	-0.119	-0.119	-0.027	-0.151
YDR179W-A	-0.096	-0.119	0.023	-0.150
YER064C	0.094	-0.119	-0.047	0.125
YLR252W	-0.322	-0.119	0.038	-0.307
YDL001W	-0.113	-0.118	0.092	-0.203
YDR462W	0.049	-0.118	0.289	0.416
YEL001C	-0.018	-0.118	0.025	0.017
YER073W	-0.058	-0.118	-0.001	-0.146
YML011C	-0.073	-0.118	-0.200	-0.025
YMR297W	0.088	-0.118	0.001	-0.007
YAL022C	-0.049	-0.117	-0.032	-0.069
YBR197C	-0.072	-0.117	0.125	-0.117
YBR220C	-0.039	-0.117	0.075	-0.020
YGL253W	-0.243	-0.117	0.103	-0.655
YGR078C	-0.232	-0.117	0.236	-0.550
YPL002C	0.022	-0.117	-0.018	0.174
YDL119C	0.055	-0.116	-0.021	-0.356
YER030W	-0.088	-0.116	-0.021	-0.359
YHL045W	0.032	-0.116	-0.084	0.016
YKL002W	-0.045	-0.116	0.039	-0.389
YLL053C	-0.062	-0.116	0.011	-0.065
YOR142W	-0.033	-0.116	-0.022	-0.004
YBR129C	-0.004	-0.115	0.019	-0.142
YDR085C	-0.054	-0.115	0.032	-0.004
YEL063C	-0.101	-0.115	0.077	-0.070
YMR244W	-0.035	-0.115	-0.014	-0.016
YEL007W	-0.102	-0.114	0.008	-0.329
YER011W	-0.018	-0.114	0.027	-0.038
YML079W	-0.111	-0.114	NaN	-0.278
YMR119W	-0.049	-0.114	-0.091	-0.044
YPL127C	-0.045	-0.114	-0.041	-0.086
YHL008C	0.066	-0.113	-0.026	-0.025
YJL149W	-0.073	-0.113	-0.115	-0.012
YJL214W	-0.017	-0.113	0.116	0.033
YLR031W	-0.015	-0.113	-0.057	-0.122
YMR004W	-0.032	-0.113	-0.086	-0.267
YMR304C-A	-0.057	-0.113	-0.122	0.162
YNL250W	-0.779	-0.113	NaN	NaN
YOR355W	0.025	-0.113	-0.002	0.125
YAL004W	-0.022	-0.112	0.065	-0.032
YBR214W	-0.012	-0.112	0.040	0.004
YCL055W	-0.221	-0.112	-0.079	-0.143
YDL089W	-0.113	-0.112	0.020	-0.148
YDR485C	-0.152	-0.112	0.152	0.110
YER080W	-0.004	-0.112	0.015	0.026
YKL087C	-0.103	-0.112	0.116	-0.020
YLR201C	-0.096	-0.112	NaN	0.029
YMR106C	-0.188	-0.112	-0.096	-0.231
YNL125C	-0.005	-0.112	-0.022	-0.045
YOR041C	-0.042	-0.112	0.029	-0.087
YOR135C	-0.363	-0.112	0.063	-0.231
YBL088C	-0.059	-0.111	0.073	-0.124
YDR220C	-0.110	-0.111	0.006	-0.160
YER068C-A	-0.014	-0.111	-0.083	0.049
YGR052W	-0.253	-0.111	0.065	-0.087
YIL015C-A	-0.043	-0.111	-0.095	-0.068
YIL124W	0.098	-0.111	0.025	0.241
YLR237W	-0.050	-0.111	-0.153	-0.082
YMR234W	-0.014	-0.111	-0.073	0.011
YMR299C	-0.113	-0.111	-0.119	-0.132
YOR016C	-0.100	-0.111	0.095	-0.054
YOR058C	-0.099	-0.111	-0.025	-0.057
YPL038W	-0.050	-0.111	0.103	-0.165
YAL060W	-0.014	-0.110	0.200	-0.091
YBR064W	-0.090	-0.110	0.005	0.037
YBR275C	-0.166	-0.110	0.084	-0.158
YFL013C	0.070	-0.110	-0.030	0.010
YJL078C	0.035	-0.110	-0.080	0.019
YJL187C	-0.035	-0.110	0.026	-0.009
YML012W	-0.106	-0.110	-0.098	-0.205
YOL096C	-0.070	-0.110	NaN	NaN
YOR084W	-0.008	-0.110	0.072	-0.067
YBR175W	-0.021	-0.109	-0.176	-0.144
YDR458C	-0.114	-0.109	-0.078	0.250
YJL212C	-0.104	-0.109	-0.030	0.069
YKR073C	-0.353	-0.109	-0.022	-0.465
YNL111C	-0.133	-0.109	0.071	-0.285
YOL049W	-0.157	-0.109	-0.028	-0.102
YOR049C	-0.070	-0.109	0.048	-0.132
YPL030W	-0.073	-0.109	0.014	-0.173
YBL082C	-0.065	-0.108	0.023	-0.098
YBR003W	-0.204	-0.108	0.248	-0.002
YHR012W	0.001	-0.108	0.025	-0.104
YMR243C	-0.061	-0.108	-0.068	0.119
YNL130C	0.032	-0.108	0.078	0.106
YOL018C	0.024	-0.108	-0.102	-0.298
YPL057C	-0.247	-0.108	0.063	-0.058
YPL166W	-0.032	-0.108	0.034	0.012
YBR119W	-0.327	-0.107	0.003	-0.663
YDR153C	-0.023	-0.107	-0.054	-0.049
YER090W	-0.004	-0.107	-0.007	0.273
YHR189W	0.065	-0.107	0.217	0.093
YLL063C	-0.001	-0.107	-0.011	0.025
YMR074C	-0.236	-0.107	0.032	-0.184
YMR172W	-0.039	-0.107	-0.046	0.015
YNL022C	-0.276	-0.107	-0.025	-0.470
YNL335W	0.003	-0.107	0.033	0.027
YPL023C	-0.108	-0.107	-0.064	-0.334
YBR063C	-0.111	-0.106	0.041	-0.016
YDL161W	-0.045	-0.106	-0.056	0.093
YJL183W	-0.235	-0.106	-0.161	-0.206
YNL141W	-0.018	-0.106	0.129	-0.092
YOR093C	0.045	-0.106	-0.037	-0.132
YPL261C	-0.052	-0.106	-0.088	-0.112
YDL172C	-0.047	-0.105	-0.054	-0.060
YFL007W	0.075	-0.105	0.060	0.203
YKL135C	-0.157	-0.105	0.055	0.069
YOR037W	-0.005	-0.105	0.043	0.013
YPL273W	-0.045	-0.105	-0.033	-0.001
YDR505C	-0.412	-0.104	-0.001	-0.448
YJL182C	-0.098	-0.104	-0.070	-0.099
YML007W	-0.096	-0.104	-0.122	-1.218
YML061C	0.141	-0.104	NaN	0.254
YOR083W	-0.149	-0.104	0.086	0.246
YPL156C	-0.026	-0.104	0.056	-0.006
YDL167C	0.001	-0.103	-0.031	-0.112
YDL170W	-0.067	-0.103	0.052	-0.051
YEL039C	-0.017	-0.103	-0.021	-0.067
YHR105W	-0.065	-0.103	-0.085	-0.185
YJL080C	-0.303	-0.103	0.153	-0.686
YLR246W	0.087	-0.103	0.038	0.008
YPL139C	-0.081	-0.103	-0.056	0.128
YPL171C	-0.055	-0.103	0.036	-0.064
YPL197C	0.032	-0.103	-0.064	0.109
YBR001C	-0.092	-0.102	0.022	-0.107
YEL059W	-0.027	-0.102	-0.072	-0.311
YJR035W	-0.199	-0.102	-0.042	-0.179
YLR024C	-0.143	-0.102	0.065	0.150
YOR029W	-0.107	-0.102	-0.001	-0.343
YOR171C	-0.056	-0.102	-0.050	0.005
YBR076W	-0.105	-0.101	NaN	-0.266
YBR134W	-0.083	-0.101	0.038	-0.007
YEL008W	-0.008	-0.101	-0.021	0.042
YEL071W	0.005	-0.101	0.037	-0.002
YML062C	-0.030	-0.101	-0.053	-0.228
YMR124W	-0.052	-0.101	0.040	-0.029
YNL311C	0.009	-0.101	-0.035	0.092
YCL026C	-0.079	-0.100	0.001	-0.166
YDR151C	-0.144	-0.100	0.001	-0.081
YER161C	-0.054	-0.100	-0.002	0.138
YHR028C	0.022	-0.100	-0.020	0.000
YHR179W	-0.098	-0.100	-0.092	-0.073
YIL146C	-0.079	-0.100	-0.064	0.000
YJL024C	-0.048	-0.100	0.134	-0.590
YJR154W	-0.004	-0.100	0.000	-0.016
YLR361C	-0.004	-0.100	0.076	-0.205
YOR350C	-0.103	-0.100	-0.025	-0.013
YGL035C	-0.078	-0.099	-0.056	0.102
YGR155W	0.165	-0.099	0.065	0.055
YHR032W	-0.020	-0.099	-0.082	-0.047
YNL159C	0.017	-0.099	-0.029	0.017
YOR265W	-0.166	-0.099	0.031	-0.124
YBR270C	-0.040	-0.098	0.022	0.018
YDR225W	-0.071	-0.098	0.046	-0.131
YIL164C	-0.034	-0.098	-0.109	-0.035
YJR015W	-0.061	-0.098	-0.005	-0.147
YOL050C	0.226	-0.098	-0.034	0.365
YPL202C	0.038	-0.098	0.038	0.077
YPL207W	-0.010	-0.098	-0.019	0.050
YBL106C	-0.046	-0.097	0.015	0.082
YEL023C	-0.095	-0.097	-0.024	-0.154
YIL009C-A	-0.276	-0.097	NaN	NaN
YJL042W	-0.015	-0.097	-0.022	0.013
YJL208C	-0.015	-0.097	-0.077	-0.032
YMR166C	-0.228	-0.097	-0.023	-0.096
YNL170W	0.075	-0.097	0.115	0.301
YNL187W	-0.101	-0.097	0.066	-0.145
YOL071W	-0.096	-0.097	0.069	0.020
YOR120W	-0.048	-0.097	-0.017	-0.105
YOR292C	-0.109	-0.097	0.020	0.051
YOR356W	-0.020	-0.097	-0.019	-0.079
YAL045C	-0.056	-0.096	-0.023	-0.107
YJR049C	-0.014	-0.096	0.248	0.176
YJR106W	-0.023	-0.096	-0.046	-0.054
YMR312W	0.390	-0.096	0.192	0.664
YNL116W	-0.050	-0.096	0.047	-0.056
YNL230C	-0.236	-0.096	0.034	-0.333
YOL020W	0.064	-0.096	0.183	0.257
YOR161C	-0.142	-0.096	-0.107	-0.038
YPL035C	-0.103	-0.096	0.009	-0.078
YBL078C	0.012	-0.095	0.102	-0.011
YCR073W-A	-0.019	-0.095	-0.011	-0.039
YHL003C	0.024	-0.095	0.016	0.054
YIL028W	-0.180	-0.095	0.077	0.068
YMR170C	-0.018	-0.095	0.048	0.005
YNL203C	0.019	-0.095	0.050	-0.065
YBR206W	0.012	-0.094	0.122	-0.037
YDR348C	-0.312	-0.094	0.030	-0.784
YER097W	0.052	-0.094	-0.039	-0.015
YGR170W	-0.342	-0.094	0.015	-0.525
YNL217W	-0.081	-0.094	-0.005	0.006
YPL256C	-0.041	-0.094	-0.094	-0.194
YDR403W	-0.131	-0.093	0.146	-0.388
YIL027C	-0.113	-0.093	NaN	-0.211
YJL119C	-0.019	-0.093	-0.038	-0.041
YMR162C	-0.031	-0.093	0.007	-0.147
YOR027W	-0.175	-0.093	0.032	-0.194
YPL172C	-0.004	-0.093	0.043	0.109
YDL023C	-0.181	-0.092	-0.057	0.142
YFR055W	-0.023	-0.092	0.105	-0.026
YGL212W	-0.063	-0.092	0.054	-0.251
YHL017W	0.010	-0.092	-0.058	0.076
YIL108W	-0.020	-0.092	-0.063	-0.414
YJL213W	0.020	-0.092	0.101	0.019
YLL038C	-0.017	-0.092	0.024	0.069
YLL039C	-0.091	-0.092	0.042	-0.155
YLL049W	-0.053	-0.092	-0.043	0.010
YNL299W	-0.111	-0.092	-0.003	-0.121
YAL034C	-0.079	-0.091	NaN	-0.176
YBR201W	-0.028	-0.091	-0.008	0.072
YBR288C	0.005	-0.091	-0.025	-0.425
YER173W	-0.102	-0.091	-0.890	-0.309
YGR004W	-0.044	-0.091	0.053	-0.234
YGR237C	-0.193	-0.091	0.014	-0.257
YNL082W	-0.138	-0.091	-0.019	-0.276
YNL294C	0.132	-0.091	-0.047	0.379
YNL333W	0.005	-0.091	-0.039	0.032
YOR137C	-0.098	-0.091	0.008	-0.076
YPL168W	-0.041	-0.091	-0.015	-0.036
YPL206C	-0.008	-0.091	-0.026	0.034
YPR146C	-0.166	-0.091	-0.023	-0.328
YAL039C	0.026	-0.090	0.318	0.148
YCR098C	-0.318	-0.090	-0.208	-0.012
YEL072W	0.034	-0.090	0.015	0.035
YER049W	0.076	-0.090	-0.123	0.024
YHR016C	0.010	-0.090	-0.023	0.080
YJL089W	-0.047	-0.090	-0.009	0.033
YJL128C	0.023	-0.090	-0.182	-0.131
YKL033W-A	-0.457	-0.090	-0.025	-1.303
YOR186W	-0.001	-0.090	-0.047	-0.060
YPL039W	-0.043	-0.090	-0.021	-0.041
YPL072W	-0.022	-0.090	-0.030	-0.631
YPL212C	0.066	-0.090	0.036	0.191
YCR067C	-0.029	-0.089	-0.098	-0.117
YFL006W	0.065	-0.089	0.028	0.094
YHR108W	-0.036	-0.089	0.099	-0.151
YIL060W	-0.046	-0.089	-0.040	0.091
YMR026C	0.164	-0.089	-0.251	0.289
YNL289W	-0.001	-0.089	-0.025	0.071
YOR015W	-0.090	-0.089	-0.023	-0.154
YBL086C	-0.067	-0.088	-0.066	0.009
YDR383C	-0.014	-0.088	0.035	0.130
YFL013W-A	0.065	-0.088	-0.014	0.109
YIL095W	-0.168	-0.088	0.033	-0.070
YJL038C	-0.068	-0.088	-0.022	-0.067
YJL150W	-0.070	-0.088	0.015	-0.036
YJL210W	-0.125	-0.088	-0.025	0.065
YJR127C	-0.043	-0.088	0.071	0.004
YOL036W	-0.034	-0.088	0.044	-0.089
YOR047C	-0.055	-0.088	0.010	0.103
YOR090C	0.036	-0.088	-0.037	-0.032
YBL060W	-0.128	-0.087	0.063	-0.293
YGR184C	-0.055	-0.087	-0.002	0.149
YJL098W	0.057	-0.087	-0.060	0.008
YLL046C	0.006	-0.087	0.054	0.002
YLR054C	0.002	-0.087	-0.083	0.005
YPL220W	-0.042	-0.087	-0.064	0.023
YBR294W	-0.018	-0.086	0.092	0.010
YCR082W	-0.127	-0.086	-0.059	-0.283
YHR152W	-0.142	-0.086	-0.007	-0.111
YIL039W	0.141	-0.086	-0.138	0.626
YIL103W	0.229	-0.086	0.141	0.588
YIL114C	0.001	-0.086	0.013	-0.012
YJL178C	0.040	-0.086	0.042	0.000
YJR001W	-0.063	-0.086	0.037	-0.092
YNL336W	-0.014	-0.086	-0.037	0.058
YOR178C	-0.012	-0.086	-0.053	-0.115
YPR083W	-0.245	-0.086	-0.005	-0.367
YGL115W	-0.003	-0.085	0.005	-0.346
YIL066C	0.020	-0.085	-0.157	0.082
YIR007W	-0.015	-0.085	-0.066	0.019
YKL218C	-0.128	-0.085	0.030	0.066
YLL019C	-0.119	-0.085	0.023	-0.031
YOL082W	-0.003	-0.085	-0.018	0.000
YOR279C	0.032	-0.085	0.039	-0.020
YPL134C	-0.043	-0.085	0.101	-0.035
YDR136C	-0.169	-0.084	0.064	-0.091
YJR047C	-0.110	-0.084	-0.039	-0.084
YKL213C	-0.271	-0.084	-0.023	-0.263
YLR204W	0.015	-0.084	-0.075	0.211
YPL155C	-0.125	-0.084	-0.071	-0.036
YDR318W	-0.152	-0.083	-0.020	-0.177
YGL227W	0.051	-0.083	-0.009	0.269
YJL132W	0.047	0.081	0.089	0.032
YJL145W	-0.082	-0.083	0.100	-0.054
YJR005W	-0.073	-0.083	0.042	0.017
YML005W	-0.030	-0.083	-0.201	-0.002
YMR274C	0.004	-0.083	0.055	-0.336
YPL138C	-0.158	-0.083	0.000	-0.058
YAL065C	0.004	-0.082	0.033	-0.095
YBR207W	0.031	-0.082	0.022	0.044
