orf	hom | growth (relative abundance in pooled culture) | cisplatin [1 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | oxaliplatin [10 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | mitomycin C [0.5 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [0.23 mM] | Wu HI~Brown JM, 2004
YAL002W	-0.7717678171583691	-2.3867521794095405	-0.3092117744375857	-1.9010836803796622
YAL004W	-0.09716368401754462	-0.08814686335431493	0.5298276914918143	-0.5687592890670741
YAL005C	-0.22720785426155898	-0.11806953610769655	-0.11891416360823723	-0.34079503960294305
YAL007C	-0.30035770002381706	-0.13439099397317747	-0.37841090564825786	-0.39145376170608326
YAL008W	-0.14999412817917546	-0.33024848835894816	-0.7417063445042866	-0.7156695831661808
YAL009W	0.29703270703462387	-0.199676825435101	-0.5168091680696021	-0.29013631749980284
YAL011W	-1.0318561576463978	-1.7638165375436865	1.1093704153811939	-1.8352273416455802
YAL012W	2.536230763423746	0.05058552850227266	0.01948409881310711	1.330942789800685
YAL014C	-0.19063293138042992	-0.3792128619553909	-0.27461220883224957	-0.8169870273724613
YAL015C	-0.6254681256338529	-1.2687323156240995	-0.015115466792228973	-1.2881131429316655
YAL017W	-0.1743774100999281	-0.5261059827447189	-0.15351372921357329	-0.8372505162137174
YAL018C	-0.3694436654659497	-0.48258209510343647	1.0228715013678535	-0.6042203945392723
YAL019W	-1.9381014690343727	-1.1925655122518553	-0.836855149918961	-2.438066134672949
YAL020C	2.125778851091076	1.905791239211934	2.2511560803572848	0.5609302138329532
YAL021C	-3.6693144854078135	-2.653335991212395	-0.845505041320295	-3.4968334266285797
YAL022C	-0.20688845266093173	-0.18879585352478045	-0.3092117744375857	-0.5940886501186442
YAL023C	-0.4385296309080823	-1.440107623211649		-0.9031068549477997
YAL024C	-2.742749772419211	-0.6838800754443675	-2.186238208527068	-1.4552869258720282
YAL026C	-0.7920872187589963	0.6354377686820046	-0.9839033037416393	-2.1493114186850493
YAL027W	-0.381635306426326	-0.42273674959667323	-1.4250477652096745	-1.2982448873522936
YAL028W	-0.019949957935161095	0.012502126816150578	-0.27461220883224957	-0.6852743499042967
YAL029C	-0.24346337554206074	-0.1643136667265591	0.789324433531835	-1.2171909319872691
YAL030W	-0.23533561490180985	-0.1316707509955973	-0.38706079704959184	-0.7511306886383791
YAL031C	-0.1784412904200536	-0.14799220886107822	0.44332877747847416	-0.7004719665352388
YAL034C	-0.3288048622646952	-0.4798618521258564		-0.4623759726504796
YAL036C	0.10196645166860237	-0.21327804032300177	0.5298276914918143	-0.8828433661065436
YAL037W	0.18324405807111133	-0.2486411990315437	-0.40436057985225987	-0.6599449888527266
YAL039C	0.09790257134847692	0.4014968726101119	2.718250216029322	-0.45731010044016557
YAL040C	0.02475272558621884	-1.3748217917497252	-0.8195553671162928	-1.622460708812391
YAL042C-A	-0.2231439739414335	-0.509784524879238	-0.8801046069256311	-1.2830472707213514
YAL042W	-0.1621857691395518	-0.54514768358778	-0.30056188303625164	-1.1361369766222447
YAL045C	-0.23533561490180985	-0.2921650866728261	-0.2313627518255795	-0.48770533370204977
YAL046C				
YAL048C				
YAL049C	-0.5685738011520967	-0.7627671217941919	-0.1967631862202434	-0.8575140050549734
YAL051W	0.07351928942772422	-0.15343269481623847	-0.36111112284558977	-0.32053155076168693
YAL053W	0.7237401406477959	0.43413978834107364	-0.42166036265492796	-0.2546752120276047
YAL054C	0.2767133054339967	0.2410025369328831	-0.015115466792228973	0.17592392584908736
YAL055W	0.3132882283151257	0.03154382765921162	0.08868323002377926	-0.04697445140472969
YAL056C-A	0.8172093880106813	1.1223612616688512	1.1958693293945337	1.2498888344356605
YAL056W				
YAL058W	0.6180792523245343	0.7932118613816532	2.7874493472399937	-0.18375300108320833
YAL059W	1.0854254891389608	1.0135515425656454	2.6317513020159815	0.3836246864719623
YAL060W	-0.06465264145654102	-0.2486411990315437	1.6975630306719072	-0.558627544646446
YAL061W	0.4189491166383873	0.08322844423323444	0.0021843160104390684	0.04927712059123677
YAL062W	0.012561084625842494	-0.11534929313011642	0.38277953766913597	0.0543429928015508
YAL064C-A	0.09790257134847692	0.09410941614355504	0.3222302978597978	-0.40158550612671134
YAL065C	0.008497204305717045	-0.2595221709418643	0.25303116664912567	-0.41678312275765333
YAL066W	-0.36537978514582425	-0.2894448436952459		-0.112830790138812
YAL067C	0.11009421230885325	-0.4064152917311923	-0.041065140996231035	-0.37625614507514127
YAL068C	-0.43040187026783144	-0.5723501133635813	-0.006465575390894952	-0.23441172318634856
