orf	hom | growth (relative abundance in pooled culture) | cisplatin [1 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | oxaliplatin [10 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | mitomycin C [0.5 mM] | Wu HI~Brown JM, 2004	hom | growth (relative abundance in pooled culture) | cisplatin [0.23 mM] | Wu HI~Brown JM, 2004
YBL052C	-0.1	-0.163	0.057	-0.017
YBL053W	-0.066	-0.012	-0.018000000000000002	0.034
YBL054W	-0.098	-0.2	0.034	-0.006
YBL055C	0.013999999999999999	-0.06	0.036000000000000004	-0.003
YBL056W	-0.011000000000000001	-0.08	-0.008	0.016
YBL057C	0.035	0.027000000000000003	0.025	0.025
YBL059W	0.025	-0.065	0.11699999999999999	0.02
YBL060W	-0.128	-0.293	0.063	-0.087
YBL061C	-0.071	-0.109	0.05	-0.002
YBL062W	-0.042	-0.319	0.038	-0.028999999999999998
YBL063W	-0.059000000000000004	-0.441	-0.036000000000000004	0.013000000000000001
YBL064C	0.02	-0.705	0.061	-0.019
YBL065W	-0.008	0.045	0.08	-0.002
YBL066C	0.001	-0.526	0.019	0.013999999999999999
YBL067C	0.033	-0.396	0.081	-0.032
YBL068W	0.002	-0.365	0.012	0.043
YBL069W	-0.021	-0.063	0.028999999999999998	0.003
YBL070C	-0.008	-0.11	0.055999999999999994	0.016
YBL071C	0.321	0.39899999999999997	0.165	0.111
YBL072C	0.574	0.525	0.111	0.272
YBL075C	-0.006	-0.073	0.006	-0.027000000000000003
YBL078C	0.012	-0.011000000000000001	0.102	-0.095
YBL079W	0.654	0.521		0.182
YBL080C	-0.015	0.15	0.19699999999999998	-0.078
YBL081W	-0.131	-0.314	0.013000000000000001	-0.048
YBL082C	-0.065	-0.098	0.023	-0.10800000000000001
YBL083C	-0.478	-1.3459999999999999	-0.051	-0.40299999999999997
YBL085W	-0.018000000000000002	0.022000000000000002	0.006	-0.062
YBL086C	-0.067	0.009000000000000001	-0.066	-0.08800000000000001
YBL087C	0.456	0.667	0.175	0.145
YBL088C	-0.059000000000000004	-0.124	0.073	-0.111
YBL089W	-0.38799999999999996	-0.376	-0.012	-0.276
YBL090W	0.168	0.841	0.28800000000000003	0.04
YBL091C	-0.036000000000000004	-0.036000000000000004	0.003	-0.043
YBL091C-A	-0.026000000000000002	0.033	-0.013999999999999999	-0.132
YBL094C	-0.032	-0.09699999999999999	0.0	0.0
YBL095W	-0.035	-0.113	0.10400000000000001	-0.001
YBL096C	0.022000000000000002	-0.068	0.038	-0.027999999999999997
YBL098W	-0.066	-0.111	-0.038	-0.049
YBL102W	0.019	-0.163	0.107	0.028999999999999998
YBL103C				
YBL104C	-0.079	-0.298	-0.12300000000000001	-0.052000000000000005
YBL106C	-0.046	0.08199999999999999	0.015	-0.09699999999999999
YBL107C	-0.037000000000000005	-0.069	-0.048	-0.063
YBR001C	-0.092	-0.107	0.022000000000000002	-0.102
YBR003W	-0.204	-0.002	0.248	-0.10800000000000001
YBR005W	-0.009000000000000001	-0.016	-0.038	0.018000000000000002
YBR006W	0.098	-0.005	-0.028999999999999998	0.079
YBR007C	-0.081	0.061	-0.021	-0.033
YBR008C	0.009000000000000001	0.053	0.079	-0.066
YBR009C	-0.068	0.17300000000000001		-0.018000000000000002
YBR010W	0.085	0.07400000000000001	0.145	0.013000000000000001
YBR012C	0.102	0.10300000000000001	0.102	0.065
YBR013C	-0.03	0.035	0.043	-0.028999999999999998
YBR014C	-0.076	-0.10300000000000001	-0.035	0.026000000000000002
YBR015C	-0.23199999999999998	-0.7140000000000001	0.115	-0.053
YBR016W	-0.057999999999999996	-0.11	0.040999999999999995	0.044000000000000004
YBR018C	-0.04	-0.23	0.054000000000000006	-0.038
YBR019C	-0.033	-0.504	0.063	-0.049
YBR020W	-0.16749999999999998	-0.253	-0.10500000000000001	-0.0235
YBR021W				
YBR022W	-0.012	-0.27399999999999997	0.023	-0.039
YBR023C	-0.055	-0.09300000000000001	0.084	0.055
YBR024W	-0.076	-0.068	0.057999999999999996	-0.046
YBR025C	0.32899999999999996	0.455	0.145	0.213
YBR027C	-0.44799999999999995	-1.405	0.042	-0.25
YBR028C	-0.054000000000000006	-0.066	0.054000000000000006	0.027000000000000003
YBR030W	-0.068	-0.049	0.126	0.027999999999999997
YBR031W	0.457	0.779	0.14300000000000002	0.253
YBR032W	-0.07400000000000001	-0.027999999999999997	-0.023	-0.128
YBR033W	-0.105	-0.11	0.027000000000000003	-0.063
YBR034C	-0.067	-0.12	0.005	0.026000000000000002
YBR035C	0.08199999999999999	-0.222	0.20600000000000002	0.059000000000000004
YBR036C	-0.28300000000000003	0.005	0.221	-0.16399999999999998
YBR037C	-0.142	0.11800000000000001		-0.077
YBR040W	-0.057999999999999996	-0.015	0.084	-0.07400000000000001
YBR041W	-0.002	0.053		0.012
YBR042C	0.017	-0.09	0.092	0.02
YBR043C	-0.106	-0.078	0.027000000000000003	-0.076
YBR044C	-0.254	-0.217	-0.18100000000000002	-0.293
YBR045C	-0.085	-0.09	0.115	-0.063
YBR046C	-0.059000000000000004	0.022000000000000002	0.024	-0.01
YBR047W	-0.105	-0.1	-0.059000000000000004	-0.035
YBR048W	0.5720000000000001			0.198
YBR050C	-0.003	0.05	0.038	-0.073
YBR051W	0.071	0.016	0.135	-0.032
YBR052C	-0.023	-0.033	0.09699999999999999	0.042
YBR053C	-0.11	-0.048	0.11800000000000001	0.02
YBR054W	-0.03	0.109	-0.077	0.016
YBR056W	-0.18600000000000003	-0.23600000000000002	0.028999999999999998	-0.138
YBR057C	-0.185	-0.102	-0.04	-0.017
YBR058C	-0.327	-0.155	-0.055999999999999994	-0.20800000000000002
YBR059C	0.22399999999999998	0.098	0.071	0.092
YBR061C				
YBR062C	-0.068	0.203	0.098	-0.055999999999999994
YBR063C	-0.111	-0.016	0.040999999999999995	-0.106
YBR064W	-0.09	0.037000000000000005	0.005	-0.11
YBR065C	0.13	0.055999999999999994	0.028999999999999998	0.053
YBR066C	0.085	0.035	0.033	0.021
YBR067C	0.061	0.024	-0.031	0.027000000000000003
YBR068C	0.031	0.036000000000000004	0.003	-0.033
YBR069C	0.865			0.43700000000000006
YBR071W	0.084	0.078	0.034	0.019
YBR072W	0.17300000000000001	0.16399999999999998	0.098	0.086
YBR073W	-0.804	-1.101	-0.3	-0.6759999999999999
YBR074W	-0.03133333333333333	-0.05566666666666667	0.011000000000000001	-0.021333333333333333
YBR076W	-0.105	-0.266		-0.10099999999999999
YBR077C	-0.149	-0.456	0.115	-0.226
YBR078W	0.282	-0.049	-0.006999999999999999	0.152
YBR082C				
YBR083W	0.061	0.10099999999999999	0.06	0.08
YBR084C-A				
YBR084W	0.069	0.11599999999999999	0.015	0.032
YBR085W				
YBR086C				
YBR089C-A	0.006	0.054000000000000006	0.001	0.036000000000000004
YBR090C	0.003	-0.002	0.039	0.21
YBR092C	0.067	0.11599999999999999	0.004	0.08199999999999999
YBR093C	0.021	0.133	-0.131	0.048
YBR094W	-0.086	-0.05	-0.034	0.022000000000000002
YBR095C				
YBR098W	-0.862	-1.089	-0.47650000000000003	-0.678
YBR099C	-1.172	-0.847	-0.578	-0.972
YBR101C	0.08800000000000001	0.051	-0.051	0.19699999999999998
YBR103W	0.099	-0.258	0.05	0.177
YBR104W	0.09699999999999999	0.067	-0.059000000000000004	0.077
YBR105C	0.064	0.324	-0.03	0.036000000000000004
YBR106W	0.563	0.311		0.315
YBR107C	-0.10400000000000001	-0.14400000000000002	-0.06	0.006999999999999999
YBR108W	-0.081	-0.044000000000000004	0.073	0.07
YBR113W	-0.032	0.086	-0.028999999999999998	-0.003
YBR114W	-0.11900000000000001	-0.151	-0.027000000000000003	-0.11900000000000001
YBR115C				
YBR116C	-0.057	-0.019	0.005	-0.077
