orf	hom | growth (culture turbidity) | standard | SC | Tun NM~Wu MJ, 2014	hom | growth (culture turbidity) | aluminium sulfate (anhydrous) [1.6 mM] | SC | Tun NM~Wu MJ, 2014	hom | growth (culture turbidity) | aluminium sulfate (anhydrous) [3.2 mM] | SC | Tun NM~Wu MJ, 2014
YAL002W	0.8293112829001972	0.5738536810495541	1.1093849536267495
YAL004W	0.7749193326862281	1.6782854511563852	1.3696767084019286
YAL005C	0.8227040618362743	1.5090772591161892	1.2632160830223307
YAL007C	0.8320422520116966	1.0284087675834266	1.0582408735699478
YAL008W	0.7478780233362445	1.4968666671292374	1.2159796888399657
YAL009W	0.8312003962814262	0.7541202171834818	1.25757479824185
YAL010C	0.9432458953240284	0.8116522143509849	0.7211510720992059
YAL011W	0.9193318152287576	0.8762000072770126	1.0958291519808592
YAL012W	1.0215415030597121	0.3269352906131829	0.6037675209902212
YAL013W	0.756393473041169	0.7538096515945614	0.9451249600844551
YAL014C	0.779973431255769	1.2607267041777972	1.0498424155917474
YAL015C	0.7800135950647056	1.295567076516988	1.177415425886987
YAL016C-B	0.9656701229789164	0.9107552435438401	1.1295361533751058
YAL016W	0.09234015175100116	9.529441964152252	10.363998052499026
YAL017W	0.822787402758582	1.2110004086915054	1.0962258978483375
YAL018C	0.8296828121013868	1.2693685057136164	1.1130948940551832
YAL019W	0.8297448597819639	1.206634612075691	1.2605424352825396
YAL020C	0.8264122549484673	0.9516186429430079	1.042216429704809
YAL021C	0.816056117622865	0.5127163243499148	0.8729552853637698
YAL022C	0.8300167380384712	0.607565724951381	0.771146297772164
YAL023C	1.0172968707755345	0.2874411629840888	0.5379725871142921
YAL024C	0.9605086129785965	1.142003319851797	1.1701618185669542
YAL026C	0.8498510302051605	1.2104377255408414	1.1610372558419189
YAL027W	0.8293279650232055	1.4280172694338071	1.1910830910982653
YAL028W	0.8498697084550358	1.5175098621260639	1.2286531918032568
YAL029C	0.7572384682090353	1.3455369046211088	1.24921886060608
YAL030W	0.7553649189470301	1.7398975573919055	1.4006373247909751
YAL031C	0.7806550364913468	1.4568210546552722	1.335228067990075
YAL034C	0.7739766221359187	1.5815979035049188	1.2485274078894506
YAL035W	1.0131293009797486	0.3321791813750238	0.6320415723401116
YAL036C	0.7566834993672011	1.4989515980717911	1.3164838082580408
YAL037C-A	0.9160308580297247	0.8929897980161298	1.1708760613997962
YAL037W	0.7828516809459012	1.553924508847675	1.3165534861355983
YAL039C	0.9721891514094163	1.001919075147423	1.0571918951747772
YAL040C	0.82933231344935	1.4266052287145323	1.0852083698095276
YAL042W	0.7886340897043266	0.816301980941764	0.9687530336584135
YAL043C-A	0.7960807848982674	0.792055502615308	0.9454156705724572
YAL044C	0.8447216532795601	0.8432969592427123	1.0457339334579219
YAL044W-A	0.8263204885423958	1.1230400711832753	1.2980474303721368
YAL045C	0.778626359667391	1.703128698694838	1.3890150229025215
YAL046C	0.7733010228392895	1.5308097553263427	1.3225297474442537
YAL047C	0.8227224800835515	0.444913385721925	0.7100097339064726
YAL048C	0.8502521077599166	1.254638869270937	1.083038131268145
