orf	hom | growth (pooled culture, barseq) | standard | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | epoxiconazole [IC50] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | epoxiconazole [IC20] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | epoxiconazole [IC10] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | flusilazole [IC50] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | flusilazole [IC20] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | flusilazole [IC10] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | penconazole [IC50] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | penconazole [IC20] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | penconazole [IC10] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | propiconazole [IC50] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | propiconazole [IC20] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | propiconazole [IC10] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | tebuconazole [IC50] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | tebuconazole [IC20] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | tebuconazole [IC10] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | standard | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | epoxiconazole [IC50] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | epoxiconazole [IC20] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | epoxiconazole [IC10] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | flusilazole [IC50] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | flusilazole [IC20] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | flusilazole [IC10] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | penconazole [IC50] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | penconazole [IC20] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | penconazole [IC10] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | propiconazole [IC50] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | propiconazole [IC20] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | propiconazole [IC10] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | tebuconazole [IC50] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | tebuconazole [IC20] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | tebuconazole [IC10] | YPD + DMSO | Guan M~Zhang X, 2020
YAL001C																	1.0897256403786184	0.7191507068139296	0.37048506244574664	0.9669290545106289	0.6707446367090194	1.354247811035936	0.6219455038016156	0.37045562499975576	0.633847493591592	-0.1770450621599553	0.4827631681538345	1.0230885520933504	1.8374606053986273	1.2887419052552416	1.1977956640582812	1.2976623315453977
YAL003W																	1.6991152951173718	-0.13113676128477725	0.7318740298776316	1.023898633486782	0.544944909397809	0.015059634582998988	1.4901622352676822	0.2528235694486887	1.0336664768723611	0.03563366057287913	0.5629596772424525	1.7783674358688883	0.7873061629412837	0.5479898624210447	0.4501343166117276	0.76730149593442
YAL024C	-0.06685177064264347	-1.0901312520719806	-0.35663853261403317	-0.7372095077352877	-0.3563928581442261	-0.13510270969310828	-0.6759153433833394	-0.26085395749110246	0.3620210169370375	-0.5864077519286451	0.28009571366015845	-0.6580309522666891	-0.8284461762355191	-0.2790101531559974	-0.045093131945802487	-0.299913757487463																
YAL033W																	0.6681615641552345	0.49464452075896936	-1.640600826164274	0.3389223409049792	0.6685682538096429	0.5338562554041143	-1.3267135865560487	1.1321374097154562	0.391111213955194	-1.0428380924586802	-2.3357198237401136	0.8707802056099495	0.747424580015178	-0.9749858462383219	-1.092234429969625	-0.7536084222931205
YAL038W																	0.6452051045589117	-0.11761895805897005	0.19472527873747927	-0.5355232285725855	-0.5397504824657614	-1.5523785659938216	-0.23162493003563198	-0.389254164144668	-0.7290935152451912	-0.3188099294810365	-0.6718386004832766	-0.3496533329526906	-0.2921448519348495	-0.17724977594902058	-0.3439467328592531	0.23345647982520684
YAL043C																	0.3822492946373948	0.36318055441370384	-0.3104803517485832	0.48180142684305494	-0.8582820771089633	-0.457677553504385	-0.10507469439879422	-0.536934300126149	-1.0639965707285575	0.5846152350968471	-0.7907696794999718	0.8584747832596947	-0.5998106393440005	0.06442837575464902	0.05433042479619624	0.30378576002766894
YAL051W	-0.3391089816742019	1.160201646879868	0.502587677549074	0.8033522425706257	0.6961329423748429	1.331879722177999	0.308879376606759	0.7064706748358929	1.1615516478747332	0.7163111836303027	0.1529974031622782	0.35102724405986224	2.044090344498598	1.0495666321648058	1.966435868943859	0.4243264906894067																
YAR007C																	0.3968579507441458	0.5810159198688413	-0.26042618264879025	0.03624778091089263	1.9217514363445887	-0.14281135892292876	-0.04249368713125765	0.9653511712043408	0.2327300124434917	-0.8569688550112577	-0.9221988895812346	0.3985181942501177	0.20883694020584456	-0.06067569031061748	-0.30105816641131217	0.1925365037179386
YAR008W																	1.0772039351442606	0.06661344688919733	-0.0003197874520322085	0.061649944318223064	-0.11229505107341868	-0.6463701768716151	0.6649727856094065	-0.18984448746594207	0.0630563190362603	0.29982984810754937	-0.26632429212615133	0.07659724704896909	0.21318940404864806	0.44481646262221497	0.4498666424997394	0.5702983221375274
YAR019C																	1.3088554819798823	0.5754548347198958	0.4316159424912508	0.7549556558047014	0.32102389027717654	0.2142262207844187	0.22994978965244814	-0.11670237027909122	0.8231938967680185	-0.570478368184875	-0.4834925528012413	1.0298287892851246	0.5073735067027748	0.15780245255593342	0.138262614987129	0.2991381654114802
