index	hom | growth (pooled culture, barseq) | standard | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | epoxiconazole [IC50] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | epoxiconazole [IC20] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | epoxiconazole [IC10] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | flusilazole [IC50] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | flusilazole [IC20] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | flusilazole [IC10] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | penconazole [IC50] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | penconazole [IC20] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | penconazole [IC10] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | propiconazole [IC50] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | propiconazole [IC20] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | propiconazole [IC10] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | tebuconazole [IC50] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | tebuconazole [IC20] | YPD + DMSO | Guan M~Zhang X, 2020	hom | growth (pooled culture, barseq) | tebuconazole [IC10] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | standard | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | epoxiconazole [IC50] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | epoxiconazole [IC20] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | epoxiconazole [IC10] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | flusilazole [IC50] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | flusilazole [IC20] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | flusilazole [IC10] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | penconazole [IC50] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | penconazole [IC20] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | penconazole [IC10] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | propiconazole [IC50] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | propiconazole [IC20] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | propiconazole [IC10] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | tebuconazole [IC50] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | tebuconazole [IC20] | YPD + DMSO | Guan M~Zhang X, 2020	het | growth (pooled culture, barseq) | tebuconazole [IC10] | YPD + DMSO | Guan M~Zhang X, 2020
YAL001C																	234.33333333333334	1.1479374110953058	1.159317211948791	1.4125177809388336	1.061166429587482	1.1678520625889048	0.9587482219061165	1.2475106685633	1.2716927453769558	1.22475106685633	1.1422475106685632	1.375533428165007	1.166429587482219	1.1137980085348507	1.0711237553342816	1.159317211948791
YAL003W																	331.6666666666667	1.1688442211055277	1.335678391959799	1.1708542713567838	1.0311557788944723	1.2733668341708542	1.0040201005025124	1.0894472361809044	1.0904522613065326	1.0974874371859296	1.1115577889447237	1.0492462311557789	1.3979899497487438	0.8944723618090452	1.1628140703517589	1.17286432160804
YAL024C	137.66666666666666	1.0992736077481842	0.7893462469733658	0.7966101694915255	0.8256658595641647	1.0944309927360776	0.8765133171912833	0.9055690072639226	0.9782082324455206	0.8595641646489104	0.8789346246973366	0.9249394673123487	0.7360774818401937	0.6513317191283293	0.8716707021791769	0.7433414043583535																
YAL033W																	167.0	0.41317365269461076	1.12375249500998	1.1616766467065869	1.2554890219560877	1.1037924151696608	0.7744510978043913	0.7644710578842315	0.7165668662674651	0.7325349301397205	1.1417165668662674	1.1756487025948104	0.6467065868263473	1.0558882235528944	0.5608782435129741	1.0099800399201597
YAL034C	37.333333333333336	0.7053571428571428	0.5446428571428571	0.4107142857142857	0.26785714285714285	0.5625	0.5714285714285714	0.7321428571428571	0.6785714285714285	0.75	0.45535714285714285	0.6696428571428571	0.7589285714285714	0.3482142857142857	0.9464285714285714	0.22321428571428573																
YAL037C-A	365.6666666666667	0.8988149498632635	0.966271649954421	0.8833181403828623	0.7912488605287146	0.7019143117593437	0.9361896080218778	0.8805834092980857	0.8915223336371922	0.8596171376481312	0.9097538742023701	0.8523245214220602	0.8678213309024612	0.95077484047402	0.9626253418413856	0.9061075660893344																
YAL038W																	163.33333333333334	0.8469387755102041	0.8387755102040816	0.9224489795918366	0.8673469387755101	0.8081632653061224	0.9285714285714285	0.9346938775510203	0.8979591836734693	0.9693877551020408	0.8469387755102041	0.6673469387755102	0.9387755102040817	0.8979591836734693	1.0265306122448978	0.8020408163265306
YAL043C																	121.33333333333333	0.8159340659340659	1.120879120879121	0.8516483516483516	0.8296703296703297	0.7197802197802198	1.120879120879121	0.9862637362637363	0.9945054945054946	0.9862637362637363	0.7692307692307693	0.9340659340659341	0.9725274725274725	1.0219780219780221	0.8983516483516484	1.043956043956044
YAL051W	64.33333333333333	1.0569948186528497	1.1036269430051815	1.4818652849740932	1.2020725388601037	1.3471502590673576	1.145077720207254	1.3264248704663213	1.601036269430052	1.129533678756477	1.1968911917098446	1.3575129533678756	1.1036269430051815	1.367875647668394	1.145077720207254	1.2642487046632125																
YAL064C-A	257.3333333333333	0.8251295336787565	0.8484455958549224	0.8989637305699483	0.8847150259067358	0.7538860103626943	0.9611398963730571	0.783678756476684	0.7810880829015545	0.7875647668393783	0.7318652849740933	0.9274611398963731	0.9585492227979275	0.8199481865284974	0.9183937823834198	0.7616580310880829																
YAL068C	27.666666666666668	1.0481927710843373	1.4939759036144578	1.3012048192771084	1.1807228915662649	1.2409638554216869	0.8795180722891566	1.433734939759036	1.1807228915662649	1.650602409638554	0.7831325301204819	1.0120481927710843	0.674698795180723	0.8433734939759036	0.5421686746987951	1.783132530120482																
YAR007C																	123.66666666666667	0.7816711590296496	1.013477088948787	1.0377358490566038	1.2129380053908356	1.0619946091644206	0.8140161725067385	0.9595687331536388	0.9083557951482479	0.9595687331536388	1.4474393530997305	1.0107816711590296	0.9892183288409703	1.078167115902965	0.9110512129380054	0.9380053908355794
YAR008W																	232.33333333333334	0.9526542324246772	0.9383070301291248	1.0387374461979915	0.9182209469153515	1.017216642754663	1.06025824964132	1.067431850789096	1.0903873744619799	1.0502152080344331	0.9512195121951219	0.8880918220946915	1.1779053084648494	0.945480631276901	0.9770444763271162	0.9440459110473458
YAR019C																	269.3333333333333	0.8960396039603962	1.160891089108911	1.1064356435643565	0.9368811881188119	1.217821782178218	0.875	1.0061881188118813	1.0148514851485149	0.9851485148514851	1.056930693069307	1.097772277227723	1.061881188118812	1.0767326732673268	1.0866336633663367	1.108910891089109
YAR031W	30.666666666666668	0.6304347826086956	0.9565217391304347	0.22826086956521738	0.826086956521739	0.5760869565217391	0.7717391304347826	0.9021739130434783	0.9782608695652174	0.967391304347826	0.717391304347826	0.2717391304347826	0.6956521739130435	0.826086956521739	1.076086956521739	0.4891304347826087																
YAR035C-A	355.0	1.0375586854460093	1.2234741784037557	1.116431924882629	0.7981220657276995	1.0150234741784037	1.131455399061033	1.0516431924882628	0.987793427230047	1.1145539906103288	1.0	0.8845070422535212	1.136150234741784	1.2253521126760563	0.9924882629107981	1.196244131455399																
YBL001C	178.33333333333334	1.2897196261682242	0.8822429906542056	0.994392523364486	0.9457943925233644	0.9383177570093458	0.811214953271028	1.0	0.9345794392523363	1.0485981308411214	0.919626168224299	1.205607476635514	0.8785046728971961	0.9738317757009345	1.0186915887850467	0.8429906542056075																
YBL002W	289.6666666666667	1.1829689298043728	1.0195627157652474	1.0241657077100115	0.9021864211737628	1.0368239355581126	0.8906789413118527	1.001150747986191	1.0552359033371692	0.9746835443037973	0.9148446490218641	0.9459148446490218	0.9988492520138088	0.9838895281933256	1.002301495972382	0.9769850402761795																
YBL003C	268.0	0.9328358208955224	0.8781094527363185	0.7860696517412935	0.7524875621890547	0.7885572139303483	0.9465174129353233	0.7064676616915423	0.6082089552238806	0.8022388059701493	0.6169154228855722	0.8097014925373134	0.6554726368159204	0.6865671641791045	0.8917910447761194	0.9402985074626866																
YBL004W																	209.0	1.1004784688995215	0.5023923444976076	0.8803827751196173	0.6411483253588517	0.8070175438596491	0.8293460925039873	0.901116427432217	1.1881977671451356	0.6044657097288676	0.8963317384370016	1.2424242424242424	1.1291866028708133	0.937799043062201	0.94896331738437	0.5550239234449761
YBL005W	122.0	0.8825136612021859	1.0819672131147542	1.07103825136612	0.8934426229508197	0.9617486338797814	1.3579234972677594	1.174863387978142	1.0655737704918034	1.2814207650273224	1.4098360655737705	1.1038251366120218	1.4426229508196722	1.040983606557377	1.1967213114754098	1.0300546448087433																
YBL008W	40.333333333333336	1.975206611570248	1.537190082644628	1.7190082644628097	1.4710743801652892	1.2727272727272727	1.2148760330578512	1.3719008264462809	1.2479338842975207	1.5206611570247934	1.4380165289256197	1.7190082644628097	1.322314049586777	1.0082644628099173	1.3719008264462809	2.0578512396694215																
YBL008W-A	141.0	0.9692671394799054	1.2695035460992907	0.9952718676122932	1.1040189125295508	1.3924349881796692	0.7446808510638298	0.7210401891252955	0.7659574468085106	0.6713947990543736	1.189125295508274	0.6713947990543736	0.5815602836879432	0.7848699763593381	0.8368794326241135	1.7683215130023642																
YBL009W	259.0	0.8970398970398971	0.9755469755469756	0.8352638352638353	0.9588159588159588	0.9305019305019305	0.815958815958816	0.9021879021879021	0.8893178893178894	0.9111969111969112	0.9369369369369369	0.8442728442728442	0.9639639639639639	0.8108108108108109	0.9613899613899614	0.8648648648648649																
YBL010C	320.6666666666667	0.4012474012474012	0.5665280665280664	0.6507276507276507	0.4688149688149688	0.5706860706860707	1.0810810810810811	0.5550935550935551	0.527027027027027	0.577962577962578	0.4355509355509355	0.37629937629937626	0.527027027027027	0.5280665280665281	0.5914760914760914	0.5478170478170478																
