orf	hap a | growth (CFU) | temperature [30-62 C], time [20 min] | YPD | Stolp ZD~Hardwick JM, 2022
YBR041W	-0.323075311
YBR042C	-0.270227518
YBR043C	1.14678161
YBR044C	0.228414014
YBR045C	-0.357870996
YBR046C	1.346838599
YBR047W	1.244282195
YBR048W	4.978702873
YBR050C	1.154470268
YBR051W	1.481279822
YBR052C	0.398850874
YBR053C	1.303372086
YBR054W	0.856948468
YBR056W	0.110088734
YBR057C	0.213242682
YBR058C	-0.711201108
YBR059C	3.050066643
YBR061C	-0.509290455
YBR062C	1.570559252
YBR063C	0.348938217
YBR064W	-0.279889439
YBR065C	-0.481726744
YBR066C	0.042306656
YBR067C	-0.058955121
YBR068C	-0.577449861
YBR069C	-0.085121699
YBR071W	-0.478065863
YBR072W	-0.39901878
YBR073W	0.664470437
YBR074W	0.48819635366666664
YBR076W	0.659557824
YBR077C	-1.569197777
YBR078W	-0.563889051
YBR081C	-0.302627017
YBR082C	-1.826177379
YBR083W	-0.057540844
YBR084C-A	2.190984255
YBR084W	-1.091686163
YBR085W	-1.294134618
YBR089C-A	0.023537074
YBR090C	1.210737447
YBR092C	-0.280126141
YBR093C	0.470205679
YBR094W	0.52945955
YBR095C	-0.91285346
YBR097W	-0.682026013
YBR098W	-0.29248581166666665
YBR099C	0.389322913
YBR101C	-0.669486723
YBR103W	-0.478794753
YBR104W	-1.022631638
YBR105C	-1.253040974
YBR106W	-1.16975304
YBR107C	-0.176068745
YBR108W	0.839094914
YBR111C	-0.797466655
YBR112C	0.447717748
YBR113W	-0.999454133
YBR114W	-1.179244944
YBR115C	0.644227091
YBR116C	0.144467956
YBR119W	-0.659434502
YBR120C	-1.998188339
YBR121C	-0.437797412
YBR122C	-0.368332222
YBR125C	0.995579357
YBR126C	-1.664659904
YBR127C	-0.871455534
YBR128C	-0.651593652
YBR129C	0.787873355
YBR130C	-0.248570595
YBR131W	-0.930499721
YBR132C	-0.555667021
YBR133C	-1.133775592
YBR134W	-1.241309024
YBR137W	0.688232032
YBR138C	0.401538598
YBR139W	-0.144715107
YBR141C	-0.477607814
YBR144C	-0.056420278
YBR145W	-0.078559365
YBR146W	0.120328722
YBR147W	1.284044751
YBR148W	0.501936283
YBR149W	0.076849956
YBR150C	1.517746409
YBR151W	0.129120786
YBR156C	-1.44284645
YBR157C	0.263697248
YBR158W	0.46713542
YBR159W	-0.31737888
YBR161W	-0.289358331
YBR162C	1.178043788
YBR162W-A	0.755196883
YBR163W	-0.622180736
YBR164C	0.217663244
YBR165W	0.330738628
YBR166C	0.659520049
YBR168W	1.429778524
YBR169C	0.163043308
YBR170C	0.886640828
YBR171W	-1.415297232
YBR172C	-1.05869312
YBR173C	-1.945462379
YBR174C	-1.020411333
YBR175W	-1.178886203
YBR176W	-0.207514027
YBR177C	-0.56094574
YBR178W	-0.691332523
YBR179C	-0.010129547
YBR180W	-0.13900529
YBR181C	2.214658778
YBR182C	-0.014239049
YBR183W	1.181419963
YBR184W	-0.692494666
YBR185C	-0.005984404
YBR186W	-0.546398737
YBR187W	0.35797398
YBR188C	-0.604120343
YBR189W	0.172179749
YBR191W	-1.412841079
YBR194W	-1.036464071
YBR195C	-0.198261218
YBR197C	0.158322895
YBR199W	-0.825572652
YBR200W	1.949257342
YBR201W	-0.749658385
YBR203W	-0.12902106
YBR204C	0.895814819
YBR205W	0.979362664
YBR206W	0.756480317
YBR207W	0.302656307
YBR208C	-0.059404492
YBR222C	0.494139231
YBR223C	0.29060143
YBR224W	-1.33481426
YBR225W	0.223922838
YBR226C	0.557268953
YBR227C	-0.399829888
YBR228W	0.06036499
YBR229C	0.5192936
YBR230C	1.469834854
YBR231C	-0.114922633
YBR232C	1.45278892
YBR233W	-0.15368139
YBR235W	-0.79935404
YBR238C	1.763168592
YBR239C	0.335283656
YBR240C	-1.06622172
YBR241C	0.875572392
YBR242W	-1.003240778
YBR244W	-0.051465631
YBR245C	-0.35978182
YBR246W	-0.943064522
YBR248C	0.863689362
YBR249C	0.290474857
YBR250W	1.800593297
YBR251W	-0.454031482
YBR255W	-0.573122559
YBR258C	0.319146729
YBR259W	0.575005269
YBR260C	0.334055997
YBR261C	-0.331216116
YBR262C	0.054055176
YBR263W	0.01123392
YBR264C	0.579250115
YBR266C	-0.711145314
YBR267W	1.109146504
YBR268W	-0.356041463
YBR269C	-0.847502358
YBR270C	-0.423824647
YBR271W	-0.090066041
YBR272C	1.999056941
YBR273C	0.099713694
YBR274W	-0.610535314
YBR275C	1.615098338
YBR276C	-0.12228066
YBR277C	-0.925218878
YBR278W	-0.829019349
YBR279W	-0.498673073
YBR280C	1.370659198
YBR281C	-0.673860524
YBR282W	0.384092789
YBR283C	-0.682041877
YBR284W	-0.831377282
YBR285W	0.496130761
YBR286W	-0.693904743
YBR287W	0.437696845
YBR288C	3.479821504
YBR289W	-1.021257786
YBR290W	-0.760994879
YBR291C	-0.804529586
YBR292C	-0.67646384
YBR293W	0.105845506
YBR294W	0.457553324
YBR295W	-0.896793374
YBR296C	0.139706141
YBR297W	-0.891498312
YBR298C	-1.079119362
YBR299W	1.681572137
YBR300C	-0.431077309
YBR301W	1.212363415
YCL001W	-0.797252513
YCL001W-A	-0.979763406
YCL002C	0.025093389
YCL005W	-1.166210107
YCL007C	-0.372294802
YCL008C	-1.336444672
YCL009C	-0.396556041
YCL010C	-1.390961501
YCL011C	-0.292213429
YCL014W	0.34185025399999996
YCL016C	-0.698004844
YCL022C	1.299725845
YCL023C	0.2040621295
YCL024W	1.208871509
YCL025C	0.792758087
YCL026C-A	0.876627432
YCL027W	0.770725914
YCL028W	0.477215157
YCL029C	0.644912159
YCL030C	1.009860363
YCL032W	-1.522327382
YCL033C	-1.881244459
YCL034W	0.783766066
YCL035C	0.521694978
YCL036W	-1.723936918
YCL037C	-0.770794982
YCL038C	1.010056402
YCL039W	-0.814105793
YCL040W	0.47020602
YCL042W	0.895782148
YCL044C	0.690776331
YCL045C	-0.216829544
YCL046W	-0.292975843
YCL047C	0.381731382
YCL048W	0.222085799
YCL049C	0.103162243
YCL050C	-1.672502226
YCL051W	-0.93843334
