orf	hap a | growth (CFU) | temperature [30-62 C], time [20 min] | YPD | Stolp ZD~Hardwick JM, 2022
YAL012W	-0.4591655504693224
YAL016W	1.2940262961342033
YAL024C	0.79727835806239
YAL047C	-0.33121290244588963
YAL054C	0.40869851095866866
YAL056C-A	0.5269987208700369
YAL064C-A	0.1844007979632837
YAR002C-A	1.085043326311425
YAR050W	1.3647855359320027
YBL001C	1.1217520301564448
YBL002W	0.08270818346774245
YBL003C	0.14100949510565142
YBL005W	0.6135690044397487
YBL006C	-0.4265193500238083
YBL007C	-0.7967269955526117
YBL008W	0.2494028378870555
YBL009W	0.6684969317573947
YBL010C	0.49560043290071626
YBL011W	0.9530252560942838
YBL012C	-0.20267646426436312
YBL013W	-0.28519564133271774
YBL015W	0.780450298836862
YBL016W	2.4147732780035307
YBL017C	0.7113912817162198
YBL019W	-0.003946603757552432
YBL021C	-0.8016270452485156
YBL022C	-0.21771448838768265
YBL024W	-0.6585048707749656
YBL025W	-0.36402003206827727
YBL027W	2.299257916305695
YBL028C	0.6414497346876046
YBL029W	0.4184090609927137
YBL031W	0.8601076939315501
YBL032W	0.34220764350427546
YBL033C	-0.18650448411932316
YBL036C	0.18198603442205977
YBL037W	0.34624165957973635
YBL038W	-0.6337921560892352
YBL039C	0.5917317780702963
YBL042C	0.13680202283957102
YBL043W	0.3504332851734282
YBL044W	-0.351370792249246
YBL045C	-0.9292022704539444
YBL046W	0.014205312070216884
YBL047C	-0.49529610757594084
YBL048W	1.0161762713598517
YBL049W	0.12808027831897242
YBL051C	-0.7334353412932918
YBL052C	-0.020897923429619967
YBL053W	0.3827354293968374
YBL054W	0.21481215678685966
YBL055C	1.0678351599078049
YBL056W	0.20398536392853092
YBL057C	0.32305932810836957
YBL058W	-0.6106949080952306
YBL059W	0.11149066811573782
YBL060W	0.8929583271883172
YBL061C	1.253669749150828
YBL062W	0.708943928253949
YBL063W	0.7005434694236121
YBL064C	0.33929640577512676
YBL065W	0.6364638955276352
YBL066C	0.4411341493040612
YBL067C	1.2822387824324597
YBL068W	0.5994340581060921
YBL069W	0.2994600009825755
YBL070C	0.28143499275191924
YBL071C	-0.07860393884730951
YBL072C	2.5336280462864167
YBL075C	0.7630826456525225
YBL078C	0.9466003216482642
YBL079W	-0.2365867128745621
YBL080C	-0.4468143989954554
YBL081W	1.1513436265692085
YBL082C	-0.3187405395870172
YBL083C	-0.5819241084667003
YBL085W	1.6002283755746673
YBL086C	0.5290686184071959
YBL087C	3.522839606777286
YBL088C	1.1620106060496738
YBL089W	0.950363991345288
YBL090W	-1.011601736694583
YBL091C	0.37158605967104463
YBL091C-A	-0.31435697866785733
YBL093C	-0.057768621247681874
YBL094C	-0.6071050739783856
YBL095W	-0.05774118529800492
YBL096C	0.4612235673450691
YBL098W	-0.015105681024211655
YBL099W	0.018317231854590277
YBL100C	-0.5975170291909087
YBL101C	0.5174560838230287
YBL102W	0.6237739634940238
YBL103C	1.4205762487943847
YBL104C	1.9482823113639551
YBL106C	-0.47597901124990283
YBL107C	1.0482917872376876
YBR001C	0.16570587277588358
YBR003W	-0.7476266609783784
