orf	het | growth (relative abundance in pooled culture) | YPD [standard] | Deutschbauer AM~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | YPD [standard] | Deutschbauer AM~Giaever G, 2005	het | growth (relative abundance in pooled culture) | minimal complete [standard] | Deutschbauer AM~Giaever G, 2005	hom | growth (relative abundance in pooled culture) | minimal complete [standard] | Deutschbauer AM~Giaever G, 2005
YAL001C	0.1845709406578621		0.2053869061954864	
YAL002W	-2.8530607809108104	-0.43529037752537536	0.3264184759178281	-2.043128200662976
YAL003W	0.558433306389391		-0.19805165954565018	
YAL004W	0.3247693278071802	-0.09278226977600405	0.044011479899033125	-0.17079575781783635
YAL005C	-2.4324656194628402	-0.04607661871926965	-1.2873357870467228	-0.008989250411467435
YAL007C	1.3528908335688847	-0.09278226977600405	0.5684816153625114	0.10658682630736843
YAL008W	0.41823491924006245	-0.04607661871926965	-0.11736394639742241	-0.07833489644276895
YAL009W	0.7920972849715914	-1.0736009419673886	0.12469919304725866	-0.7024457107244814
YAL010C	0.558433306389391	-0.45085892787761955	0.16504304962137253	-1.707957578178352
YAL011W	-0.9837489522531657	-0.8400726866837253	-0.3190832292679918	-0.03210446575523461
YAL012W	-0.0023602422079023765	-1.3849719490122714	0.2860746193437142	-3.2220041831951005
YAL013W	0.2780365320907443	-0.5131331292865965	0.34659040420488724	
YAL014C	0.558433306389391	0.016197582689707262	0.2053869061954864	-0.11300771945841843
YAL015C	0.5117005106729446	-0.2951734243551773	0.2659026910566595	-0.18235336548971995
YAL016W	-0.0023602422079023765	-0.7622299349225041	-0.11736394639742241	-1.8235336548971879
YAL017W	0.41823491924006245	0.016197582689707262	0.18521497790843172	-0.36727508823985733
YAL018C	0.5117005106729446	0.06290323374643822	0.5684816153625114	0.10658682630736843
YAL019W	0.2780365320907443	-0.2484677732984446	0.4877939022142836	-0.4135055189273917
YAL020C	0.6051661021058269	-1.5717945532392021	0.30624654763077336	-0.3903903035836245
YAL021C	0.9322956721209199	-1.4161090497167599	0.36676233249194196	-1.4652478170687968
YAL022C	0.7920972849715914	0.03176613304194976	0.2053869061954864	0.17593247233866993
YAL023C	-0.9370161565367247	-1.4005404993645156	0.06418340818609007	-3.117985714148148
YAL024C	-0.0958258336407846	-0.31074197470742154	0.40710618906605583	-1.0260587255372204
YAL025C	-0.4229554036558724		0.40710618906605583	
YAL026C	0.09110534922497986	-1.0424638412629001	0.5281377587883975	-1.2803260943186594
YAL027W	0.2780365320907443	-0.23289922294620038	0.18521497790843172	-0.10145011178653612
YAL028W	1.3528908335688847	-0.27960487400293305	0.18521497790843172	-0.043662073427116914
YAL029C	0.6518988978222732	0.07847178409868417	0.5079658305013428	0.1874900800105548
YAL030W	0.6986316935387091	-0.014939518014781194	-0.0165043049621377	-0.03210446575523461
YAL031C	0.2780365320907443	0.0006290323374613055	-0.09719201811036547	-0.07833489644276895
YAL032C	0.23130373637429802		0.2053869061954864	
YAL033W	0.5117005106729446		0.6491693285107392	
YAL034C	0.41823491924006245	0.10960888480317263	0.5281377587883975	0.25683572604185634
YAL034C-B	0.04437255350853355		0.18521497790843172	
YAL034W-A	0.46496771495650874		0.3264184759178281	
YAL035W	-0.0023602422079023765	-1.4316776000690041	-0.19805165954565018	-2.782815091663524
