ORF	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC10 (110 J/m2)] | Hanway D~Romesberg FE, 2002	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC20] | Hanway D~Romesberg FE, 2002	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC30] | Hanway D~Romesberg FE, 2002	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC40] | Hanway D~Romesberg FE, 2002	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC50] | Hanway D~Romesberg FE, 2002	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC60] | Hanway D~Romesberg FE, 2002	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC70] | Hanway D~Romesberg FE, 2002	hom | growth (exponential growth rate) | ultraviolet light [IC50] | Hanway D~Romesberg FE, 2002	hom | growth (undefined) | methyl methanesulfonate [0.01%] | Hanway D~Romesberg FE, 2002	hom | growth (undefined) | methyl methanesulfonate [0.001%] | Hanway D~Romesberg FE, 2002
YAL002W	-0.030	-0.030	-0.060	-0.040	-0.070	-0.130	-0.080	-0.030	NaN	NaN
YAL005C	-0.010	0.000	0.010	0.000	0.000	-0.100	-0.060	0.060	NaN	NaN
YAL007C	-0.010	-0.010	0.010	0.000	0.000	-0.110	-0.060	0.070	NaN	NaN
YAL008W	-0.010	0.010	0.000	0.000	-0.010	-0.110	-0.040	0.060	NaN	NaN
YAL009W	0.030	0.020	0.040	0.020	0.000	-0.090	-0.060	0.140	-0.030	-0.090
YAL011W	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.010	-0.160
YAL015C	-0.020	0.000	-0.010	-0.010	-0.030	-0.110	-0.040	0.030	NaN	NaN
YAL017W	0.000	0.000	0.000	0.010	0.000	-0.110	-0.030	0.050	NaN	NaN
YAL019W	-0.030	-0.030	-0.050	-0.040	-0.030	-0.110	-0.010	-0.020	NaN	NaN
YAL021C	-0.040	-0.040	-0.040	-0.100	-0.080	-0.110	-0.110	-0.070	NaN	NaN
YAL022C	-0.010	-0.010	0.010	-0.010	0.000	-0.100	-0.040	0.070	NaN	NaN
YAL026C	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.000	-0.160
YAL027W	-0.020	-0.020	-0.020	-0.030	-0.040	-0.130	-0.080	0.030	NaN	NaN
YAL028W	0.000	0.010	0.010	0.010	0.000	-0.090	-0.040	0.080	NaN	NaN
