orf	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC10 (110 J/m2)] | Hanway D~Romesberg FE, 2002	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC20] | Hanway D~Romesberg FE, 2002	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC30] | Hanway D~Romesberg FE, 2002	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC40] | Hanway D~Romesberg FE, 2002	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC50] | Hanway D~Romesberg FE, 2002	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC60] | Hanway D~Romesberg FE, 2002	hom | growth (relative abundance in pooled culture) | ultraviolet light [IC70] | Hanway D~Romesberg FE, 2002	hom | growth (exponential growth rate) | ultraviolet light [IC50] | Hanway D~Romesberg FE, 2002	hom | growth (undefined) | methyl methanesulfonate [0.01%] | Hanway D~Romesberg FE, 2002	hom | growth (undefined) | methyl methanesulfonate [0.001%] | Hanway D~Romesberg FE, 2002
YAL002W	-0.030000000000000027	-0.030000000000000027	-0.06000000000000005	-0.040000000000000036	-0.06999999999999995	-0.13	-0.07999999999999996	-0.030000000000000027	0.0	0.0
YAL005C	-0.010000000000000009	0.0	0.010000000000000009	0.0	0.0	-0.09999999999999998	-0.06000000000000005	0.06000000000000005	0.0	0.0
YAL007C	-0.010000000000000009	-0.010000000000000009	0.010000000000000009	0.0	0.0	-0.10999999999999999	-0.06000000000000005	0.07000000000000006	0.0	0.0
YAL008W	-0.010000000000000009	0.010000000000000009	0.0	0.0	-0.010000000000000009	-0.10999999999999999	-0.040000000000000036	0.06000000000000005	0.0	0.0
YAL009W	0.030000000000000027	0.020000000000000018	0.040000000000000036	0.020000000000000018	0.0	-0.08999999999999997	-0.06000000000000005	0.1399999999999999	-0.030000000000000027	-0.08999999999999997
YAL015C	-0.020000000000000018	0.0	-0.010000000000000009	-0.010000000000000009	-0.030000000000000027	-0.10999999999999999	-0.040000000000000036	0.030000000000000027	0.0	0.0
YAL017W	0.0	0.0	0.0	0.010000000000000009	0.0	-0.10999999999999999	-0.030000000000000027	0.050000000000000044	0.0	0.0
YAL019W	-0.030000000000000027	-0.030000000000000027	-0.050000000000000044	-0.040000000000000036	-0.030000000000000027	-0.10999999999999999	-0.010000000000000009	-0.020000000000000018	0.0	0.0
YAL021C	-0.040000000000000036	-0.040000000000000036	-0.040000000000000036	-0.09999999999999998	-0.07999999999999996	-0.10999999999999999	-0.10999999999999999	-0.06999999999999995	0.0	0.0
YAL022C	-0.010000000000000009	-0.010000000000000009	0.010000000000000009	-0.010000000000000009	0.0	-0.09999999999999998	-0.040000000000000036	0.07000000000000006	0.0	0.0
YAL027W	-0.020000000000000018	-0.020000000000000018	-0.020000000000000018	-0.030000000000000027	-0.040000000000000036	-0.13	-0.07999999999999996	0.030000000000000027	0.0	0.0
YAL028W	0.0	0.010000000000000009	0.010000000000000009	0.010000000000000009	0.0	-0.08999999999999997	-0.040000000000000036	0.08000000000000007	0.0	0.0
YAR002W	-0.020000000000000018	-0.06999999999999995	-0.030000000000000027	-0.07999999999999996	-0.06000000000000005	-0.09999999999999998	-0.08999999999999997	-0.10999999999999999	0.0	0.0
YAR003W	-0.030000000000000027	-0.040000000000000036	-0.030000000000000027	-0.06999999999999995	-0.06999999999999995	-0.14	-0.12	0.030000000000000027	0.0	0.0
YAR020C	0.0	0.0	0.020000000000000018	0.0	0.0	-0.10999999999999999	-0.06999999999999995	0.030000000000000027	0.0	0.0
YAR023C	0.0	0.0	0.020000000000000018	0.010000000000000009	0.0	-0.12	-0.06999999999999995	0.010000000000000009	0.0	0.0
YAR028W	0.0	0.0	0.0	0.0	0.0	-0.09999999999999998	-0.06000000000000005	0.040000000000000036	0.0	0.0
YAR029W	0.0	-0.010000000000000009	0.020000000000000018	0.0	0.010000000000000009	-0.08999999999999997	-0.06999999999999995	0.07000000000000006	0.0	0.0
YAR030C	-0.010000000000000009	-0.010000000000000009	0.0	-0.020000000000000018	-0.010000000000000009	-0.10999999999999999	-0.09999999999999998	0.020000000000000018	0.0	0.0
YAR031W	-0.010000000000000009	-0.010000000000000009	0.0	-0.020000000000000018	-0.010000000000000009	-0.13	-0.09999999999999998	0.0	0.0	0.0
