orf	hom | sporulation efficiency | sporulation medium [unknown] | Marston AL~Amon A, 2004	hom | dyad formation (percentage of cells forming dyads) | sporulation medium [unknown] | Marston AL~Amon A, 2004	hom | chromosome segregation (percentage of tetrads with 1 chromosome/cell) | sporulation medium [unknown] | Marston AL~Amon A, 2004
YDR073W	52.0	29.0	92.0
YDR074W	43.0	26.0	65.0
YDR075W	12.0	42.0	69.0
YDR076W	24.0	29.0	89.0
YDR077W	57.0	18.0	84.0
YDR078C	50.0	22.0	68.0
YDR079W	23.0	9.0	67.0
YDR080W	27.0	11.0	86.0
YDR083W	65.0	29.0	82.0
YDR084C	69.0	35.0	96.0
YDR085C	66.0	18.0	89.0
YDR089W	56.0	49.0	80.0
YDR090C	51.0	8.0	82.0
YDR092W	41.0	20.0	85.0
YDR093W	61.0	25.0	82.0
YDR094W	50.0	24.0	91.0
YDR095C	56.0	38.0	92.0
YDR096W	65.0	29.0	92.0
YDR097C	45.0	22.0	90.0
YDR098C	15.0	83.0	79.0
YDR099W	44.0	16.0	88.0
YDR100W	45.0	22.0	81.0
YDR101C	52.0	25.0	92.0
YDR102C	31.0	19.0	76.0
YDR103W			
YDR104C	7.0	29.0	80.0
YDR105C	48.0	25.0	95.0
YDR107C	59.0	25.0	92.0
YDR108W	35.0	37.0	77.0
YDR109C	69.0	30.0	89.0
YDR110W	68.0	28.0	73.0
YDR111C	40.0	10.0	83.0
YDR112W	34.0	15.0	87.0
YDR114C	23.0	22.0	80.0
YDR115W	40.0	35.0	71.0
YDR116C	27.0	11.0	81.0
YDR117C	45.0	49.0	95.0
YDR119W	48.0	29.0	92.0
YDR120C	67.0	40.0	80.0
YDR121W	69.0	20.0	91.0
YDR122W	47.0	45.0	83.0
YDR123C	40.0	18.0	6.0
YDR124W	47.0	13.0	79.0
YDR125C	39.0	23.0	77.0
YDR126W	46.0	24.0	77.0
YDR127W	58.0	31.0	71.0
YDR128W	50.0	20.0	92.0
YDR129C	20.0	35.0	88.0
YDR130C	56.0	34.0	90.0
YDR131C	43.0	28.0	91.0
YDR132C	53.0	17.0	71.0
YDR133C	65.0	45.0	72.0
YDR135C	36.0	44.0	85.0
YDR136C	49.0	27.0	80.0
YDR137W	36.0	28.0	77.0
YDR138W	34.0	15.0	0.0
YDR139C	33.0	9.0	84.0
YDR140W	46.0	13.0	92.0
YDR142C	35.0	14.0	84.0
YDR143C	59.0	15.0	80.0
YDR144C	28.0	29.0	82.0
YDR146C	61.0	34.0	80.0
YDR147W	58.0	41.0	92.0
YDR148C	40.0	28.0	76.0
YDR149C	33.0	15.0	91.0
YDR150W	44.0	2.0	81.0
YDR151C	41.0	7.0	78.0
YDR152W	45.0	7.0	94.0
YDR153C	60.0	22.0	84.0
YDR154C	35.0	26.0	88.0
YDR155C	53.0	21.0	86.0
YDR156W	55.0	35.0	77.0
YDR157W	65.0	26.0	81.0
YDR158W	55.0	15.0	78.0
YDR159W	30.0	3.0	80.0
YDR161W	40.0	10.0	87.0
YDR162C	50.0	20.0	88.0
YDR163W	43.0	2.0	90.0
YDR165W	50.0	20.0	86.0
YDR169C	32.0	9.0	74.0
YDR171W	26.0	0.0	92.0
YDR173C	38.0	11.0	92.0
YDR174W	68.0	44.0	89.0
YDR175C	39.0	3.0	96.0
YDR176W	50.0	2.0	88.0
YDR178W	46.0	11.0	92.0
YDR179C	63.0	27.0	77.0
YDR179W-A	60.0	18.0	72.0
YDR181C	40.0	18.0	88.0
YDR183W	46.0	7.0	89.0
YDR184C	37.0	5.0	92.0
YDR185C	37.0	3.0	96.0
YDR186C	34.0	15.0	84.0
YDR191W	59.0	29.0	68.0
YDR192C	60.0	25.0	94.0
YDR193W	48.0	25.0	88.0
YDR194C	27.0	7.0	84.0
YDR195W	38.0	11.0	96.0
YDR197W	32.0	9.0	84.0
YDR198C	56.0	21.0	77.0
YDR199W	60.0	12.0	92.0
YDR200C	53.0	34.0	64.0
YDR202C	64.0	45.0	82.0
YDR203W	68.0	13.0	83.0
YDR204W	35.0	17.0	84.0
YDR205W	52.0	33.0	94.0
YDR206W	39.0	3.0	68.0
YDR207C	23.0	9.0	80.0
YDR209C	44.0	11.0	94.0
YDR210W	33.0	12.0	89.0
YDR213W			
YDR214W	49.0	2.0	84.0
YDR215C	55.0	27.0	80.0
YDR216W	55.0	15.0	84.0
YDR217C	41.0	39.0	88.0
YDR218C	27.0	11.0	94.0
YDR219C	43.0	5.0	80.0
YDR220C	36.0	8.0	78.0
YDR221W	38.0	3.0	
YDR222W	30.0	0.0	84.0
YDR223W	24.0	0.0	82.0
YDR225W	29.0	31.0	
YDR226W	52.0	27.0	72.0
YDR227W			
YDR229W	31.0	6.0	88.0
YDR230W	27.0	11.0	86.0
YDR231C	18.0	6.0	60.0
YDR233C	20.0	0.0	74.0
YDR234W	38.0	13.0	73.0
YDR237W	48.0	15.0	84.0
YDR239C	28.0	4.0	94.0
YDR241W	27.0	22.0	71.0
YDR242W	70.5	25.5	87.0
YDR244W	67.0	36.0	93.0
YDR245W	72.0	22.0	93.0
YDR247W	70.0	20.0	89.0
YDR248C	59.0	25.0	88.0
YDR249C	51.0	26.0	87.0
YDR250C	52.0	26.0	89.0
YDR251W	71.0	30.0	83.0
YDR252W	47.0	23.0	86.0
YDR253C	57.0	40.0	82.0
YDR254W	36.0	19.0	48.0
YDR255C	26.0	46.0	96.0
YDR256C	45.0	24.0	96.0
YDR257C	57.0	20.0	98.0
YDR258C	68.0	18.0	
YDR259C	50.0	28.0	
YDR260C	20.0	65.0	77.0
YDR261C	60.0	20.0	96.0
YDR262W	44.0	34.0	94.0
YDR263C	69.0	26.0	91.0
YDR264C	41.0	22.0	65.0
YDR265W	50.0	40.0	98.0
YDR266C	46.0	15.0	88.0
YDR268W	47.0	19.0	91.0
YDR269C	50.0	54.0	88.0
YDR270W	76.0	53.0	91.0
YDR271C	61.0	38.0	82.0
YDR272W	73.0	23.0	73.0
YDR273W	81.0	26.0	98.0
YDR274C	73.0	21.0	98.0
YDR275W	58.0	29.0	92.0
YDR276C	51.0	29.0	77.0
YDR277C	38.0	29.0	91.0
YDR278C	62.0	16.0	84.0
YDR279W	47.0	30.0	92.0
YDR281C	55.0	27.0	90.0
YDR282C	55.0	24.0	77.0
YDR283C	48.0	31.0	76.0
YDR284C	83.0	35.0	90.0
YDR285W	10.0	60.0	79.0
YDR286C	64.0	27.0	94.0
YDR287W	52.0	27.0	96.0
YDR289C	61.0	48.0	87.0
YDR290W	58.0	33.0	80.0
YDR291W	67.0	30.0	77.0
YDR293C	73.0	7.0	88.0
YDR295C	72.0	4.0	88.0
YDR296W	51.0	25.0	
YDR297W	60.0	48.0	90.0
YDR298C	22.0	36.0	96.0
YDR300C	50.0	25.0	26.0
YDR304C	67.0	22.0	70.0
YDR305C	60.0	27.0	88.0
YDR306C	54.0	40.0	90.0
YDR307W	49.0	33.0	89.0
YDR309C	74.0	29.0	89.0
YDR310C	26.0	50.0	98.0
YDR312W	49.0	24.0	93.0
YDR313C	32.0	50.0	98.0
YDR314C	60.0	28.0	
YDR315C	57.0	18.0	93.0
YDR316W	60.0	34.0	89.0
YDR317W	62.0	16.0	95.0
YDR318W	31.0	45.0	75.0
YDR319C	59.0	39.0	93.0
YDR320C	61.0	35.0	98.0
YDR321W	67.0	29.0	94.0
YDR322W	30.0	37.0	86.0
YDR323C	67.0	40.0	90.0
YDR326C	75.0	35.0	90.0
YDR329C	59.0	25.0	86.0
YDR330W	75.0	20.0	95.0
YDR332W	37.0	39.0	74.0
YDR333C	68.0	35.0	89.0
YDR334W	42.0	10.0	89.0
YDR335W	50.0	12.0	79.0
YDR336W	45.0	13.0	89.0
YDR337W	63.0	19.0	96.0
YDR338C	52.0	34.0	95.0
YDR340W	64.0	21.0	86.0
YDR344C	71.0	20.0	95.0
YDR345C	66.0	27.0	91.0
YDR346C	45.0	35.0	82.0
YDR347W	54.0	16.0	82.0
YDR348C	69.0	27.0	93.0
YDR349C	67.0	36.0	98.0
YDR350C	60.0	58.0	75.0
YDR351W	69.0	19.0	90.0
YDR352W	62.0	40.0	
YDR354W	52.0	40.0	98.0
YDR357C	50.0	29.0	93.0
YDR358W	46.0	13.0	87.0
YDR359C	51.0	38.0	88.0
YDR360W	48.0	19.0	71.0
YDR363W	67.0	24.0	81.0
YDR363W-A	48.0	23.0	54.0
YDR364C	43.0	43.0	73.0
YDR368W	57.0	39.0	89.0
YDR369C	43.0	28.0	85.0
YDR370C	67.0	12.0	90.0
YDR371W	17.0	18.0	96.0
YDR372C	66.0	28.0	93.0
YDR374C	42.0	12.0	97.0
YDR375C	42.0	29.0	90.0
YDR377W	47.0	26.0	3.0
YDR378C	56.0	43.0	88.0
YDR379W	50.0	24.0	98.0
YDR380W	50.0	28.0	95.0
YDR382W	54.0	31.0	92.0
YDR383C	51.0	29.0	87.0
YDR384C	44.0	25.0	
YDR385W	54.0	42.0	
YDR386W	11.0	55.0	49.0
YDR387C	69.0	36.0	96.0
YDR388W	31.0	26.0	96.0
YDR389W	39.0	21.0	
YDR391C	44.0	27.0	88.0
YDR392W	53.0	31.0	83.0
YDR393W	41.0	46.0	93.0
YDR395W	45.0	51.0	
YDR399W	70.0	26.0	
YDR400W	53.0	43.0	
YDR401W	47.0	32.0	87.0
YDR402C	65.0	29.0	75.0
YDR403W	24.0	63.0	98.0
YDR405W	45.0	31.0	89.0
YDR406W	71.0	37.0	98.0
YDR408C	48.0	27.0	
YDR409W	53.0	32.0	
YDR410C	48.0	31.0	
YDR411C	41.0	32.0	
YDR414C	52.0	38.0	86.0
YDR415C	30.0	20.0	88.0
YDR417C	50.0	31.0	83.5
YDR418W	56.0	30.0	90.0
YDR419W	69.0	26.0	
YDR420W	45.0	31.0	
YDR421W	62.0	20.0	
YDR422C	35.0	23.0	
YDR423C	58.0	20.0	
YDR424C	64.0	50.0	69.0
YDR425W	50.0	20.0	94.0
YDR426C	36.0	22.0	98.0
YDR428C	30.0	27.0	94.0
YDR430C	25.0	32.0	96.0
YDR431W	54.0	31.0	
YDR432W	39.0	33.0	
YDR433W	50.0	20.0	
YDR435C	63.0	16.0	
YDR436W	65.0	18.0	
YDR438W	49.0	33.0	77.0
YDR439W	48.0	17.0	71.0
YDR440W	37.0	24.0	75.0
YDR441C	47.0	30.0	82.0
YDR442W	35.0	11.0	82.0
YDR443C	48.0	23.0	88.0
YDR444W	53.0	40.0	94.0
YDR445C	53.0	21.0	82.0
YDR446W	53.0	6.0	83.0
YDR447C			
YDR448W	50.0	16.0	51.0
YDR450W	56.0	21.0	90.0
YDR451C	51.0	12.0	91.0
YDR452W	50.0	24.0	66.0
YDR453C	55.0	20.0	80.0
YDR455C	29.0	62.0	52.0
YDR456W	54.0	26.0	80.0
YDR457W	45.0	13.0	86.0
YDR458C	55.0	22.0	65.0
YDR459C	46.0	15.0	92.0
YDR461W	63.0	44.0	88.0
YDR462W	13.0	15.0	91.0
YDR463W	58.0	21.0	96.0
YDR465C	61.0	28.0	83.0
YDR466W	58.0	34.0	75.0
YDR467C	45.0	29.0	81.0
YDR469W	62.0	19.0	90.0
YDR470C	59.0	15.0	68.0
YDR471W	50.0	30.0	98.0
YDR475C	48.5	37.0	69.0
YDR476C	57.0	23.0	89.0
YDR477W	57.0	47.0	86.0
YDR479C	54.0	28.0	65.0
YDR480W	31.0	19.0	76.0
YDR481C	51.0	4.0	
YDR482C	57.0	25.0	92.0
YDR483W	64.0	30.0	86.0
YDR484W	26.0	35.0	88.0
YDR485C	37.0	24.0	94.0
YDR486C	53.0	21.0	84.0
YDR488C	42.0	10.0	98.0
YDR490C	50.0	36.0	88.0
YDR491C	41.0	24.0	86.0
YDR492W	33.0	42.0	89.0
YDR493W	67.0	34.0	74.0
YDR494W	42.0	10.0	81.0
YDR495C	60.0	23.0	95.0
YDR496C	72.0	36.0	89.0
YDR497C	55.0	25.0	83.0
YDR500C	62.0	29.0	84.5
YDR501W	55.0	22.0	85.0
YDR502C	53.0	17.0	76.0
YDR503C	56.0	25.0	88.0
YDR504C	43.0	23.0	96.0
YDR505C	50.0	26.0	94.0
YDR506C	68.0	44.0	74.0
YDR507C	47.0	21.0	74.0
YDR508C	57.0	11.0	86.0
YDR509W	61.0	18.0	93.0
YDR511W	34.0	21.0	84.0
YDR512C	26.0	16.0	88.0
YDR513W	59.0	24.0	85.0
YDR514C	48.0	21.0	82.0
YDR515W	64.0	28.0	87.0
YDR516C	52.0	17.0	66.0
YDR517W	42.0	26.0	92.0
YDR518W	57.0	37.0	89.0
YDR519W	55.0	15.0	94.0
YDR520C	66.0	29.0	86.0
YDR521W	65.0	43.0	80.0
YDR522C	40.0	5.0	85.0
YDR524C	54.0	35.0	71.0
YDR525W	49.0	29.0	87.0
YDR525W-A	35.0	31.0	
YDR528W	30.0	13.0	72.0
YDR529C	17.0	18.0	82.0
YDR530C	46.0	11.0	
YDR532C			
YDR533C	47.0	21.0	89.0
YDR534C	41.0	17.0	96.0
YDR535C	71.0	39.0	85.0
YDR536W	54.0	33.0	83.0
YDR537C	81.0	48.0	70.0
YDR538W	60.0	45.0	90.0
YDR539W	71.0	38.0	90.0
YDR540C	66.0	26.0	86.0
YDR541C	58.0	29.0	94.0
YEL001C	26.0	27.0	98.0
YEL003W	55.0	14.0	43.0
YEL004W	75.0	24.0	92.0
YEL005C			86.0
YEL006W			50.0
YEL007W	68.0	22.0	74.0
YEL008W	39.0	18.0	84.0
YEL009C	24.0	29.0	87.0
YEL010W	52.0	27.0	92.0
YEL011W	80.0	46.0	87.0
YEL012W	56.0	13.0	51.0
YEL013W	45.0	24.0	59.0
YEL014C	34.0	38.0	78.0
YEL015W	38.0	29.0	80.0
YEL016C	53.0	28.0	74.0
YEL017C-A	61.0	31.0	88.0
YEL017W	49.0	22.0	75.0
YEL018W	57.0	23.0	55.0
YEL020C	15.0	13.0	56.0
YEL023C	57.0	18.0	40.0
YEL024W	53.0	55.0	41.0
YEL025C	43.0	28.0	72.0
YEL027W	56.0	23.0	49.0
YEL028W	47.0	23.0	84.0
YEL029C	73.0	12.0	92.0
YEL030W	50.0	18.0	98.0
YEL031W	36.0	31.0	86.0
YEL033W	46.0	24.0	60.0
YEL036C	53.0	21.0	83.0
YEL037C	63.0	22.0	94.0
YEL038W	53.0	23.0	85.0
YEL039C	71.0	21.0	85.0
YEL040W	40.0	28.0	84.0
YEL041W	53.0	21.0	87.0
YEL042W	66.0	24.0	95.0
YEL044W	38.0	34.0	2.0
YEL045C	54.0	24.0	96.0
YEL046C	26.0	35.0	68.0
YEL047C	66.0	26.0	84.0
YEL048C	30.0	27.0	95.0
YEL049W	64.0	17.0	87.0
YEL050C	65.0	22.0	84.0
YEL051W	60.0	22.0	81.0
YEL052W	66.0	14.0	91.0
YEL053C	46.0	35.0	82.0
YEL054C	48.0	33.0	86.0
YEL056W	44.0	34.0	94.0
YEL057C	42.0	26.0	
YEL059W	30.0	17.0	93.0
YEL060C	17.0	29.0	80.0
YEL061C	56.0	23.0	88.0
YEL062W	76.0	9.0	86.0
YEL063C	68.0	12.0	94.0
YEL064C	65.0	17.0	84.0
YEL065W	48.0	31.0	
YEL066W	66.0	42.0	95.0
YEL067C	49.0	22.0	93.0
YEL068C	32.0	28.0	88.0
YEL071W	74.0	7.0	96.0
YEL072W	47.0	19.0	98.0
YER001W	48.0	25.0	94.0
YER002W	41.0	37.0	91.0
YER004W	61.0	10.0	87.0
YER005W	37.0	8.0	92.0
YER007C-A	29.0	7.0	88.0
YER007W	69.0	26.0	84.0
YER010C	60.0	10.0	
YER011W	18.0	17.0	98.0
YER014W	55.0	42.0	66.0
YER016W	61.0	28.0	76.0
YER017C	34.0	12.0	81.0
YER019C-A	72.0	36.0	76.0
YER019W	61.0	21.0	96.0
YER020W	47.0	30.0	94.0
YER024W	29.0	21.0	80.0
YER027C	56.0	36.0	88.0
YER028C	48.0	31.0	82.0
YER030W	59.0	34.0	98.0
YER031C	48.0	27.0	88.0
YER032W	28.0	18.0	74.0
YER033C	26.0	23.0	
YER034W	48.0	23.0	91.0
YER035W	26.0	15.0	96.0
YER037W	52.0	38.0	94.0
YER038W-A	72.0	26.0	94.0
YER039C-A	39.0	28.0	92.0
YER040W	48.0	23.0	98.0
YER041W	60.0	37.0	80.0
YER042W	34.0	38.0	68.0
YER044C	49.0	22.0	90.0
YER044C-A	31.0	23.0	88.0
YER045C	51.0	18.0	83.0
YER046W	38.0	32.0	90.0
YER046W-A	37.0	12.0	85.0
YER047C	53.0	25.0	88.0
YER048C	70.0	27.0	69.0
YER049W	49.0	31.0	88.0
YER050C	54.0	30.0	61.0
YER051W	58.0	19.0	88.0
YER052C	24.0	29.0	64.0
YER053C	29.0	38.0	85.0
YER054C	70.0	10.0	92.0
YER055C	51.0	39.0	19.0
YER056C	64.0	25.0	94.0
YER056C-A	45.0	33.0	98.0
YER057C	50.0	36.0	76.0
YER058W	34.0	24.0	76.0
YER059W	58.0	29.0	93.0
YER060W	52.0	33.0	83.0
YER060W-A	48.0	40.0	
YER061C	53.0	26.0	90.0
YER062C	51.0	31.0	83.0
YER063W	43.0	26.0	72.0
YER064C	60.0	45.0	79.0
YER065C	19.0	47.0	58.0
YER066C-A	40.0	45.0	86.0
YER066W	30.0	17.0	86.0
YER067C-A	48.0	17.0	98.0
YER067W	56.0	30.0	80.0
YER068C-A	58.0	28.0	90.0
YER068W	26.0	42.0	53.0
YER069W	52.0	25.0	80.0
YER070W	34.0	24.0	91.0
YER071C	39.0	28.0	91.0
YER072W	48.0	35.0	76.0
YER073W	30.0	10.0	84.0
YER074W	45.0	9.0	98.0
YER075C	43.0	21.0	89.0
YER077C	61.0	31.0	74.0
YER078C	55.0	53.0	83.0
YER079W	37.0	16.0	90.0
YER080W	56.0	23.0	92.0
YER081W	34.0	18.0	67.0
YER083C	37.0	27.0	92.0
YER084W	42.0	29.0	84.0
YER085C	22.0	9.0	76.0
YER086W	28.0	39.0	85.0
YER087C-B	28.0	14.0	93.0
YER087W	31.0	19.0	89.0
YER088C	56.0	36.0	64.0
YER089C	65.0	31.0	88.0
YER090W	62.0	53.0	63.0
YER091C	83.0	37.0	64.0
YER091C-A	52.0	44.0	90.0
YER092W	53.0	40.0	83.0
YER093C-A	53.0	36.0	71.0
YER095W	51.0	51.0	88.0
YER096W	58.0	36.0	86.0
YER097W	48.0	40.0	80.0
YER098W	72.0	51.0	76.0
YER101C	64.0	28.0	96.0
YER103W	52.0	46.0	90.0
YER106W	32.0	78.0	38.0
YER110C	47.0	32.0	7.0
YER111C	60.0	28.0	
YER113C	67.0	32.0	92.0
YER114C	60.0	33.0	90.0
YER115C	72.0	26.0	98.0
YER116C			
YER117W	46.0	26.0	92.0
YER118C	62.0	34.0	75.0
YER119C	57.0	19.0	98.0
YER119C-A	60.0	22.0	71.0
YER120W	53.0	34.0	98.0
YER121W	53.0	21.0	91.0
YER122C	53.0	36.0	76.0
YER123W	67.0	21.0	
YER124C	69.0	26.0	80.0
YER128W	55.0	20.0	95.0
YER129W	71.0	28.0	95.0
YER130C	68.0	31.0	85.0
YER131W	65.0	31.0	86.0
YER132C	66.0	26.0	91.0
YER134C	68.0	29.0	81.0
YER135C	72.0	25.0	86.0
YER137C	64.0	33.0	90.0
YER139C	78.0	31.0	92.0
YER140W	77.0	34.0	92.0
YER141W	71.0	27.0	98.0
YER142C	69.0	32.0	91.0
YER143W	67.0	22.0	90.0
YER144C	68.0	47.0	81.0
YER145C	66.0	21.0	95.0
YER149C	61.0	25.0	89.0
YER150W	62.0	48.0	98.0
YER151C	67.0	33.0	86.0
YER152C	59.0	19.0	73.0
YER153C	19.0	47.0	95.0
YER154W	59.0	24.0	95.0
YER155C	41.0	32.0	27.0
YER156C	67.0	37.0	88.0
YER158C	70.0	29.0	91.0
YER161C	64.0	31.0	91.0
YER162C	55.0	33.0	94.0
YER163C	69.0	33.0	88.0
YER164W	61.0	28.0	68.0
YER166W	67.0	45.0	94.0
YER167W	78.0	8.0	65.0
YER169W	67.0	31.0	70.0
YER170W	61.0	38.0	85.0
YER173W	54.0	30.0	58.0
YER174C	64.0	18.0	78.0
YER175C	66.0	32.0	56.0
YER176W	55.0	25.0	90.0
YER177W	73.0	41.0	93.0
YER178W	59.0	49.0	93.0
YER179W	10.0	40.0	
YER180C	10.0	30.0	
YER181C	71.0	25.0	78.0
YER182W	66.0	24.0	92.0
YER183C	62.0	32.0	93.0
YER184C	65.0	11.0	88.0
YER185W	66.0	26.0	94.0
YER186C	43.0	19.0	85.0
YER187W	62.0	21.0	89.0
YER188W	59.0	32.0	84.0
YFL001W	66.0	20.0	90.0
YFL003C	64.0	36.0	82.0
YFL004W	74.0	20.0	68.0
YFL007W	54.0	24.5	87.0
YFL010C	72.0	38.0	86.0
YFL010W-A	70.0	26.0	84.0
YFL011W	49.0	29.0	96.0
YFL012W	67.0	24.0	80.0
YFL012W-A	29.0	28.0	66.0
YFL013C	55.0	22.0	90.0
YFL014W	34.0	15.0	80.0
YFL015C	51.0	10.0	69.0
YFL016C	46.0	30.0	71.0
YFL018C	56.0	21.0	46.0
YFL019C	37.0	21.0	50.0
YFL020C	45.0	27.0	94.0
YFL021W	48.0	30.0	96.0
YFL023W			
YFL025C			
YFL026W	40.0	8.0	92.0
YFL027C	33.0	9.0	85.0
YFL028C	46.0	30.0	86.0
YFL030W	56.0	25.0	90.0
YFL031W	57.0	32.0	78.0
YFL032W	39.0	28.0	88.0
YFL033C	46.5	12.0	77.0
YFL034C-A	48.0	27.0	88.0
YFL034W	35.0	17.0	83.0
YFL036W	39.0	13.0	86.0
YFL040W	54.0	37.0	89.0
YFL041W	61.0	43.0	82.0
YFL042C	55.5	38.0	93.0
YFL044C	57.0	12.0	80.0
YFL046W	39.0	18.0	68.0
YFL047W	50.0	10.0	92.0
YFL048C	55.0	13.0	79.0
YFL049W	47.0	4.0	92.0
YFL050C	53.0	11.0	90.0
YFL051C	60.0	27.0	81.0
YFL052W	57.0	23.0	86.0
YFL053W	68.0	35.0	84.0
YFL054C	46.0	15.0	64.0
YFL055W	48.0	25.0	94.0
YFL063W	74.0	35.0	73.0
YFR006W	51.0	43.0	83.0
YFR007W	54.0	22.0	96.0
YFR008W	69.0	25.0	82.0
YFR009W	49.0	33.0	88.0
YFR010W	45.0	4.0	90.0
YFR011C	36.0	67.0	84.0
YFR012W	38.0	16.0	84.0
YFR013W	40.0	55.0	94.0
YFR014C	53.0	30.0	80.0
YFR015C	52.0	29.0	61.0
YFR016C	26.0	15.0	94.0
YFR017C			
YFR018C	60.0	27.0	88.0
YFR019W	12.0	8.0	0.0
YFR020W	47.0	32.0	89.0
YFR021W	14.0	43.0	
YFR022W	48.0	15.0	88.0
YFR023W	36.0	17.0	92.0
YFR024C-A	53.5	20.0	68.0
YFR025C	46.0	35.0	60.0
YFR026C	29.0	10.0	92.0
YFR030W	49.0	14.0	68.0
YFR031C-A	9.0	33.0	
YFR032C	47.0	21.0	86.0
YFR032C-A	51.0	25.0	72.0
YFR033C	58.0	43.0	92.0
YFR034C	51.0	25.0	86.0
YFR035C	33.0	24.0	92.0
YFR036W	38.0	29.0	90.0
YFR038W	60.0	27.0	76.0
YFR039C	51.0	47.0	94.0
YFR040W	69.0	54.0	46.0
YFR041C	59.0	19.0	66.0
YFR043C	43.0	23.0	49.0
YFR044C	73.0	37.0	73.0
YFR045W	60.0	40.0	76.0
YFR046C	59.0	27.0	78.0
YFR047C	44.0	36.0	70.0
YFR048W	19.0	11.0	67.0
YFR049W	38.0	37.0	73.0
YFR053C	52.0	23.0	80.0
YFR054C	47.0	26.0	78.0
YFR055W	61.0	38.0	82.0
YFR056C	58.0	26.0	82.0
YFR057W	52.0	40.0	72.0
YGL002W	42.0	38.0	62.0
YGL003C	58.0	41.0	88.0
YGL004C	53.0	51.0	80.0
YGL005C	69.0	42.0	83.0
YGL006W	77.0	26.0	82.0
YGL007W	78.0	31.0	79.0
YGL009C	74.0	38.0	55.0
YGL010W	71.0	49.0	68.0
YGL012W	57.0	26.0	80.0
YGL013C	63.0	13.0	73.0
YGL014W	50.0	38.0	90.0
YGL015C	40.0	45.0	84.0
YGL016W	72.0	22.0	87.0
YGL017W	52.0	50.0	96.0
YGL019W	24.0	21.0	78.0
YGL020C	66.0	33.0	96.0
YGL021W	41.0	29.0	81.0
YGL023C	67.0	40.0	76.0
YGL024W	67.0	30.0	17.0
YGL025C	54.0	37.0	75.0
YGL026C	80.0	50.0	92.0
YGL027C	60.0	28.0	89.0
YGL028C	77.0	23.0	83.0
YGL029W	86.0	33.0	93.0
YGL031C	62.0	50.0	75.0
YGL032C	67.0	43.0	86.0
YGL033W	49.0	41.0	83.0
YGL034C	68.0	40.0	73.0
YGL035C	44.0	50.0	79.0
YGL036W	28.0	32.0	74.0
YGL037C	53.0	17.0	74.0
YGL038C			
YGL039W	42.0	43.0	90.0
YGL041C	56.0	39.0	77.0
YGL042C	43.0	33.0	90.0
YGL043W	62.0	32.0	74.0
YGL045W	66.0	36.5	84.0
YGL049C	48.0	46.0	87.0
YGL050W	63.0	60.0	72.0
YGL051W	60.0	35.0	69.0
YGL053W	65.0	38.0	76.0
YGL054C	56.0	38.0	77.0
YGL056C	42.0	40.0	69.0
YGL057C	75.0	25.0	73.0
YGL058W	64.0	22.0	84.0
YGL059W	54.0	33.0	86.0
YGL060W	53.0	32.0	62.0
YGL062W	60.0	43.0	86.0
YGL063W	61.0	46.0	89.0
YGL064C	50.0	26.0	70.0
YGL066W	66.0	41.0	82.0
YGL067W	55.0	53.0	84.0
YGL070C	76.0	32.0	83.0
YGL071W	62.0	32.0	72.0
YGL072C	45.0	31.0	88.0
YGL076C	55.0	13.0	94.0
YGL077C	60.0	37.0	90.0
YGL078C	49.0	45.0	89.0
YGL079W	43.0	51.0	87.0
YGL080W	65.0	22.0	74.0
YGL081W	57.0	35.0	76.0
YGL082W	49.0	33.0	96.0
YGL083W	63.0	22.0	84.0
YGL084C	65.0	28.0	68.0
YGL085W	69.0	25.0	80.0
YGL086W	57.0	32.0	92.0
YGL087C	60.0	38.0	84.0
YGL088W	67.0	22.0	88.0
YGL089C	62.0	32.0	83.0
YGL090W	47.0	40.0	78.0
YGL094C	79.0	47.0	84.0
YGL095C			
YGL096W	32.0	31.0	98.0
YGL101W	41.0	22.0	64.0
YGL104C	21.0	24.0	96.0
YGL105W	77.0	66.0	90.0
YGL107C	0.0	0.0	
YGL108C	48.0	17.0	72.0
YGL109W	48.0	44.0	84.0
YGL110C	50.0	38.0	86.0
YGL114W	58.0	41.0	84.0
YGL115W	83.0	36.0	66.0
YGL117W	47.0	43.0	89.0
YGL118C	58.0	31.0	96.0
YGL121C	52.0	27.0	86.0
YGL124C	6.0	17.0	
YGL125W	7.0	43.0	
YGL126W	34.0	32.0	83.0
YGL127C	44.0	25.0	89.0
YGL129C	45.0	29.0	85.0
YGL131C	32.0	47.0	74.0
YGL132W	61.0	28.0	98.0
YGL133W	74.0	49.0	83.0
YGL135W	19.0	42.0	30.0
YGL136C	49.0	29.0	84.0
YGL138C	43.0	35.0	88.0
YGL139W	32.0	38.0	90.0
YGL140C	70.0	20.0	86.0
YGL141W	60.0	32.0	86.0
YGL143C	57.0	18.0	82.0
YGL144C	36.0	33.0	88.0
YGL146C	54.0	22.0	80.0
YGL147C	59.0	24.0	82.0
YGL148W	62.0	40.0	86.0
YGL149W	68.0	31.0	76.0
YGL151W	56.0	50.0	49.0
YGL152C	33.0	21.0	88.0
YGL153W	55.0	16.0	79.0
YGL154C	27.0	33.0	84.0
YGL156W	50.0	38.0	83.0
YGL157W	46.0	15.0	96.0
YGL158W	49.0	20.0	89.0
YGL159W	27.0	15.0	96.0
YGL160W	50.0	22.0	85.0
YGL161C	54.0	30.0	92.0
YGL162W	32.0	47.0	80.0
