orf	hom | growth (relative abundance in pooled culture) | minimal complete [standard] | Salignon J~Yvert G, 2018	hom | growth (relative abundance in pooled culture) | sodium chloride [0.2 M], minimal complete [standard] | Salignon J~Yvert G, 2018	hom | growth (relative abundance in pooled culture) | salt stress oscillation (sodium chloride [0.2 M], minimal complete [standard], time [6 h]) | Salignon J~Yvert G, 2018	hom | growth (relative abundance in pooled culture) | salt stress oscillation (sodium chloride [0.2 M], minimal complete [standard], time [12 h]) | Salignon J~Yvert G, 2018	hom | growth (relative abundance in pooled culture) | salt stress oscillation (sodium chloride [0.2 M], minimal complete [standard], time [18 h]) | Salignon J~Yvert G, 2018	hom | growth (relative abundance in pooled culture) | salt stress oscillation (sodium chloride [0.2 M], minimal complete [standard], time [24 h]) | Salignon J~Yvert G, 2018	hom | growth (relative abundance in pooled culture) | salt stress oscillation (sodium chloride [0.2 M], minimal complete [standard], time [42 h]) | Salignon J~Yvert G, 2018	hom | growth (relative abundance in pooled culture) | minimal complete -Met [standard] | Salignon J~Yvert G, 2018	hom | growth (relative abundance in pooled culture) | methionine [1 mM], minimal complete -Met [standard] | Salignon J~Yvert G, 2018	hom | growth (relative abundance in pooled culture) | methionine oscillation (methionine [1 mM], minimal complete -Met [standard], time [6 h]) | Salignon J~Yvert G, 2018	hom | growth (relative abundance in pooled culture) | methionine oscillation (methionine [1 mM], minimal complete -Met [standard], time [12 h]) | Salignon J~Yvert G, 2018	hom | growth (relative abundance in pooled culture) | methionine oscillation (methionine [1 mM], minimal complete -Met [standard], time [18 h]) | Salignon J~Yvert G, 2018	hom | growth (relative abundance in pooled culture) | methionine oscillation (methionine [1 mM], minimal complete -Met [standard], time [24 h]) | Salignon J~Yvert G, 2018	hom | growth (relative abundance in pooled culture) | methionine oscillation (methionine [1 mM], minimal complete -Met [standard], time [42 h]) | Salignon J~Yvert G, 2018
YAL001C	-0.11722790696810395	-0.2763778832201992	-0.06892613080969182	0.04201340341732285	-0.23999645879278828	-0.04055891793835247	-0.26440304450373603	1.5825543899185437	-0.049325435220584135	0.300110906647009	0.6101086165334263	0.4061354971529613	0.40150766464233717	0.8075429521214432
YAL002W	-1.0980277153270037	-0.2290210126382244	-0.41218786725224926	-0.18319004776555392	-0.2691746035618228	-0.9331242253993359	-0.5975125243292945	-0.41359402943224444	-0.462921093734198	-0.7959462676552453	-0.04894177667100319	-1.1029373873722155	-0.8795787625441789	0.5925800461020807
YAL004W	-0.29814285867207047	-0.3717540707232018	-0.19658504214176542	-0.3864277125458139	-0.6758765772592059	-0.5387232338645082	-0.3440240530328917	-1.5282013937301167	-0.6795596319671502	-0.7416152857478201	-0.42369390928061523	-0.8653861533516305	0.07049288751007049	-0.26798725829871123
YAL005C	-0.4767009442805799	-0.22802750519749046	-0.14748235726301281	-0.3023080970825935	-0.04621495954863478	-0.55667595159568	-0.49617510263006337	-0.7896621679549558	0.0732911280616053	0.1020869698276078	-0.7412746367947277	0.006593210633666278	-0.2724116207790928	0.8955192654814021
YAL007C	0.18188372072957035	-0.2639213052940881	-0.29725083830171717	-0.30259760776542094	-0.2167668227449611	-0.22091358900206298	0.6864323176992673	-0.5449554275430877	-0.17793669321839606	0.070934918218239	0.3442556767484954	-0.13558949994756045	-0.5827433799316772	0.020811024613366882
YAL008W	0.16043757667647793	-0.3272244356717996	0.5356771441588833	0.27078755489212547	0.47823500230175603	0.24267690223168728	0.2041431826607118	-0.4488310633708429	-0.191612907964429	-0.19198212888549326	0.5089291451580511	0.5678279489393033	0.2631394419705063	-0.08020365445508625
YAL009W	-0.30208188588651413	0.6209278588657476	0.43561744804269215	0.463888282124454	0.32433240662203755	0.06177417174580672	-0.749592061967546	-0.5130090000963593	0.6494756636150176	-0.18800684815437724	-0.7327663345613978	-0.7135032203918065	-0.6852518730366636	0.9011554496318024
YAL013W	0.0433163984457026	1.9152845298639782	0.49163537413741365	0.5853983028099532	0.5807691960855045	0.66773285723904	0.23734402909847668	0.35353875554390446	0.5821620089689613	-0.4343524160151628	0.6060283585403258	0.1226315018410505	0.3192576446753803	1.1813002304615678
YAL014C	0.32360905075658697	1.2015707432399945	0.98450088672686	0.6050757193549907	1.3625707112226397	0.9748801784816836	1.467997790920686	0.9553854460058029	-0.1380503042609438	0.23349671277804973	0.3833715052090657	0.6194603186773305	1.365607337574118	-0.0764937994369535
YAL015C	-1.3885750089403448	-1.0653827946792092	-0.5040672411671893	-1.1500703964574843	-1.1083842429244781	-1.0943023072225437	-0.8850828492390214	-0.47329283105491204	-1.0868739707542943	-0.7595517398271785	-1.607058148276937	-0.8085053033919302	-1.985188649721188	-0.9736178836942528
