orf	hap ? | growth (colony size) | hydroxyurea [100 mM] | Woolstencroft RN~Tyers M, 2006
YAL021C	-9.743587634952538
YBL093C	-9.743587634952538
YBR094W	-9.743587634952538
YBR098W	-9.743587634952538
YCL016C	-9.743587634952538
YCR009C	-9.743587634952538
YCR077C	-9.743587634952538
YDL006W	-9.743587634952538
YDL059C	-9.743587634952538
YDL101C	-9.743587634952538
YDR004W	-9.743587634952538
YDR076W	-9.743587634952538
YDR140W	-9.743587634952538
YDR264C	-9.743587634952538
YDR364C	-9.743587634952538
YDR369C	-9.743587634952538
YDR386W	-9.743587634952538
YER070W	-9.743587634952538
YER095W	-9.743587634952538
YGL024W	-9.743587634952538
YGL163C	-9.743587634952538
YGR104C	-9.743587634952538
YGR180C	-9.743587634952538
YHR041C	-9.743587634952538
YHR154W	-9.743587634952538
YIL128W	-9.743587634952538
YJR043C	-9.743587634952538
YJR090C	-9.743587634952538
YJR104C	-9.743587634952538
YKL126W	-9.743587634952538
YLR032W	-9.743587634952538
YLR234W	-9.743587634952538
YLR235C	-9.743587634952538
YLR320W	-9.743587634952538
YML032C	-9.743587634952538
YMR190C	-9.743587634952538
YMR198W	-9.743587634952538
YMR224C	-9.743587634952538
YNL171C	-9.743587634952538
YNL250W	-9.743587634952538
YNR052C	-9.743587634952538
YOR080W	-9.743587634952538
YOR290C	-9.743587634952538
YPL031C	-9.743587634952538
YPL254W	-9.743587634952538
YPR099C	-9.743587634952538
YPR135W	-9.743587634952538
YPR141C	-9.743587634952538
