Type	CMB	Dose	Dataset HOP	Dataset HIP
Ad.	3	50	456	11874
Ad.	67	21.081	1052	11875
Ad.	72	200	1053	11876
Ad.	80	43.694	1054	11877
Ad.	87	200	1055	11878
Ad.	123	5	1056	11879
Ad.	192	200	1057	16666
Ad.	204	200	1058	11881
Ad.	211	8.12	1059	11882
Ad.	218	12.38	1060	11883
Ad.	219	0.28	1061	11884
Ad.	222	27	1062	11885
Ad.	225	71	1063	11886
Ad.	225	71	1063	11886
Ad.	231	100	1064	11887
Ad.	239	0.91	1065	11888
Ad.	244	0.11	1066	11889
Ad.	263	0.01	1067	11890
Ad.	263	0.01	1067	11890
Ad.	272	0.1	1068	11891
Ad.	272	0.1	1068	11891
Ad.	275	0.53	1069	11892
Ad.	284	10	1070	11893
Ad.	288	12.75	1071	11894
Ad.	396	90	1072	11895
Ad.	402	3	1073	11896
Ad.	405	0.02	1074	11897
Ad.	409	4	1075	11898
Ad.	503	0.01	1076	11899
Ad.	506	6	1077	11900
Ad.	507	14	1078	11901
Ad.	527	23.37	1079	11902
Ad.	553	57.19	1080	11903
Ad.	799	0.5	1081	11904
Ad.	828	88.72	1082	11905
Ad.	951	200	1083	11906
Ad.	955	200	1084	11907
Ad.	955	200	1084	11907
Ad.	956	25.28	1085	11908
Ad.	990	200	1086	11909
Ad.	990	200	1086	11909
Ad.	990	200	1086	11909
Ad.	990	200	1086	11909
Ad.	990	200	1086	11909
Ad.	990	200	1086	11909
Ad.	1031	58.55	1088	11911
Ad.	1031	58.55	1088	11911
Ad.	1031	58.546	1088	11911
Ad.	1031	58.55	1088	11911
Ad.	1034	92.63	1089	11912
Ad.	1080	500	1090	11913
Ad.	1084	0.001	1091	16667
Ad.	1085	1.09	1092	16668
Ad.	1088	13.62	1093	11916
Ad.	1089	16600	1094	11917
Ad.	1096	75.238	1095	11918
Ad.	1098	13.434	1096	11919
Ad.	1098	13.43	1096	11919
Ad.	1099	7.3	1097	11920
Ad.	1099	7.3	1097	11920
Ad.	1099	7.3	1097	11920
MADL	1101	0.471	1098	16669
Ad.	1109	200	1099	11922
Ad.	1112	0.273	1100	11923
Ad.	1118	8.723	1101	16670
Ad.	1119	6.898	1102	11925
Ad.	1129	30	1103	11926
Ad.	1130	30	1104	11927
Ad.	1134	47.799	1105	11928
Ad.	1138	29.173	1106	11929
Ad.	1153	122.147	1107	11930
Ad.	1170	4.857	1108	11931
Ad.	1171	200	1109	11932
Ad.	1192	3.086	1110	11933
Ad.	1237	200	1111	11934
Ad.	1237	200	1111	11934
Ad.	1244	70	1112	11935
Ad.	1250	200	1113	11936
Ad.	1443	12	1114	11937
Ad.	1477	0.474	1115	11938
Ad.	1482	200	1116	11939
Ad.	1483	2.5	1117	11940
Ad.	1506	0.02	1118	11941
Ad.	1531	0.007	1119	11942
Ad.	1539	0.15	1120	11943
Ad.	1698	0.03	1121	11944
Ad.	1818	0.084	1122	11945
Ad.	1917	32	1123	11946
Ad.	1966	200	1124	11947
Ad.	1968	10000	1125	11948
Ad.	1988	82.1	1126	11949
Ad.	2006	0.75	1127	11950
Ad.	2007	2.1	1128	11951
Ad.	2081	0.9	1129	11952
Ad.	2175	300	1130	11953
Ad.	2352	0.1	1131	11954
Ad.	2390	8	1132	11955
Ad.	2394	1.4	1133	11956
Ad.	2396	95	1134	11957
Ad.	2408	50	1135	11958
Ad.	2414	0.2	1136	11959
Ad.	2478	150	1137	11960
Ad.	2591	7.5	1138	11961
Ad.	2761	200	1139	11962
Ad.	2762	200	1140	11963
Ad.	2878	0.01	1141	11964
Ad.	2885	0.5	1142	11965
Ad.	3086	10	1143	11966
Ad.	3331	8	1144	11967
Ad.	3353	0.5	1145	11968
Ad.	3476	4.5	1146	11969
Ad.	3543	1.5	1147	11970
Ad.	3544	20	1148	11971
Ad.	3545	150	1149	11972
Ad.	3637	1	1150	11973
Ad.	3638	2	1151	11974
Ad.	3641	90	1152	11975
Ad.	3656	200	1153	11976
Ad.	3702	200	1154	11977
Ad.	3719	7.5	1155	11978
Ad.	4008	550000	1156	11979
Ad.	4009	320000	1157	11980
Ad.	4010	400000	1158	11981
Ad.	4011	45000	1159	11982
Ad.	4012	200	1160	11983
Ad.	4012	200	1160	11983
Ad.	4013	125000	1161	11984
Ad.	4015	25000	1163	11985
Ad.	4016	60000	1164	11986
Ad.	4017	8000	1165	11987
