orf	hap a/hap alpha | growth (colony size) | standard [standard] | Baryshnikova A~Myers CL, 2010
YAL002W	-1.7836892793956647
YAL004W	-0.18426052599473924
YAL005C	0.039703176771158234
YAL007C	0.10021302205789476
YAL008W	0.045577212279745205
YAL009W	-0.4666734019147135
YAL010C	-1.9084775361247885
YAL011W	-0.3345104027977837
YAL012W	-2.256596734883423
YAL013W	-0.7599216054887536
YAL014C	0.18332306497347287
YAL015C	0.16625532404861929
YAL016C-B	0.09874591309388181
YAL017W	0.03125330109674739
YAL018C	-0.2151314104168913
YAL019W	-0.4207394521750233
YAL020C	-0.31982251420005053
YAL021C	-3.3072539402605274
YAL022C	-0.037213650441372204
YAL023C	0.29642484686330167
YAL024C	-0.35396919535482685
YAL027W	-0.07810231324756704
YAL028W	-0.10189523686623674
YAL029C	0.1290568322625932
YAL030W	0.07791520566591081
YAL031C	0.14088889806778246
YAL034C	-0.07052598336852299
YAL035W	0.0062956497509230065
YAL036C	-0.10059611747825568
YAL037C-A	0.12907363122019752
YAL037W	-0.1708549578273835
YAL039C	-2.141540674259088
YAL040C	-0.27942662081688224
YAL042C-A	-0.1685311020256068
YAL042W	0.15864539625436788
YAL044C	-1.7446988987986316
YAL044W-A	0.24068590553587513
YAL045C	-0.17972480744187466
YAL046C	-0.19528064218244004
YAL048C	-0.6299760687754469
YAL049C	-0.10778607133242615
YAL051W	0.3507750743621966
YAL053W	-0.14493976589817636
YAL054C	0.19497034224502718
YAL055W	-0.7885582285496802
YAL056C-A	-0.28243923388039016
YAL056W	0.39751537406684145
YAL058W	-0.04594910839503762
YAL059W	0.06310412471242041
YAL060W	-0.06026741992550025
YAL061W	0.31089434901219437
YAL062W	0.026549592967850914
YAL063C	0.48100059370222337
YAL063C-A	0.8076563242964994
YAL064C-A	0.023716168785444653
YAL065C	0.20431056267240788
YAL066W	0.24782546251723703
YAL067C	0.020378775874941493
YAL067W-A	0.2128892303551093
YAL068C	0.10371840454442981
YAR002C-A	-0.0833211894096283
YAR002W	-0.06088338170428465
YAR003W	-0.8987201928589486
YAR014C	-0.3942026988144972
YAR015W	-0.19740851014551264
YAR018C	-0.3088751934952966
YAR020C	-0.05990904216329823
YAR023C	0.0535455178361974
YAR027W	0.4954029000207026
YAR028W	0.06667670302936772
YAR029W	-0.525721737889971
YAR030C	-0.06875649316765241
YAR031W	-0.0039797126497027975
YAR033W	0.042307015199655545
YAR035C-A	-0.305442606491709
YAR035W	0.053651911234350966
YAR042W	-0.26813772130752994
YAR047C	0.23796447440415636
YAR050W	0.24512642999565526
YAR064W	0.01686779373587251
YAR068W	0.07022688273617801
YAR071W	0.02287622090528399
YAR073W	-1.3177365923556328
YAR075W	-0.6364660660628171
YBL001C	0.02071475502700526
YBL002W	0.035173057870828826
YBL003C	-0.0416093776808771
YBL005W	-0.040758230495647314
YBL007C	-1.2913174316983294
YBL008W	-0.17934403106953503
YBL008W-A	0.0730435079609812
YBL009W	0.0038598008984588265
YBL010C	0.11677119460211874
YBL011W	-0.09804267592256881
YBL013W	-0.004287693539094377
YBL015W	0.09889710371231063
YBL017C	-0.40286536128521516
YBL019W	0.25841440545978833
YBL021C	-1.2438715757743504
YBL022C	-2.2983533438324506
YBL024W	0.06591515028468968
YBL025W	-3.6647021601414735
YBL027W	-1.5568137573118783
YBL028C	0.09656204860546484
YBL029C-A	0.19717100569104598
YBL029W	0.05935795716690605
YBL031W	-0.4851970524985115
YBL032W	0.029394216455326302
YBL036C	-0.10931477647431741
YBL037W	-0.17859927728246006
YBL038W	-3.600922117774647
YBL039C	-0.33262331989369043
YBL039W-B	0.33642876456906184
YBL042C	-0.32103203914748113
YBL043W	0.10472634200062235
YBL044W	0.16428424635650946
YBL045C	-1.8595925694994693
YBL046W	0.31924343094098556
YBL047C	-0.4158285569023536
YBL048W	0.01861488532660485
YBL049W	-0.13716744818042761
YBL051C	-0.6173544519629068
YBL052C	-0.035298569274606735
YBL053W	0.15111946324813302
YBL054W	0.15077228479100013
YBL055C	-0.059965038688642607
YBL056W	-0.05167755293772971
YBL057C	0.30320602608246155
YBL058W	-1.5945498157412061
YBL059C-A	-1.1721344271561405
YBL059W	-0.2190119696232314
YBL060W	0.07929272018937325
YBL061C	0.12316039814386924
YBL062W	-0.17600103850649793
