orf	hap a/hap alpha | growth (colony size) | standard [standard] | Baryshnikova A~Myers CL, 2010
YCL001W	0.992112
YCL001W-A	1.034396
YCL002C	1.020959
YCL008C	0.397921
YCL009C	1.066879
YCL010C	0.827899
YCL011C	1.050947
YCL014W	1.0202849999999999
YCL016C	0.948338
YCL022C	1.050981
YCL023C	0.991118
YCL024W	0.988362
YCL025C	0.949821
YCL026C-A	1.057976
YCL027W	1.01997
YCL028W	1.036777
YCL029C	0.975036
YCL032W	0.817353
YCL033C	1.043682
YCL034W	1.034354
YCL035C	1.057031
YCL036W	1.093127
YCL037C	0.634669
YCL038C	1.02724
YCL039W	0.97878
YCL040W	1.034771
YCL042W	1.005581
YCL044C	0.969021
YCL045C	1.041453
YCL046W	1.018844
YCL047C	1.029067
YCL048W	1.045721
YCL049C	1.005827
YCL050C	0.996887
YCL051W	1.025739
YCL055W	0.989775
YCL056C	1.033917
YCL057W	1.066446
YCL061C	0.9245300000000001
YCL063W	0.9002730000000001
YCL064C	1.088346
YCL069W	1.03898
YCL076W	0.97013
YCR001W	1.059308
YCR003W	0.586752
YCR005C	1.072238
YCR006C	1.04961
YCR007C	1.015698
YCR008W	0.917915
YCR009C	0.695524
YCR010C	1.022643
YCR011C	1.087751
YCR014C	1.119484
YCR015C	1.047544
YCR016W	1.005609
YCR017C	1.055983
YCR019W	1.046319
YCR020C	1.077002
YCR020C-A	1.031558
YCR021C	1.097409
YCR022C	1.075903
YCR023C	1.03973
YCR024C	0.307448
YCR024C-A	0.993841
YCR025C	1.083615
YCR026C	1.071229
YCR027C	1.041645
YCR028C	0.4175
YCR028C-A	0.615982
YCR030C	1.043051
YCR031C	0.948668
YCR032W	1.00297
YCR033W	1.033817
YCR034W	1.038836
YCR036W	1.063666
YCR037C	1.078649
YCR043C	1.092783
YCR044C	1.046447
YCR045C	1.038932
YCR046C	0.528659
YCR048W	1.013345
YCR049C	1.029588
YCR050C	1.008625
YCR051W	1.040512
YCR053W	0.694711
YCR059C	1.049165
YCR060W	1.051598
YCR061W	0.997465
YCR063W	0.51261
YCR065W	1.030603
YCR066W	0.951956
YCR067C	1.02807
YCR068W	0.967227
YCR069W	1.066148
YCR073C	1.033471
