ORF	hom | growth (culture turbidity) | sodium arsenite [0.2 mM] | Johnson AJ~Wu MJ, 2015	hom | growth (culture turbidity) | sodium arsenite [0.4 mM] | Johnson AJ~Wu MJ, 2015
YDR275W	0.902	1.368
YDR276C	0.818	1.304
YDR277C	0.944	1.470
YDR278C	0.823	1.974
YDR279W	0.678	1.650
YDR281C	0.580	1.430
YDR282C	0.788	1.410
YDR283C	0.958	1.940
YDR284C	0.951	1.473
YDR285W	1.003	1.418
YDR286C	1.106	1.630
YDR287W	0.735	1.138
YDR289C	1.310	5.910
YDR291W	0.773	1.654
YDR293C	0.186	0.111
YDR294C	0.740	1.310
YDR295C	1.018	1.392
YDR296W	1.361	3.318
YDR297W	1.031	1.890
YDR298C	1.154	3.378
YDR300C	0.819	1.369
YDR304C	0.805	1.675
YDR305C	0.692	1.745
YDR306C	0.779	1.584
YDR307W	0.687	1.092
YDR309C	0.741	1.554
YDR310C	0.537	0.572
YDR312W	0.762	0.927
YDR313C	0.929	1.138
YDR314C	1.120	1.576
YDR316W	1.034	1.562
YDR317W	0.907	0.656
YDR319C	1.045	1.513
YDR320C	0.833	1.626
YDR321W	1.148	1.792
YDR322C-A	4.699	5.092
YDR322W	0.852	1.516
YDR323C	0.689	1.380
YDR326C	1.001	0.479
YDR329C	1.099	1.890
YDR330W	0.936	1.585
YDR332W	1.360	2.281
YDR333C	1.152	2.126
YDR334W	0.498	0.749
YDR337W	1.186	2.479
YDR338C	1.240	1.626
YDR340W	1.273	1.999
YDR344C	1.326	1.896
YDR345C	1.186	1.834
YDR346C	1.215	1.812
YDR347W	1.102	0.923
YDR348C	1.405	1.686
YDR349C	1.240	2.001
YDR350C	1.114	1.195
YDR351W	1.200	1.018
YDR352W	1.282	1.372
YDR354W	1.281	1.360
YDR357C	1.287	1.767
YDR358W	1.273	1.476
YDR359C	0.960	0.936
YDR360W	1.259	1.683
YDR363W	1.241	0.786
YDR363W-A	1.152	2.166
YDR364C	1.168	1.652
YDR368W	1.222	1.284
YDR369C	0.624	0.582
YDR370C	1.226	1.386
YDR371W	1.294	1.547
YDR372C	1.351	1.463
YDR374C	1.275	1.013
YDR375C	1.061	0.527
YDR377W	1.267	0.956
YDR378C	1.229	1.357
YDR379C-A	0.605	1.017
YDR379W	1.238	0.814
YDR380W	1.241	1.004
YDR382W	1.242	1.320
YDR383C	1.246	0.848
YDR384C	1.396	1.424
YDR385W	1.366	0.991
YDR386W	1.377	0.611
YDR387C	1.323	0.616
YDR388W	1.229	0.900
YDR389W	1.303	1.859
YDR391C	1.188	1.022
YDR392W	1.252	1.920
YDR393W	1.041	0.718
YDR395W	1.205	1.148
YDR399W	1.227	0.555
YDR400W	1.245	0.993
YDR401W	1.232	1.247
YDR402C	1.191	1.072
YDR403W	1.220	1.100
YDR405W	0.908	0.522
YDR406W	1.330	1.238
YDR408C	1.323	0.719
YDR409W	1.379	1.186
YDR411C	1.331	0.811
YDR414C	1.220	1.651
YDR415C	1.198	1.258
YDR418W	1.347	2.132
YDR419W	1.262	1.675
YDR420W	1.139	1.323
YDR421W	1.280	0.689
YDR422C	1.270	0.867
YDR423C	1.198	0.660
YDR424C	0.669	1.711
YDR425W	1.170	0.792
YDR426C	1.231	0.853
YDR428C	1.232	0.952
YDR430C	1.318	1.376
YDR431W	1.070	1.635
YDR432W	0.827	1.539
YDR435C	1.051	0.754
YDR438W	1.144	1.808
YDR439W	0.812	1.013
YDR440W	1.134	1.946
YDR441C	1.176	1.885
YDR442W	0.367	0.447
YDR443C	1.185	2.390
YDR444W	1.043	1.406
YDR445C	0.505	0.885
YDR446W	1.130	1.972
YDR447C	1.143	2.517
YDR450W	1.420	2.785
YDR451C	1.139	1.675
YDR452W	1.062	1.754
YDR453C	1.060	1.484
YDR455C	1.033	1.762
YDR456W	1.161	1.562
YDR457W	1.128	2.058
YDR458C	1.023	1.517
YDR459C	1.162	1.349
YDR461W	1.040	1.288
YDR462W	0.894	1.616
YDR463W	0.173	0.190
YDR465C	0.938	1.240
YDR466W	0.924	1.208
YDR467C	0.872	1.098
YDR469W	0.767	0.849
YDR470C	0.832	0.900
YDR471W	0.940	2.704
YDR474C	1.124	1.291
YDR476C	1.016	1.348
YDR479C	1.009	1.527
YDR480W	1.078	1.224
YDR481C	0.892	1.364
YDR482C	1.013	1.759
YDR483W	1.038	1.005
YDR484W	1.093	0.620
YDR486C	0.994	1.569
YDR488C	0.812	0.717
YDR490C	0.717	1.404
YDR491C	0.995	1.686
YDR492W	1.132	1.464
YDR493W	1.220	1.838
YDR494W	0.989	1.548
YDR495C	0.683	1.131
YDR496C	0.808	2.045
YDR497C	0.764	0.625
YDR502C	1.008	0.952
YDR503C	1.024	1.425
YDR504C	1.087	1.694
YDR505C	1.170	1.950
YDR507C	1.037	2.458
YDR508C	1.198	2.230
YDR509W	1.308	2.100
YDR511W	1.037	1.801
YDR513W	1.011	1.499
YDR514C	0.911	1.371
YDR515W	0.829	0.604
YDR516C	1.052	1.916
YDR517W	0.934	1.447
YDR519W	0.848	0.857
YDR520C	0.715	0.915
YDR521W	0.870	0.774
YDR522C	1.135	1.015
YDR523C	0.960	1.709
YDR524C	0.831	0.905
YDR524C-B	11.057	8.386
YDR524W-A	1.284	1.885
YDR525W	0.474	0.223
YDR525W-A	1.139	1.776
YDR528W	0.816	0.841
YDR529C	0.544	0.524
YDR530C	0.979	1.322
YDR532C	1.720	4.792
YDR533C	1.248	1.642
YDR534C	1.028	0.855
YDR535C	1.177	2.053
YDR536W	1.152	1.937
YDR537C	0.852	0.334
YDR538W	1.175	1.846
YDR539W	1.190	1.812
YDR540C	1.151	2.273
YDR541C	1.168	1.638
YEL001C	1.239	2.416
YEL003W	0.888	1.097
YEL004W	1.227	2.235
YEL005C	1.231	2.260
YEL006W	1.231	2.261
YEL007W	2.155	5.876
YEL008W	1.191	2.300
YEL009C	1.185	2.267
YEL010W	1.189	2.123
YEL011W	0.762	1.570
YEL012W	1.096	0.775
YEL013W	1.178	2.362
YEL014C	1.207	1.819
YEL015W	1.185	1.521
YEL016C	1.261	1.915
YEL017C-A	1.333	2.193
YEL017W	1.207	2.068
YEL018W	1.226	2.072
YEL020C	1.085	1.940
YEL022W	1.252	1.175
YEL023C	1.140	2.341
YEL024W	1.058	0.590
YEL025C	1.216	1.997
YEL027W	0.753	0.700
YEL028W	1.186	2.167
YEL029C	1.178	2.312
YEL030W	1.235	2.272
YEL031W	0.964	1.983
YEL033W	0.646	2.033
YEL036C	0.754	0.796
YEL037C	1.214	1.707
YEL038W	1.191	1.822
YEL039C	1.160	1.914
YEL040W	1.240	2.178
YEL042W	1.185	2.205
YEL043W	1.272	2.399
YEL044W	0.428	0.711
YEL045C	0.473	2.580
YEL046C	0.230	1.198
YEL047C	1.136	2.190
YEL048C	1.202	2.078
YEL049W	1.181	1.813
YEL050C	1.096	1.368
YEL051W	0.885	0.799
YEL052W	1.199	1.884
YEL053C	1.152	1.844
YEL054C	1.206	2.616
YEL056W	1.089	2.080
YEL057C	1.018	1.814
YEL059C-A	0.872	0.853
YEL059W	1.195	1.792
YEL060C	1.226	1.830
YEL061C	1.178	1.265
YEL062W	0.886	1.080
YEL063C	1.202	1.943
YEL064C	1.219	2.194
YEL065W	1.232	2.195
YEL066W	1.200	2.160
YEL067C	1.213	1.958
YEL068C	1.100	1.961
YEL071W	1.192	2.460
YEL072W	1.201	2.313
YER001W	1.177	2.115
YER002W	0.772	2.028
YER004W	1.116	2.312
YER005W	1.145	2.357
YER007C-A	1.159	2.261
YER010C	1.185	2.237
YER011W	1.145	2.138
YER014C-A	3.686	-4.792
YER015W	1.016	0.511
YER016W	0.634	1.493
YER017C	0.490	1.658
YER019C-A	0.990	1.849
YER019W	0.906	1.985
YER020W	0.924	1.908
YER024W	1.028	1.363
YER026C	1.843	0.799
YER027C	1.029	0.936
YER030W	0.946	1.994
YER031C	1.132	1.417
YER032W	1.060	1.969
YER033C	0.886	1.561
YER034W	0.884	1.588
YER037W	1.060	0.605
YER038W-A	0.640	1.362
YER039C	0.828	1.524
YER039C-A	1.188	1.906
YER040W	0.389	1.244
YER041W	0.557	1.226
YER042W	0.981	1.814
YER044C	0.983	0.958
YER044C-A	0.705	1.256
YER045C	0.863	1.487
YER046W	1.206	1.514
YER046W-A	0.865	2.107
YER047C	0.970	1.700
YER048C	0.923	1.817
YER049W	0.838	1.707
YER050C	0.503	1.562
YER051W	1.083	2.157
YER052C	0.859	1.770
YER053C	0.864	1.748
YER053C-A	0.849	1.227
YER054C	0.990	2.019
YER055C	0.926	1.531
YER056C	0.761	1.325
YER056C-A	0.826	1.565
YER057C	0.740	2.094
YER058W	0.839	1.364
YER059W	0.794	1.672
YER060W	0.925	1.754
YER060W-A	1.115	2.177
YER061C	0.609	2.424
YER062C	1.048	1.910
YER063W	1.158	0.804
YER064C	0.813	1.252
YER065C	0.856	1.581
YER066C-A	0.991	1.839
YER066W	1.213	0.885
YER067C-A	0.949	1.684
YER067W	0.870	1.748
YER068C-A	0.976	2.015
YER068W	0.273	0.266
YER069W	1.091	2.260
YER070W	0.137	0.266
YER071C	1.099	2.009
YER072W	0.658	1.361
YER073W	0.892	1.535
YER074W	0.689	1.182
YER075C	0.850	1.634
YER076C	1.007	1.160
YER077C	0.784	1.073
YER078C	0.826	1.781
YER079W	0.838	1.435
YER080W	0.971	1.802
YER081W	0.777	1.692
YER083C	0.305	0.663
YER084W	0.824	1.245
YER085C	0.843	1.226
YER086W	0.892	1.218
YER087C-A	0.837	1.351
YER087C-B	0.976	1.044
YER088C	0.635	1.552
YER089C	0.921	0.172
YER090W	0.921	1.994
YER091C	1.014	1.720
YER091C-A	1.243	1.968
YER092W	0.958	1.468
YER093C-A	0.654	1.825
YER095W	0.171	0.404
YER096W	0.843	1.686
YER097W	0.822	1.673
YER098W	0.735	1.856
YER099C	1.182	1.582
YER101C	1.097	1.516
YER103W	1.020	1.460
YER105C	1.145	0.942
YER106W	1.117	1.481
YER108C	1.111	1.694
YER110C	1.308	0.917
YER111C	1.033	1.473
YER113C	1.009	0.981
YER114C	1.147	1.043
YER115C	0.737	0.953
YER116C	1.242	2.396
YER117W	0.834	1.711
YER118C	0.826	0.773
YER119C	0.566	1.351
YER119C-A	0.859	1.688
YER120W	0.713	1.557
YER121W	1.078	1.431
YER122C	0.916	1.072
YER123W	0.764	1.055
YER124C	1.015	0.944
YER128W	0.780	0.887
YER129W	0.780	0.749
YER130C	0.524	0.869
YER131W	1.168	1.704
YER132C	0.878	1.163
YER134C	1.069	1.599
YER135C	1.050	1.329
YER137C	1.079	0.942
YER139C	1.154	1.637
YER140W	1.202	1.321
YER141W	0.710	1.326
YER142C	0.845	1.121
YER143W	0.638	0.781
YER144C	1.189	1.733
YER145C	0.588	0.564
YER149C	0.995	0.636
YER150W	1.013	0.873
YER151C	0.744	0.311
YER152C	0.852	1.001
YER153C	0.640	0.554
YER154W	1.064	0.952
YER156C	0.552	0.671
YER158C	1.145	1.110
YER161C	1.147	2.018
YER162C	1.062	1.503
YER163C	1.133	1.386
YER164W	1.079	1.170
YER166W	1.029	0.921
YER167W	0.956	1.517
YER169W	0.939	1.169
YER170W	0.983	1.174
YER173W	1.007	1.514
YER174C	1.102	1.510
YER175C	1.039	1.027
YER175W-A	0.281	1.309
YER176W	1.067	1.138
YER177W	0.592	0.457
YER178W	1.008	1.064
YER179W	1.008	1.148
YER180C	0.914	0.747
YER180C-A	1.843	8.386
YER181C	0.919	0.765
YER182W	0.822	0.808
YER183C	0.809	0.921
YER184C	0.654	0.872
YER185W	1.062	1.707
YER186C	1.091	1.195
YER186W-A	1.198	1.726
YER187W	1.084	1.211
YER188W	1.158	1.868
YFL001W	0.142	0.113
YFL003C	0.999	1.366
YFL004W	0.955	1.027
YFL006W	0.417	0.321
YFL007W	0.623	0.763
YFL010C	0.814	0.776
YFL011W	0.665	0.480
YFL012W	0.863	0.774
YFL013C	0.929	0.788
YFL013W-A	1.089	0.781
YFL014W	1.095	1.808
YFL015C	0.696	0.521
YFL016C	0.337	0.148
YFL018C	0.424	0.715
YFL019C	1.131	1.007
YFL020C	0.357	0.565
YFL021W	0.301	0.768
YFL023W	3.440	1.917
YFL025C	0.270	0.000
YFL027C	0.524	0.413
YFL028C	0.823	0.586
YFL030W	0.400	0.422
YFL032W	0.464	0.343
YFL034C-A	1.111	1.149
YFL034W	0.779	1.033
YFL035C-B	0.713	0.528
YFL036W	0.793	1.295
YFL040W	0.361	0.295
YFL041W	0.300	0.196
YFL041W-A	0.617	0.970
YFL043C	0.430	0.503
YFL044C	0.568	1.325
YFL046W	0.916	0.445
YFL047W	0.594	0.635
YFL048C	0.594	0.559
YFL049W	0.631	0.910
YFL050C	0.649	0.620
YFL051C	0.519	0.740
YFL052W	0.603	0.811
YFL053W	0.414	0.717
YFL054C	0.392	0.545
YFL055W	0.504	0.730
YFL056C	0.590	0.991
YFL063W	1.115	0.771
YFR001W	1.580	1.711
YFR006W	0.543	0.588
YFR007W	0.313	0.115
YFR008W	0.451	0.596
YFR009W	0.485	0.602
YFR010W	0.505	0.273
YFR011C	1.471	0.130
YFR012W	0.787	0.538
YFR012W-A	1.237	1.013
YFR013W	1.394	1.034
YFR014C	1.077	0.746
YFR015C	0.817	0.589
YFR016C	0.796	0.536
YFR017C	0.808	0.677
YFR018C	0.676	0.801
YFR019W	-0.410	3.195
YFR020W	0.562	0.504
YFR021W	0.756	0.492
YFR022W	1.016	1.152
YFR023W	0.931	0.767
YFR024C	0.922	0.958
YFR024C-A	0.997	1.003
YFR025C	0.667	0.575
YFR026C	1.039	1.053
YFR030W	0.704	0.525
YFR031C-A	0.274	1.123
YFR032C	1.187	1.710
YFR032C-A	1.161	1.974
YFR032C-B	0.614	1.797
YFR033C	1.222	1.904
YFR034C	1.206	1.950
YFR035C	1.195	2.032
YFR036W	1.009	0.122
YFR039C	1.004	0.776
YFR040W	3.286	4.346
YFR041C	1.172	1.249
YFR043C	1.199	2.100
YFR044C	1.193	1.872
YFR046C	1.186	1.918
YFR047C	1.220	2.005
YFR048W	1.097	1.915
YFR049W	1.132	1.990
YFR053C	1.124	1.946
YFR054C	1.091	1.701
YFR055W	1.198	1.852
YFR056C	1.210	1.532
YFR057W	1.258	1.814
YGL002W	1.224	1.439
YGL003C	1.054	1.257
YGL004C	1.144	1.219
YGL005C	1.381	2.358
YGL006W	1.116	1.930
YGL006W-A	0.743	0.128
YGL007C-A	0.517	0.096
YGL007W	1.338	2.747
YGL009C	1.152	1.913
YGL010W	1.178	1.756
YGL012W	0.241	0.353
YGL013C	1.147	1.811
YGL014W	1.198	1.951
YGL015C	1.184	0.886
YGL016W	1.318	2.331
YGL017W	1.020	1.112
YGL019W	1.087	2.310
YGL020C	1.229	1.597
YGL021W	1.007	1.119
YGL025C	1.289	2.416
YGL026C	1.268	2.091
YGL027C	1.327	1.951
YGL028C	1.099	1.477
YGL031C	1.173	2.545
YGL034C	1.180	1.142
YGL035C	1.092	0.891
YGL036W	1.036	0.711
YGL037C	1.249	0.638
YGL038C	1.229	-0.000
YGL039W	1.203	0.986
YGL041C	1.079	1.225
YGL041C-B	1.322	0.964
YGL042C	1.056	2.088
YGL043W	1.178	2.524
YGL046W	1.284	1.363
YGL049C	1.070	0.723
YGL050W	1.079	0.945
YGL051W	1.177	0.966
YGL053W	0.960	0.844
YGL054C	1.076	2.109
YGL056C	1.144	1.513
YGL057C	1.169	1.095
YGL058W	1.255	1.354
YGL059W	0.922	1.029
YGL060W	0.752	0.763
YGL062W	1.056	0.825
YGL063W	1.085	0.913
YGL064C	1.474	1.962
YGL066W	0.677	0.735
YGL067W	0.937	1.256
YGL070C	1.404	1.711
YGL071W	0.825	0.790
YGL072C	0.643	0.904
YGL076C	1.391	3.142
YGL077C	1.105	0.786
YGL078C	1.095	2.461
YGL079W	1.038	1.669
YGL080W	0.793	1.878
YGL082W	1.062	0.857
YGL083W	1.131	1.017
YGL084C	0.466	0.385
YGL085W	1.125	1.315
YGL086W	0.938	0.529
YGL087C	1.194	1.654
YGL088W	1.211	2.484
YGL089C	1.072	1.412
YGL090W	1.125	1.560
YGL094C	0.893	0.678
YGL095C	0.614	0.533
YGL096W	0.993	0.967
YGL100W	0.090	0.003
YGL105W	1.179	0.870
YGL107C	1.118	0.464
YGL108C	1.159	1.461
YGL109W	1.246	1.850
YGL110C	1.059	0.612
YGL114W	1.295	1.255
YGL115W	0.782	0.331
YGL117W	1.066	0.877
YGL118C	0.936	0.643
YGL119W	0.938	0.318
YGL121C	1.176	1.585
YGL124C	1.082	1.078
YGL126W	1.200	0.747
YGL127C	1.247	1.100
YGL129C	0.974	0.677
YGL131C	1.004	0.494
YGL132W	0.874	0.615
YGL133W	0.886	0.462
YGL134W	1.056	0.729
YGL135W	0.673	0.760
YGL136C	0.983	0.385
YGL138C	1.131	0.706
YGL139W	1.056	0.854
YGL140C	1.018	0.692
YGL141W	0.960	0.490
YGL143C	0.974	0.744
YGL144C	0.739	0.567
YGL146C	1.012	0.663
YGL147C	1.027	1.395
YGL148W	1.066	0.765
YGL149W	1.075	0.756
YGL151W	1.075	0.977
YGL152C	0.998	0.759
YGL153W	0.930	0.471
YGL154C	1.139	1.008
YGL156W	0.687	0.275
YGL157W	1.049	0.909
YGL158W	0.960	0.595
YGL159W	1.069	0.686
YGL160W	1.024	0.705
YGL161C	0.947	0.390
YGL162W	0.983	0.433
YGL163C	0.616	0.151
YGL164C	1.014	0.426
YGL165C	0.872	0.301
YGL166W	0.914	0.301
YGL167C	0.746	0.142
YGL168W	0.640	0.222
YGL170C	1.067	1.245
YGL173C	0.565	0.121
YGL175C	1.009	0.321
YGL176C	1.034	0.565
YGL177W	0.932	0.351
YGL178W	0.875	0.185
YGL179C	0.897	0.280
YGL180W	0.843	0.232
YGL181W	1.167	0.973
YGL184C	1.081	0.554
YGL185C	1.169	0.754
YGL186C	0.341	0.676
YGL188C-A	1.179	0.943
YGL190C	0.946	0.502
YGL191W	1.119	0.426
YGL192W	1.010	0.246
YGL194C	0.839	1.448
YGL195W	0.873	1.702
YGL197W	0.971	1.729
YGL198W	1.231	1.999
YGL200C	1.568	2.251
YGL203C	1.996	2.194
YGL205W	1.281	1.228
YGL206C	1.112	0.342
YGL208W	0.844	1.221
YGL209W	0.891	1.133
YGL210W	0.972	1.442
YGL212W	2.183	3.430
YGL213C	2.430	3.529
YGL214W	1.066	1.070
YGL215W	2.783	2.301
YGL217C	0.826	0.716
YGL219C	0.785	1.860
YGL220W	0.682	0.738
YGL221C	0.848	1.453
YGL222C	0.865	1.104
YGL223C	1.476	3.004
YGL226C-A	1.622	1.526
YGL226W	2.188	1.397
YGL227W	2.639	2.807
YGL228W	1.491	1.576
YGL229C	1.203	1.842
YGL230C	1.007	1.702
YGL231C	0.890	1.282
YGL232W	0.981	1.668
YGL234W	1.302	1.369
YGL236C	1.582	2.333
YGL240W	2.910	4.288
YGL241W	1.098	1.996
YGL242C	0.939	1.523
YGL243W	0.846	1.256
YGL244W	0.740	1.608
YGL246C	2.032	4.470
YGL248W	1.574	1.659
YGL249W	1.809	1.815
YGL250W	3.567	2.203
YGL251C	1.945	2.816
YGL252C	3.591	2.488
YGL253W	0.753	1.138
YGL254W	0.902	1.490
YGL255W	0.923	1.483
YGL256W	0.973	1.356
YGL257C	1.063	1.139
YGL258W	1.212	1.506
YGL259W	1.353	1.977
YGL260W	1.552	1.575
YGL261C	1.680	1.751
YGL262W	1.337	1.631
YGL263W	1.103	1.296
YGR001C	1.061	0.800
YGR003W	0.987	1.634
YGR004W	0.811	1.180
YGR006W	0.614	0.000
YGR007W	1.396	1.446
YGR008C	1.229	1.582
YGR010W	1.573	1.721
YGR012W	1.286	1.635
YGR014W	0.983	1.586
YGR015C	1.055	1.545
YGR016W	0.981	1.177
YGR017W	0.933	1.139
YGR019W	1.074	1.768
YGR020C	1.843	0.171
YGR021W	1.337	1.297
YGR023W	1.069	1.411
YGR026W	1.074	1.700
YGR027C	0.988	0.550
YGR028W	0.756	0.706
YGR031W	0.871	0.458
YGR032W	0.752	0.893
YGR033C	0.960	0.576
YGR034W	1.029	0.632
YGR035C	0.986	0.332
YGR035W-A	0.602	1.728
YGR036C	0.829	0.446
YGR038W	0.391	0.550
YGR039W	1.026	0.968
YGR040W	0.447	0.782
YGR041W	0.943	0.615
YGR042W	0.918	0.719
YGR043C	0.915	1.135
YGR044C	1.074	1.138
YGR045C	0.993	0.912
YGR049W	1.310	0.585
YGR050C	0.441	0.417
YGR051C	1.074	0.941
YGR052W	0.987	0.856
YGR053C	0.941	0.485
YGR054W	0.973	0.746
YGR055W	0.919	0.529
YGR056W	0.145	0.015
YGR057C	0.314	0.006
YGR058W	1.050	0.638
YGR059W	1.038	0.695
YGR061C	1.166	0.437
YGR063C	0.750	1.345
YGR064W	1.232	1.616
YGR066C	1.013	0.935
YGR067C	0.944	0.768
YGR068C	0.941	0.966
YGR069W	1.030	1.074
YGR070W	0.940	0.718
YGR071C	1.516	0.637
YGR072W	1.277	1.924
YGR076C	0.962	0.536
YGR077C	1.037	0.914
YGR078C	0.134	0.057
YGR079W	1.009	1.095
YGR080W	0.967	1.014
YGR081C	1.029	1.242
YGR084C	1.186	0.759
YGR085C	1.141	1.447
YGR086C	0.597	0.192
YGR087C	1.002	0.577
YGR088W	1.042	0.777
YGR089W	0.621	0.720
YGR092W	0.293	0.109
YGR093W	0.445	0.962
YGR096W	1.022	0.565
YGR097W	1.170	1.733
YGR100W	1.101	0.631
YGR101W	0.917	0.674
YGR102C	0.890	0.546
YGR104C	0.981	0.484
YGR105W	0.688	0.383
YGR106C	0.167	0.102
YGR107W	1.067	0.733
YGR108W	1.191	0.812
YGR109C	1.094	0.722
YGR110W	0.319	0.541
YGR111W	1.044	1.138
YGR112W	0.908	0.368
YGR117C	0.367	0.444
YGR118W	1.031	1.435
YGR121C	1.033	0.845
YGR121W-A	0.602	1.560
YGR122C-A	0.973	0.427
YGR122W	1.079	1.028
YGR123C	0.885	1.238
YGR124W	0.997	1.067
YGR125W	0.889	0.959
YGR126W	0.865	0.684
YGR127W	0.904	1.005
YGR129W	0.920	1.377
YGR130C	1.015	1.376
YGR131W	0.981	0.982
YGR132C	0.901	1.300
YGR133W	0.978	1.406
YGR134W	0.676	1.910
YGR135W	0.684	0.475
YGR136W	0.850	1.368
YGR137W	0.824	1.172
YGR138C	1.005	1.051
YGR139W	0.960	1.044
YGR141W	0.934	1.107
YGR142W	0.980	1.093
YGR143W	0.867	0.397
YGR144W	0.999	1.364
YGR146C	0.923	1.162
YGR146C-A	0.432	1.550
YGR148C	1.042	1.319
YGR149W	1.011	0.557
YGR150C	0.761	0.513
YGR151C	0.943	0.803
YGR152C	1.130	1.296
YGR153W	1.072	1.298
YGR154C	1.090	0.892
YGR155W	0.410	0.266
YGR157W	1.243	0.877
YGR159C	0.893	1.289
YGR160W	0.730	0.790
YGR161C	1.027	0.550
YGR161W-C	0.619	1.092
YGR162W	0.407	1.362
YGR163W	0.522	0.152
YGR164W	0.595	0.258
YGR165W	0.562	0.682
YGR166W	1.044	1.235
YGR167W	0.978	0.489
YGR168C	0.947	0.607
YGR169C	0.981	0.586
YGR169C-A	0.446	1.092
YGR170W	1.036	0.503
YGR171C	0.887	0.396
YGR173W	1.013	0.592
YGR174C	0.912	0.361
YGR174W-A	0.556	2.162
YGR176W	0.962	1.197
YGR177C	1.060	1.348
YGR178C	0.991	1.005
YGR180C	1.117	0.991
YGR181W	0.976	0.743
YGR182C	0.983	0.649
YGR183C	0.997	0.971
YGR184C	0.925	0.677
YGR187C	0.771	0.715
YGR188C	1.261	0.303
YGR189C	0.753	0.845
YGR192C	0.663	0.340
YGR193C	1.037	1.486
YGR194C	0.881	0.827
YGR196C	1.085	0.794
YGR197C	1.066	0.505
YGR199W	0.923	0.722
YGR200C	0.604	0.845
YGR201C	1.097	0.702
YGR202C	0.982	0.689
YGR203W	0.940	0.955
YGR204C-A	0.903	1.415
YGR204W	0.885	0.127
YGR205W	0.898	0.504
YGR206W	1.004	0.752
YGR207C	1.101	1.284
YGR208W	0.461	-0.599
YGR209C	1.019	0.994
YGR210C	0.931	1.784
YGR212W	0.969	1.108
YGR213C	0.898	1.070
YGR214W	1.041	1.629
YGR215W	0.576	0.608
YGR217W	0.768	1.022
YGR219W	1.191	0.770
YGR220C	1.248	1.750
YGR221C	1.173	1.965
YGR222W	0.568	0.769
YGR223C	0.713	1.454
YGR224W	1.250	2.001
YGR226C	1.203	1.954
YGR227W	1.181	1.864
YGR228W	1.135	1.522
YGR229C	0.713	0.314
YGR230W	1.226	2.095
YGR231C	1.207	1.960
YGR232W	1.195	2.089
YGR233C	1.053	1.867
YGR234W	1.152	2.033
YGR235C	1.090	1.784
YGR236C	1.138	1.828
YGR237C	1.223	1.719
YGR238C	0.630	0.421
YGR239C	1.092	0.768
YGR240C	0.859	0.814
YGR241C	1.218	1.958
YGR242W	1.229	1.973
YGR243W	1.202	1.900
YGR247W	1.148	1.876
YGR248W	1.133	0.830
YGR249W	1.207	2.028
YGR250C	1.066	0.954
YGR252W	0.172	0.049
YGR254W	0.993	0.155
YGR255C	0.369	0.713
YGR256W	1.214	1.779
YGR257C	0.863	0.542
YGR258C	1.064	1.452
YGR259C	1.284	1.489
YGR260W	1.262	2.281
YGR261C	3.721	5.512
YGR262C	1.638	5.325
YGR263C	1.333	2.453
YGR266W	1.229	1.708
YGR268C	1.266	1.757
YGR269W	1.227	1.774
YGR270W	1.217	1.284
YGR271C-A	1.176	1.491
YGR271W	1.096	1.649
YGR272C	2.617	4.271
YGR273C	0.923	0.590
YGR275W	1.243	2.367
YGR276C	0.716	0.131
YGR279C	1.234	2.030
YGR281W	1.280	1.113
YGR282C	1.226	1.841
YGR283C	1.244	2.020
YGR284C	1.201	1.991
YGR285C	1.720	3.075
YGR286C	1.196	2.162
YGR287C	1.224	2.339
YGR288W	1.153	2.246
YGR289C	0.566	0.435
YGR290W	1.212	1.092
YGR291C	1.027	0.337
YGR292W	0.962	0.213
YGR295C	1.202	1.650
YHL001W	1.128	1.277
YHL002W	1.088	0.680
YHL003C	0.670	0.195
YHL004W	1.938	0.664
YHL005C	0.489	0.164
YHL006C	0.792	0.316
YHL007C	0.356	0.117
YHL008C	0.760	0.284
YHL009C	0.229	0.078
YHL010C	0.859	0.283
YHL011C	0.901	1.167
YHL012W	0.805	0.332
YHL013C	0.734	0.361
YHL014C	0.794	0.297
YHL015W-A	1.117	1.504
YHL016C	0.869	0.479
YHL017W	0.850	0.463
YHL019C	0.895	0.260
YHL020C	0.512	0.067
YHL021C	0.954	0.273
YHL022C	0.946	0.310
YHL023C	2.150	5.391
YHL024W	0.977	1.895
YHL025W	0.246	0.319
YHL026C	0.671	0.268
YHL027W	0.820	0.490
YHL028W	1.141	0.902
YHL029C	0.660	0.156
YHL030W	0.733	0.363
YHL031C	0.299	0.097
YHL032C	0.757	0.423
YHL033C	0.633	0.650
YHL034C	0.912	0.575
YHL035C	0.759	0.293
YHL036W	0.934	0.841
YHL037C	0.861	0.227
YHL038C	0.390	0.108
YHL039W	1.102	0.760
YHL040C	0.981	0.580
YHL041W	0.975	0.666
YHL042W	1.129	0.675
YHL043W	1.185	0.802
YHL044W	1.232	1.468
YHL045W	1.051	0.574
YHL046C	1.060	0.638
YHL047C	1.046	0.583
YHR001W	1.523	0.653
YHR001W-A	0.678	0.450
YHR003C	1.225	1.603
YHR004C	1.083	0.468
YHR005C	1.185	0.597
YHR006W	1.134	0.198
YHR007C-A	1.250	1.903
YHR008C	0.819	1.198
YHR009C	1.102	0.550
YHR010W	1.530	0.882
YHR011W	2.077	0.216
YHR012W	0.707	0.210
YHR013C	0.278	0.061
YHR014W	1.029	0.231
YHR015W	0.850	0.173
