ORF	hom | growth (culture turbidity) | sodium arsenite [0.2 mM] | Johnson AJ~Wu MJ, 2015	hom | growth (culture turbidity) | sodium arsenite [0.4 mM] | Johnson AJ~Wu MJ, 2015
YBR056W-A	1.229	1.022
YBR057C	1.083	1.441
YBR058C	1.080	1.886
YBR058C-A	1.433	2.396
YBR059C	1.106	1.234
YBR063C	1.122	1.545
YBR064W	1.077	1.498
YBR065C	1.049	1.422
YBR066C	1.227	1.707
YBR067C	1.259	1.247
YBR068C	1.179	1.521
YBR069C	0.157	0.064
YBR071W	1.005	1.054
YBR072C-A	0.582	1.833
YBR072W	1.049	1.131
YBR073W	1.103	1.608
YBR076W	1.068	1.130
YBR077C	0.787	0.181
YBR078W	1.207	0.774
YBR083W	1.759	1.396
YBR084C-A	2.086	0.820
YBR084W	1.114	0.729
YBR085C-A	1.094	1.525
YBR090C	2.446	3.118
YBR090C-A	1.058	0.973
YBR092C	1.063	0.798
YBR093C	1.081	1.171
YBR094W	1.050	0.674
YBR099C	0.984	0.612
YBR101C	1.063	0.864
YBR103W	1.011	0.369
YBR104W	1.079	0.560
YBR106W	0.939	0.352
YBR107C	1.066	0.404
YBR108W	1.036	0.520
YBR111W-A	0.447	1.088
YBR112C	0.410	1.198
YBR113W	1.028	0.774
YBR114W	0.988	0.543
YBR116C	0.966	0.201
YBR119W	1.076	0.489
YBR120C	1.115	0.570
YBR122C	1.010	1.872
YBR125C	0.684	1.363
YBR126C	0.100	0.179
YBR127C	1.931	2.738
YBR128C	0.937	0.873
YBR129C	1.091	0.740
YBR130C	1.121	0.842
YBR131W	1.398	2.951
YBR134W	0.500	0.316
YBR137W	0.988	0.768
YBR138C	0.976	0.414
YBR139W	1.092	1.374
YBR141C	1.015	0.416
YBR144C	1.096	1.072
YBR145W	0.986	0.510
YBR146W	1.017	1.050
YBR147W	0.936	0.923
YBR148W	0.882	0.731
YBR149W	0.990	0.494
YBR150C	1.276	1.934
YBR151W	1.113	1.468
YBR156C	0.962	0.982
YBR158W	0.984	0.897
YBR159W	1.018	0.864
YBR161W	0.991	0.578
YBR162C	0.973	1.015
YBR162W-A	1.067	1.139
YBR163W	0.438	0.126
