ORF	Pho5 phosphatase activity;phosphate starvation
YHR154W	89.686
YHR155W	91.657
YHR156C	160.059
YHR157W	85.082
YHR158C	74.719
YHR159W	136.092
YHR160C	145.404
YHR161C	156.820
YHR163W	114.508
YHR167W	65.139
YHR176W	86.630
YHR177W	61.321
YHR178W	72.710
YHR179W	78.570
YHR182W	71.615
YHR183W	86.079
YHR184W	107.114
YHR189W	73.462
YHR195W	162.299
YHR198C	173.430
YHR199C	197.201
YHR200W	136.400
YHR202W	105.982
YHR203C	70.775
YHR204W	100.832
YHR206W	161.783
YHR207C	143.562
YHR209W	82.748
YHR210C	126.984
YCL001W	107.179
YCL002C	124.132
YCL005W	161.375
YMR118C	122.666
YCL008C	87.258
YCL009C	132.993
YCL010C	78.487
YCL011C	92.429
YCL012W	99.372
YCL013W	85.049
YCL014W	99.091
YCL016C	132.519
YCL023C	88.775
YCL024W	125.287
YCL025C	120.246
YCL026C	244.541
YCL027W	110.354
YCL028W	101.745
YCL029C	102.432
YCL030C	102.548
YCL032W	206.421
YCL033C	218.185
YCL034W	90.820
YCL036W	202.823
YCL037C	189.979
YCL039W	140.829
YCL040W	126.796
YCL042W	123.830
YCL044C	112.298
YCL045C	110.103
YCL046W	102.084
YCL047C	96.063
YCL048W	91.951
YCL049C	94.532
YCL050C	202.261
YCL051W	100.795
YCL055W	131.198
YCL056C	246.133
YCL057W	116.991
YCL060C	241.278
YCL061C	120.153
YCL062W	78.552
YCL063W	175.594
YCL064C	98.765
YCL069W	101.221
YCR001W	92.616
YCR002C	126.993
YCR003W	104.275
YCR004C	134.151
YCR005C	119.560
YCR006C	106.277
YCR007C	105.685
YCR008W	125.706
YCR009C	294.419
YCR010C	98.157
YCR011C	85.214
YCR014C	79.969
YCR015C	83.513
YCR016W	94.937
YCR017C	138.599
YCR019W	276.748
YCR020C	129.395
YCR020C-A	81.637
YCR021C	98.324
YCR022C	96.664
YCR023C	89.921
YLR420W	72.371
YLR451W	101.336
YLR126C	94.138
YLR128W	79.337
YLR130C	94.557
YLR131C	79.878
YLR133W	118.269
YLR134W	104.716
YLR135W	123.553
YLR136C	104.299
YLR137W	92.027
YLR138W	116.998
YLR139C	115.837
YLR142W	83.124
YLR143W	92.982
YLR144C	92.084
YMR074C	93.649
YLR149C	142.814
YLR150W	95.170
YLR151C	107.662
YLR152C	95.593
YLR154C	97.703
YLR164W	88.110
YLR165C	109.991
YLR168C	45.662
YLR169W	73.710
YLR170C	76.032
YLR171W	102.242
YLR172C	127.007
YLR173W	116.828
YLR174W	115.690
YLR176C	115.479
YLR177W	184.503
YLR178C	83.893
YLR179C	105.505
YLR180W	106.588
YLR181C	104.147
YLR182W	172.655
YLR183C	83.119
YLR184W	78.076
YLR185W	140.111
YLR187W	108.656
YLR188W	110.071
YLR189C	104.566
YLR190W	120.104
YLR191W	127.138
YLR193C	123.354
YLR194C	99.440
YLR199C	89.755
YLR200W	54.181
YLR201C	88.689
YLR202C	78.535
YLR203C	116.782
YLR204W	116.839
YLR205C	105.897
YLR206W	103.324
YLR207W	111.414
YLR209C	100.396
YLR210W	90.102
YLR211C	89.974
YLR213C	94.061
YLR214W	147.626
YLR216C	94.894
YLR217W	88.583
YLR218C	128.604
YLR219W	96.127
YLR220W	111.287
YLR221C	99.642
YLR224W	107.723
YLR225C	92.514
YLR227C	87.802
YKL001C	64.541
YKL002W	31.092
YKL003C	96.110
YKL006W	90.752
YKL007W	122.550
YKL008C	102.964
YKL009W	141.403
YKL010C	100.971
YKL011C	90.333
YKL015W	85.811
YKL016C	110.244
YKL017C	73.904
YKL020C	83.252
YKL023W	125.371
YKL025C	89.212
YKL026C	90.665
YKL027W	68.649
YKL029C	113.873
YKL031W	107.713
YKL032C	142.072
YKL034W	92.613
YKL037W	135.841
YKL038W	61.788
YKL039W	79.117
YKL040C	87.361
YKL041W	23.832
YKL043W	71.604
YKL044W	79.049
YKL046C	65.809
YKL047W	105.934
YKL048C	118.585
YKL050C	83.600
YKL051W	76.760
YKL053W	91.819
YKL054C	129.132
YKL055C	99.138
YKL056C	68.843
YKL057C	110.265
YKL061W	74.201
YKL062W	94.696
YKL063C	123.191
YKL064W	114.751
YKL065C	117.853
YKL066W	126.646
YKL067W	105.128
YKL068W	125.711
YKL069W	196.680
YKL070W	109.453
YKL071W	91.380
YKL072W	95.460
YKL073W	124.860
YKL074C	145.861
YKL075C	101.508
YKL076C	92.665
YKL077W	107.926
YKL079W	134.777
YKL080W	NaN
YKL081W	113.067
YKL084W	114.408
YKL085W	111.937
YKL086W	108.961
YKL087C	117.909
YKL090W	97.990
YKL091C	109.356
YKL092C	126.625
YKL093W	115.496
YKL094W	110.987
YKL096W	112.409
YKL097C	119.259
YKL098W	99.764
YKL100C	106.489
YKL101W	137.838
YKL102C	111.371
YKL103C	103.268
YKL105C	93.619
YKL106W	134.033
YKL107W	120.791
YKL109W	119.156
YKL110C	109.196
YKL113C	146.411
YKL114C	106.511
YKL116C	108.942
YKL117W	92.324
YKL118W	NaN
YKL119C	297.619
YKL120W	105.442
YKL121W	85.048
YKL123W	126.587
YKL124W	108.681
YKL126W	118.586
YKL127W	123.292
YKL128C	106.350
YKL129C	113.031
YKL130C	100.338
YKL131W	96.966
YKL132C	97.501
YKL133C	104.006
YKL134C	131.091
YKL135C	90.196
YKL136W	126.850
YKL137W	118.409
YKL138C	107.987
YKL140W	107.925
YKL142W	106.074
YKL143W	76.458
YKL146W	99.509
YKL147C	101.506
YKL148C	89.410
YKL149C	54.803
YKL150W	100.295
YKL151C	97.905
YPR151C	313.577
YKL156W	112.181
YKL157W	101.945
YKL158W	97.854
YKL159C	96.231
YKL160W	56.371
YKL161C	85.551
YKL162C	84.941
YKL163W	87.813
YKL164C	113.612
YKL166C	75.007
YKL167C	118.056
YKL168C	130.593
YKL169C	268.935
YKL170W	104.674
YKL171W	92.977
YKL174C	84.853
YKL175W	63.309
YKL176C	111.646
YKL177W	84.412
YKL178C	92.910
YKL179C	101.123
YKL183W	108.217
YKL184W	100.467
YKL185W	120.141
YKL187C	106.604
YKL188C	94.383
YKL190W	90.084
YGR027C	118.395
YGR031W	191.011
YGR033C	97.781
YGR034W	102.772
YGR035C	93.582
YGR036C	NaN
YGR037C	86.390
YGR039W	114.225
YGR041W	118.146
YGR042W	128.786
YGR043C	120.916
YGR044C	176.504
YGR045C	127.275
YGR049W	112.190
YGR051C	161.399
YGR052W	148.831
YGR054W	89.062
YGR055W	87.610
YGR056W	248.890
YGR057C	229.966
YGR058W	350.726
YGR059W	127.982
YGR061C	145.694
YGR062C	158.610
YGR064W	96.848
YGR066C	126.773
YGR067C	116.986
YGR068C	114.942
YGR069W	108.453
YGR070W	107.091
YGR071C	212.810
YGR072W	153.729
YGR076C	242.824
YGR077C	159.348
YGR078C	772.770
YGR079W	165.419
YGR080W	136.638
YGR081C	155.855
YGR084C	155.951
YGR085C	369.643
YGR087C	118.217
YGR088W	104.299
YGR096W	165.408
YGR097W	155.692
YGR100W	142.693
YGR101W	189.962
YGR102C	170.572
YGR104C	126.584
YGR105W	NaN
YGR107W	105.022
YGR108W	107.703
YGR109C	160.486
YGR111W	130.621
YGR112W	131.747
YGR118W	118.080
YGR121C	250.025
YGR122W	168.566
YOR097C	119.860
YOR099W	118.673
YOR100C	106.807
YOR101W	117.114
YOR104W	114.156
YOR105W	102.773
YOR106W	83.389
YOR107W	191.429
YOR108W	118.358
YOR109W	140.016
YOR111W	129.902
YOR112W	129.921
YOR113W	320.795
YOR114W	104.988
YOR115C	98.092
YOR118W	120.234
YOR120W	93.274
YOR121C	95.856
YOR123C	164.637
YOR124C	115.470
YOR125C	140.463
YOR126C	132.906
YOR127W	124.442
YOR129C	113.497
YOR130C	139.412
YOR131C	101.251
YOR132W	79.512
YOR133W	86.232
YOR134W	89.658
YOR135C	165.620
YOR136W	203.600
YOR137C	117.957
YOR138C	148.241
YOR139C	153.686
YOR140W	90.182
YOR141C	112.875
YOR142W	111.608
YOR144C	106.323
YOR152C	104.059
YOR153W	127.861
YOR154W	173.836
YOR155C	106.907
YOR156C	113.671
YOR161C	124.243
YOR162C	124.992
YOR163W	129.914
YOR164C	146.166
YOR165W	131.300
YOR166C	127.036
YOR167C	116.410
YOR170W	99.818
YOR171C	113.114
YOR172W	118.714
YOR173W	103.892
YOR175C	113.819
YOR177C	132.441
YOR178C	152.735
YOR182C	201.170
YOR183W	183.570
YOR184W	NaN
YOR185C	116.251
YOR186W	117.642
YOR187W	222.816
YOR188W	132.316
YOR189W	107.374
YOR190W	124.433
YOR191W	108.610
YOR192C	134.409
YOR193W	131.161
YOR195W	161.363
YOR196C	168.895
YOR197W	162.426
YOR198C	113.454
YOR199W	261.966
YOR200W	286.910
YOR201C	139.065
YOR202W	125.629
YOR205C	142.668
YOR208W	102.864
YOR209C	148.980
YOR211C	253.678
YOR212W	151.320
YOR213C	123.489
YOR214C	144.753
YOR215C	128.653
YOR216C	147.353
YOR219C	117.382
YOR220W	108.736
YOR221C	215.026
YOR222W	103.210
YOR223W	104.382
YOR225W	133.719
YOR226C	195.504
YOR227W	146.357
YOR228C	129.603
YOR229W	113.796
YOR230W	117.356
YOR231W	102.671
YOR233W	114.091
YOR234C	120.835
YOR235W	103.329
YOR237W	126.263
YOR238W	103.834
YOR239W	128.795
YOR240W	142.768
YOR241W	170.690
YOR242C	128.869
YOR243C	121.145
YOR245C	119.063
YOR246C	120.950
YOR247W	124.436
YOR248W	97.464
YOR251C	128.500
YOR252W	99.703
YOR253W	114.188
YOR255W	130.528
YOR258W	213.739
YOR263C	124.391
YOR264W	117.290
YOR277C	170.595
YOR279C	100.792
YOR280C	113.845
YOR283W	109.679
YOR284W	111.975
YOR285W	116.326
YOR286W	105.459
YOR288C	115.103
YJL218W	329.842
YJL217W	368.452
YJL216C	264.468
YJL215C	98.333
YJL214W	185.790
YJL212C	165.000
YJL210W	292.843
YJL211C	339.634
YJL209W	84.157
YJL208C	105.006
YJL207C	73.123
YJL206C	227.967
YJL206C-A	156.028
YJL204C	209.374
YJL201W	179.413
YJL200C	179.352
YJL199C	295.438
YJL198W	313.059
YJL197W	328.925
YJL196C	207.445
YJL193W	171.447
YJL192C	135.865
YJL191W	164.825
YJL190C	194.794
YJL189W	256.652
YJL188C	82.661
YJL187C	137.471
YJL186W	127.701
YJL185C	337.254
YJL183W	161.289
YJL181W	222.662
YJL182C	254.506
YJL180C	164.584
YJL179W	161.657
YJL178C	181.587
YJL176C	47.475
YJL172W	141.197
YJL171C	305.472
YJL170C	123.882
YJL169W	167.052
YJL168C	298.011
YJL166W	75.697
YJL165C	202.114
YJL164C	186.448
YJL163C	167.056
YJL162C	250.638
YJL161W	188.629
YJL159W	155.447
YJL158C	225.827
YJL157C	211.835
YJL155C	291.354
YJL154C	70.729
YJL153C	167.223
YJL152W	295.510
YJL151C	147.513
YJL150W	274.698
YJL149W	115.277
YJL148W	57.354
YJL147C	316.065
YJL146W	145.497
YJL145W	202.079
YJL144W	271.333
YJL142C	289.747
YJL140W	NaN
YJL139C	102.715
YJL138C	104.133
YJL135W	283.447
YJL134W	304.727
YJL133W	283.910
YJL132W	172.223
YJL131C	155.360
YJL130C	192.384
YJL129C	191.742
YLR324W	83.151
YLR325C	168.028
YLR326W	74.825
YLR327C	87.364
YLR328W	106.072
YLR329W	63.724
YLR330W	95.772
YLR331C	77.167
YLR332W	97.556
YLR333C	104.212
YLR335W	87.114
YLR341W	119.545
YLR342W	88.847
YLR344W	94.472
YLR345W	82.591
YLR348C	82.601
YLR349W	77.105
YLR350W	72.238
YLR351C	113.356
YLR352W	86.278
YLR353W	123.548
YLR354C	95.770
YLR356W	99.616
YLR357W	119.385
YLR360W	73.863
YLR362W	101.945
YLR363C	86.614
YLR364W	85.500
YLR365W	92.569
YLR366W	70.809
YLR367W	76.746
YLR368W	107.406
YLR371W	130.192
YLR372W	111.825
YLR373C	246.368
YLR374C	235.379
YLR375W	110.553
YLR376C	160.003
YLR377C	103.568
YLR380W	87.047
YLR381W	118.273
YLR384C	131.199
YLR385C	104.747
YLR386W	105.893
YLR387C	120.178
YLR388W	104.168
YLR390W	108.823
YLR392C	111.476
YLR393W	104.778
YLR395C	104.655
YLR398C	88.930
YLR400W	100.028
YLR401C	96.576
YLR402W	290.928
YLR404W	89.761
YLR405W	123.462
YLR407W	120.086
YLR408C	113.091
YLR410W	86.032
YLR412W	115.277
YLR413W	94.592
YLR414C	462.676
YLR415C	84.962
YLR416C	87.554
YLR417W	63.908
YLR418C	144.095
YLR421C	88.224
YLR228C	133.923
YLR231C	125.347
YLR232W	117.466
YLR233C	114.939
YLR234W	93.371
YLR235C	88.929
YLR236C	95.643
YLR238W	92.741
YLR239C	162.523
YLR241W	90.552
YLR242C	192.603
YLR247C	106.536
YLR248W	122.640
YLR250W	145.571
YLR251W	116.938
YLR252W	115.180
YLR253W	93.169
YLR254C	95.749
YLR255C	76.484
YLR257W	87.458
YLR258W	106.233
YLR260W	93.539
YLR261C	96.750
YLR262C	87.479
YLR263W	115.795
YLR264W	105.060
YLR265C	115.416
YLR266C	94.590
YLR267W	86.720
YLR268W	97.698
YLR269C	81.677
YLR270W	80.597
YLR271W	84.474
YLR273C	84.830
YLR278C	84.582
YLR279W	83.352
YLR280C	167.459
YLR281C	104.028
YLR282C	99.961
YLR283W	105.527
YLR284C	95.422
YLR285W	76.447
YLR287C	86.933
YLR287-A	75.441
YLR288C	86.009
YLR289W	85.773
YLR290C	109.653
YLR292C	127.679
YLR294C	202.845
YLR295C	109.029
YLR296W	221.951
YLR297W	101.097
YLR299W	97.787
YLR300W	100.879
YLR303W	98.570
YLR304C	120.855
YLR306W	102.587
YLR307W	89.003
YLR308W	101.538
YLR309C	145.558
YLR311C	120.956
YLR312C	161.111
YLR312W-A	98.640
YLR313C	117.638
YLR315W	147.097
YLR318W	117.033
YLR319C	105.303
YLR320W	130.562
YLR322W	152.529
YDR147W	90.377
YDR148C	121.535
YDR149C	141.379
YDR150W	122.051
YDR151C	137.930
YDR152W	108.628
YDR153C	118.289
YDR154C	97.823
YDR155C	104.163
YDR156W	70.511
YDR157W	81.803
YDR158W	90.155
YDR159W	67.198
YDR161W	118.803
YDR162C	119.607
YDR163W	107.638
YDR165W	105.566
YDR169C	110.085
YDR171W	112.351
YDR173C	81.297
YDR175C	121.636
YDR176W	16.204
YDR178W	86.569
YDR179C	102.076
YDR179W-A	84.875
YDR181C	122.911
YDR183W	117.199
YDR184C	120.087
YDR185C	119.124
YDR186C	107.030
YDR191W	102.026
YDR192C	99.884
YDR193W	95.227
YDR194C	96.302
YDR195W	185.833
YDR197W	91.993
YDR198C	77.583
YDR199W	148.620
YDR200C	294.033
YDR203W	115.117
YDR204W	115.812
YDR206W	91.559
YDR207C	209.407
YDR209C	96.942
YDR210W	90.433
YDR213W	92.593
YDR214W	76.014
YDR215C	81.955
YDR216W	75.626
YDR217C	125.939
YDR218C	117.401
YDR219C	108.228
YDR220C	120.185
YDR221W	112.981
YDR222W	103.608
YDR223W	94.126
YDR225W	118.191
YDR226W	292.247
YDR227W	65.961
YDR229W	100.309
YDR230W	81.135
YDR231C	148.999
YDR233C	116.910
YDR234W	168.854
YDR237W	87.289
YDR239C	74.624
YDR241W	97.376
YGL194C	91.858
YGL195W	57.604
YGL196W	79.932
YGL197W	135.980
YGL198W	75.545
YGL199C	109.558
YGL200C	129.284
YGL202W	102.568
YGL203C	85.307
YGL205W	79.276
YGL208W	92.153
YGL209W	95.464
YGL210W	79.149
YGL211W	85.933
YGL212W	60.467
YGL213C	68.867
YGL214W	80.618
YGL215W	123.296
YGL216W	118.865
YGL217C	183.300
YGL218W	110.448
YGL220W	105.519
YGL221C	90.626
YGL222C	95.314
YGL224C	88.106
YGL226C-A	83.838
YGL226W	77.920
YGL227W	137.103
YGL228W	123.354
YGL229C	128.216
YGL230C	103.246
YGL231C	131.731
YGL232W	71.538
YGL234W	97.906
YGL235W	77.008
YGL236C	83.835
YGL237C	76.312
YGL241W	80.186
YGL242C	78.128
YGL243W	71.501
YGL244W	300.500
YGL246C	134.761
YGL248W	110.342
YGL249W	85.490
YGL250W	96.723
YGL251C	82.837
YGL252C	61.403
YGL253W	79.772
YGL254W	83.256
YGL255W	87.222
YGL256W	81.675
YGL257C	79.016
YGL258W	136.833
YGL259W	121.811
YGL260W	112.267
YGL261C	112.140
YGL262W	87.773
YGL263W	97.235
YGR001C	78.751
YGR003W	75.366
YGR004W	81.167
YGR006W	NaN
YGR007W	88.526
YGR008C	77.627
YGR010W	139.882
YGR011W	97.908
YGR012W	98.527
YGR014W	101.217
YGR015C	98.278
YGR016W	119.351
YGR017W	97.807
YGR018C	75.646
YGR019W	90.580
YGR020C	44.356
YGR021W	73.062
YGR022C	75.437
YGR023W	139.737
YGR025W	85.329
YGR026W	103.498
YPL091W	151.951
YPL090C	213.486
YPL089C	139.706
YPL088W	333.379
YPL087W	87.148
YPL086C	119.978
YPL084W	29.701
YPL081W	220.348
YPL080C	58.851
YPL079W	163.604
YPL078C	125.702
YPL077C	223.004
YPL074W	157.022
YPL072W	96.057
YPL073C	93.849
YPL071C	78.813
YPL070W	102.138
YPL069C	101.297
YPL068C	94.556
YPL067C	128.092
YPL066W	123.597
YPL065W	67.058
YPL064C	188.871
YPL062W	187.837
YPL061W	186.241
YPL060W	84.026
YPL058C	191.913
YPL057C	95.193
YPL056C	113.785
YPL055C	142.872
YPL054W	101.588
YPL053C	176.935
YPL052W	125.498
YPL051W	225.128
YPL049C	232.651
YPL048W	304.272
YPL047W	127.005
YPL046C	239.938
YPL042C	58.336
YPL041C	92.856
YPL040C	71.131
YPL039W	214.480
YPL038W	161.973
YPL037C	75.935
YPL035C	243.003
YPL033C	124.598
YPL032C	117.956
YPL030W	141.179
YPL029W	82.471
YPL026C	247.203
YPL025C	207.220
YPL023C	285.150
YPL022W	310.895
YPL021W	312.832
YPL019C	69.161
YPL018W	125.453
YPL015C	97.162
YPL014W	73.880
YPL013C	167.701
YPL009C	124.740
YPL008W	89.070
YPL006W	65.842
YPL005W	70.459
YPL003W	79.912
YPL002C	47.757
YPL001W	98.292
YPR001W	74.557
YPR002W	109.587
YPR003C	85.729
YPR004C	109.473
YPR005C	85.706
YPR106W	76.035
YPR109W	139.349
YPR111W	68.749
YPR114W	279.383
YPR115W	270.897
YPR116W	92.701
YPR117W	150.205
YPR119W	90.584
YPR120C	222.217
YPR121W	97.538
YPR122W	87.220
YPR123C	113.267
YPR124W	118.452
YPR125W	89.012
YPR126C	88.019
YPR127W	63.060
YPR128C	221.232
YPR129W	157.079
YPR130C	118.665
YOL151W	99.229
YPR132W	115.972
YPR134W	114.629
YPR135W	116.402
YPR138C	97.994
YPR139C	342.090
YPR140W	64.784
YPR141C	120.774
YPR145W	53.047
YPR146C	169.496
YPR147C	136.338
YPR148C	285.151
YPR149W	50.618
YPR150W	295.845
YPR152C	74.303
YPR153W	67.040
YPR154W	88.580
YPR155C	55.549
YPR156C	200.102
YPR157W	56.468
YPR158W	44.230
YPR159W	108.227
YPR160W	21.772
YPR163C	59.921
YPR164W	149.232
YPR166C	100.968
YPR167C	79.630
YPR170C	145.241
YPR171W	77.258
YPR172W	99.946
YPR173C	28.695
YPR174C	127.769
YPR179C	197.826
YPR184W	71.234
YPR185W	79.543
YPR188C	131.387
YPR189W	101.102
YPR191W	112.255
YPR192W	102.345
YPR193C	127.814
YPR194C	157.677
YPR195C	188.501
YPR196W	133.505
YPR197C	41.357
YPR198W	101.040
YPR199C	81.959
YPR200C	170.062
YPR201W	92.413
YCR090C	97.071
YCR091W	110.236
YCR092C	99.811
YCR094W	147.732
YCR098C	83.537
YCR099C	90.108
YCR100C	67.491
YCR101C	76.822
YCR102C	76.110
YCR105W	69.846
YCR106W	64.783
YDL130W-A	106.604
YDR363W-A	79.618
YDR525W-A	100.840
YDR535C	78.065
YDR536W	72.171
YDR538W	64.632
YDR539W	66.076
YDR540C	67.069
YDR541C	69.030
YER039C-A	97.847
YER091C-A	68.673
YER144C	77.152
YER188W	102.655
YFL034C-A	91.898
YFR032C	89.753
YFR032C-A	74.637
YFR033C	76.839
YFR034C	3.125
YFR035C	30.794
YFR036W	58.178
YFR038W	59.984
YFR040W	82.482
YFR041C	74.965
YFR043C	75.103
YFR044C	102.182
YFR045W	104.517
YFR046C	113.570
YFR047C	98.170
YFR048W	55.143
YFR049W	67.319
YFR053C	63.314
YFR054C	69.262
YFR055W	73.239
YFR056C	127.344
YFR057W	58.591
YGR220C	74.163
YGR221C	120.115
YGR223C	108.971
YGR224W	112.889
YGR225W	87.148
YGR226C	69.183
YGR227W	64.329
YGR228W	69.826
YGR230W	57.831
YGR231C	57.003
YGR232W	61.394
YGR233C	2.539
YGR234W	63.407
YGR235C	105.718
YGR236C	133.901
YGR237C	79.471
YGR240C	161.937
YGR241C	58.256
YGR242W	61.215
YGR243W	69.307
YGR244C	58.014
YGR247W	79.360
YGR249W	56.769
YBL001C	68.016
YOL152W	115.746
YBL003C	121.264
YBL005W	98.938
YBL006C	226.618
YBL007C	84.337
YBL008W	79.345
YBL009W	70.738
YBL010C	74.190
YBL011W	86.820
YBL012C	78.561
YBL013W	128.280
YBL015W	115.201
YBL016W	126.422
YBL017C	100.254
YBL019W	127.179
YBL021C	79.782
YBL022C	119.876
YBL024W	172.993
YBL027W	101.134
YBL028C	73.120
YBL029W	70.012
YBL031W	77.679
YBL032W	86.727
YBL036C	80.544
YBL037W	111.653
YBL038W	116.545
YBL039C	110.854
YBL042C	104.117
YBL043W	82.985
YBL044W	94.009
YBL045C	90.785
YBL046W	74.616
YBL047C	54.570
YBL048W	88.231
YBL049W	75.092
YBL051C	132.502
YBL052C	109.693
YBL053W	111.530
YBL054W	93.379
YBL055C	92.064
YBL056W	90.238
YBL057C	88.024
YBL058W	87.455
YBL059W	93.428
YBL060W	81.620
YBL061C	93.040
YBL062W	102.097
YBL063W	135.070
YBL064C	119.977
YBL065W	101.927
YBL066C	101.118
YBL067C	75.864
YBL068W	81.753
YBL069W	85.814
YBL070C	82.086
YBL071C	79.519
YBL072C	66.130
YBL075C	101.960
YBL078C	90.234
YBL079W	112.977
YBL080C	110.339
YBL081W	89.226
YBL082C	83.689
YBL083C	90.189
YBL085W	84.004
YBL086C	80.742
YBL087C	50.238
YBL088C	85.697
YBL089W	84.561
YBL090W	63.115
YBL091C	90.984
YPL158C	150.784
YBL094C	406.794
YGL002W	82.567
YGL003C	90.262
YGL004C	77.552
YGL005C	87.227
YGL006W	77.894
YGL007W	56.054
YGL010W	47.808
YGL012W	47.228
YGL013C	82.227
YGL014W	62.736
YGL015C	121.196
YGL016W	101.085
YGL017W	87.599
YGL019W	45.086
YGL021W	73.553
YGL023C	58.587
YGL024W	62.834
YGL025C	72.242
YGL026C	74.359
YGL027C	123.018
YGL028C	73.639
YGL031C	137.684
YGL032C	129.617
YGL033W	192.274
YGL034C	108.751
YGL035C	128.688
YGL036W	94.860
YGL037C	94.213
YGL039W	97.414
YGL041C	93.726
YGL042C	100.574
YGL043W	115.508
YGL045W	189.411
YGL046W	160.930
YGL049C	143.618
YGL050W	119.813
YGL051W	123.626
YGL053W	109.278
YGL054C	57.365
YGL056C	101.478
YGL057C	102.000
YGL058W	221.781
YGL059W	87.456
YGL060W	134.285
YGL062W	135.647
YGL063W	124.264
YGL064C	118.823
YGL066W	117.764
YGL067W	115.287
YGL071W	97.733
YGL072C	124.160
YGL076C	68.550
YGL077C	100.830
YGL078C	77.244
YGL079W	65.883
YGL080W	102.963
YGL081W	138.488
YGL082W	143.974
YGL083W	129.142
YGL084C	177.989
YGL085W	84.511
YGL086W	90.968
YGL087C	114.840
YGL089C	94.536
YGL090W	107.645
YGL094C	119.396
YGL096W	107.455
YNL242W	147.429
YNL241C	124.078
YNL239W	110.112
YNL238W	417.422
YNL237W	116.501
YNL236W	93.094
YNL235C	110.394
YNL234W	145.381
YNL233W	92.505
YNL231C	145.434
YNL230C	129.252
YNL229C	134.482
YNL228W	162.921
YNL226W	109.239
YNL227C	97.276
YNL224C	123.083
YNL223W	126.476
YNL219C	113.281
YNL218W	70.610
YNL217W	91.124
YNL215W	60.591
YNL214W	96.012
YNL213C	87.114
YNL212W	76.714
YNL211C	152.506
YNL208W	147.461
YNL206C	122.155
YNL205C	163.842
YNL204C	143.896
YNL202W	94.326
YNL203C	132.337
YNL201C	65.432
YNL200C	86.939
YNL199C	131.278
YNL198C	124.685
YNL197C	66.483
YNL196C	146.973
YNL195C	177.306
YNL194C	153.032
YNL193W	186.243
YNL192W	90.821
YNL191W	124.738
YNL190W	138.079
YNL187W	114.111
YNL184C	116.997
YNL183C	230.366
YNL179C	256.878
YNL177C	109.892
YNL176C	142.233
YNL175C	88.733
YNL173C	186.011
YNL170W	104.972
YNL171C	102.595
YNL169C	71.622
YNL168C	92.643
YNL167C	76.511
YNL166C	69.966
YNL165W	102.524
YNL164C	82.104
YNL162W	165.542
YNL160W	104.060
YNL159C	82.636
YNL157W	215.700
YNL156C	87.334
YNL155W	175.565
YNL154C	57.956
YNL148C	98.961
YKL191W	68.419
YKL197C	92.483
YKL198C	54.245
YKL199C	194.006
YKL200C	175.377
YKL205W	95.383
YKL206C	121.861
YKL207W	227.894
YKL208W	74.517
YKL211C	68.792
YKL212W	68.970
YKL213C	72.797
YKL214C	83.931
YKL216W	70.790
YKL217W	233.454
YKL218C	223.211
YKL221W	288.113
YKL222C	120.594
YKR001C	63.915
YKR003W	135.085
YKR005C	69.127
YKR007W	256.608
YKR009C	45.564
YKR011C	108.716
YKR012C	77.232
YKR013W	63.000
YKR014C	83.810
YKR015C	197.197
YKR016W	229.315
YKR017C	130.851
YKR018C	107.184
YKR020W	72.778
YKR021W	273.772
YKR024C	64.867
YKR026C	91.023
YKR030W	124.476
YKR031C	116.343
YKR032W	66.943
YKR033C	63.925
YKR035C	53.150
YKR042W	81.321
YKR043C	116.138
YKR044W	83.375
YKR045C	85.678
YKR047W	72.313
YKR048C	78.746
YKR049C	57.848
YKR050W	135.618
YKR051W	67.988
YKR052C	122.212
YKR054C	91.463
YKR055W	267.772
YKR056W	106.319
YKR057W	166.572
YKR058W	249.891
YKR059W	239.953
YKR060W	63.264
YKR061W	120.397
YKR064W	63.761
YKR065C	58.988
YDR244W	68.014
YDR247W	357.555
YDR248C	68.789
YDR249C	137.265
YDR250C	182.290
YDR251W	75.731
YDR252W	87.046
YDR253C	65.012
YDR254W	89.361
YDR255C	131.700
YDR256C	61.101
YDR257C	53.751
YDR258C	68.401
YDR259C	103.106
YDR260C	115.334
YDR261C	183.949
YDR262W	181.764
YDR263C	255.097
YDR264C	96.109
YDR265W	230.940
YDR266C	105.158
YDR269C	73.529
YDR270W	310.701
YDR271C	64.176
YDR272W	204.109
YDR273W	157.391
YDR274C	289.818
YDR275W	183.055
YDR276C	70.734
YDR277C	92.362
YDR278C	102.457
YDR279W	94.951
YDR281C	75.797
YDR282C	84.878
YDR284C	85.007
YDR285W	86.479
YDR286C	82.078
YDR287W	85.546
YDR289C	83.777
YDR290W	82.001
YDR291W	118.896
YDR293C	161.987
YDR294C	76.253
YDR295C	141.678
YDR297W	98.867
YDR298C	94.179
YDR304C	72.037
YDR305C	86.803
YDR306C	81.152
YDR307W	105.751
YDR309C	99.363
YDR310C	127.460
YDR312W	89.226
YDR313C	250.113
YDR314C	69.888
YDR315C	64.028
YDR316W	75.374
YDR317W	78.016
YDR318W	93.954
YDR319C	74.174
YDR320C	73.872
YDR321W	102.540
YDR322W	104.195
YDR323C	80.259
YDR329C	129.293
YDR330W	88.227
YDR332W	61.900
YDR333C	67.092
YDR334W	123.529
YDR335W	164.003
YDR336W	134.436
YDR337W	65.377
YIL001W	111.306
YIL002C	97.542
YIL005W	127.697
YIL011W	105.973
