ORF	Pho5 phosphatase activity;phosphate starvation
YMR179W	103.144
YMR180C	88.387
YMR182C	90.610
YMR183C	86.028
YMR184W	87.050
YMR186W	115.363
YMR187C	104.776
YMR188C	101.528
YMR189W	339.711
YMR190C	98.667
YMR191W	113.694
YMR192W	90.672
YMR193W	75.767
YMR194W	86.796
YMR193C-A	87.165
YMR195W	80.786
YMR196W	80.129
YMR198W	85.370
YMR199W	98.252
YMR201C	134.737
YMR202W	82.832
YMR204C	115.305
YMR205C	95.958
YMR206W	97.217
YMR207C	158.590
YMR210W	73.311
YMR214W	85.202
YMR215W	77.476
YMR216C	93.081
YMR219W	64.659
YMR221C	79.386
YMR222C	77.940
YMR223W	110.592
YMR224C	114.785
YMR225C	101.490
YMR226C	88.868
YMR228W	100.594
YMR230W	64.230
YMR231W	79.900
YMR232W	71.326
YMR233W	84.881
YMR234W	72.873
YMR237W	79.648
YMR238W	74.836
YMR241W	112.556
YMR242C	71.206
YMR243C	134.217
YMR244W	80.202
YMR245W	78.905
YMR244C-A	85.052
YMR246W	97.630
YMR247C	78.969
YMR250W	107.138
YMR251W	74.368
YMR251W-A	78.893
YMR252C	117.365
YMR253C	108.344
YMR254C	96.109
YMR255W	86.705
YMR256C	85.983
YMR257C	92.416
YMR258C	38.289
YMR259C	88.596
YMR261C	68.494
YMR262W	73.221
YNL047C	82.767
YMR264W	94.674
YMR265C	100.047
YMR266W	93.392
YMR267W	102.329
YMR269W	87.052
YMR272C	79.040
YMR273C	99.930
YMR274C	107.116
YMR275C	105.103
YMR276W	103.001
YMR278W	82.625
YMR280C	93.677
YMR282C	115.368
YMR283C	104.270
YMR284W	101.439
YMR285C	112.256
YMR286W	138.466
YMR287C	106.876
YMR289W	80.884
YMR291W	87.341
YMR292W	107.173
YMR293C	108.504
YMR294W	74.479
YMR294W-A	74.263
YMR295C	117.801
YMR297W	108.433
YMR299C	104.727
YMR300C	103.710
YMR302C	88.583
YMR303C	79.631
YMR304W	85.865
YMR304C-A	88.002
YMR305C	85.167
YMR306C-A	94.777
YMR307W	153.129
YMR310C	98.896
YNL339C	125.803
YNL338W	106.965
YNL336W	109.380
YNL335W	106.570
YNL334C	97.348
YNL333W	88.552
YNL332W	82.312
YNL330C	79.147
YNL329C	115.176
YNL328C	85.283
YNL327W	83.796
YNL326C	71.367
YNL324W	98.529
YNL325C	96.544
YNL323W	61.983
YNL322C	122.562
YNL321W	77.368
YNL320W	89.183
YNL319W	98.456
YNL318C	82.952
YNL314W	86.063
YNL311C	128.274
YNL309W	102.516
YNL053W	80.460
YNL305C	118.956
YNL304W	111.873
YNL303W	96.074
YNL302C	95.473
YNL301C	87.938
YNL299W	64.630
YNL298W	79.187
YNL086W	60.852
YNL297C	77.456
YNL295W	91.155
YNL294C	140.249
YNL293W	78.087
YNL089C	109.048
YNL291C	127.268
YNL289W	89.452
YNL288W	105.164
YNL286W	97.657
YNL285W	78.095
YNL283C	73.561
YNL281W	90.211
YNL280C	69.085
YNL278W	80.205
YNL096C	256.794
YNL276C	556.976
YNL275W	98.936
YNL273W	112.337
YNL271C	118.898
YNL270C	95.852
YNL269W	105.694
YNL268W	95.317
YNL266W	91.000
YNL265C	100.988
YNL264C	102.630
YNL259C	105.579
YNL257C	133.474
YNL255C	234.823
YNL254C	109.291
YNL253W	103.918
YNL249C	105.674
YNL248C	82.048
YNL246W	200.248
YOR001W	62.131
YOR002W	125.720
YOR003W	97.515
YOR005C	116.618
YOR006C	96.193
YOR007C	113.950
YOR008C	118.188
YOR009W	119.544
YOR010C	100.061
YOR011W	106.516
YOR012W	134.169
YOR013W	98.764
YOR014W	310.264
YOR015W	101.166
YOR016C	104.394
YOR017W	105.107
YOR018W	119.784
YOR019W	131.242
YOR021C	126.294
YOR022C	136.699
YOR023C	105.723
YOR024W	155.502
YOR025W	143.575
YOR026W	127.467
YOR027W	83.702
YOR028C	171.782
YOR029W	167.955
YOR030W	142.611
YOR031W	105.640
YOR032C	121.073
YOR033C	98.505
YOR034C	112.942
YOR035C	113.397
YOR036W	98.770
YOR037W	114.856
YOR038C	119.938
YOR039W	71.958
YOR040W	96.111
YOR041C	99.976
YOR042W	104.799
YOR043W	152.662
YOR044W	121.913
YOR045W	102.096
YOR047C	124.191
YOR049C	103.921
YOR050C	98.565
YOR051C	165.760
YOR052C	99.089
YOR053W	100.157
YOR054C	102.086
YOR055W	102.636
YOR058C	106.634
YOR059C	81.768
YOR061W	144.655
YOR062C	103.126
YOR064C	98.521
YOR065W	117.028
YOR066W	83.733
YOR067C	111.132
YOR068C	68.786
YOR069W	63.254
YOR070C	88.640
YOR071C	86.510
YOR072W	98.164
YOR073W	189.941
YOR076C	113.235
YOR078W	91.461
YOR079C	104.546
YOR080W	124.331
YOR081C	93.894
