orf	hap a | phosphatase activity of a specific protein (Pho5) | phosphate starvation [unknown] | Huang S~O'Shea EK, 2005
YAL002W	62.84443937762842
YAL004W	281.41853516536287
YAL005C	343.8981653267367
YAL007C	53.71096236440263
YAL008W	41.967560336627635
YAL009W	54.38552290941075
YAL010C	49.09717409717408
YAL011W	79.39003561076085
YAL012W	-0.9626838085784408
YAL013W	108.29445138853916
YAL014C	106.20938526330961
YAL015C	65.28293838949692
YAL016W	
YAL017W	261.381703218922
YAL018C	90.08553758834869
YAL019W	77.74262836571471
YAL020C	78.85619812402997
YAL021C	78.83737919169712
YAL022C	51.189183021451385
YAL023C	70.06125925372771
YAL024C	81.06324159591387
YAL026C	85.36361913186326
YAL027W	60.040987465981125
YAL028W	61.86980520522448
YAL029C	58.109516895486294
YAL030W	103.75311660912925
YAL031C	104.67641440785883
YAL034C	64.02847116706462
YAL035W	80.69859726836472
YAL036C	115.4718410106191
YAL037W	41.26224943399753
YAL039C	50.723028953517684
YAL040C	43.09013638565184
YAL042C-A	145.46977335386555
YAL042W	43.8303285320098
YAL044C	94.58702005148089
YAL045C	49.34743076007017
YAL046C	80.17801814887997
YAL047C	104.76561336305895
YAL048C	69.32987877388771
YAL049C	71.55365438758488
YAL051W	96.37456751133757
YAL053W	89.74595510422839
YAL054C	94.06969309462914
YAL055W	63.940680287496
YAL056C-A	98.04112907616096
YAL056W	114.60715574964951
YAL058W	51.43936884117625
YAL059W	217.79790783956446
YAL060W	32.74579771521188
YAL061W	65.17628544075947
YAL062W	51.819759088578195
YAL064C-A	123.92100128606647
YAL065C	70.51119850415625
YAL066W	63.691822811313386
YAL067C	51.41927682560238
YAL068C	85.16766685338649
YAR002C-A	130.8373590982287
YAR002W	73.9969219138136
YAR003W	138.03513500076548
YAR014C	51.19086915661508
YAR015W	62.89041974047367
YAR018C	49.24718527659705
YAR020C	95.81458504501728
YAR023C	44.832231507500474
YAR027W	52.781091110252554
YAR028W	47.97203765227021
YAR029W	115.40137711232103
YAR030C	169.51909041804845
YAR031W	68.9422134790571
YAR035W	80.89641491554035
YAR042W	44.27093464839162
YAR047C	118.05291770557375
YAR050W	149.90588751537265
YBL001C	68.01610907292729
YBL002W	251.41673886001152
YBL003C	121.264257190824
YBL005W	98.93796509411933
YBL006C	226.61820699203878
YBL007C	84.33687991325561
YBL008W	79.34507930945313
YBL009W	70.73761851840494
YBL010C	74.19026196915212
