orf	hap a | phosphatase activity of a specific protein (Pho5) | phosphate starvation [unknown] | Huang S~O'Shea EK, 2005
YAL002W	-0.4812894016896045
YAL004W	2.7883411670043996
YAL005C	3.7229684290323437
YAL007C	-0.6179162765865649
YAL008W	-0.793584788960349
YAL009W	-0.6078255850503852
YAL010C	-0.6869335272431212
YAL011W	-0.23378529089298591
YAL012W	-1.435774514475569
YAL013W	0.19859330848616613
YAL014C	0.16740298871735185
YAL015C	-0.44481211062635684
YAL016W	
YAL017W	2.4886119699293268
YAL018C	-0.07379222269606021
YAL019W	-0.2584287101786902
YAL020C	-0.2417709186456228
YAL021C	-0.24205242939008642
YAL022C	-0.6556393507573568
YAL023C	-0.37333363140213177
YAL024C	-0.20875595053560458
YAL026C	-0.14442698329092268
YAL027W	-0.5232259909050407
YAL028W	-0.49586886808017083
YAL029C	-0.5521186883542192
YAL030W	0.13065988314626767
YAL031C	0.14447141326311108
YAL034C	-0.46357757486450035
YAL035W	-0.21421063278309924
YAL036C	0.3059592450908852
YAL037W	-0.8041354723767045
YAL039C	-0.6626125082339741
YAL040C	-0.7767922731210624
YAL042C-A	0.7546956620647631
YAL042W	-0.7657198042645995
YAL044C	-0.006454944630911895
YAL045C	-0.6831899599549874
YAL046C	-0.22199792979264113
YAL047C	0.14580573254539742
YAL048C	-0.3842742873184361
YAL049C	-0.3510090245787855
YAL051W	0.020284819734462205
YAL053W	-0.07887200704411508
YAL054C	-0.014193592827240541
YAL055W	-0.46489083086794214
YAL056C-A	0.0452147667957499
YAL056W	0.29302449474283415
YAL058W	-0.6518968432059562
YAL059W	1.8366458293010164
YAL060W	-0.9315323204624453
YAL061W	-0.44640752265437667
YAL062W	-0.6462066191359167
YAL064C-A	0.4323494864268304
YAL065C	-0.36660302994657273
YAL066W	-0.46861346784577007
YAL067C	-0.6521973978900335
YAL068C	-0.14735821609508387
YAR002C-A	0.5358106712720484
YAR002W	-0.31446040173094003
YAR003W	0.6434815644432053
YAR014C	-0.6556141280105611
YAR015W	-0.4806015855082009
