orf	hap ? | growth (pooled culture, microarray) | compound 3 | YPD | Bendaha H~Bellaoui M, 2011	het | growth (pooled culture, microarray) | compound 3 | YPD | Bendaha H~Bellaoui M, 2011	hom | growth (pooled culture, microarray) | compound 6 | YPD | Bendaha H~Bellaoui M, 2011	het | growth (pooled culture, microarray) | compound 6 | YPD | Bendaha H~Bellaoui M, 2011
YBR098W	-15.106290080625355	0.0	0.0	0.0
YDR266C	-15.106290080625355	0.0	0.0	0.0
YDR369C	-15.106290080625355	0.0	0.0	0.0
YER116C	-15.106290080625355	0.0	0.0	0.0
YFR019W	-15.106290080625355	0.0	0.0	0.0
YGL213C	-15.106290080625355	0.0	0.0	0.0
YGL214W	-15.106290080625355	0.0	0.0	0.0
YHL034C	-15.106290080625355	0.0	0.0	0.0
YHR100C	-15.106290080625355	0.0	0.0	0.0
YIL028W	-15.106290080625355	0.0	0.0	0.0
YLR032W	-15.106290080625355	0.0	0.0	0.0
YLR234W	-15.106290080625355	0.0	0.0	0.0
YLR398C	-15.106290080625355	0.0	-21.36352030916253	0.0
YMR081C	-15.106290080625355	0.0	0.0	0.0
YOL110W	-15.106290080625355	0.0	0.0	0.0
YOL138C	-15.106290080625355	0.0	0.0	0.0
YOR076C	-15.106290080625355	0.0	-21.36352030916253	0.0
YPL161C	-15.106290080625355	0.0	0.0	0.0
YPR164W	-15.106290080625355	0.0	0.0	0.0
YPR189W	-15.106290080625355	0.0	0.0	0.0
YBL105C	0.0	-67.55738301621814	0.0	-22.519127672072717
YBL098W	0.0	0.0	-21.36352030916253	0.0
YDL073W	0.0	0.0	-21.36352030916253	0.0
YER095W	0.0	0.0	-21.36352030916253	0.0
YJL092W	0.0	0.0	-21.36352030916253	0.0
YKL037W	0.0	0.0	-21.36352030916253	0.0
YMR173W	0.0	0.0	-21.36352030916253	0.0
YNL032W	0.0	0.0	-21.36352030916253	0.0
YPR120C	0.0	0.0	-21.36352030916253	0.0
YGL120C	0.0	0.0	0.0	-22.519127672072717
YGR145W	0.0	0.0	0.0	-22.519127672072717
YJL061W	0.0	0.0	0.0	-22.519127672072717
YKL182W	0.0	0.0	0.0	-22.519127672072717
YMR033W	0.0	0.0	0.0	-22.519127672072717
YMR314W	0.0	0.0	0.0	-22.519127672072717
YOL038W	0.0	0.0	0.0	-22.519127672072717
YOR256C	0.0	0.0	0.0	-22.519127672072717
