orf	hap a | calcium uptake (calcium-45) | FK506 [1 ug/ml] | YPD | Martin DC~Cunningham KW, 2011	hap a | calcium uptake (calcium-45) | tunicamycin [5 ug/ml] | YPD | Martin DC~Cunningham KW, 2011	hap a | calcium uptake (calcium-45) | FK506 [1 ug/ml], tunicamycin [5 ug/ml] | YPD | Martin DC~Cunningham KW, 2011	hap a | calcium uptake (calcium-45) | alpha factor pheromone [40 uM] | YPD | Martin DC~Cunningham KW, 2011	hap a | calcium uptake (calcium-45) | FK506 [1 ug/ml], alpha factor pheromone [40 uM] | YPD | Martin DC~Cunningham KW, 2011
YAL002W	2.4976798402846496	-0.9897055783203169	-2.207680089867432	-1.11965550043292	-1.555388387903506
YAL004W	-0.13660645906448504	0.3462640938378666	0.1767548449454418	1.7367476200678218	0.6609797105380051
YAL005C	-0.09820292487920422	-0.5432416553016438	-1.122962721265765	0.7883856780650983	0.12037575893754458
YAL007C	-0.5904899728610498	-0.3973400086507367	-0.10099038049931736	-0.39208342586752937	-0.0918694063683616
YAL008W	0.16106020209241315	0.6696857811333047	0.9796198863851501	0.3979094575900168	0.5911473766953756
YAL009W	-0.32015979327989696	0.6409288967137496	0.12520539392934615	-0.20657655024098867	-0.5123773430841364
YAL010C	0.4723699321811629	-1.1504671079806152	-1.8028798638913883	-0.10328861833554054	-0.300355668636801
YAL011W	0.35110731591870153	-0.7986282900152353	-1.247713875573453	-0.06226581663780174	-0.5628483769230221
YAL012W	-0.5943890669745704	-0.10693870535507441	-0.8008189290644296	0.3013634573897804	-0.6800468140887491
YAL013W	0.3775889701925899	-1.087679424941079	-1.1306160232404214	0.2853302122748887	-1.004275968712068
YAL014C	-0.11063436550144266	-0.06995772400153227	-0.584267961676952	-0.060908417352461296	-0.7182997030766671
YAL015C	-0.4559421603026438	-0.35178608848636184	-0.15778473809776022	0.03274910036624664	-0.4041371292352285
YAL016W	3.602470485482746	-2.2478084693518046	-2.4681886400574107	-2.4034325099743787	-1.981101586876645
YAL017W	-0.5927338235310949	-0.9048380638231363	-0.7878690002908383	0.6719662189915213	-0.33037082203116963
YAL018C	-0.9305910529815566	-1.5438027544214152	-1.1991755469320842	-1.2561028778176417	-1.358439502594686
YAL019W	-0.8527080578352447	-1.4474105041093857	-0.8187655830550661	-1.2973265797465066	-1.1073065692948332
YAL020C	-0.46345925195788645	-0.5876912251327465	-1.4148410031606335	1.0865102266662592	0.03684266338895154
YAL021C	1.078293093917802	-0.6673629427141857	-0.6696037023256337	2.545056609520627	2.4444301367356935
YAL022C	0.12467277532465827	0.6370132668529707	1.0072263101525816	1.7879283610378571	1.1780251187958561
YAL023C	0.9583534025928336	0.8876071491838134	-0.12655356951540542	0.5950968972363682	1.7243469455578284
YAL024C	0.5550922905102208	-1.9559819008653345	-2.323838960184269	-2.7138482654284544	-2.5729991815984734
YAL026C	3.567563792313557	-1.7286091028957422	-2.248551034943177	-1.494626243527128	-2.0542599463417033
YAL027W	-0.5974506736915933	-0.1405920173528926	0.0020516658579543376	-0.03835417022346643	-0.11387858709799693
YAL028W	-0.22384402116660446	-0.42662205250259716	-0.0739358586029198	0.3343981214059826	-0.01784427721680225
YAL029C	-0.08335686158608538	-0.7644135838519118	-0.47420929861631117	-0.5690660465032964	-0.6220676728797049
YAL030W	-0.6100003319535382	-0.4781596504821944	-0.5217528694987434	-0.3606796030671226	-0.7025122815293136
YAL031C	-0.6823021507343613	-0.6011281113564083	-0.5830474695499985	-0.041177116722635694	-0.40625870346349113
YAL034C	-0.571932931509996	-0.9422920489617596	-1.0153602277850786	-0.6640733698657749	-0.5110633995056586
YAL035W	-0.31108755696965085	-2.3896915466278443	-2.4565780259111647	-1.0643270173420163	-0.94716037413019
YAL036C	-0.6499461077798137	-0.1621700208425855	0.299710492831615	-0.22650433304290718	0.06622797080180463
YAL037W	0.2806563880162718	1.2457589258289492	1.5211459304444943	1.2801228756823384	0.8684250689180546
YAL039C	0.05991585193482979	-0.9538552893407077	-1.4620116181480876	0.962036876963156	-0.27747231726540084
YAL040C	0.04602956393361156	-0.9549343773234262	-1.263064597641127	-0.4820647025611841	-0.9385245966669242
YAL042C-A	0.2744589753714134	0.6184796083029587	-0.0431933082719225	1.2688254781197026	0.6982188344928604
YAL042W	0.12757228962444003	0.1976611757528358	-0.4802318851394419	-0.3225928501394529	-0.2833476776277048
YAL044C	0.1720729213973968	-0.1051314460428933	-0.581047666435436	1.0434682102586852	-0.20853452129499275
YAL045C	-0.01907087994423456	-0.4594526404163854	-0.17027430320306017	0.47588981226622046	-0.263669886384531
YAL046C	-0.22901240235051623	-0.2523772555063338	-0.6841329172449574	-0.06794288321214667	-0.3406387803840411
YAL047C	3.1002741710684205	1.2756741442372195	0.8553294942513542	1.3495853698223752	0.7194703998565559
YAL048C	-0.35112887286336186	-1.182513706052591	-1.3059717393709338	0.46108780313414943	-0.7759565931148559
YAL049C	-0.46019994700429756	-0.5604797260429343	-0.23110149631066562	0.240798731298624	-0.734172629193369
