orf	hap a | calcium uptake (calcium-45) | FK506 [1 ug/ml] | YPD | Martin DC~Cunningham KW, 2011	hap a | calcium uptake (calcium-45) | tunicamycin [5 ug/ml] | YPD | Martin DC~Cunningham KW, 2011	hap a | calcium uptake (calcium-45) | FK506 [1 ug/ml], tunicamycin [5 ug/ml] | YPD | Martin DC~Cunningham KW, 2011	hap a | calcium uptake (calcium-45) | alpha factor pheromone [40 uM] | YPD | Martin DC~Cunningham KW, 2011	hap a | calcium uptake (calcium-45) | FK506 [1 ug/ml], alpha factor pheromone [40 uM] | YPD | Martin DC~Cunningham KW, 2011
YAL002W	2.5596778452601	4.2181146025878	9.98041545638588	7.4045858639204285	16.775723967960566
YAL004W	1.1894125530489166	6.587335269153451	39.39948626312263	18.413111458566007	41.10308242126424
YAL005C	1.2093887530562346	5.009877750611247	23.36361858190709	14.758141809290953	35.169290953545236
YAL007C	0.9533179319684538	5.26862104676173	35.972675854377435	10.208635385963515	32.839639926710745
YAL008W	1.3442485306465155	7.160894206549118	49.30520570948783	13.253253568429892	40.33658690176322
YAL009W	1.0939344103705138	7.109896488342845	38.76347102640998	10.923575505465802	28.224049530811644
YAL010C	1.5061811643065857	3.933018655877725	14.97482580355136	11.321645313553606	30.551247471341874
YAL011W	1.4431045145330859	4.556972789115646	21.824443413729124	11.479746444032157	27.67006802721088
YAL012W	0.9512897570748812	5.783621337340346	27.338216879539196	12.881167042324067	26.38367142499374
YAL013W	1.4568793619142573	4.044366899302093	23.269192422731802	12.819375207710202	22.82485875706215
YAL014C	1.2029223444426203	5.849203743227713	30.010014775898867	11.4849778361517	25.963799047775407
YAL015C	1.0233050847457628	5.349406779661017	35.271949152542376	11.84593220338983	29.412118644067796
YAL016W	3.1343520090548957	1.986983588002264	6.766270514997171	2.456932654216186	12.102999434069044
YAL017W	0.9521507578861123	4.368619418271201	27.497992625972966	14.309463334698895	30.221794346579273
YAL018C	0.7764090264907882	3.235473672735201	22.423307532977216	6.878720156982449	18.937479559577017
YAL019W	0.8169210866752911	3.4064165588615785	27.116791720569207	6.719844760672704	21.693971539456662
YAL020C	1.0193949517446177	4.9310504825538235	19.76243504083148	15.907108389012622	34.25241276911656
YAL021C	1.8213615903975993	4.789759939984997	28.957145536384093	21.528319579894973	60.6786384096024
YAL022C	1.3253210405004938	7.102952475030183	49.64581275381407	18.610361101964656	46.77828997914609
YAL023C	1.758973080757727	7.547357926221336	35.657278165503485	14.013210368893319	52.77484214024592
YAL024C	1.5492104950730141	2.504511456725632	8.547251573073726	1.260595987177965	5.606197316870474
YAL026C	3.1161947456900814	2.9077364274648114	9.476151234466164	5.959455450440057	11.299996703695157
YAL027W	0.9496972143722244	5.723940250302786	37.24400484457004	11.57190149374243	32.59806217198224
YAL028W	1.144034568296391	5.21669200608146	36.30647355365288	13.008482035688564	33.652156517564215
YAL029C	1.2171111654840552	4.617649457629883	31.367914525731997	9.526547589919257	27.02006361634451
YAL030W	0.9431693130011004	5.125294764974061	30.78132369124351	10.329665146989468	26.137085363936492
YAL031C	0.9055603891481453	4.907221387328957	30.02507316301511	11.561021909356956	29.38883176461283
YAL034C	0.9629706677761598	4.302198183205048	24.691214201511684	9.16039109631787	28.238471673254285
YAL035W	1.0986534762297333	1.735366859027205	6.90952184666117	7.617820829898323	23.451772464962904
YAL036C	0.9223908918406071	5.685673624288425	40.91650853889943	10.846774193548386	34.574952561669825
YAL037W	1.4064583605700092	8.182507517322525	55.986534187475485	16.65328801150477	43.38004967969669
YAL039C	1.29163671219746	4.281691828420801	19.180445722501798	15.427390366642703	30.80242032111191
YAL040C	1.2844135419253375	4.279778164059267	21.635046767651684	9.861849184670143	23.546560715172586
YAL042C-A	1.4032346792826493	7.070084717790736	36.68577401254263	16.609748047089887	41.51182748377159
YAL042W	1.3268292682926828	6.323801513877208	31.293608074011775	10.476450798990749	30.73793103448276
YAL044C	1.3499769691386458	5.786826347305389	30.049746660525106	15.741225241824045	31.559097190234915
YAL045C	1.2505505260582335	5.158469945355191	35.117853356169974	13.553788434874807	30.95391892994046
YAL046C	1.141346153846154	5.5256993006993005	28.777884615384618	11.457867132867133	30.109090909090913
YAL047C	2.8731267277753525	8.235559435472137	47.77171540811872	16.92099519860323	41.74508948057617
YAL048C	1.0778253584062558	3.876186929808229	21.10566002606591	13.496741761310743	25.330943958294544
YAL049C	1.0210903302825307	4.979307600477517	34.36736967767609	12.64775169120573	25.789574214086752
YAL051W	0.9686978628743943	4.840549773575912	35.4512592357194	16.352824342575676	29.53920711845555
YAL053W	4.012249021341078	5.448288925369364	32.3273140548049	8.134676095466599	40.36797575451446
YAL054C	1.8289296306282017	7.318145052574819	48.350363979509304	16.656376381774063	38.68198975465084
YAL055W	0.899214659685864	5.510580279232112	41.803010471204196	12.780650087260035	37.201679755671904
YAL056C-A	2.267738023044269	5.297756215888418	37.33343440468971	11.220032342834042	33.116232059834246
YAL056W	1.0530143091719446	8.59746657283603	58.22777386816796	22.36077879427633	46.61072015012901
YAL058W	3.6443132179259017	5.679339912635497	37.879388448471126	9.812408995308203	33.641724640025885
YAL059W	1.5214715536105035	6.713347921225384	72.55620897155362	28.817423413566743	87.31003829321664
YAL060W	1.3150747460915213	7.744493894784892	50.98824603446308	15.350678991213057	38.63585530069611
YAL061W	1.2130765331981754	6.394019260010136	45.61317790167258	14.333299543841864	36.683527622909274
YAL062W	1.2288563190773665	6.241470446900529	42.24098990869774	15.752763094666026	34.14596347909659
YAL064C-A	1.1371317652432062	6.700616579127655	50.662708380908875	12.697305320849509	40.32735784425668
YAL065C	1.2393080249879866	7.503964440172993	54.00324363286881	16.829168668909176	42.228856319077366
YAL066W	1.009663483401546	7.103910868576625	49.52398817644384	14.649045020463847	37.73954070031833
YAL067C	1.1945439224773542	6.319254265852117	45.129660838424265	13.84516536760059	37.31251316621024
YAL068C	1.0859188544152745	5.687848050914876	40.39001591089896	12.746718377088305	35.013723150358
YAR002C-A	1.1648436636835708	6.2645011600928076	40.36316429123853	12.510219865208265	34.66379405590542
YAR002W	1.009644551606129	4.3965155168390755	28.049700552228355	8.644396048844987	23.73236369292992
YAR003W	0.9293241423025117	3.8263212106806117	22.19134775374376	8.19744869661675	13.379288487441565
YAR014C	1.1633237822349571	3.455229226361032	14.457091690544413	8.017550143266476	24.212535816618914
YAR015W	1.1855796804588286	4.263252765260139	23.0412126177796	7.100368701351906	22.428840639082345
YAR018C	1.2016994158258099	3.280350504514073	20.45602761550717	6.570207116303771	19.02145512480085
YAR020C	1.0720605479160004	6.351668265643321	47.4872614859823	15.405393881249333	40.761965675301134
