orf	hom | growth (spot assay) | 1,4-dithiothreitol [32 mM] | Rand JD~Grant CM, 2006
YAL016W	-4.836824556966254
YAL035W	-4.836824556966254
YBL006C	-4.836824556966254
YBL025W	-4.836824556966254
YBL033C	-4.836824556966254
YBL058W	-4.836824556966254
YBL093C	-4.836824556966254
YBR025C	-4.836824556966254
YBR036C	-4.836824556966254
YBR106W	-4.836824556966254
YBR112C	-4.836824556966254
YBR126C	-4.836824556966254
YBR127C	-4.836824556966254
YBR200W	-4.836824556966254
YBR279W	-4.836824556966254
YBR283C	-4.836824556966254
YCL058C	-4.836824556966254
YCR020W-B	-4.836824556966254
YCR028C	-4.836824556966254
YCR033W	-4.836824556966254
YCR036W	-4.836824556966254
YCR044C	-4.836824556966254
YCR046C	-4.836824556966254
YCR047C	-4.836824556966254
YCR084C	-4.836824556966254
YDL075W	-4.836824556966254
YDL100C	-4.836824556966254
YDL106C	-4.836824556966254
YDL115C	-4.836824556966254
YDL116W	-4.836824556966254
YDL130W	-4.836824556966254
YDL142C	-4.836824556966254
YDL151C	-4.836824556966254
YDL191W	-4.836824556966254
YDL192W	-4.836824556966254
YDR027C	-4.836824556966254
YDR028C	-4.836824556966254
YDR048C	-4.836824556966254
YDR049W	-4.836824556966254
YDR069C	-4.836824556966254
YDR101C	-4.836824556966254
YDR129C	-4.836824556966254
YDR138W	-4.836824556966254
YDR226W	-4.836824556966254
YDR264C	-4.836824556966254
YDR300C	-4.836824556966254
YDR320C	-4.836824556966254
YDR323C	-4.836824556966254
YDR337W	-4.836824556966254
YDR389W	-4.836824556966254
YDR392W	-4.836824556966254
YDR477W	-4.836824556966254
YDR532C	-4.836824556966254
YEL027W	-4.836824556966254
YEL031W	-4.836824556966254
YEL033W	-4.836824556966254
YEL036C	-4.836824556966254
YEL044W	-4.836824556966254
YEL051W	-4.836824556966254
YEL062W	-4.836824556966254
YER014C-A	-4.836824556966254
YER068W	-4.836824556966254
YER070W	-4.836824556966254
YER087W	-4.836824556966254
YER122C	-4.836824556966254
YFL031W	-4.836824556966254
YFL032W	-4.836824556966254
YFR019W	-4.836824556966254
YGL020C	-4.836824556966254
YGL025C	-4.836824556966254
YGL038C	-4.836824556966254
YGL058W	-4.836824556966254
YGL070C	-4.836824556966254
YGL095C	-4.836824556966254
YGL135W	-4.836824556966254
YGL136C	-4.836824556966254
YGL148W	-4.836824556966254
YGL151W	-4.836824556966254
YGL206C	-4.836824556966254
YGL240W	-4.836824556966254
YGL246C	-4.836824556966254
YGR006W	-4.836824556966254
YGR020C	-4.836824556966254
YGR104C	-4.836824556966254
YGR105W	-4.836824556966254
YGR167W	-4.836824556966254
YGR180C	-4.836824556966254
YGR262C	-4.836824556966254
YHL011C	-4.836824556966254
YHL038C	-4.836824556966254
YHR010W	-4.836824556966254
YHR021C	-4.836824556966254
YHR026W	-4.836824556966254
YHR039C-A	-4.836824556966254
YHR060W	-4.836824556966254
YHR079C	-4.836824556966254
YHR082C	-4.836824556966254
YHR091C	-4.836824556966254
YHR100C	-4.836824556966254
YHR183W	-4.836824556966254
YHR206W	-4.836824556966254
YIL154C	-4.836824556966254
YIR026C	-4.836824556966254
YIR037W	-4.836824556966254
YJL028W	-4.836824556966254
YJL053W	-4.836824556966254
YJL070C	-4.836824556966254
YJL075C	-4.836824556966254
YJL120W	-4.836824556966254
YJL121C	-4.836824556966254
YJL180C	-4.836824556966254
YJL184W	-4.836824556966254
YJL188C	-4.836824556966254
YJL189W	-4.836824556966254
YJR055W	-4.836824556966254
YJR090C	-4.836824556966254
YJR121W	-4.836824556966254
YKL118W	-4.836824556966254
YKL119C	-4.836824556966254
YKL190W	-4.836824556966254
YKL212W	-4.836824556966254
YKL213C	-4.836824556966254
YKR001C	-4.836824556966254
YKR024C	-4.836824556966254
YKR029C	-4.836824556966254
YKR082W	-4.836824556966254
YLL039C	-4.836824556966254
YLR025W	-4.836824556966254
YLR027C	-4.836824556966254
YLR148W	-4.836824556966254
YLR193C	-4.836824556966254
YLR240W	-4.836824556966254
YLR242C	-4.836824556966254
YLR244C	-4.836824556966254
YLR358C	-4.836824556966254
YLR369W	-4.836824556966254
YLR382C	-4.836824556966254
YLR396C	-4.836824556966254
YLR403W	-4.836824556966254
YLR426W	-4.836824556966254
YML008C	-4.836824556966254
YML028W	-4.836824556966254
YML036W	-4.836824556966254
YML129C	-4.836824556966254
YMR014W	-4.836824556966254
YMR077C	-4.836824556966254
YMR123W	-4.836824556966254
YMR142C	-4.836824556966254
YMR202W	-4.836824556966254
YMR205C	-4.836824556966254
YNL025C	-4.836824556966254
YNL027W	-4.836824556966254
YNL032W	-4.836824556966254
YNL064C	-4.836824556966254
YNL081C	-4.836824556966254
YNL115C	-4.836824556966254
YNL121C	-4.836824556966254
YNL133C	-4.836824556966254
YNL140C	-4.836824556966254
YNL199C	-4.836824556966254
YNL229C	-4.836824556966254
YNL236W	-4.836824556966254
YNL250W	-4.836824556966254
YNL280C	-4.836824556966254
YNL296W	-4.836824556966254
YNL297C	-4.836824556966254
YNR006W	-4.836824556966254
YOL051W	-4.836824556966254
YOL081W	-4.836824556966254
YOL086C	-4.836824556966254
YOR026W	-4.836824556966254
YOR036W	-4.836824556966254
YOR069W	-4.836824556966254
YOR070C	-4.836824556966254
YOR085W	-4.836824556966254
YOR115C	-4.836824556966254
YOR132W	-4.836824556966254
YOR141C	-4.836824556966254
YOR150W	-4.836824556966254
YOR195W	-4.836824556966254
YOR209C	-4.836824556966254
YOR299W	-4.836824556966254
YOR304C-A	-4.836824556966254
YOR331C	-4.836824556966254
YOR369C	-4.836824556966254
YOR386W	-4.836824556966254
YPL045W	-4.836824556966254
YPL050C	-4.836824556966254
YPL090C	-4.836824556966254
YPL106C	-4.836824556966254
YPL127C	-4.836824556966254
YPL130W	-4.836824556966254
YPL254W	-4.836824556966254
YPR036W	-4.836824556966254
YPR072W	-4.836824556966254
