orf	hom | growth (colony size) | standard | SC | Jaeger PA~Ideker T, 2018	hom | growth (colony size) | standard | SC, Gal [2%] | Jaeger PA~Ideker T, 2018	hom | gene expression (prGAL1-GFP) | standard | SC - Ura | Jaeger PA~Ideker T, 2018	hom | gene expression (prGAL1-GFP) | standard | SC - Ura, Gal [2%] | Jaeger PA~Ideker T, 2018	hom | gene expression (prTEF1-GFP) | glucose [2%] | None | Jaeger PA~Ideker T, 2018	hom | gene expression (prTEF1-GFP) | galactose [2%] | None | Jaeger PA~Ideker T, 2018	hom | degradation of misfolded proteins (del-ssCPY*-GFP) | standard | None | Jaeger PA~Ideker T, 2018
YAL002W	-0.7489319559344148	-0.06454579959783781	-0.9028007760508466	-1.238670084112831	-0.5330775292290304	-0.7695643943733393	0.8353684068045174
YAL004W	0.086021231005125	-0.020048864372404503	-0.8753026629226769	0.30911755032669724	0.03963810797404318	-0.09007331617648809	1.131223627392779
YAL005C	0.0232320048498057	-0.7257165331481923	-0.5545416652923647	0.25931824381843144	0.27058466619011723	-0.2804952183002226	0.2524532060840262
YAL007C	-0.33501935369033464	-0.0562259094307818	0.069556852210745	0.13637269829882104	-0.7166970039353832	0.03757796144529021	0.4689860102920071
YAL008W	-0.8532649964904463	-0.1417791389037834	0.49637219752550155	0.043702785695235336	-0.06477556483430302	0.07372787253743338	0.14824802325933611
YAL009W	-0.07719330479412306	0.5299264498436523	-0.13710425073391141	-0.4343993493229402	-0.1591008375813686	-0.6968628469900235	-0.14787473139308277
YAL010C	-0.7568561386605087	-0.49630495824613496	-0.5843885563468421	-2.0072715323421404	-0.821116224496248	-1.2576633441165033	1.8288084989750575
YAL011W	-0.05707017588677264	-0.16751276028552312	0.34533210731660924	-1.2814546760596013	-0.291535555926928	-2.341538910748984	0.7152069239936562
YAL012W	0.787655966404501	0.6417657045623171	-1.585993327208924	-2.1930160651432136	-2.1079067903672373	-1.6886928947367847	3.7699880914455206
YAL013W	-1.929631352031671	-1.1778855062193567	-0.46409005296068073	-1.7637461126114011	-2.500091098930801	-2.560654302638691	1.389166578537866
YAL014C	0.3196426488463233	0.0452384328841654	0.044368333251581946	0.21859262026924065	0.34609735041217865	0.5512646713806648	-0.20740298204048319
YAL015C	0.0822791575983734	-0.01982733036521799	0.2811907377702274	0.08918903198713392	0.07300631537188385	0.05426519805263138	0.5367456097023464
YAL016C-B	-0.21026527492130972	-0.1162397312365203	1.1100914864392155	0.5406735767559454	0.2272848516690384	0.3636586682340904	-0.40332735710192796
YAL016W			-2.41980145358139	-2.503866864329004	-3.023604999383213	-2.7062009321633633	
YAL017W	-0.5805488561984017	-0.7527934553923621	-0.21700956243202008	0.27860967318221636	-0.01144207118646587	-0.22237956600251071	0.08597610343406159
YAL018C	0.3738297407539192	-0.024795661377547688	0.15328987125438268	0.12991786066603636	0.07315681491826455	-0.1723966519876136	0.02287171369333102
YAL019W	-0.7666432493593858	-0.3797073995588933	-0.25684555627657474	-0.5661641502178844	-0.38532049441981375	-0.2455618113081559	0.4183526201942622
YAL020C	0.016562512950137782	-1.1510444468337409	-0.2357843019664093	-0.19138253003443365	0.21727686536731253	-0.3020902365214946	1.2910631013796479
