orf	hom | growth (pooled CFU) | STF-62247 [0-100 uM] | YPD | Turcotte S~Giaccia AJ, 2008
YAL026C	-19.478620758838822
YBL078C	-19.478620758838822
YER031C	-19.478620758838822
YGR063C	-19.478620758838822
YHR073W	-19.478620758838822
YJR102C	-19.478620758838822
YLR170C	-19.478620758838822
YMR077C	-19.478620758838822
YNL298W	-19.478620758838822
YNL325C	-19.478620758838822
YPL170W	-19.478620758838822
YPL227C	-19.478620758838822
