orf	hap a | expression level of a particular gene (HTA1) | standard [standard] | Fillingham J~Andrews BJ, 2009
YAL002W	1.0231428973047854
YAL004W	-0.22558612992318577
YAL005C	-0.9919281874620787
YAL007C	-0.2936169376960744
YAL008W	0.26444021521841093
YAL014C	-0.06459137859602321
YAL015C	0.2771859766446566
YAL017W	0.2914230997390684
YAL018C	1.0377394493609626
YAL019W	-0.6679902531460249
YAL020C	1.0245813630151779
YAL022C	0.7977999539292422
YAL023C	-1.5829838052969785
YAL026C	-0.18776629041597723
YAL027W	0.22735036483552287
YAL028W	-2.162803023524208
YAL029C	-0.17585535539746497
YAL030W	0.2146080417224547
YAL031C	0.43722328494278456
YAL034C	0.24161095630745819
YAL036C	-0.32619844279858823
YAL037W	-0.10581357405758693
YAL040C	0.4229512468291193
YAL042C-A	0.4261412048210024
YAL042W	-0.07248155882997268
YAL045C	-0.16949717622596086
YAL046C	-0.6085124883749481
YAL048C	-0.0012425617973315952
YAL049C	-0.32746396675533984
YAL051W	-0.7166013730438768
YAL053W	0.015049095548623758
YAL054C	0.7393612690046248
YAL055W	-2.611646392727777
YAL056W	-1.2099783666657684
YAL058W	-0.602135862685973
YAL060W	-0.3697723760274031
YAL061W	-0.18822663601984083
YAL062W	-0.4906003909227291
YAL064C-A	-0.6427501613953199
YAL065C	0.36211496759392536
YAL066W	-1.2411250370041162
YAL067C	0.5510057318366317
YAL068C	-0.316781274060121
YAR002C-A	-0.07110983443277083
YAR002W	-0.29362145381069327
YAR014C	-0.752528521385101
YAR015W	-1.545812959944794
YAR018C	-0.8742735664039788
YAR020C	0.021795203920570036
YAR023C	-0.09159929925221791
YAR027W	0.5184695918746732
YAR028W	0.5022865555266895
YAR029W	0.21851500539206545
YAR030C	0.5461973934433731
YAR031W	0.3715407057126707
YAR035W	0.021031276438257574
YAR042W	0.16739648215679453
YAR047C	0.29965984530492396
YAR050W	-0.6282971621292551
YBL001C	0.6467688482476188
YBL003C	2.7095060975039407
YBL005W	0.4035510986531386
YBL007C	-1.710545184048112
YBL008W	5.321877245652666
YBL009W	-0.7174233497545681
YBL010C	0.1258527904236482
YBL011W	-1.3749537251847617
YBL013W	-0.5159385528662894
YBL015W	0.6783246531106203
YBL016W	-1.6455001724228495
YBL017C	-1.1273147438913214
YBL019W	0.034284715597456494
YBL024W	-0.18250307422936496
YBL028C	-0.29487975188881
YBL029W	-1.043445893962655
YBL032W	-0.6057698763964098
YBL036C	0.8985927735672883
YBL037W	-0.14071384377613264
YBL039C	0.07991285490303134
YBL042C	0.7304575256098286
YBL043W	0.06177195576299004
YBL046W	-1.129064014469428
YBL047C	-1.426092189121519
YBL048W	-0.3009361197997798
YBL049W	-0.6549836763923702
YBL052C	0.9419746094381675
YBL053W	0.7607506623943654
YBL054W	0.8774266029375564
YBL055C	-1.618255474162169
YBL056W	-0.5876523509495811
YBL057C	0.21416757669119785
YBL059W	-0.28996069362581434
YBL060W	-2.072789346012423
YBL061C	-1.1122261576404353
YBL062W	-0.6349612035659177
YBL063W	-0.25993677965979106
YBL064C	-0.7596560974605684
YBL065W	0.4673522340744539
YBL066C	-1.9024561581477368
YBL067C	-0.4690467708345352
YBL068W	-0.7678301933335487
YBL069W	-2.1469102813149026
YBL070C	0.2266130601274645
YBL071C	-0.15891726876648396
YBL072C	-0.22982988408249358
YBL075C	-0.19272895900215112
YBL079W	-0.23932858452303507
YBL081W	-2.188637675470106
YBL082C	-1.2982757379634335
YBL083C	-0.8049234606528984
YBL085W	-0.12838142524235333
YBL086C	-0.058351224471072605
YBL087C	-1.0311808011726573
YBL088C	0.024659959546066187
YBL091C	0.8902853046427996
YBL091C-A	-2.0878270515570145
YBL094C	-1.4752571812873239
YBL095W	-0.49840401200319145
YBL096C	-0.06337111894527707
YBL098W	-1.0027370526234771
YBL100C	0.5552057660266341
YBL101C	-1.0298935668673932
YBL102W	-2.1430446190677763
YBL103C	-0.14441284122114112
YBL104C	0.1255698196253792
YBL106C	-1.8814688861671398
YBL107C	-1.0863558101015602
YBR001C	0.401864708087167
YBR005W	-0.20821214225628806
YBR006W	-1.3962003931394684
YBR007C	-0.16147809681831807
YBR008C	0.08684734445775094
YBR009C	4.056807425433535
YBR010W	2.4780329159737833
YBR012C	0.9506150775729211
YBR013C	0.22431259653706262
YBR014C	0.21092897509707348
YBR015C	-0.3501361950620144
YBR016W	-0.9973997957730854
YBR018C	-0.6043890191592175
YBR019C	0.2602568473203017
YBR020W	-1.1479530671747071
YBR022W	-1.749150369993524
YBR024W	-0.1493113450616482
YBR027C	-0.004588126301682547
YBR028C	0.25150407693024424
YBR030W	-0.03520945578634776
YBR031W	0.003453162756349177
YBR032W	0.5686052083180774
YBR033W	-0.09554810429689886
YBR034C	-0.4666900450651204
YBR040W	-0.21605684319685972
YBR041W	-1.2093844086240595
YBR042C	-2.023102909325482
YBR043C	-2.201430914287402
YBR045C	-0.16507516073558798
YBR046C	0.48825937682724846
YBR047W	0.10654021280638502
YBR048W	-0.49444464752998146
YBR050C	0.016933966939758714
YBR051W	0.6005940542963691
YBR052C	0.08280681877014086
YBR053C	0.045810748574455475
YBR054W	-0.4693084711421517
YBR056W	-0.14322228756578212
YBR057C	-0.21433948058883562
YBR058C	0.12427220652631116
YBR059C	-0.696329570374851
YBR061C	-0.8406537016432017
YBR062C	0.21449812072668542
YBR063C	0.3140046526384482
YBR064W	-0.9104022159852523
YBR065C	0.44469463213104593
YBR066C	-0.008697776978802158
YBR067C	0.4880944139770927
YBR068C	-0.05208616810384932
YBR069C	-0.16090118643317558
YBR071W	0.17586375589664616
YBR072W	-0.0484621165353563
YBR073W	-1.6969963281427476
YBR074W	-0.04116573335740148
YBR076W	-1.5590530669206497
YBR077C	-0.9043249602338141
YBR078W	-0.4077105499349905
YBR082C	1.3136076842576567
YBR083W	-1.2563405745142775
YBR084W	-0.9123105864488977
YBR085W	-1.5574675043841024
YBR089C-A	-0.04416904649378647
YBR090C	0.9725529991555963
YBR092C	0.2040756251234594
YBR094W	-0.585027396473043
YBR095C	1.5619628036327495
YBR098W	-1.3318270050653185
YBR099C	-0.7961033139289839
YBR101C	-0.23321339628582383
YBR103W	1.208454083359203
YBR104W	-0.3998930100989914
