ORF	hap a | expression level of a particular gene (HTA1) | standard [standard] | Fillingham J~Andrews BJ, 2009
YLL002W	-1.318
YGR270W	-1.057
YER111C	-0.867
YNL246W	-0.840
YHR031C	-0.782
YJR043C	-0.725
YCL061C	-0.467
YJL078C	-0.696
YIL039W	-0.688
YHR001W-A	-0.678
YJL178C	-0.652
YIL145C	-0.644
YJR058C	-0.643
YJL193W	-0.636
YGR221C	-0.629
YJR069C	-0.628
YMR304W	-0.620
YJR062C	-0.617
YJL196C	-0.617
YLR191W	-0.615
YIL029C	-0.615
YJL147C	-0.611
YGL152C	-0.610
YHL041W	-0.604
YIL168W	-0.595
YHR126C	-0.592
YJL164C	-0.592
YHL046C	-0.591
YJL192C	-0.590
YHR130C	-0.589
YKL046C	-0.584
YIL166C	-0.583
YPR054W	-0.581
YNL128W	-0.578
YIL014C-A	-0.572
YIL042C	-0.565
YHL022C	-0.564
YJL182C	-0.560
YNL068C	-0.558
YGR107W	-0.557
YAL055W	-0.550
YPL037C	-0.548
YBR114W	-0.547
YGR188C	-0.540
YJR133W	-0.537
YLR406C	-0.535
YHL040C	-0.535
YPR156C	-0.534
YGR194C	-0.533
YHR125W	-0.532
YPR120C	-0.528
YLR032W	-0.525
YLR255C	-0.522
YDR024W	-0.520
YKR097W	-0.519
YDL184C	-0.519
YMR026C	-0.518
YJL163C	-0.517
YHL025W	-0.517
YGR071C	-0.513
YGR248W	-0.511
YIL038C	-0.510
YJL162C	-0.510
YKR027W	-0.509
YKR030W	-0.509
YKR098C	-0.508
YKL217W	-0.508
YHL047C	-0.508
YGR275W	-0.506
YHR022C	-0.505
YIL041W	-0.505
YJL084C	-0.504
YHR156C	-0.503
YHR028C	-0.501
YKL068W	-0.500
YGR205W	-0.498
YGR086C	-0.497
YHL036W	-0.497
YGL153W	-0.496
YNL141W	-0.494
YHL026C	-0.492
YHR124W	-0.492
YOR175C	-0.488
YPL036W	-0.488
YLR390W-A	-0.229
YOL119C	-0.486
YBR129C	-0.485
YKL215C	-0.483
YOR085W	-0.483
YIL137C	-0.482
YPR145W	-0.481
YLR042C	-0.481
YNL047C	-0.479
YOL091W	-0.479
YIL028W	-0.478
YKR003W	-0.476
YOL105C	-0.475
YPL035C	-0.475
YHL028W	-0.474
YIL155C	-0.471
YOL006C	-0.470
YNR069C	-0.469
YNL096C	-0.469
YIL073C	-0.469
YKR095W	-0.469
YHR110W	-0.468
YKR064W	-0.468
YKL211C	-0.468
YIR016W	-0.468
YJL070C	-0.467
YKL048C	-0.467
YOR325W	-0.466
YJR110W	-0.463
YJR020W	-0.463
YIL049W	-0.462
YML050W	-0.461
YLR154C	-0.459
YMR035W	-0.459
YHR167W	-0.457
YJL165C	-0.457
YHR123W	-0.457
YPR201W	-0.456
YNL305C	-0.455
YHR003C	-0.455
YGR231C	-0.455
YGL254W	-0.455
YIL152W	-0.454
YJL185C	-0.454
YGR097W	-0.453
YBR043C	-0.453
YBR150C	-0.453
YIL005W	-0.452
YKL115C	-0.452
YKL129C	-0.451
YPL149W	-0.451
YKL197C	-0.450
YBL081W	-0.450
YOL110W	-0.449
YNR059W	-0.449
YML057W	-0.448
YLR093C	-0.448
YBR098W	-0.248
YHR178W	-0.447
YHL037C	-0.446
YHR210C	-0.446
YDR241W	-0.445
YJR124C	-0.444
YAL028W	-0.444
YNL074C	-0.444
YNL229C	-0.443
YER095W	-0.442
YKR041W	-0.441
YGL133W	-0.441
YBL069W	-0.440
YGL261C	-0.440
YFR030W	-0.439
YBL102W	-0.439
YDL065C	-0.438
YJR082C	-0.437
YOR121C	-0.436
YOR185C	-0.435
YJL172W	-0.434
YLR062C	-0.433
YKL222C	-0.433
YIR044C	-0.433
YNL065W	-0.433
YLR080W	-0.432
YHL019C	-0.432
YNR002C	-0.432
YGR225W	-0.432
YKL216W	-0.432
YNL136W	-0.432
YNL208W	-0.432
YPL166W	-0.431
YKR034W	-0.430
YHR104W	-0.429
YLR059C	-0.429
YJL123C	-0.427
YHL016C	-0.427
YDR269C	-0.427
YNL194C	-0.427
YCR020C	-0.427
YOL013W-B	-0.426
YIL040W	-0.426
YBL091C-A	-0.426
YOL104C	-0.426
YHL045W	-0.425
YPR017C	-0.425
YKR104W	-0.425
YNL201C	-0.424
YIL167W	-0.424
YHL044W	-0.424
YGR176W	-0.423
YBL060W	-0.423
YJL152W	-0.422
YLR072W	-0.422
YNR075W	-0.422
YDR146C	-0.421
YKL198C	-0.225
YHR015W	-0.420
YNL122C	-0.419
YGR011W	-0.419
YHL043W	-0.418
YBR288C	-0.418
YLR252W	-0.418
YNR021W	-0.417
YHR121W	-0.414
YNR044W	-0.414
YML035C	-0.414
YJR119C	-0.413
YHR097C	-0.413
YLR446W	-0.413
YNR022C	-0.413
YNL078W	-0.412
YGL121C	-0.412
YJL206C	-0.412
YGR087C	-0.411
YGL029W	-0.411
YBR042C	-0.411
YNL010W	-0.411
YJR129C	-0.410
YML032C	-0.409
YHL014C	-0.409
YPL088W	-0.409
YNL108C	-0.409
YGR035C	-0.408
YNR055C	-0.407
YDR313C	-0.407
YJR091C	-0.407
YJL042W	-0.406
YIL065C	-0.405
YMR173W	-0.404
YPR155C	-0.404
YLR034C	-0.403
YPR032W	-0.403
YGL226W	-0.403
YIL053W	-0.402
YGL209W	-0.402
YLL046C	-0.400
YGR089W	-0.400
YLR452C	-0.399
YOL152W	-0.399
YDR121W	-0.398
YML072C	-0.398
YOL113W	-0.398
YLR134W	-0.398
YOR220W	-0.398
YHR157W	-0.397
YER098W	-0.397
YJL197W	-0.396
YJL186W	-0.396
YCR007C	-0.395
YOL095C	-0.394
YML081C-A	-0.393
YNL081C	-0.393
YNR034W	-0.393
YIR002C	-0.392
YJL212C	-0.392
YGL255W	-0.392
YIL044C	-0.391
YBR118W	-0.391
YHR061C	-0.391
YML036W	-0.390
YGR045C	-0.389
YNL301C	-0.389
YIL015W	-0.389
YMR292W	-0.388
YIL119C	-0.388
YPR127W	-0.387
YOR364W	-0.387
YMR164C	-0.386
YNR025C	-0.386
YMR127C	-0.385
YOL090W	-0.385
YLR346C	-0.385
YNL159C	-0.384
YKR055W	-0.384
YIR039C	-0.383
YFL013C	-0.383
YBL066C	-0.382
YKR010C	-0.382
YHL034C	-0.382
YJR070C	-0.382
YLR443W	-0.381
YGL221C	-0.381
YLR014C	-0.381
YNL142W	-0.380
YLR394W	-0.380
YLR056W	-0.380
YDR488C	-0.379
YNL238W	-0.378
YGR111W	-0.378
YMR163C	-0.378
YBL106C	-0.377
YNR074C	-0.377
YOR317W	-0.377
YDR359C	-0.376
YMR087W	-0.375
YIL023C	-0.375
YJR088C	-0.374
YIL058W	-0.373
YHR037W	-0.373
YLR165C	-0.372
YNL219C	-0.372
YGR281W	-0.372
YJL083W	-0.371
YNL085W	-0.370
YCL038C	-0.369
YJL007C	-0.369
YPL087W	-0.369
YPL224C	-0.369
YNR019W	-0.368
YHL012W	-0.368
YMR186W	-0.368
YAR040C	-0.368
YDR420W	-0.367
YOL088C	-0.366
YHR117W	-0.366
YML116W-A	-0.366
YKR046C	-0.365
YOL138C	-0.365
YMR174C	-0.365
YHL017W	-0.364
YJR120W	-0.363
YKL101W	-0.362
YHR041C	-0.361
YGR079W	-0.361
YDL173W	-0.361
YGR050C	-0.361
YLR449W	-0.361
YIL097W	-0.361
YOR267C	-0.360
YDR329C	-0.360
YOR360C	-0.360
YNL077W	-0.359
YGR110W	-0.359
YOR253W	-0.359
YER167W	-0.358
YNL278W	-0.358
YGL101W	-0.358
YOR299W	-0.357
YOR054C	-0.356
YDL171C	-0.356
YHR108W	-0.355
YHL042W	-0.354
YML076C	-0.354
YHR209W	-0.353
YHR150W	-0.352
YOR268C	-0.352
YDR260C	-0.352
YLR414C	-0.350
YPL033C	-0.350
YML047C	-0.350
YJL213W	-0.350
YNL095C	-0.350
YHR112C	-0.350
YGL208W	-0.350
YMR157C	-0.349
YOL151W	-0.349
YHR043C	-0.349
YHR199C	-0.348
YDL025C	-0.348
