orf	hap a | expression level of a particular gene (HTA1) | standard [standard] | Fillingham J~Andrews BJ, 2009
YAL002W	0.309231725765781
YAL004W	0.014015472823092163
YAL005C	-0.1671580450226815
YAL007C	-0.002067920545251449
YAL008W	0.1298642585096387
YAL014C	0.052076786521991256
YAL015C	0.13287752707880984
YAL017W	0.13624337350423193
YAL018C	0.312682546007762
YAL019W	-0.09057478230549196
YAL020C	0.309571798309743
YAL022C	0.255957638337797
YAL023C	-0.3068915027811595
YAL026C	0.0229565890002319
YAL027W	0.1210957215304449
YAL028W	-0.443968525303158
YAL029C	0.025772493434691
YAL030W	0.11808326582452155
YAL031C	0.170712488432825
YAL034C	0.12446711619437516
YAL036C	-0.009770624367993003
YAL037W	0.04233130786578615
YAL040C	0.167338387629607
YAL042C-A	0.168092536387964
YAL042W	0.05021144232567685
YAL045C	0.027275652078097
YAL046C	-0.0765134427624348
YAL048C	0.06705329456807865
YAL049C	-0.010069811167030398
YAL051W	-0.102067101579473
YAL053W	0.0709048603850244
YAL054C	0.242141951175754
YAL055W	-0.5500811043537119
YAL056W	-0.2187080254062505
YAL058W	-0.07500592311544126
YAL060W	-0.020072085304111052
YAL061W	0.02284775713898099
YAL062W	-0.04863744498593535
YAL064C-A	-0.08460768684434636
YAL065C	0.15295587708714145
YAL066W	-0.2260715150893085
YAL067C	0.19761218155297194
YAL068C	-0.007544279654544003
YAR002C-A	0.050535736330046196
YAR002W	-0.0020689882151835037
YAR014C	-0.11056076023635311
YAR015W	-0.2981038175073225
YAR018C	-0.1393429181113863
YAR020C	0.07249973068281215
YAR023C	0.045691752649915145
YAR027W	0.18992020265654902
YAR028W	0.186094316297126
YAR029W	0.11900692432030115
YAR030C	0.1964754260100265
YAR031W	0.1551842477167665
YAR035W	0.07231912800286255
YAR042W	0.10692182134245118
YAR047C	0.13819065038286116
YAR050W	-0.08119080440301897
YBL001C	0.22025186380631395
YBL003C	0.7079105537645065
YBL005W	0.16275193298158802
YBL007C	-0.337048719786605
YBL008W	1.32551005280399
YBL009W	-0.1022614278738454
YBL010C	0.0971003366652742
YBL011W	-0.257710407915104
YBL013W	-0.054627725553079806
YBL015W	0.227712078366174
YBL016W	-0.3216712085844745
YBL017C	-0.199165238750355
YBL019W	0.07545241838201565
YBL024W	0.024200883740851643
YBL028C	-0.002366466719812499
YBL029W	-0.1793375202664525
YBL032W	-0.07586505258816521
YBL036C	0.2797864097431725
YBL037W	0.03408041705733753
YBL039C	0.08623952112474678
YBL042C	0.240036987084377
YBL043W	0.08195076980051211
YBL046W	-0.1995787897243384
YBL047C	-0.2698002251416385
YBL048W	-0.003798273142289803
YBL049W	-0.08749985350260409
YBL052C	0.290042456293164
YBL053W	0.247198690013045
YBL054W	0.2747824437535885
YBL055C	-0.3152301973180615
YBL056W	-0.07158182711780055
YBL057C	0.1179791339966833
YBL059W	-0.0012035355179711993
YBL060W	-0.42268808734648555
YBL061C	-0.19559809504018
YBL062W	-0.0827662729790587
YBL063W	0.00589451953357115
YBL064C	-0.1122458146041806
YBL065W	0.1778353752031415
YBL066C	-0.38241904228006096
YBL067C	-0.0435418807593938
YBL068W	-0.11417828025701515
YBL069W	-0.440211268362931
