ORF	hap alpha | protein/peptide methylation (H3K79) | standard [standard] | Vlaming H~Leeuwen F, 2016
YAL002W	-0.460
YAL007C	-0.021
YAL008W	0.250
YAL009W	-0.212
YAL011W	-0.424
YAL012W	0.170
YAL013W	0.357
YAL014C	-0.061
YAL015C	0.101
YAL016C-B	0.002
YAL017W	0.419
YAL018C	0.049
YAL019W	-0.095
YAL020C	-0.113
YAL021C	0.339
YAL022C	0.182
YAL023C	-0.088
YAL024C	-0.058
YAL026C	-0.152
YAL027W	0.052
YAL028W	-0.174
YAL029C	0.149
YAL030W	-0.073
YAL031C	-0.060
YAL034C	-0.039
YAL035W	0.029
YAL036C	-0.099
YAL037C-A	0.065
YAL037W	0.002
YAL039C	-0.044
YAL040C	0.104
YAL042W	0.042
YAL044C	0.048
YAL044W-A	-0.041
YAL046C	0.003
YAL047C	0.439
YAL048C	-0.052
YAL049C	-0.261
YAL051W	0.008
YAL053W	-0.017
YAL054C	0.006
YAL055W	0.063
YAL056W	0.098
YAL058W	1.033
YAL059W	0.063
YAL060W	-0.033
YAL061W	0.058
YAL062W	0.064
YAL063C	-0.009
YAL063C-A	-0.078
YAL064C-A	-0.057
YAL064W	0.221
YAL065C	-0.141
YAL067C	-0.241
YAL067W-A	-0.062
YAL068C	-0.156
YAR002C-A	-0.016
YAR002W	0.329
YAR003W	0.221
YAR014C	-0.256
YAR015W	0.245
YAR018C	-0.201
YAR020C	-0.035
YAR023C	0.322
YAR027W	-0.043
YAR028W	0.071
YAR029W	0.074
YAR031W	-0.048
YAR033W	0.053
YAR035C-A	-0.028
YAR035W	0.516
YAR050W	-0.091
YAR061W	-0.141
YAR062W	0.044
YAR064W	-0.109
YAR066W	-0.201
YAR068W	-0.151
YAR071W	-0.222
YAR073W	0.130
YBL001C	0.027
YBL002W	-0.079
YBL003C	-0.130
YBL005W	-0.054
YBL006C	-0.579
YBL007C	0.082
YBL008W	-0.366
YBL008W-A	0.028
YBL009W	-0.162
YBL010C	0.029
YBL011W	-0.260
YBL013W	0.006
YBL015W	-0.110
YBL016W	-0.309
YBL019W	0.020
YBL021C	-0.307
YBL022C	1.897
YBL024W	0.340
YBL028C	-0.407
YBL029C-A	-0.259
YBL029W	0.122
YBL031W	-0.132
YBL032W	-0.011
YBL036C	0.196
YBL037W	-0.134
YBL039C	-0.260
YBL039W-B	-0.135
YBL042C	-0.029
YBL043W	0.158
YBL044W	0.039
YBL046W	0.061
YBL049W	0.314
YBL051C	0.369
YBL052C	-0.214
YBL054W	0.182
YBL055C	-0.173
YBL056W	-0.296
YBL057C	0.097
YBL058W	-0.175
YBL059C-A	-0.178
YBL059W	-0.158
YBL061C	-0.047
YBL064C	-0.039
YBL066C	-0.233
YBL067C	-0.288
YBL068W	0.164
YBL069W	-0.300
YBL071C-B	0.074
YBL071W-A	0.035
YBL072C	-0.098
YBL075C	-0.204
YBL078C	0.024
YBL079W	-0.197
YBL080C	0.299
YBL081W	-0.077
YBL082C	-0.083
YBL085W	-0.154
YBL086C	-0.135
YBL087C	-0.637
YBL088C	0.375
YBL089W	0.077
YBL090W	0.709
YBL091C	0.037
YBL091C-A	-0.036
YBL098W	-0.268
YBL099W	0.333
YBL100W-C	-0.131
YBL101C	-0.021
YBL102W	0.020
YBL103C	-0.130
YBL104C	0.061
YBL106C	-0.026
YBL107C	0.102
YBL108C-A	0.014
YBL111C	-0.093
YBL112C	-0.193
YBL113C	-0.027
YBR001C	0.211
YBR003W	-0.117
YBR005W	0.030
YBR006W	-0.046
YBR007C	-0.026
YBR008C	-0.116
YBR009C	-0.055
YBR010W	-0.371
YBR014C	-0.088
YBR015C	0.186
YBR016W	0.097
YBR017C	0.138
YBR018C	-0.182
YBR019C	0.137
YBR020W	-0.249
YBR021W	0.139
YBR022W	-0.203
YBR023C	-0.017
YBR025C	-0.113
YBR026C	-0.138
YBR028C	-0.176
YBR030W	0.182
YBR031W	-0.155
YBR033W	-0.060
YBR035C	0.048
YBR036C	0.114
YBR037C	-0.342
YBR039W	0.405
YBR040W	0.006
YBR041W	0.046
YBR042C	-0.061
YBR044C	0.220
YBR045C	-0.117
YBR046C	-0.129
YBR047W	-0.098
YBR048W	-0.251
YBR050C	-0.006
YBR052C	-0.330
YBR054W	-0.248
YBR056W-A	-0.068
YBR057C	-0.185
YBR058C	-0.267
YBR059C	-0.042
YBR061C	1.177
YBR062C	-0.107
YBR063C	-0.019
YBR065C	-0.027
YBR066C	-0.118
