orf	hap alpha | protein/peptide methylation (H3K79) | standard [standard] | Vlaming H~Leeuwen F, 2016
YAL002W	-1.7928012117726082
YAL007C	-0.040972888017917077
YAL008W	1.0385144795792203
YAL009W	-0.8035357336560986
YAL011W	-1.6494975598654877
YAL012W	0.7201905427514963
YAL013W	1.4645781553584796
YAL014C	-0.20263845199375244
YAL015C	0.44657893392577774
YAL016C-B	0.050529319273116206
YAL017W	1.7133978739142506
YAL018C	0.2370629576310384
YAL019W	-0.3353913357425894
YAL020C	-0.4066409062868211
YAL021C	1.3963852290942387
YAL022C	0.767615741087848
YAL023C	-0.30777325918437165
YAL024C	-0.19009821753114528
YAL026C	-0.5639391459164107
YAL027W	0.2481105099118281
YAL028W	-0.6530406432204959
YAL029C	0.6385939129904944
YAL030W	-0.24974296151574082
YAL031C	-0.19647607974369402
YAL034C	-0.11366896024963613
YAL035W	0.1571149618579827
YAL036C	-0.35389987728752204
YAL037C-A	0.3020540090494118
YAL037W	0.04846790856724339
YAL039C	-0.13412309646675438
YAL040C	0.45699134329737057
YAL042W	0.2091877135401545
YAL044C	0.23266287436409772
YAL044W-A	-0.1209527993845325
YAL046C	0.05300053080240834
YAL047C	1.7928140783152362
YAL048C	-0.16339321481957306
YAL049C	-1.0002731398990605
YAL051W	0.07545861443683115
YAL053W	-0.026594748630419746
YAL054C	0.06637281862589815
YAL055W	0.29270102926039643
YAL056W	0.43499201031768586
YAL058W	4.165134864098179
YAL059W	0.29190439507121324
YAL060W	-0.08927521522577343
YAL061W	0.27265063955174196
YAL062W	0.2959599254724915
YAL063C	0.00727278866950571
YAL063C-A	-0.2673096916774289
YAL064C-A	-0.18518249865923742
YAL064W	0.9240441585823831
YAL065C	-0.5205575339338487
YAL067C	-0.9197027915605792
YAL067W-A	-0.20316903168895592
YAL068C	-0.5819983387031187
YAR002C-A	-0.022962945416685927
YAR002W	1.3528348741906304
YAR003W	0.9241014939112896
YAR014C	-0.9776768396440327
YAR015W	1.0196715992009042
YAR018C	-0.7579851148033677
YAR020C	-0.09599163862061408
YAR023C	1.3287066739882705
YAR027W	-0.1274778403339078
YAR028W	0.3250289754141076
YAR029W	0.3354814903420336
YAR031W	-0.1476591713552225
YAR033W	0.2544013515794603
YAR035C-A	-0.06946429121672137
YAR035W	2.1008968967764745
YAR050W	-0.3213023581332882
YAR064W	-0.39219382010276993
YAR066W	-0.7582015001805346
YAR068W	-0.561942489989476
YAR071W	-0.8449507788629078
YAR073W	0.5613693408357991
YBL001C	0.15173782215634377
YBL002W	-0.2723415148566233
YBL003C	-0.4762167359328278
YBL005W	-0.17261791331381812
YBL006C	-2.269502003779557
YBL007C	0.3702567358308696
YBL008W	-1.4198224522515652
YBL008W-A	0.15536924636386523
YBL009W	-0.6036532568103105
YBL010C	0.15907915772594997
YBL011W	-0.9944401934006492
YBL013W	0.06672838913981649
YBL015W	-0.3959309721924233
YBL016W	-1.191455955878258
YBL019W	0.12283230726973283
YBL021C	-1.1839312026367834
YBL022C	7.609656322332375
YBL024W	1.3990421317377264
YBL028C	-1.5803871446804074
YBL029C-A	-0.9906685837551041
YBL029W	0.5300367610903313
YBL031W	-0.48276702288441026
YBL032W	-0.0036064471062052517
YBL036C	0.8243420991442679
YBL037W	-0.4926081111890894
YBL039C	-0.9943720402115552
YBL039W-B	-0.4968832880817771
YBL042C	-0.07481674916321354
YBL043W	0.6737232312938285
YBL044W	0.1969305544693675
YBL046W	0.2839196957021842
YBL049W	1.293251856420143
YBL051C	1.515924230988207
YBL052C	-0.8101957427827127
YBL054W	0.7686076233988
YBL055C	-0.6476109126736926
YBL056W	-1.1382136707979422
YBL057C	0.4295872797633103
YBL058W	-0.6560998013542623
YBL059C-A	-0.6667748431511799
YBL059W	-0.5881003445875641
YBL061C	-0.14593222000631115
YBL064C	-0.11139622386991076
YBL066C	-0.8880239428784199
YBL067C	-1.106315961573496
YBL068W	0.6969105384273713
YBL069W	-1.1556068593087687
YBL071C-B	0.3376241979387945
YBL071W-A	0.18370211021539942
YBL072C	-0.34822523955657225
YBL075C	-0.7725473301809468
YBL078C	0.13882743490028535
YBL079W	-0.7433916960837288
YBL080C	1.23459087240673
YBL081W	-0.26615582544875144
YBL082C	-0.2889755284869841
YBL085W	-0.5719873739824042
YBL086C	-0.4976412953283865
YBL087C	-2.4981881434105517
YBL088C	1.5363030770646862
YBL089W	0.3497288033084608
YBL090W	2.8711274322792604
YBL091C	0.19150100820017404
YBL091C-A	-0.1005371968496601
YBL098W	-1.0264795495974626
YBL099W	1.3689264294306769
YBL100W-C	-0.4818793851238419
YBL101C	-0.03978233203486293
YBL102W	0.12365514713312663
YBL103C	-0.4763382635139158
YBL104C	0.28463171458555997
YBL106C	-0.06146817754897953
YBL107C	0.44992714633700986
YBL108C-A	0.09993913622288299
YBL111C	-0.327860587880544
YBL112C	-0.7275281242057515
YBL113C	-0.06450169842417679
YBR001C	0.8831369321875521
YBR003W	-0.42439885589329357
YBR005W	0.16238899963418874
YBR006W	-0.13938492243959463
YBR007C	-0.06024815600372049
YBR008C	-0.4189288967180541
YBR009C	-0.17520899022738365
YBR010W	-1.4374297402184724
YBR014C	-0.3068934822002946
YBR015C	0.783246207879792
YBR016W	0.4278652190080148
YBR017C	0.5922958347488398
YBR018C	-0.6847964661124485
YBR019C	0.5899755027753625
YBR020W	-0.9519472098640098
YBR021W	0.5986624208106816
YBR022W	-0.7686828018951258
YBR023C	-0.02400612839091231
YBR025C	-0.4097825343479527
YBR026C	-0.5082061661793329
YBR028C	-0.6600912386184798
YBR030W	0.7668129567768928
YBR031W	-0.5755509336153004
YBR033W	-0.19522267471313262
YBR035C	0.23245365083962344
YBR036C	0.4988721753618409
YBR037C	-1.320553050521195
YBR039W	1.6564905002183143
YBR040W	0.06488892432071428
YBR041W	0.22628109500143864
YBR042C	-0.2007749141361275
YBR044C	0.9197345220342441
YBR045C	-0.42577063665912784
YBR046C	-0.4719326222491017
YBR047W	-0.34929592087718914
YBR048W	-0.958842571528553
YBR050C	0.019656214266425123
YBR052C	-1.2732143938213687
YBR054W	-0.9476186317360225
YBR056W-A	-0.22827365167560418
YBR057C	-0.69560816877627
YBR058C	-1.0230613340904193
YBR059C	-0.12465914148474821
YBR061C	4.736450512196488
YBR062C	-0.38446658128376565
YBR063C	-0.03409758061345506
YBR065C	-0.0667139255239661
YBR066C	-0.4266405279759778
YBR067C	-0.4508861358438628
YBR068C	-0.6022820371867906
YBR071W	1.4361479504617356
YBR072C-A	-0.7415453233066642
YBR072W	-0.21368298304152575
YBR073W	-0.24164189123955315
YBR074W	-0.5814232384363106
YBR077C	0.23417051864923888
YBR078W	0.2147269051301267
YBR082C	1.6333336284840163
YBR083W	0.5605862083572316
YBR084C-A	-0.6623625097243044
YBR084W	1.5850076244179387
YBR085C-A	0.22000294476462692
YBR086C	0.27482097597328525
YBR089C-A	-0.6220709314845829
YBR090C	-0.9721045250281201
YBR093C	0.14052219546141423
YBR094W	0.2825615858449246
YBR095C	2.4337870323672948
YBR096W	0.3582645693822978
YBR098W	1.1613615546219225
YBR101C	2.1984336633983865
YBR104W	-0.5363110838605574
YBR105C	0.5320382936196204
YBR107C	0.011282949328135698
