orf	hap a (post-SGA) | mitotic recombination rate (leu2-URA3-leu2, patch) | standard | SC - Leu | Novarina D~Chang M, 2020	hap a (post-SGA) | mitotic recombination rate (leu2-URA3-leu2, replica pinning) | standard | SC - Leu | Novarina D~Chang M, 2020
YAL002W	0.0	-0.293154761904762
YAL004W	0.0	0.15327380952380976
YAL005C	0.0	-0.1071428571428571
YAL007C	0.0	-0.21875
YAL008W	0.0	0.2276785714285714
YAL009W	0.0	0.15327380952380976
YAL010C	0.0	-0.8768472906403941
YAL011W	1.0	-0.3675595238095237
YAL012W	0.0	-0.1071428571428571
YAL013W	1.0	0.04166666666666674
YAL014C	0.0	-0.18154761904761918
YAL015C	0.0	0.1160714285714286
YAL016C-B	0.0	0.2834821428571428
YAL016W	0.0	-0.2559523809523808
YAL017W	0.0	-0.03273809523809523
YAL018C	0.0	0.07886904761904767
YAL019W	0.0	0.15327380952380976
YAL020C	0.0	0.37648809523809534
YAL021C	0.0	0.012731481481481621
YAL022C	0.0	0.15327380952380976
YAL023C	0.0	-0.21875
YAL024C	0.0	0.26488095238095255
YAL026C	0.0	-0.03273809523809523
YAL027W	1.0	-0.293154761904762
YAL028W	0.0	0.26488095238095255
YAL029C	0.0	0.2276785714285714
YAL030W	0.0	-0.18154761904761918
YAL031C	0.0	-0.03273809523809523
YAL034C	1.0	-0.1071428571428571
YAL035W	0.0	-0.8511904761904763
YAL036C	1.0	0.1507936507936507
YAL037C-A	0.0	0.15327380952380976
YAL037W	0.0	0.07886904761904767
YAL039C	0.0	0.30208333333333326
YAL040C	0.0	0.26488095238095255
YAL042C-A	0.0	-0.03273809523809523
YAL042W	0.0	-0.1071428571428571
YAL044C	0.0	-0.1477272727272727
YAL044W-A	0.0	0.26488095238095255
YAL045C	0.0	0.19047619047619024
YAL046C	0.0	-0.21875
YAL047C	0.0	0.4508928571428572
YAL048C	0.0	-0.03273809523809523
YAL049C	0.0	0.041666666666666685
YAL051W	0.0	0.19047619047619024
YAL053W	0.0	0.41369047619047605
YAL054C	0.0	-0.06994047619047616
YAL055W	0.0	0.04166666666666674
YAL056C-A	0.0	-0.1071428571428571
YAL056W	0.0	0.3392857142857142
YAL058W	0.0	0.07886904761904767
YAL059W	0.0	0.3392857142857142
YAL060W	0.0	0.07886904761904767
YAL061W	0.0	0.3392857142857142
YAL062W	0.0	0.05519480519480524
YAL064C-A	0.0	0.37648809523809534
YAL065C	0.0	-0.1071428571428571
YAL066W	0.0	0.26488095238095255
YAL067C	0.0	0.0044642857142858094
YAL067W-A	0.0	0.26488095238095255
YAL068C	0.0	0.06382978723404253
YAR002C-A	0.0	-0.4047619047619049
YAR002W	0.0	-0.293154761904762
YAR003W	0.0	-0.18154761904761918
YAR014C	0.0	-0.3675595238095237
YAR015W	0.0	-0.18154761904761918
YAR018C	0.0	-0.14434523809523803
YAR020C	0.0	0.04166666666666674
YAR023C	0.0	-0.03273809523809523
YAR027W	0.0	-0.1071428571428571
YAR028W	0.0	0.26488095238095255
YAR029W	0.0	0.2276785714285714
YAR030C	0.0	-0.14434523809523803
YAR031W	1.0	0.0044642857142858094
YAR035C-A	0.0	0.1160714285714286
YAR035W	0.0	-0.03273809523809523
YAR042W	0.0	-0.08234126984126984
YAR047C	0.0	0.19047619047619024
YAR050W	0.0	-0.3303571428571429
YBL001C	0.0	0.19047619047619024
YBL002W	0.0	0.5252976190476188
YBL003C	1.0	-0.06994047619047616
YBL005W	0.0	-0.03273809523809523
YBL006C	0.0	-0.025974025974026094
YBL007C	0.0	-0.21875
YBL008W	0.0	0.15327380952380976
YBL008W-A	0.0	0.5252976190476188
YBL009W	0.0	0.19047619047619024
YBL010C	0.0	0.3392857142857142
YBL011W	0.0	0.04166666666666674
YBL012C	0.0	0.403061224489796
YBL013W	0.0	0.1160714285714286
YBL015W	0.0	0.37648809523809534
YBL016W	0.0	0.48809523809523836
YBL017C	0.0	0.04166666666666674
YBL019W	0.0	0.1160714285714286
YBL021C	0.0	0.12577639751552794
YBL022C	0.0	0.1160714285714286
YBL024W	0.0	0.04166666666666674
YBL027W	0.0	0.0044642857142858094
YBL028C	0.0	-0.18154761904761918
YBL029C-A	0.0	0.04166666666666674
YBL029W	0.0	0.0044642857142858094
YBL031W	0.0	0.1160714285714286
YBL032W	0.0	0.19047619047619024
YBL036C	0.0	0.2276785714285714
YBL037W	0.0	0.07886904761904767
YBL038W	0.0	0.15327380952380976
YBL039C	0.0	0.4204545454545454
YBL039W-B	0.0	0.15327380952380976
YBL043W	0.0	-0.06832298136645965
YBL044W	0.0	0.19047619047619024
YBL046W	0.0	-0.26948051948051943
YBL047C	0.0	-0.1071428571428571
YBL048W	0.0	0.04813664596273304
YBL049W	0.0	-0.18154761904761918
YBL051C	0.0	0.15327380952380976
YBL052C	0.0	0.0044642857142858094
YBL054W	0.0	-0.03273809523809523
YBL055C	0.0	-0.18154761904761918
YBL056W	0.0	-0.3303571428571429
YBL057C	0.0	-0.18478260869565222
YBL058W	0.0	-0.1071428571428571
YBL059W	0.0	0.0044642857142858094
YBL060W	0.0	0.07886904761904767
YBL061C	0.0	-0.1071428571428571
YBL062W	0.0	0.1160714285714286
YBL063W	1.0	0.5625
YBL064C	0.0	-0.06994047619047616
YBL065W	0.0	-0.7395833333333333
YBL066C	0.0	0.19047619047619024
YBL067C	0.0	0.19047619047619024
YBL068W	0.0	-0.06832298136645965
YBL069W	0.0	-0.3303571428571429
YBL070C	1.0	-0.022108843537414935
YBL071C	0.0	-0.3675595238095237
YBL071C-B	0.0	-0.18154761904761918
YBL071W-A	0.0	-0.03273809523809523
YBL072C	0.0	-0.4047619047619049
YBL075C	0.0	-0.03273809523809523
YBL078C	0.0	0.30208333333333326
YBL079W	0.0	0.711309523809524
YBL080C	0.0	-0.24012158054711252
YBL081W	0.0	-0.32539682539682535
YBL082C	0.0	0.0044642857142858094
YBL083C	0.0	-0.1071428571428571
YBL085W	0.0	-0.4337979094076655
YBL086C	0.0	-0.14434523809523803
YBL087C	0.0	0.6705069124423964
YBL088C	0.0	0.07886904761904767
YBL089W	0.0	0.1054421768707483
YBL090W	0.0	-0.06832298136645965
YBL091C	0.0	0.28105590062111796
YBL091C-A	0.0	-0.03273809523809523
YBL094C	0.0	0.19047619047619024
YBL095W	0.0	-0.18154761904761918
YBL096C	0.0	-0.03273809523809523
YBL098W	1.0	0.19047619047619024
YBL099W	0.0	-0.47916666666666663
YBL100C	0.0	-0.3675595238095237
YBL100W-C	0.0	0.3392857142857142
YBL101C	0.0	-0.03273809523809523
YBL102W	0.0	0.07886904761904767
YBL103C	0.0	-0.1071428571428571
YBL104C	0.0	0.004464285714285532
YBL106C	0.0	0.07886904761904767
YBL107C	0.0	0.30208333333333326
YBR001C	0.0	0.04166666666666674
YBR003W	0.0	0.2276785714285714
YBR005W	0.0	-0.18154761904761918
YBR006W	0.0	-0.03273809523809523
