orf	hap a | growth (pooled culture, barseq) | plant defensin DmAMP1 [4 uM] | YPD | Parisi K~Bleackley MR, 2019	hap a | growth (pooled culture, barseq) | plant defensin NaD1 [4 uM] | YPD | Parisi K~Bleackley MR, 2019	hap a | growth (pooled culture, barseq) | plant defensin NbD6 [3 uM] | YPD | Parisi K~Bleackley MR, 2019	hap a | growth (pooled culture, barseq) | plant defensin SBI6 [5 uM] | YPD | Parisi K~Bleackley MR, 2019
YAL002W	0.7251368871406332	-1.06523683186781	1.497496791232374	0.9468173440819565
YAL004W	-0.03721856121748116	0.11647089571076522	-0.05323182363853223	-1.8148938153476375
YAL005C	0.7420386441253976	-0.2806627478030133	0.19015734209824703	-0.21427613649252458
YAL007C	-1.5991321983939015	-0.413496566454848	-0.6165397801541496	0.08898118460330282
YAL008W	-0.4046911837571413	-0.3259701114209219	-0.4154569016166435	-0.3912902535270535
YAL010C	-0.35353732854043585	-0.17501453278852253	-0.5605401047515765	-0.3203756597609939
YAL011W	-1.8424852089371955	-1.9075740061837294	-0.6452941244637	-1.0307358227232466
YAL012W	-0.6166773930207705	-1.708414118120806	-2.2716141163493346	1.1545631763000181
YAL014C	2.1256181971110655	-0.2263694547425735	-0.6440413445330698	-0.02733414460642408
YAL015C	0.8605987654365914	0.12347003776677654	0.8415164952708041	0.8154905397282851
YAL016C-B	-0.21858723201999358	1.1298160412103762	0.09360787880689594	0.6984419388396063
YAL017W	-0.7227496796724405	0.12141789832193192	0.9311163002715968	-0.2850304509414035
YAL018C	0.14727044208654583	1.082163493060016	1.3636928501934622	1.3916784701947502
YAL019W	-0.9559768300081627	-0.19188240269391243	0.02619480646526966	0.4530813416877955
YAL020C	0.2717355033115891	-0.41958905141183245	-1.038365295048953	-1.5597223427088516
YAL021C	-1.0785086496706457	-2.132070518175576	-2.695413813041101	-3.4013935232153014
YAL022C	0.12281648351861747	-0.37617458062457576	-0.3374454869633583	-0.3214940725893859
YAL023C	0.8281685028781001	-0.43006244811223193	2.3635362559409008	3.0619526042409353
YAL024C	1.1804106288242247	1.0541119765424352	0.5253085553514297	0.5116996787497284
