orf	hap a | growth (pooled culture, barseq) | plant defensin DmAMP1 [4 uM] | YPD | Parisi K~Bleackley MR, 2019	hap a | growth (pooled culture, barseq) | plant defensin NaD1 [4 uM] | YPD | Parisi K~Bleackley MR, 2019	hap a | growth (pooled culture, barseq) | plant defensin NbD6 [3 uM] | YPD | Parisi K~Bleackley MR, 2019	hap a | growth (pooled culture, barseq) | plant defensin SBI6 [5 uM] | YPD | Parisi K~Bleackley MR, 2019
YAL002W	0.4321229932610191	-1.0406483375978024	0.9726814470233842	0.5451814619525679
YAL004W	-0.2871295491716809	0.2076138911718882	-0.054085340643894954	-1.223746610834495
YAL005C	0.4480691397849972	-0.21188656177659662	0.107067235932101	-0.19852080607985445
YAL007C	-1.7607339643023605	-0.352201662250798	-0.4270622080547725	-0.004278773659850653
YAL008W	-0.6338255931303064	-0.25974566379436587	-0.29392142554072026	-0.3119016858408885
YAL010C	-0.5855639318552545	-0.10028817474585855	-0.38998376230216286	-0.2664795513592426
YAL011W	-1.9903280098606142	-1.9304264562039013	-0.4461010040472317	-0.7214786303769976
YAL012W	-0.8338262887400957	-1.72004976156693	-1.5229182741835017	0.6782465847697351
YAL014C	1.7534223228521357	-0.15453543728006644	-0.445271514726733	-0.07878093527513393
YAL015C	0.559925976209347	0.2150072291846765	0.5383444683937854	0.4610641674493278
YAL016C-B	-0.458243794991392	1.2780312543774466	0.043140007580212324	0.38609233149701305
YAL017W	-0.9339013416831495	0.21283951199252704	0.5976701963606592	-0.2438402786365992
YAL018C	-0.11307139170316693	1.2276948856015484	0.8840873233319332	0.830123401585067
YAL019W	-1.153942034255864	-0.11810605338988152	-0.0014954644625575126	0.22893424247104865
YAL020C	0.004356524530602017	-0.3586372796828128	-0.7063608711033608	-1.0603044710640228
YAL021C	-1.2695460127031284	-2.1675667489090875	-1.8035240803920862	-2.2399295889614406
YAL022C	-0.13614274498123022	-0.31277767937639583	-0.24226859031422784	-0.26719591586476044
YAL023C	0.5293292921465635	-0.36970054448418516	1.5461025799312136	1.899965479340455
YAL024C	0.8616559583811813	1.1980634905353966	0.3289772021987703	0.26648039267394097
YAL026C	-0.5872504507875617	-1.0973109171674895	1.1495066191590604	1.1808150707251384
YAL027W	-0.819058306459617	-1.0060712349532144	0.08389793977927008	0.3404003656884158
YAL028W	-1.1196669781217372	-0.989544623697717	0.022315169529119123	0.1823572843612191
YAL029C	-0.9116111713978979	0.03678700646047617	0.5828600636292883	-0.181474402250574
YAL030W	-0.31238197990693073	0.6456083314603721	0.13583427957795965	-0.027747833630608027
YAL031C	0.3886532622768119	1.0766813527027692	0.7948948121490361	0.4698985939528671
YAL034C	0.21904946384987542	0.33359617111887657	0.0233161719567726	0.10872241202712607
YAL035W	-0.7532431469657594	-0.17467173453964047	-1.3619448405479229	-0.3776987459507155
YAL036C	-0.3418138965034679	-0.22032328369427515	0.20564757729603397	0.22395758911046212
YAL037W	-0.32701293925412306	0.015500484868626726	0.24547199185951044	0.17894023669449602
YAL039C	-0.07377439420152415	1.853773906671926	1.04762896099505	0.28830755074613257
YAL040C	-0.42982311455382943	0.5013638487346872	-0.007513461243050514	-0.4358935122291147
YAL042C-A	0.367282693044474	-0.3058395356660895	0.3454368727830519	0.07239022784820248
YAL042W	-0.24225463900313673	-0.6480090559662609	0.032052076767059824	0.5738297902421506
YAL044C	-0.6381698122607586	-0.3513270701440041	-0.4890335016599569	-0.9610281758515177
YAL044W-A	0.1801282580470467	0.460079810742218	0.09993388183351383	0.7395888442437734
YAL045C	-0.33301563006403273	0.6024395047711826	0.5644560932120721	0.29993960451842805
YAL046C	-0.1142017403259723	0.38190903013277094	0.3548298374684204	-0.07270827683682884
YAL047C	0.0	0.0	0.0	0.4724312320260275
YAL048C	-0.6679526081980623	1.7007823936841222	-0.23912882371582198	0.00027315698462693216
YAL049C	-0.5334307844746145	-0.07823703919097665	-0.2602627117278107	-0.31290688723940563
YAL051W	-1.0067056274134656	-1.2581310133832115	-0.20941396400800594	-0.32364349029400913
YAL053W	-1.085337884326781	0.6210789090854808	-0.31768484694569205	-0.0719494083108892
YAL054C	0.3101218150226272	0.2997234256096844	0.37155176802891043	0.6289037242717906
YAL055W	0.03459066881569672	0.03552696311005488	0.17552385019318661	0.0009081947196358057
YAL056C-A	-0.8597656797746968	-1.0326317097727447	0.9042168621651313	0.5473913319858771
YAL056W	-0.5320278460726567	-2.029110041954822	-0.6744608755975742	-0.4878206244300802
YAL058W	-2.371385206930507	-1.0358988178115107	0.39242506466175103	0.4677209144731433
YAL059W	0.8144429904807283	0.5554127103258303	0.16649002241539027	0.16175277236822896
YAL060W	-1.0062029160768384	0.17102172952440495	0.03317118637997226	-0.02397743634535321
YAL061W	-0.6415675263384634	-0.5435262379586929	-0.040698411479259435	-0.017381269108146764
YAL062W	-0.5869561353466011	-0.16866157727803124	-0.09605061861002762	-0.07188481589030811
YAL064C-A	-0.7834428761599607	-0.559655473690935	0.19950123454607746	-0.1752721031658393
YAL065C	-0.5492210529156228	-0.4851053228419003	-0.40215678465836935	-0.30959419871402133
YAL066W	-0.8606006704661041	-0.06645528767554011	-0.08536696615170968	-0.02705381713091005
YAL067C	-1.7623336762791517	-2.4765282437382528	-0.4688517895692212	-0.3404514575731055
YAL067W-A	-0.9077326170864836	-0.4946315479322479	-0.7317878046985257	-0.5523897086693341
YAL068C	-0.8072254774405793	-0.8517250255175086	-0.48838001315860363	-0.27330700218657855
YAR002C-A	-0.45155697340071893	-1.458967871790408	0.1952098971898006	-0.0025103061176147135
YAR002W	0.14461780700167218	-0.041535382116920455	0.45192754928135476	0.0
YAR003W	0.09191822948885424	-0.13248355924486824	-1.1491563924816124	-1.2953723749558048
YAR014C	0.0	0.0	-0.3239521492073316	0.19991026823048275
YAR015W	-2.566744342957756	-2.3877526307411894	-2.8849130590895964	-1.1047320371385767
YAR020C	-0.6352786586651225	0.008452536892124737	0.2878981570854206	0.268820671241907
YAR023C	-0.09874282126331295	0.35077430420873656	0.43602849124448806	0.09185932668448234
YAR027W	0.3706932434751118	1.0456255367154335	0.38509536332483996	0.4990890779465278
YAR028W	-0.19742977492309857	0.018205560195075948	0.03830570921962186	-0.34538615476812534
YAR029W	-1.6398859404986539	-1.8904968792166332	0.08186378203404923	0.0007623154988029753
YAR030C	0.026634028609834215	0.12564848768588058	0.14273481784121103	-0.23938411553691064
YAR031W	-0.6939181775728569	0.034799017811585724	0.062081697602871716	-0.460523605894992
YAR035C-A	0.1307121318474375	0.6479164921345677	0.7862171738818526	0.12887346925931897
YAR035W	0.1588262502545262	0.05176732301089493	0.2801136024757605	-0.035100730939839044
YAR042W	-0.7039606968491224	-0.9334248738938461	-0.06732637955615937	-0.2273134539795714
YAR047C	-0.7029912836879403	-0.7176574816381526	-0.5886428691000559	-0.45366224989685855
YAR050W	-0.9185613557264155	-0.8440695776687156	0.10817219734344112	0.051187634581782215
YBL001C	0.6417743791263587	0.8858199208823745	0.14354121356121077	0.03432895309630015
YBL002W	0.049609986647942694	0.11006082459848288	-1.7326645370768186	-0.4263875125813126
YBL003C	0.357157794854039	0.5239617691478154	0.15902035968526612	0.45443321813422327
YBL005W	-0.2111341118600191	0.14095957845137255	-0.25132349507859403	-0.2240737295891417
YBL006C	-1.1023826949306563	-2.026702262250159	-1.7297467861042712	-1.7244201292521488
YBL007C	2.614052457148336	-0.48295920416007215	0.8253158239629103	0.40573959693332196
YBL008W	-2.1061473357562916	-2.065595141811222	-1.5167089146061539	-1.792797425208529
YBL008W-A	0.3106410258970365	0.7273390221842154	-0.30147817673868826	-0.22267210129901718
YBL009W	0.1629739700579347	0.5374601131276576	-0.19683040096244106	-0.07142502515791006
YBL010C	0.08931961255967573	-0.23115712679341693	-0.35851326621201096	-0.29725000363859794
YBL011W	1.232864907112179	0.2946088154204993	0.15143991475498286	-0.3126651898118651
YBL012C	0.7713151732473302	1.0725352744412355	-0.5666872134673979	0.6446102460885235
YBL013W	0.13282952947040605	0.713900371601991	0.30418794146564476	0.31948478170040107
YBL015W	-0.015109389297110734	0.3277768943838639	-0.4557731879950322	-0.5779464714122179
YBL016W	1.4418234614638195	-0.06663273034333561	-0.07639328429236397	0.2469944328043189
YBL017C	-2.5697327147874587	-2.3984586598323205	-0.23478209241841488	0.12279580753060142
YBL019W	-0.2685287978549874	-0.6962591931607139	0.25268725736807335	0.3243567294654152
YBL021C	0.011549706523502698	1.3238153827071233	0.8184553188692415	0.7574842457471694
YBL022C	-1.9706967716484476	0.2721637622075297	-0.15191931677306333	-0.39219671870127365
YBL024W	3.366927561766366	3.4004490888182297	1.538597394732071	2.076748467918106
YBL027W	0.8867517759721507	0.8723902621850863	-0.270637787130193	-0.46545048124935073
YBL028C	0.8894983169092416	0.9389546631490647	0.888436341179459	0.3227161838594806
YBL029C-A	-0.40602028270576285	-0.04692575058054641	-0.599016980612466	-0.09236971672653571
YBL029W	-0.7079888935017244	0.1791573309655582	-0.05097250716292664	-0.6287860656035473
YBL031W	0.2508171211489059	1.1887496666057	0.7676883958241904	0.08908205321215945
YBL032W	-1.5107698424033362	-0.6569671698613256	-0.8446279764207704	0.1269340075229269
YBL036C	0.21993074709387117	0.07677571932373359	-0.16662224278130675	-0.04727909710430402
YBL037W	0.0	-0.3368007217320359	0.11953329187257633	0.4724312320260275
YBL038W	1.8994586978715386	1.8270955794969452	0.8116269686797429	0.5679814513897212
YBL039C	0.725409574824411	-0.46746356152882856	-0.712019484872188	-0.6009596228472457
YBL039W-B	0.88539451639282	-0.050881062591246605	0.20929248157629585	0.5975927365664636
YBL042C	0.9982416933319241	1.0629963842093193	0.35629483030664905	0.28807436442372986
YBL043W	0.06380506467360252	0.0	0.0	0.19991026823048275
YBL044W	2.2727401771190148	1.8228702403853134	0.8179424672301528	0.8681549756404321
YBL045C	0.8436446019801737	0.9971220580994326	0.039436350431223954	-0.07196035305629368
YBL046W	0.9474591573466508	0.749573782545396	0.1711521806844791	0.16448706202688945
YBL047C	1.775962332618471	0.9396813849893549	0.0646573473696458	0.3752638928088801
YBL048W	0.4012388779782777	0.11913823239961217	0.2582021673965393	0.005623362225032347
YBL049W	-0.6176177764872445	-0.008255586405275211	-0.5837144301458453	-0.5911167028903305
YBL051C	1.6841375991904062	-1.5740064089282255	-1.1758918826199036	-1.2497350580411426
YBL052C	0.8470315794216292	0.062850571770597	0.0390669765949021	0.6149253421147839
YBL053W	-0.03317675122823316	0.1898683304001579	0.23274741586016282	-0.014602115275185679
YBL054W	1.1712477754509603	0.3522315765661075	-0.30746743062497206	0.18489429636382604
YBL055C	-0.003909868457010894	0.14980192994057406	-0.2594981450530554	0.005528557925890354
YBL056W	-0.5970687008022894	0.7159800439804003	0.3409914064971864	0.268319742781509
YBL057C	-0.5374658128442334	-0.40919278255265007	-0.10884403496896357	-0.24219937919799514
YBL059W	0.7235984776169712	1.6593343915103507	0.71315789580152	1.0040601806709037
YBL060W	0.5201597278373966	0.5657197668245298	-0.16752879892614347	0.005026845769140124
YBL061C	-1.302279232402712	-0.9754981629730349	-0.4589262382551245	-0.8054020692412601
YBL062W	-1.008129260261378	-0.26280539000203706	-0.3378839891306477	-0.08864204527842552
YBL063W	0.000395812473088943	0.5657843859590451	0.4686518432480431	0.47572687015932136
YBL064C	0.061490123249329974	0.4444784347384238	0.4468145433326292	0.14199862285506834
YBL065W	0.06230814975813484	1.0862558807264764	0.05557736946637345	0.3486767563968569
YBL066C	0.45226225826811883	0.2859868349719546	-0.4656780242298866	0.525740610639371
YBL067C	-0.31402301246559494	-0.4504963089279683	-0.121959016151222	-0.28565692640263257
YBL068W	-1.1533099888574136	-1.3324881649747662	0.03451809744560701	0.14621653246821303
YBL069W	1.2570532953287736	1.3282303078201008	1.36593143174296	0.6379425507604647
YBL070C	1.3482033642279692	0.5307672389124177	0.8576142018400233	0.7345535970384848
YBL071C	1.3662974668547496	1.0277303632276245	0.3038485068545919	0.3201492515596945
YBL071C-B	0.5475106635728185	0.10784338000276304	0.05817270878826023	0.32821431809326657
YBL071W-A	0.7806856058783156	-0.8138345449533569	-1.6275879265795838	-0.6562850080849947
YBL072C	0.2572308974210911	-0.46212609050740827	-0.32634320271268885	-0.2151245992057278
YBL075C	0.963195067110583	0.5236281581910699	0.24519439125489187	0.9627088581019455
YBL078C	-0.1152386060256312	0.06478243987230892	-0.1804328895821238	-0.3934968418500575
YBL079W	0.49411894034873005	0.5505310025295245	0.38255118410603833	0.8050415317948802
YBL080C	0.974329984307034	2.191875233924217	0.9620072147778688	1.0872467872809108
YBL081W	-0.004991680513613761	0.31362492000478764	-0.21680119001706685	0.21509495249358693
YBL082C	-0.050369693238713216	1.341621008410507	-0.20535793325931015	-0.008053371374108961
YBL083C	-1.7247852284284673	1.9110350217704237	0.47957350310008334	0.8421993316209507
YBL085W	0.46564132832312594	0.7300823673679092	0.584829264318513	0.6238944466292485
YBL086C	0.6532331216399475	0.7519263576308722	-0.08788887742763145	0.2834152229675479
YBL087C	0.4252257451165484	1.2179484426515599	1.291057682815829	1.083935833757047
YBL088C	0.7474416397324813	-0.2309214917243467	-1.1945035465278842	-0.08040316708442986
YBL089W	0.6727621866429015	0.5502024162243161	-0.6068675828805774	0.19127378359464328
YBL090W	0.48668054057805527	1.0820784521083244	-0.06282516716755975	-0.048076876225751054
YBL091C	-0.8820218982408372	-0.5923714193959785	-0.4657811421059371	-0.4350819060254647
YBL091C-A	0.2154523214524052	0.18554052678940172	0.4354617402643011	0.39973209811163823
YBL093C	-1.211588417187052	-0.9914461635382921	-0.5585723580223829	-0.34833553463256806
YBL094C	-1.831281926843518	-2.4038415431415197	-2.91775786616925	-2.397352911172946
YBL095W	-0.17094318646549064	-0.10111820727056342	-0.2405665338574043	0.07502639408992168
YBL096C	-0.8040818091909534	0.08790623941766973	-0.531389820969422	-0.5369434860698673
YBL098W	-0.16620574571879446	-1.607512932719014	-0.4731994453310782	0.03269686839261298
YBL099W	-0.49164134131136805	0.755385439146525	0.3999364502106783	0.12754796399777887
YBL100C	-0.17575506395407312	-0.13268090579355438	-0.9297332884833297	-0.8605012050940738
YBL100W-C	0.08545267606301572	-1.930918667112232	-1.043702509160861	0.3869279500338713
YBL101C	-0.5814775890444712	-0.664616904927307	-0.10354516934376236	0.05247150355912585
YBL102W	0.04186543922414988	-1.3319897841161705	-0.06528589547111303	0.009876463376446673
