ORF	hom | growth (relative abundance in pooled culture) | Osmotic Stress-Sorbitol (glucitol [0.6 M]) | Gonzalez R~Valero E, 2016	hom | growth (relative abundance in pooled culture) | High Osmostic Stress-Glucose (glucose [200 g/L]) | Gonzalez R~Valero E, 2016
YAL002W	-0.301	1.013
YAL004W	-0.159	0.081
YAL005C	-0.303	0.240
YAL007C	0.083	0.600
YAL008W	0.003	0.197
YAL009W	0.547	3.967
YAL010C	2.184	1.235
YAL012W	-28.519	1.013
YAL013W	-31.326	0.527
YAL014C	-0.494	0.307
YAL015C	0.444	0.511
YAL016C-B	1.163	0.097
YAL017W	-0.015	0.347
YAL018C	0.116	0.369
YAL019W	-0.150	0.210
YAL020C	-0.014	0.169
YAL021C	-28.519	-28.493
YAL022C	0.387	0.060
YAL023C	0.987	-0.049
YAL024C	2.012	2.159
YAL026C	-31.519	3.473
YAL029C	0.107	0.071
YAL030W	0.507	0.552
YAL031C	0.353	0.419
YAL034C	-0.092	0.233
YAL036C	0.125	0.415
YAL037C-A	0.614	-1.300
YAL037W	0.163	0.671
YAL040C	1.105	0.273
YAL042W	-0.316	0.115
YAL043C-A	0.126	0.344
YAL044W-A	0.522	-0.646
YAL045C	0.311	0.407
YAL046C	0.646	0.683
YAL047C	2.284	-28.493
YAL048C	-0.662	-0.412
YAL049C	0.299	0.621
YAL051W	0.495	0.374
YAL053W	-0.033	0.408
YAL054C	-0.149	0.200
YAL055W	-0.844	0.236
YAL056W	-0.393	-0.102
YAL058C-A	-0.328	0.406
YAL058W	-0.156	0.129
YAL059W	0.191	1.081
YAL060W	0.390	0.493
YAL061W	-0.028	0.812
YAL062W	0.166	0.556
YAL064C-A	0.097	0.524
YAL065C	-0.101	0.188
YAL066W	-0.067	0.555
YAL067C	-0.115	0.276
YAL067W-A	0.649	-0.206
YAL068C	-0.052	0.157
YAR002C-A	0.206	-0.242
YAR002W	-0.026	-0.309
YAR003W	-1.209	0.375
YAR014C	0.770	0.303
YAR015W	-0.038	-28.493
YAR018C	0.362	0.708
YAR020C	0.000	0.566
YAR023C	0.323	0.524
YAR027W	0.190	0.089
YAR028W	-0.006	0.347
YAR029W	0.127	0.361
YAR030C	-0.028	0.588
YAR031W	-0.112	0.181
YAR035C-A	0.118	-0.706
YAR035W	0.170	0.468
YAR037W	0.079	0.408
YAR040C	0.314	0.374
YAR042W	0.115	0.545
YAR043C	-0.227	0.187
YAR044W	-0.050	-0.046
YAR047C	0.219	0.209
YAR050W	-0.488	0.013
YBL002W	-0.115	0.146
YBL003C	-0.218	-0.267
YBL006C	-1.701	-0.235
YBL007C	1.624	-1.250
YBL008W	-1.176	-0.684
YBL008W-A	0.916	-0.558
YBL009W	0.358	0.214
YBL010C	0.257	0.272
YBL011W	1.028	0.458
YBL012C	1.099	0.806
YBL013W	0.187	0.301
YBL015W	-0.317	-0.676
YBL017C	0.788	0.013
YBL019W	0.199	0.123
YBL021C	1.008	0.084
YBL022C	-0.364	-1.176
YBL024W	0.441	-0.493
YBL028C	0.250	-0.289
YBL029C-A	-0.206	-0.403
YBL029W	0.034	-0.140
YBL031W	-0.667	-0.057
YBL032W	-0.404	-0.420
YBL033C	-28.519	-28.493
YBL036C	-0.072	0.033
YBL037W	0.048	-0.212
YBL038W	0.022	-1.030
YBL039W-A	0.962	0.183
YBL043W	0.412	0.281
YBL046W	-0.265	-0.879
YBL048W	0.186	0.179
YBL049W	-0.293	0.299
YBL051C	0.236	-0.086
YBL053W	-0.095	-0.204
YBL054W	0.069	-0.017
YBL055C	0.348	0.158
YBL056W	-0.086	-0.229
