ORF	hom | growth (relative abundance in pooled culture) | dieldrin (dieldrin [115 uM]) | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | dieldrin (dieldrin [230 uM]) | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | dieldrin (dieldrin [460 uM]) | Gaytan BD~Vulpe CD, 2013
YOL081W	-3.900	-4.950	-6.800
YPL120W	NaN	NaN	-6.250
YOR070C	-4.000	-4.400	-6.100
YBR068C	-5.600	NaN	-5.650
YLR044C	-3.750	-4.850	-5.600
YJL120W	-3.100	-3.950	-5.250
YHR082C	NaN	NaN	-5.200
YOR153W	-4.900	-4.500	-5.050
YCR007C	-4.700	-5.200	-5.000
YKR019C	-3.100	-3.100	-4.900
YMR016C	-1.300	-1.600	-4.900
YML072C	-1.650	-1.450	-4.850
YHR030C	-3.800	-5.300	-4.800
YML079W	-4.900	-4.900	-4.800
YOR297C	-4.150	-4.450	-4.700
YJR073C	-2.000	-2.400	-4.700
YKR072C	-3.200	-3.400	-4.600
YMR214W	-2.550	-2.350	-4.600
YNL032W	-4.200	-3.500	-4.500
YOL110W	NaN	NaN	-4.500
YKL190W	-2.100	-2.550	-4.450
YLR246W	NaN	NaN	-4.400
YHR073W	-2.300	-2.750	-4.350
YDL190C	-1.900	-2.850	-4.250
YIL154C	-3.050	-4.900	-4.100
YNR051C	-3.050	-2.750	-4.100
YJL004C	NaN	NaN	-4.050
YGL229C	-4.000	-4.300	-4.000
YLR436C	-2.900	-3.600	-4.000
YFL025C	-2.600	-2.400	-4.000
YOL093W	-1.900	NaN	-4.000
YOL004W	NaN	NaN	-4.000
YHR115C	-3.000	-3.300	-3.900
YLR169W	-1.500	-1.400	-3.900
YNL229C	-4.100	-4.600	-3.850
YJR088C	-3.200	-3.800	-3.800
YDL172C	-2.450	-2.600	-3.800
YGL005C	-1.700	-2.000	-3.800
YGL226C-A	-3.700	NaN	-3.800
YDR377W	-3.700	-3.200	-3.700
YJL036W	-2.400	-2.050	-3.700
YLR171W	NaN	NaN	-3.700
YIL035C	-3.500	-3.600	-3.600
YAL044C	-2.000	-2.800	-3.600
YHL034C	NaN	NaN	-3.600
YJL130C	-2.550	-2.150	-3.550
YOR086C	-3.200	-2.900	-3.500
YCL036W	NaN	-2.700	-3.500
YNL236W	NaN	NaN	-3.500
YMR263W	NaN	NaN	-3.500
YBR221C	-2.700	-3.050	-3.450
YBR131W	NaN	NaN	-3.400
YNL183C	-3.250	-3.350	-3.350
YOR123C	NaN	NaN	-3.350
YOR352W	-3.300	-3.300	-3.300
YMR264W	-1.400	NaN	-3.300
YBR036C	NaN	NaN	-3.300
YER059W	-1.800	NaN	-3.250
YLR352W	NaN	NaN	-3.250
YLR267W	NaN	-3.250	-3.200
YBL067C	-2.450	NaN	-3.200
YOR039W	NaN	NaN	-3.200
YML071C	-2.300	-2.100	-3.150
YCR006C	-2.900	-3.600	-3.100
YNL041C	-2.700	-2.600	-3.100
YMR158W-B	-1.300	-2.000	-3.100
YAL056W	NaN	-2.200	-3.100
YPR133W-A	NaN	NaN	-3.100
YGL212W	NaN	NaN	-3.100
YDR080W	NaN	NaN	-3.100
YCL055W	-3.000	-3.300	-3.000
YHR046C	-3.100	-3.100	-3.000
YDR255C	-2.100	-2.900	-3.000
YBL087C	-2.600	-2.600	-3.000
YFL018C	-2.200	-2.200	-3.000
YFL012W-A	-1.900	-1.500	-3.000
YKL039W	NaN	-1.900	-3.000
YML117W	-2.000	NaN	-3.000
YHL009C	NaN	NaN	-3.000
YBR217W	NaN	NaN	-3.000
YOL089C	NaN	NaN	-3.000
YBR164C	NaN	NaN	-2.950
YBR298C	-3.300	-3.900	-2.900
YBR187W	-3.300	-3.600	-2.900
YOR021C	-3.000	-3.400	-2.900
YJL062W	NaN	NaN	-2.900
YHR155W	NaN	NaN	-2.900
YML122C	NaN	NaN	-2.900
YNL051W	NaN	NaN	-2.900
YKL150W	-3.000	-3.000	-2.800
YJR079W	-2.800	-2.800	-2.800
