orf	hom | growth (relative abundance in pooled culture) | dieldrin (dieldrin [115 uM]) | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | dieldrin (dieldrin [230 uM]) | Gaytan BD~Vulpe CD, 2013	hom | growth (relative abundance in pooled culture) | dieldrin (dieldrin [460 uM]) | Gaytan BD~Vulpe CD, 2013
YAL002W	2.3	2.6	0.0
YAL020C	1.6	0.0	0.0
YAL044C	-2.0	-2.8	-3.6
YAL053W	0.0	0.0	-1.5
YAL056W	0.0	-2.2	-3.1
YAL066W	0.0	0.0	-1.9
YAR003W	0.0	0.0	-2.2
YBL007C	1.9	0.0	0.0
YBL011W	0.0	-1.4	0.0
YBL012C	0.0	-2.0	-2.1
YBL024W	0.0	1.4	2.3
YBL027W	0.0	1.6	2.0
YBL038W	0.0	0.0	2.3
YBL042C	0.0	0.0	-2.5
YBL047C	2.7	2.7	3.0
YBL049W	0.0	0.0	-1.7
YBL067C	-2.45	0.0	-3.2
YBL072C	0.0	-1.4	0.0
YBL078C	0.0	0.0	-2.6
YBL079W	2.3	2.05	2.1
YBL081W	-2.6	0.0	-2.5
YBL087C	-2.6	-2.6	-3.0
YBL090W	2.75	3.0	3.15
YBL100C	-2.5	-2.8	0.0
YBL101C	0.0	0.0	2.5
YBR020W	0.0	0.0	1.8
YBR026C	2.3	0.0	0.0
YBR031W	1.6	0.0	2.0
YBR035C	2.6	0.0	0.0
YBR036C	0.0	0.0	-3.3
YBR040W	1.2	0.0	0.0
YBR041W	0.0	0.0	-2.1
YBR048W	1.9	2.25	2.7
YBR057C	-2.2	-2.0	0.0
YBR068C	-5.6	0.0	-5.65
YBR114W	0.0	1.5	1.55
YBR129C	2.0	1.7	1.7
YBR131W	0.0	0.0	-3.4
YBR138C	4.8	0.0	2.3
YBR139W	1.3	0.0	0.0
YBR162C	1.9	0.0	2.7
YBR163W	1.9	2.2	2.3
YBR164C	0.0	0.0	-2.95
YBR169C	-1.2	0.0	0.0
YBR171W	-2.9	-3.0	0.0
YBR177C	-1.3	0.0	0.0
YBR181C	0.0	1.8	2.9
YBR184W	-2.0	0.0	0.0
YBR187W	-3.3	-3.6	-2.9
YBR213W	-2.4	-2.5	-2.2
YBR217W	0.0	0.0	-3.0
YBR221C	-2.7	-3.05	-3.45
YBR225W	-1.5	0.0	-1.3
YBR239C	-1.3	0.0	0.0
YBR251W	2.0	2.9	3.15
YBR261C	1.0	0.0	1.2
YBR267W	2.1	0.0	2.8
YBR290W	0.0	-1.3	-2.05
YBR298C	-3.3	-3.9	-2.9
YCL001W-A	0.0	-2.1	0.0
YCL023C	-1.5	0.0	0.0
YCL026C-A	-2.1	-1.8	-1.8
YCL028W	-1.4	-2.0	0.0
YCL036W	0.0	-2.7	-3.5
YCL037C	2.35	2.7	3.1
YCL045C	0.0	-1.9	-2.5
YCL046W	0.0	-2.0	-2.35
YCL055W	-3.0	-3.3	-3.0
YCL056C	-2.2	-2.6	-2.2
YCL058C	0.0	0.0	2.45
YCR001W	0.0	0.0	-1.2
YCR006C	-2.9	-3.6	-3.1
YCR007C	-4.7	-5.2	-5.0
YCR008W	0.0	-1.45	-2.0
YCR009C	-2.4	-3.1	0.0
YCR022C	-1.8	0.0	0.0
YCR031C	1.1	1.1	1.2
YCR033W	0.0	0.0	-1.7
YCR036W	0.0	-2.45	-1.8
YCR060W	1.1	0.0	0.0
YCR063W	1.8	1.8	2.35
YCR068W	0.0	0.0	-2.25
YCR073W-A	-1.9	-2.6	-2.1
YCR079W	0.0	0.0	-1.85
YCR086W	0.0	-1.6	0.0
YCR089W	-1.3	0.0	-1.6
YCR095C	-2.0	-2.1	-1.9
YCR098C	0.0	0.0	1.4
YDL002C	0.0	0.0	-1.7
YDL020C	-3.2	0.0	0.0
YDL023C	0.0	1.4	2.1
YDL044C	2.1	2.4	2.3
YDL056W	2.6	2.9	3.25
YDL062W	0.0	0.0	1.8
YDL066W	0.0	0.0	-2.8
YDL082W	2.5	0.0	0.0
YDL083C	1.6	2.1	2.6
YDL100C	0.0	0.0	-2.2
YDL107W	-1.9	0.0	0.0
YDL117W	0.0	0.0	2.6
YDL142C	0.0	0.0	-2.8
YDL149W	0.0	0.0	-2.1
YDL172C	-2.45	-2.6	-3.8
