orf	hap a | growth (relative abundance in pooled culture) | selenomethionine [12 uM] | Plateau P~Lazard M, 2017	hap a | growth (relative abundance in pooled culture) | selenomethionine [20 uM] | Plateau P~Lazard M, 2017
YAL004W	-0.4399922777938268	-0.4289311966371384
YAL005C	-0.08373479213046855	-0.5422559962630301
YAL008W	0.01331316579275856	-0.8124939826503867
YAL009W	1.7889025107351777	1.1952954970390315
YAL010C	2.859805320099116	2.8248735763004653
YAL011W	-0.8756071395694459	-1.22778801842796
YAL012W	2.3525354087226478	-0.5294714515603793
YAL014C	-0.6338504579621822	-0.8563922987044744
YAL015C	0.051645548578953746	-0.24252167603172084
YAL017W	0.3716578536356246	0.21675014953638017
YAL018C	0.14047080135268727	0.12258393726289231
YAL019W	-0.0023174523229858687	-0.3799046332797515
YAL020C	1.720015880572961	1.2646078019491973
YAL021C	-0.2569561450158249	-2.5087007833991923
YAL022C	0.18351574015647887	0.07448597724988389
YAL023C	1.0616584844907042	1.5272169459746485
YAL024C	0.06066793492314058	0.16615487352551864
YAL026C	0.13153711140212423	-0.696215550627309
YAL027W	0.21807160134217732	-0.15586392872062257
YAL028W	0.0008931213754116593	-0.17512288587802274
YAL029C	-0.083728956483087	0.20282940860198212
YAL030W	-0.19518146502875416	-0.13106492691872537
YAL031C	0.2629832927732733	0.30737350393385776
YAL034C	0.1778232594610758	0.5946661823432926
YAL034C-B	2.5642662970301844	1.3187577618094375
YAL036C	0.1636176389821886	0.3264913275686414
YAL037W	-0.0022682393965144762	0.24032501161694353
YAL039C	-1.357742605275983	-2.0751042654188483
YAL040C	-0.1860974815938725	-0.6539367800973709
YAL042C-A	1.5468956140685246	2.27576919275326
YAL042W	0.20500616799059349	-0.1277583089934845
YAL044C	-0.27181597926568923	-1.4599049264412765
YAL045C	-0.2247650276127965	-0.571155599638992
YAL046C	-0.5834954198869999	-0.7950381140174881
YAL051W	-0.12325543959337902	0.03203501711976902
YAL053W	0.23097922790261927	-0.4779602996808391
YAL054C	-0.18669941373167448	-0.31833325166922116
YAL055W	-0.84725643467627	-0.21293594526162127
YAL056C-A	1.0616437226357043	1.4972039306794842
YAL058W	1.3466577623639193	1.73594086540884
YAL059W	3.407684820635787	2.29281527111472
YAL060W	-0.30349205326898154	-2.1984958559094125
YAL061W	0.1462713799346144	-0.023370712325390865
YAL062W	-0.011142740201578896	-0.4221402958031503
YAL064C-A	-0.16636821244456193	-0.5643308436112332
YAL065C	-0.02235788803149767	-0.6115720761988142
YAL066W	-0.1148628685938429	-0.6582616007578
YAL067C	0.3400328570650127	0.42049088728326967
YAL068C	-0.06735829315329687	-0.28008464778806813
YAR002C-A	0.39860715162748817	0.5348344920813678
YAR003W	0.36617978442187377	1.0691012230864512
YAR015W	-0.22656234579603177	0.84012262016541
YAR020C	0.11597777136613736	0.13134334229970357
YAR023C	-0.08448535031176309	-0.041265410441931306
YAR027W	0.017928517880571163	-0.10806191005573526
YAR028W	-0.16023566686481158	0.14338231803928372
YAR029W	-0.1311134214565963	0.5053451408194343
YAR030C	0.11625737103265978	-0.38411292674865133
YAR031W	0.020356462432604278	0.09912028153839954
YAR035W	-0.021694712370752232	0.23266679909137433
YAR042W	0.4351546247636148	0.04001771016023646
YAR047C	-0.00615998661784248	-0.7481624669241376
YAR050W	0.10251456323179456	0.34804399245939227
YBL001C	-0.059261730661665554	-0.24153955432007723
YBL002W	0.9421385832246502	-0.019426323295590013
YBL003C	-0.27766002856245176	0.21308376497689288
YBL005W	-0.18633285164290997	-0.4651286393300108
YBL006C	-2.846796930240572	-2.639888870679387
YBL007C	-0.9121093507984707	0.17881439292673487
YBL008W	-0.03224529994736897	0.052930846476417374
YBL009W	-0.3143642414720789	-0.45953577783729277
YBL010C	-0.07134082203596967	-0.23893929532243283
YBL011W	-0.39938757093342714	-0.26963459017612446
YBL012C	0.9395333819752539	0.08410238032020419
YBL015W	-0.08235448532037204	-0.6323692834051797
YBL016W	2.5652059409422026	0.5328292421850075
YBL017C	-0.4333809745995792	-0.3156647505228087
YBL019W	-0.5391307433219973	-0.1415409524531368
YBL021C	-0.7064015126607878	-0.8570176622166068
YBL022C	0.27723499365550225	-0.964064250614572
YBL027W	-1.1800162119116693	0.11690694921504233
YBL028C	-0.49986924680430295	-1.0763654873245112
YBL029W	-0.28735379877262907	0.18139607266613125
YBL031W	0.0021344594409924526	0.2419051953778495
YBL032W	0.2510664651060335	-0.16362328950476823
YBL036C	-0.2059550029106883	-0.2771467624327965
YBL037W	-0.24547977850139632	0.2604127135949346
YBL038W	0.5151169725223298	-0.36167943780910294
YBL039C	-0.004752245409454039	-0.1074868898240223
YBL042C	-0.38183518568607744	-0.15754382255757554
YBL043W	-0.36937117662725316	-0.1068922792259013
YBL044W	0.7991325013352548	-1.3863277917008594
YBL045C	0.22581504323226953	-0.4287963472424942
YBL046W	-1.1851757684717226	-1.11170090931063
YBL048W	-0.16827910520746092	-0.18905485537595323
YBL049W	-0.062447178216224725	0.29549676014871856
YBL051C	-2.5771506486468128	-3.6239646620785164
YBL052C	0.10109768936325762	0.39330111307112675
YBL053W	-0.05405182355628399	0.5229726385910693
YBL054W	-1.3473228411380807	-1.316114852251962
YBL055C	-0.2579100629858566	-0.432923129477059
YBL056W	0.2078810661461694	0.29089871318868904
YBL057C	-0.24964839242413156	-0.2838471094561016
YBL059W	0.5692971092664973	0.18508140844006266
YBL060W	-0.04766555470567989	0.1345692179426561
YBL061C	-0.21338612634773652	-0.4886402414398296
YBL062W	-0.6735364261407029	-0.1364512724389295
YBL063W	-0.2229371780053329	0.059373948912828274
YBL064C	-0.19780772242251882	-0.011611255014176656
YBL065W	-0.1609327914510403	0.717898318851123
YBL066C	-0.30826842797225673	-0.8655872118962032
YBL067C	1.035255833166325	0.4469368048783946
YBL068W	0.21033073079605738	0.37680724276759503
YBL069W	-0.41199972014631847	-0.8259706876346431
YBL070C	-0.17995663181605093	0.009986896883776037
YBL072C	0.8173188329595031	-0.9610454465669713
YBL075C	-0.1994911389849311	-0.013687554926216202
YBL078C	-0.22182678813275827	-0.36152576215661447
YBL079W	0.6271058809222803	0.6326793952975077
YBL080C	0.06659395689530241	-0.26196869667862316
YBL081W	1.570781545606832	1.1395798483649469
YBL082C	1.105592537889328	0.5360850068324581
YBL083C	1.2583378218941177	1.2985337349812045
YBL085W	-0.23125446379556033	-0.6552657033805088
YBL086C	0.14375589285786727	0.2768436412765915
YBL087C	3.537429430288257	2.3958925343713573
YBL088C	-0.03254881550038801	-0.10729156516669866
YBL089W	-1.5848421163355768	-0.5170133453705421
YBL090W	0.6583899844065296	-0.34101854434617496
YBL091C	-0.3075779397272027	0.11878301347800253
YBL091C-A	-0.8189602989524196	-0.7298980975650353
YBL095W	-0.19174759608847713	-0.4269833848473611
YBL096C	0.0285691881642502	0.15407060342403275
YBL098W	-0.006498544797235067	0.3859343355891915
YBL099W	0.3398983058126791	0.4508336332017461
YBL100C	-0.6078121979325458	-0.5777912017657155
YBL102W	0.16690812265421184	0.1384254346150882
YBL103C	-0.1344255228089004	-0.47773460775985654
YBL104C	-0.25614013554484166	-0.16201861261288525
YBL106C	0.08382332240957346	0.4349225741651812
YBL107C	0.18314314677090898	0.6138703554870808
YBR001C	-0.21008419972789716	-0.1515763471492041
YBR003W	-0.021499819552994924	-0.2791412411352737
YBR005W	-0.1687999226839981	-0.199669537816546
YBR006W	0.04143555301520854	0.018113967990026226
YBR007C	-0.015139623587446067	0.029132367801130005
