ORF	hap a | growth (relative abundance in pooled culture) | selenomethionine [12 uM] | Plateau P~Lazard M, 2017	hap a | growth (relative abundance in pooled culture) | selenomethionine [20 uM] | Plateau P~Lazard M, 2017
YCR053W	-5.687	-1.465
YHR025W	-4.340	-1.672
YCR027C	-2.961	-3.440
YIL153W	-3.963	-2.921
YNL040W	-3.918	-2.810
YER091C-A	-3.763	-3.276
YNL015W	-3.652	-3.095
YDR495C	-2.897	NaN
YML028W	-3.555	-0.565
YGL125W	-3.465	-4.565
YNR047W	-3.469	-2.924
YDL006W	-3.161	-2.499
YCL008C	-3.276	-2.655
YPL084W	-3.129	-1.643
YOR322C	-3.338	-2.634
YDR069C	-3.037	-1.727
YMR073C	-3.043	-1.881
YFR010W	-2.865	-1.569
YLR119W	-2.767	-1.500
YPR160W	-2.919	-2.488
YNL097C	-2.795	-1.311
YPR040W	-2.951	-1.884
YNR006W	-2.825	-1.937
YJR102C	-2.764	-2.569
YDR399W	-2.735	-1.844
YMR077C	-2.787	-3.321
YNL296W	-2.714	-1.498
YPL002C	-2.627	-2.146
YCR009C	-2.557	-1.055
YDR135C	-2.668	-1.588
YBL006C	-2.648	-1.137
YPR124W	-2.594	-2.127
YLR025W	-2.592	-2.426
YJR049C	-2.472	-1.592
YOL049W	-2.533	-2.770
YDL076C	-2.539	-1.046
YMR071C	-2.400	-1.815
YDR335W	-2.327	-0.680
YLR417W	-2.395	-2.480
YNR005C	-2.401	-1.298
YGL019W	-2.310	-3.288
YLR027C	-2.322	-1.401
YDR075W	-2.305	-1.130
YKR016W	-2.294	-1.512
YPR173C	-2.268	-1.235
YKL213C	-2.263	-0.205
YBL051C	-2.408	-1.577
YKL002W	-2.234	-1.399
YCR024C-A	-2.257	-1.332
YGR028W	-2.189	-1.304
YLR451W	-2.168	-1.101
YML097C	-1.944	-2.052
YGR078C	-2.085	-2.674
YCR026C	-2.139	-0.918
YCL037C	-1.956	-0.619
YER083C	-2.030	-1.488
YKL041W	-2.040	-1.082
YGR092W	-2.027	-1.446
YBR279W	-2.046	-0.590
YNL201C	-2.060	-0.605
YMR237W	-2.031	-0.810
YHR108W	-2.019	-1.701
YCR050C	-2.012	-0.772
YCR025C	-1.978	-1.138
YOR209C	-1.957	-0.941
YNL136W	-2.034	-0.705
YJL169W	-1.908	-0.605
YBR058C	-1.953	-1.291
YOR375C	-1.939	-0.923
YJL136C	-1.948	-1.122
YJR040W	-1.914	-0.918
YML012C-A	-1.928	-0.915
YGR056W	-1.920	-1.334
YOR039W	-1.912	-2.570
YCR087C-A	-1.919	-0.807
YDL189W	-1.904	-1.060
YKL023W	-1.912	-0.835
YGR259C	-1.899	-0.896
YOR280C	-1.900	-0.265
YCR068W	-1.898	-0.929
YBR095C	-2.003	-0.807
YDR098C	-1.903	-0.762
YCR087W	-1.859	-0.568
YDR270W	-1.869	-1.029
YGL126W	-1.834	-1.185
YPR023C	-1.863	-0.809
YMR058W	-1.831	-1.611
YGR260W	-1.828	-1.059
YJR087W	-1.823	-0.739
YDR269C	-1.814	-1.351
YLR360W	-1.799	-0.906
YBR291C	-1.799	-0.858
YDR129C	-1.811	-0.304
YMR100W	-1.788	-0.994
YLR282C	-1.784	-0.928
YMR125W	-1.706	0.977
YLR414C	-1.761	-1.073
YBR286W	-1.772	-0.870
YCR045C	-1.741	-0.732
YKR048C	-1.729	-1.121
YML016C	-1.741	-1.010
YGL244W	-1.073	NaN
YDR410C	-1.704	-0.509
YBR297W	-1.699	-0.549
YLR024C	-1.683	-1.993
YIL148W	-1.646	-0.523
YLR407W	-1.667	-1.090
YDR162C	-1.557	-1.217
YJL094C	-1.637	-0.934
YBR284W	-1.650	-0.873
YLR200W	-1.648	-1.208
YKR035C	-1.618	-0.551
YBR298C	-1.639	-0.969
YCR085W	-1.631	-0.707
YBR295W	-1.616	-0.839
YFR011C	-1.627	-0.811
YDL198C	-1.289	-0.147
YOR355W	-1.606	-1.189
YNR004W	-1.580	-0.761
YFR040W	-1.568	-0.983
YBR272C	-1.556	NaN
YCL001W-A	-1.553	-0.898
YER145C	-1.588	-1.316
YDR375C	-1.271	-0.217
YKR035W-A	-1.573	-0.312
YML094W	-1.698	-1.540
YJL052W	-1.044	-0.720
YNL169C	-1.554	NaN
YOR223W	-1.544	-1.018
YMR074C	-1.557	-0.666
YKR001C	-1.507	-0.550
YLR330W	-1.521	-0.500
YBL089W	-1.526	-0.188
YKL176C	-1.508	-0.493
YKL081W	-1.525	-0.311
YHR008C	-1.501	0.193
YNR045W	-1.445	-0.658
YJR104C	-1.620	-0.945
YER056C	-1.457	-0.887
YCL050C	-1.470	-0.651
YDR360W	-1.416	-0.266
YIL154C	-1.480	-0.332
YML075C	-1.439	-0.578
YBR281C	-1.466	-0.718
YCR019W	-1.447	-0.893
YJL204C	-1.504	-1.138
YKL197C	-1.414	-0.643
YCL036W	-1.406	-0.937
