orf	hap a | growth (relative abundance in pooled culture) | selenomethionine [12 uM] | Plateau P~Lazard M, 2017	hap a | growth (relative abundance in pooled culture) | selenomethionine [20 uM] | Plateau P~Lazard M, 2017
YAL004W	-0.508729879414166	-0.14828257483829452
YAL005C	-0.19208651372927907	-0.1989724216572595
YAL008W	-0.10582982224548655	-0.31984907160379905
YAL009W	1.472322522286758	0.578229208756409
YAL010C	2.4241460867713	1.3071346512543867
YAL011W	-0.8959064624357187	-0.505608862292944
YAL012W	1.9732821512392933	-0.1932539327230905
YAL014C	-0.6810319617683298	-0.339484658198596
YAL015C	-0.07175981617237444	-0.06490214905083566
YAL017W	0.2126686587691277	0.14052877659974436
YAL018C	0.007188495450368908	0.09840850909057797
YAL019W	-0.119722390758647	-0.1263531384320515
YAL020C	1.4110957542803566	0.6092323972038121
YAL021C	-0.3460464847990185	-1.07855734364207
YAL022C	0.04544704396382244	0.07689443420659235
YAL023C	0.82594453610775	0.726696688584463
YAL024C	-0.06374067582164435	0.11789765967546731
YAL026C	-0.0007518111193703011	-0.267838073772283
YAL027W	0.07616045948575961	-0.0261403956537219
YAL028W	-0.11686881742320669	-0.034754870079658405
YAL029C	-0.19208132697783606	0.1343020704603945
YAL030W	-0.2911408522933862	-0.015047875686766653
YAL031C	0.11607818670730441	0.1810643342869726
YAL034C	0.04038753975963031	0.3095694974009535
YAL034C-B	2.16146958249653	0.6334535136728461
YAL036C	0.02776151599566247	0.1896156801067605
YAL037W	-0.11967865007304684	0.15107374249941452
YAL039C	-1.3244307818422376	-0.8846109069378605
YAL040C	-0.28306696415236704	-0.24892690508783302
YAL042C-A	1.257225629271872	1.0615218888094866
YAL042W	0.06454783952109068	-0.013568835294261006
YAL044C	-0.3592539769072483	-0.6094340669271341
YAL045C	-0.3174348649177618	-0.21189912854835782
YAL046C	-0.636276161884919	-0.312041113327988
YAL051W	-0.22721265515870234	0.05790624562459485
YAL053W	0.08763282001592983	-0.1702131472386945
YAL054C	-0.28360196432976015	-0.09881244202161867
YAL055W	-0.8707082196529776	-0.05166853941098376
YAL056C-A	0.82593141570007	0.7132719558436205
YAL058W	1.0792532641910426	0.820058278796848
YAL059W	2.9111040203475134	1.0691465491120764
YAL060W	-0.387407823739154	-0.9398035994585019
YAL061W	0.012344077575699067	0.033123427144089
YAL062W	-0.12756634904576167	-0.1452450250330091
YAL064C-A	-0.26553149489953604	-0.20884643541529302
YAL065C	-0.13753442634498425	-0.229977298662427
YAL066W	-0.21975329771363908	-0.250861384544407
YAL067C	0.18456020980490281	0.23166140442054098
