orf	hap a | growth (colony size) | formaldehyde (formaldehyde [1.5 mM]) | de Graaf B~McCullough AK, 2009
YBR081C	-10.17461189789209
YCR094W	-10.17461189789209
YDL020C	-10.17461189789209
YDL116W	-10.17461189789209
YDL167C	-10.17461189789209
YDL168W	-10.17461189789209
YDR076W	-10.17461189789209
YDR162C	-10.17461189789209
YDR369C	-10.17461189789209
YER095W	-10.17461189789209
YER162C	-10.17461189789209
YFR036W	-10.17461189789209
YGL163C	-10.17461189789209
YHL025W	-10.17461189789209
YHR120W	-10.17461189789209
YIR023W	-10.17461189789209
YJL124C	-10.17461189789209
YJL176C	-10.17461189789209
YJR144W	-10.17461189789209
YLR032W	-10.17461189789209
YLR056W	-10.17461189789209
YLR234W	-10.17461189789209
YLR235C	-10.17461189789209
YLR320W	-10.17461189789209
YLR373C	-10.17461189789209
YLR436C	-10.17461189789209
YML008C	-10.17461189789209
YML032C	-10.17461189789209
YML097C	-10.17461189789209
YMR015C	-10.17461189789209
YMR190C	-10.17461189789209
YMR201C	-10.17461189789209
YMR224C	-10.17461189789209
YMR269W	-10.17461189789209
YNL059C	-10.17461189789209
YNL169C	-10.17461189789209
YNL250W	-10.17461189789209
YOL086C	-10.17461189789209
YOR290C	-10.17461189789209
YPL022W	-10.17461189789209
YPL161C	-10.17461189789209
YPR044C	-10.17461189789209
YPR070W	-10.17461189789209
YPR135W	-10.17461189789209
