ORF	hom | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], time [5 generations] | Singh-Babak SD~Cowen LE, 2012	hom | growth (relative abundance in pooled culture) | micafungin [0.045 ug/ml], time [5 generations] | Singh-Babak SD~Cowen LE, 2012	hom | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], micafungin [0.045 ug/ml], time [5 generations] | Singh-Babak SD~Cowen LE, 2012	het | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], time [20 generations] | Singh-Babak SD~Cowen LE, 2012	het | growth (relative abundance in pooled culture) | micafungin [0.045 ug/ml], time [20 generations] | Singh-Babak SD~Cowen LE, 2012	het | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], micafungin [0.045 ug/ml], time [20 generations] | Singh-Babak SD~Cowen LE, 2012
YDR064W	NaN	NaN	NaN	1.555	-5.400	-2.326
YDR230W	2.539	2.081	0.255	NaN	NaN	NaN
YBR069C	1.191	-0.833	0.816	NaN	NaN	NaN
YOR330C	0.855	-0.547	-3.585	NaN	NaN	NaN
YPL169C	NaN	NaN	NaN	1.392	-2.922	-0.900
YPL142C	NaN	NaN	NaN	2.075	-4.901	-3.803
YJR142W	3.064	13.721	7.381	NaN	NaN	NaN
YCL029C	2.003	-2.025	-0.530	NaN	NaN	NaN
YHR204W	1.520	7.139	3.716	NaN	NaN	NaN
YDR335W	2.785	2.958	1.367	NaN	NaN	NaN
YOR295W	0.433	-1.797	-1.186	NaN	NaN	NaN
YPL269W	2.989	1.964	4.093	NaN	NaN	NaN
YAL058W	0.750	-3.599	-2.354	NaN	NaN	NaN
YDL081C	1.233	-0.993	-1.975	NaN	NaN	NaN
YMR165C	1.226	0.516	0.452	NaN	NaN	NaN
YCR034W	0.705	-1.680	2.002	NaN	NaN	NaN
YJL024C	0.798	1.580	0.305	NaN	NaN	NaN
YOR158W	1.076	-1.375	0.219	NaN	NaN	NaN
YDL192W	2.593	1.109	0.666	NaN	NaN	NaN
YPL049C	0.980	-0.057	0.509	NaN	NaN	NaN
YPR133W-A	-0.429	2.604	0.674	NaN	NaN	NaN
YGL147C	1.768	-1.049	0.495	NaN	NaN	NaN
YLR283W	2.401	-0.909	-0.389	NaN	NaN	NaN
YDR414C	3.424	6.830	3.245	NaN	NaN	NaN
YNL215W	0.386	-0.175	-1.985	NaN	NaN	NaN
YNL173C	3.004	-0.751	-0.323	NaN	NaN	NaN
YBL087C	3.098	-1.109	1.201	NaN	NaN	NaN
YGL220W	0.241	0.791	-0.981	NaN	NaN	NaN
YDL006W	0.427	2.581	2.009	NaN	NaN	NaN
YDR149C	0.484	3.421	2.893	NaN	NaN	NaN
YMR307W	1.258	-1.876	1.682	NaN	NaN	NaN
YLR268W	1.398	1.163	2.178	NaN	NaN	NaN
YER151C	0.657	-1.626	1.116	NaN	NaN	NaN
YJL019W	NaN	NaN	NaN	1.535	1.448	0.004
YDR159W	-0.384	0.300	0.789	NaN	NaN	NaN
YLR095C	1.681	0.821	0.077	NaN	NaN	NaN
YDR057W	2.345	1.396	0.303	NaN	NaN	NaN
YBL001C	1.821	-2.343	-1.541	NaN	NaN	NaN
YCR024C-A	2.021	2.171	-1.829	NaN	NaN	NaN
YCR025C	1.503	2.227	1.003	NaN	NaN	NaN
YLL018C-A	2.027	-0.825	-0.725	NaN	NaN	NaN
YDR488C	3.562	1.084	2.572	NaN	NaN	NaN
YDL044C	1.468	-1.861	-1.307	NaN	NaN	NaN
YNR037C	1.073	-2.168	0.339	NaN	NaN	NaN
YEL007W	1.377	5.170	2.376	NaN	NaN	NaN
YMR031W-A	-0.656	0.657	0.472	NaN	NaN	NaN
YGR106C	1.801	3.521	2.816	NaN	NaN	NaN
YJR111C	3.332	11.790	6.404	NaN	NaN	NaN
YOR085W	2.058	-2.209	-2.159	NaN	NaN	NaN
YNR041C	0.077	-1.541	-0.677	NaN	NaN	NaN
YBL085W	2.259	0.582	1.361	NaN	NaN	NaN
YNL183C	1.793	-1.185	2.100	NaN	NaN	NaN
YLR340W	NaN	NaN	NaN	0.861	-1.735	-1.416
YER072W	0.624	0.604	-1.019	NaN	NaN	NaN
YDR079W	1.832	-1.988	-1.747	NaN	NaN	NaN
YDR289C	4.693	3.027	3.115	NaN	NaN	NaN
YLR287C	1.997	-1.053	-1.393	NaN	NaN	NaN
YDL066W	0.717	0.456	1.449	NaN	NaN	NaN
YJL153C	2.285	-0.975	0.310	NaN	NaN	NaN
YBR229C	1.393	0.426	1.424	NaN	NaN	NaN
YFL025C	0.072	0.549	1.912	NaN	NaN	NaN
YDL067C	0.512	-2.484	-0.938	NaN	NaN	NaN
YLR304C	1.449	-0.675	-1.339	NaN	NaN	NaN
YGR008C	0.137	-3.290	-2.370	NaN	NaN	NaN
YGR290W	1.316	0.331	-1.463	NaN	NaN	NaN
YIL044C	1.238	3.679	0.595	NaN	NaN	NaN
YML094C-A	0.235	2.463	-0.270	NaN	NaN	NaN
YMR199W	1.193	2.248	-1.275	NaN	NaN	NaN
YJL139C	0.394	-1.291	-1.736	NaN	NaN	NaN
YHR200W	-0.296	-2.857	-2.752	NaN	NaN	NaN
YNL252C	-0.252	-2.322	-2.280	NaN	NaN	NaN
YOR096W	0.912	-0.709	-0.830	NaN	NaN	NaN
YLR075W	NaN	NaN	NaN	-0.466	-5.175	-4.852
YBR288C	0.555	2.585	1.111	NaN	NaN	NaN
YMR138W	0.965	-1.009	0.110	NaN	NaN	NaN
YFL039C	NaN	NaN	NaN	-0.122	-1.575	-0.148
YML072C	-0.983	-2.919	-1.915	NaN	NaN	NaN
YGR229C	0.244	3.620	4.096	NaN	NaN	NaN
YKL194C	-0.889	-1.953	-2.239	NaN	NaN	NaN
YOL072W	1.053	-0.131	1.285	NaN	NaN	NaN
YPR052C	1.457	0.423	-2.191	NaN	NaN	NaN
YML124C	0.587	0.896	0.395	NaN	NaN	NaN
YDR203W	0.834	0.077	-0.483	NaN	NaN	NaN
YPL104W	-0.252	0.350	-0.847	NaN	NaN	NaN
YKL101W	-0.873	-1.847	-2.563	NaN	NaN	NaN
YNL096C	2.058	-2.308	-1.675	NaN	NaN	NaN
YDR162C	0.482	2.447	1.888	NaN	NaN	NaN
YMR294W	1.233	6.010	2.979	NaN	NaN	NaN
YFL016C	0.355	-1.409	-0.888	NaN	NaN	NaN
YHL009C	2.092	5.959	4.662	NaN	NaN	NaN
YBR039W	0.126	-0.786	-0.664	NaN	NaN	NaN
YML101C-A	0.930	-0.502	0.969	NaN	NaN	NaN
YPL132W	1.714	0.292	0.247	NaN	NaN	NaN
YBR036C	0.617	-3.017	-1.425	NaN	NaN	NaN
YAL056C-A	0.001	-3.678	-2.593	NaN	NaN	NaN
YJR121W	0.210	-2.370	-0.489	NaN	NaN	NaN
YCR065W	0.112	2.276	1.157	NaN	NaN	NaN
YNL237W	0.207	-0.014	-0.021	NaN	NaN	NaN
YHR096C	-0.159	-3.493	-1.593	NaN	NaN	NaN
YOR239W	-0.365	-1.674	-1.903	NaN	NaN	NaN
YNR007C	0.643	6.769	5.525	NaN	NaN	NaN
YOL081W	1.033	1.147	0.099	NaN	NaN	NaN
YBL031W	-0.184	3.331	2.681	NaN	NaN	NaN
YDL073W	1.119	2.499	0.880	NaN	NaN	NaN
YJL060W	1.776	-1.137	-2.056	NaN	NaN	NaN
YJL152W	0.876	-1.558	-0.841	NaN	NaN	NaN
YBR134W	0.245	0.573	0.414	NaN	NaN	NaN
YLR239C	1.398	-0.648	-1.396	NaN	NaN	NaN
YMR125W	0.855	-0.914	-0.499	NaN	NaN	NaN
YLR358C	0.867	1.020	0.727	NaN	NaN	NaN
YER162C	1.257	-0.319	-1.099	NaN	NaN	NaN
YDR375C	-0.427	-0.539	0.473	NaN	NaN	NaN
YDR428C	0.397	0.466	0.905	NaN	NaN	NaN
YML012C-A	-0.138	-0.607	-1.132	NaN	NaN	NaN
YLR386W	0.794	-0.030	-0.424	NaN	NaN	NaN
YMR115W	-0.333	-3.012	-1.441	NaN	NaN	NaN
YGL172W	NaN	NaN	NaN	0.297	-1.780	-1.160
YDR253C	0.765	6.168	3.197	NaN	NaN	NaN
YLR087C	-0.281	-1.567	-1.762	NaN	NaN	NaN
YPL061W	-0.027	-1.362	-1.166	NaN	NaN	NaN
YDR394W	NaN	NaN	NaN	0.686	-3.567	-2.884
YJR127C	1.363	-1.472	-1.211	NaN	NaN	NaN
YGL084C	1.793	0.358	-0.408	NaN	NaN	NaN
YHR129C	0.717	0.500	4.140	NaN	NaN	NaN
YER123W	-1.457	1.596	-0.775	NaN	NaN	NaN
YDL133W	-0.373	3.907	2.520	NaN	NaN	NaN
YGR119C	NaN	NaN	NaN	-0.121	-1.410	-2.101
YNL016W	1.117	0.972	0.540	NaN	NaN	NaN
YCR006C	3.337	1.645	1.426	NaN	NaN	NaN
YJL014W	NaN	NaN	NaN	0.960	5.820	5.690
YLR076C	NaN	NaN	NaN	0.976	-2.204	-1.381
YDR204W	1.477	-1.608	-0.584	NaN	NaN	NaN
YKR062W	NaN	NaN	NaN	0.558	-1.293	-1.671
YCR064C	-0.713	0.248	-0.413	NaN	NaN	NaN
YLR423C	-1.376	-0.742	-0.629	NaN	NaN	NaN
YBL006C	-0.086	-0.339	-1.043	NaN	NaN	NaN
YER083C	2.990	0.640	1.948	NaN	NaN	NaN
YLR458W	NaN	NaN	NaN	1.848	0.796	1.358
YKL186C	NaN	NaN	NaN	-0.354	-0.887	-1.427
YGR166W	1.298	0.441	-0.044	NaN	NaN	NaN
YLR202C	0.154	-0.250	-0.028	NaN	NaN	NaN
YAR042W	0.603	0.512	0.496	NaN	NaN	NaN
YGL145W	NaN	NaN	NaN	0.183	0.231	0.197
YOR146W	NaN	NaN	NaN	2.907	-5.697	-4.334
YDR101C	-0.510	-3.789	-2.697	NaN	NaN	NaN
YCR079W	0.765	9.026	4.137	NaN	NaN	NaN
YML012W	0.082	-1.038	0.796	NaN	NaN	NaN
YGR288W	1.924	0.638	0.233	NaN	NaN	NaN
YKL212W	1.681	-0.952	1.342	NaN	NaN	NaN
YBR131W	0.751	-0.522	-0.508	NaN	NaN	NaN
YDR463W	0.241	-0.807	-0.999	NaN	NaN	NaN
YIL053W	0.905	-0.643	0.428	NaN	NaN	NaN
YPL215W	0.207	-0.944	-2.022	NaN	NaN	NaN
YML013W	-0.743	-0.948	-1.706	NaN	NaN	NaN
YER061C	0.770	-1.473	-1.246	NaN	NaN	NaN
YML021C	0.312	0.940	0.258	NaN	NaN	NaN
YJL168C	2.157	0.535	1.343	NaN	NaN	NaN
YML085C	NaN	NaN	NaN	-0.108	-4.955	-3.948
YPR024W	-0.330	-2.424	-1.174	NaN	NaN	NaN
YKL007W	2.090	5.149	4.919	NaN	NaN	NaN
YJL009W	NaN	NaN	NaN	0.434	2.990	0.773
YKR006C	-0.109	2.990	1.141	NaN	NaN	NaN
YML009C	0.398	-0.213	0.169	NaN	NaN	NaN
YIR021W	1.175	1.017	0.192	NaN	NaN	NaN
YDL014W	NaN	NaN	NaN	1.475	-2.809	-1.881
YDR207C	0.683	-0.816	0.997	NaN	NaN	NaN
YGR116W	NaN	NaN	NaN	1.052	-1.804	0.715
YDL097C	NaN	NaN	NaN	1.449	-2.177	-0.421
YJL023C	-0.392	-2.622	-1.328	NaN	NaN	NaN
YCR087W	0.753	2.009	0.495	NaN	NaN	NaN
YGL102C	NaN	NaN	NaN	-0.465	-3.735	-2.974
YFL017W-A	NaN	NaN	NaN	2.422	1.207	1.489
YBL094C	1.528	-0.043	0.738	NaN	NaN	NaN
YBR185C	1.250	-0.251	0.323	NaN	NaN	NaN
YNL313C	NaN	NaN	NaN	1.703	-0.769	1.792
YOR007C	1.376	0.949	-1.897	NaN	NaN	NaN
YDL101C	1.421	1.915	1.869	NaN	NaN	NaN
YJR047C	0.325	0.558	0.502	NaN	NaN	NaN
YJL217W	0.810	-1.875	1.978	NaN	NaN	NaN
YIL087C	1.284	-0.216	-0.705	NaN	NaN	NaN
YDR116C	1.381	-0.290	1.164	NaN	NaN	NaN
YBR245C	1.393	0.229	0.590	NaN	NaN	NaN
YBR076W	1.630	0.829	1.287	NaN	NaN	NaN
YGL008C	NaN	NaN	NaN	1.575	-1.921	-2.697
YKR048C	0.127	0.140	1.286	NaN	NaN	NaN
YJL080C	0.092	1.225	0.543	NaN	NaN	NaN
YKR029C	0.043	-2.405	-0.508	NaN	NaN	NaN
YBL063W	1.746	-0.852	0.955	NaN	NaN	NaN
YPL062W	-0.448	-0.536	-1.338	NaN	NaN	NaN
YEL046C	0.340	-1.502	-0.982	NaN	NaN	NaN
YOR135C	2.192	0.755	0.028	NaN	NaN	NaN
YCR087C-A	0.945	5.533	2.500	NaN	NaN	NaN
YJR144W	0.482	-1.071	-1.598	NaN	NaN	NaN
YIR023W	-0.321	-1.719	-1.146	NaN	NaN	NaN
YPR133C	NaN	NaN	NaN	0.249	-4.359	-2.740
YGR167W	2.792	-0.578	2.213	NaN	NaN	NaN
YBR064W	0.409	-2.026	-0.249	NaN	NaN	NaN
YPL152W	-0.471	2.792	1.575	NaN	NaN	NaN
YMR073C	1.905	1.731	3.683	NaN	NaN	NaN
YDR396W	NaN	NaN	NaN	0.208	-0.365	0.783
YOL099C	1.316	-0.428	-0.260	NaN	NaN	NaN
YHR012W	0.321	0.581	0.632	NaN	NaN	NaN
YMR203W	NaN	NaN	NaN	0.199	-0.805	0.381
YJR072C	NaN	NaN	NaN	-0.318	0.947	0.759
YOR127W	-0.196	1.389	-0.885	NaN	NaN	NaN
YOL096C	0.990	-0.520	0.515	NaN	NaN	NaN
YDL063C	-0.752	-3.365	-2.202	NaN	NaN	NaN
YBL079W	0.589	0.256	-0.705	NaN	NaN	NaN
YNL290W	NaN	NaN	NaN	1.028	2.433	0.376
YNL128W	2.325	2.153	-1.129	NaN	NaN	NaN
YLR298C	NaN	NaN	NaN	0.393	-0.776	-0.483
YMR047C	NaN	NaN	NaN	0.617	-0.215	0.633
YMR302C	1.724	-0.720	3.070	NaN	NaN	NaN
YBL080C	0.086	-1.466	-0.432	NaN	NaN	NaN
YJR070C	0.593	1.188	-1.124	NaN	NaN	NaN
YGL123W	NaN	NaN	NaN	-0.367	-4.942	-2.234
YPR018W	-0.420	-1.779	-1.436	NaN	NaN	NaN
YFR002W	NaN	NaN	NaN	0.054	-1.221	-1.123
YBR234C	NaN	NaN	NaN	0.769	1.776	0.660
YDR308C	NaN	NaN	NaN	0.920	-1.607	-1.476
YDL065C	1.008	-0.140	0.760	NaN	NaN	NaN
YKR100C	-0.274	-1.904	0.070	NaN	NaN	NaN
YIR033W	0.004	-1.506	2.572	NaN	NaN	NaN
YPR064W	2.378	0.325	-0.919	NaN	NaN	NaN
YLL044W	1.172	-1.864	-0.705	NaN	NaN	NaN
YBR106W	0.389	0.929	1.269	NaN	NaN	NaN
YGR183C	-0.440	-2.157	-0.920	NaN	NaN	NaN
YFL004W	0.728	-0.654	0.542	NaN	NaN	NaN
YDL134C	-2.217	-1.518	-1.354	NaN	NaN	NaN
YDR395W	0.463	-1.809	-1.232	NaN	NaN	NaN
YNL111C	-0.364	-2.806	-1.867	NaN	NaN	NaN
YDR028C	-0.277	-0.016	-0.345	NaN	NaN	NaN
YHR106W	0.619	-0.217	-2.829	NaN	NaN	NaN
YDR084C	0.237	-2.550	-0.724	NaN	NaN	NaN
YKL167C	1.279	0.495	0.205	NaN	NaN	NaN
YGL167C	2.077	-0.178	2.506	NaN	NaN	NaN
YOL004W	0.474	1.000	-0.908	NaN	NaN	NaN
YPL241C	-0.286	0.469	0.214	NaN	NaN	NaN
YOR181W	NaN	NaN	NaN	1.250	-1.373	-0.011
YOL030W	1.897	2.309	-1.589	NaN	NaN	NaN
YDL048C	0.460	1.709	-0.516	NaN	NaN	NaN
YLR275W	NaN	NaN	NaN	-0.309	-2.866	-2.261
YNR045W	0.714	-0.809	-0.760	NaN	NaN	NaN
YDR405W	0.652	-0.088	-0.987	NaN	NaN	NaN
YBR109C	NaN	NaN	NaN	0.788	-3.249	0.333
YBL069W	1.757	-1.148	-0.089	NaN	NaN	NaN
YCR050C	0.291	1.706	1.706	NaN	NaN	NaN
YLR281C	1.140	-0.740	-0.261	NaN	NaN	NaN
YER002W	0.217	-0.095	-0.115	NaN	NaN	NaN
YGL095C	2.387	0.311	0.967	NaN	NaN	NaN
YKL155C	0.099	-1.286	-2.007	NaN	NaN	NaN
YGR077C	0.664	-0.300	-0.338	NaN	NaN	NaN
YLR110C	1.073	-1.731	-0.183	NaN	NaN	NaN
YIL009C-A	0.597	1.249	0.565	NaN	NaN	NaN
YOR117W	NaN	NaN	NaN	0.695	-0.645	-0.656
YPR067W	-0.615	-1.952	-2.519	NaN	NaN	NaN
YBL056W	1.554	1.561	0.877	NaN	NaN	NaN
YDL194W	0.594	0.054	-1.712	NaN	NaN	NaN
YJL115W	1.935	-1.936	-0.006	NaN	NaN	NaN
YIL093C	-0.633	-3.226	-2.301	NaN	NaN	NaN
YDR089W	1.516	-1.232	-1.463	NaN	NaN	NaN
YBR269C	0.135	0.256	-0.102	NaN	NaN	NaN
YJL012C	0.932	-0.842	-0.600	NaN	NaN	NaN
YDL080C	0.277	-1.223	-1.646	NaN	NaN	NaN
YCR081W	1.034	-1.479	-1.014	NaN	NaN	NaN
YLR335W	0.372	1.600	-1.023	NaN	NaN	NaN
YKL077W	2.257	0.757	-0.699	NaN	NaN	NaN
YAL040C	0.644	2.188	1.647	NaN	NaN	NaN
YCR017C	0.151	0.227	1.616	NaN	NaN	NaN
YGL034C	5.425	4.197	4.327	NaN	NaN	NaN
YCR046C	1.803	-0.607	-1.161	NaN	NaN	NaN
YGR131W	1.337	0.528	-1.207	NaN	NaN	NaN
YJL096W	0.430	-0.297	-0.492	NaN	NaN	NaN
YLR131C	2.270	0.654	2.566	NaN	NaN	NaN
YPR119W	-0.583	0.762	1.561	NaN	NaN	NaN
YDR399W	0.976	-0.268	-0.241	NaN	NaN	NaN
YPR136C	NaN	NaN	NaN	0.912	-7.166	-3.760
YJR033C	-0.638	-1.455	1.147	NaN	NaN	NaN
YMR060C	0.020	-0.620	-0.465	NaN	NaN	NaN
YDR197W	0.017	0.113	-0.110	NaN	NaN	NaN
YLR184W	0.537	-2.941	0.186	NaN	NaN	NaN
YJR041C	NaN	NaN	NaN	0.888	1.643	2.929
YCL061C	-0.312	-0.175	-1.848	NaN	NaN	NaN
YMR158W	0.411	-1.270	-0.508	NaN	NaN	NaN
YPL078C	2.537	-0.433	2.032	NaN	NaN	NaN
YDR241W	0.413	0.221	1.021	NaN	NaN	NaN
YJL109C	NaN	NaN	NaN	0.923	0.583	1.140
YNL116W	0.631	-0.174	0.964	NaN	NaN	NaN
YKR042W	0.954	0.101	2.412	NaN	NaN	NaN
YOL112W	0.471	-1.426	-0.109	NaN	NaN	NaN
YDR200C	0.445	0.382	1.204	NaN	NaN	NaN
YBR259W	2.685	1.310	1.330	NaN	NaN	NaN
YML047W-A	1.484	2.125	2.249	NaN	NaN	NaN
YPR159W	1.751	-0.661	0.648	NaN	NaN	NaN
YNL315C	0.148	-0.559	-0.904	NaN	NaN	NaN
YDL002C	-0.081	-1.798	-1.737	NaN	NaN	NaN
YGR091W	NaN	NaN	NaN	1.632	3.055	1.051
YLR342W	0.251	0.617	0.131	NaN	NaN	NaN
YBL022C	-1.976	-0.457	0.493	NaN	NaN	NaN
YPL057C	0.351	-3.087	-1.017	NaN	NaN	NaN
YDR346C	0.900	-1.353	-0.824	NaN	NaN	NaN
YOR084W	2.203	1.607	0.260	NaN	NaN	NaN
YNL178W	NaN	NaN	NaN	0.115	-4.458	-2.633
YDR529C	0.618	-1.089	-1.638	NaN	NaN	NaN
YKL140W	1.135	1.299	0.861	NaN	NaN	NaN
YDR329C	0.552	-0.042	0.301	NaN	NaN	NaN
YPR023C	1.975	4.161	1.850	NaN	NaN	NaN
YNL076W	0.489	1.308	-0.938	NaN	NaN	NaN
YGR133W	0.555	0.235	1.158	NaN	NaN	NaN
YBR070C	NaN	NaN	NaN	0.541	2.115	-0.065
YJL042W	1.634	-1.057	-0.255	NaN	NaN	NaN
YPR101W	-0.812	-0.120	-1.364	NaN	NaN	NaN
YGR140W	NaN	NaN	NaN	1.350	1.403	-0.526
YLR029C	NaN	NaN	NaN	0.524	-1.628	-2.004
YML064C	NaN	NaN	NaN	1.664	2.607	2.389
YGR031W	0.128	-1.578	-1.056	NaN	NaN	NaN
YJR074W	0.736	0.163	1.281	NaN	NaN	NaN
YJL062W	0.333	-0.704	0.539	NaN	NaN	NaN
YGR114C	NaN	NaN	NaN	0.196	-3.778	0.111
YER088C	-2.004	-0.518	-1.008	NaN	NaN	NaN
YMR272C	0.913	0.956	1.354	NaN	NaN	NaN
YOL044W	-1.177	-1.016	-0.948	NaN	NaN	NaN
YOL135C	NaN	NaN	NaN	0.117	-0.268	0.033
YDL032W	0.349	0.389	-1.054	NaN	NaN	NaN
YCL057W	-0.196	-1.914	-0.655	NaN	NaN	NaN
YBR193C	NaN	NaN	NaN	0.232	0.208	0.669
YLR204W	-1.153	1.013	0.722	NaN	NaN	NaN
YLR201C	-0.851	-2.330	-1.721	NaN	NaN	NaN
YJR015W	1.460	0.454	0.419	NaN	NaN	NaN
YJR128W	1.823	-0.614	0.291	NaN	NaN	NaN
YIL034C	0.156	3.662	4.195	NaN	NaN	NaN
YHL034C	1.002	-0.116	-0.261	NaN	NaN	NaN
YJL068C	1.872	-0.089	0.314	NaN	NaN	NaN
YDR188W	NaN	NaN	NaN	0.599	2.347	0.778
YPL097W	-0.490	-1.730	-2.014	NaN	NaN	NaN
YBR283C	-0.485	-1.144	-0.908	NaN	NaN	NaN
YOR063W	NaN	NaN	NaN	1.118	0.555	0.671
YAR023C	0.068	-1.567	-0.394	NaN	NaN	NaN
YCR073W-A	1.263	0.741	0.019	NaN	NaN	NaN
YML073C	-0.561	-0.375	-1.537	NaN	NaN	NaN
YPR164W	0.808	0.533	2.079	NaN	NaN	NaN
YOL119C	-1.177	-1.925	-1.698	NaN	NaN	NaN
YJR049C	0.730	-0.145	0.317	NaN	NaN	NaN
YJR083C	1.354	2.287	-0.090	NaN	NaN	NaN
YMR251W	0.931	0.302	-0.144	NaN	NaN	NaN
YNL001W	0.638	-0.786	0.239	NaN	NaN	NaN
YER158C	0.584	0.176	-0.406	NaN	NaN	NaN
YBL013W	0.579	-0.749	-0.813	NaN	NaN	NaN
YDL118W	1.020	1.214	0.500	NaN	NaN	NaN
YGR102C	0.396	-1.450	-1.615	NaN	NaN	NaN
YBL084C	NaN	NaN	NaN	1.322	0.006	0.284
YML034W	0.115	-0.107	0.701	NaN	NaN	NaN
YPL265W	0.717	0.790	-0.559	NaN	NaN	NaN
YHR108W	1.818	0.950	1.050	NaN	NaN	NaN
YOR189W	1.166	-0.148	-1.235	NaN	NaN	NaN
YGR231C	-0.585	-2.256	-1.396	NaN	NaN	NaN
YER181C	0.153	-1.134	-0.841	NaN	NaN	NaN
YPL150W	0.270	-0.039	-0.382	NaN	NaN	NaN
YJL183W	0.406	3.409	1.383	NaN	NaN	NaN
YNL094W	0.208	-0.866	-1.558	NaN	NaN	NaN
YDR044W	NaN	NaN	NaN	-0.294	-1.371	-1.479
YOR350C	0.875	0.771	0.183	NaN	NaN	NaN
YER041W	-0.643	-2.369	-1.547	NaN	NaN	NaN
YKR021W	1.012	0.529	0.028	NaN	NaN	NaN
YPR070W	0.164	-0.266	-1.208	NaN	NaN	NaN
YER067W	2.527	0.875	-0.240	NaN	NaN	NaN
YBL003C	-0.178	-1.699	-0.199	NaN	NaN	NaN
YDR320C	-2.549	-5.414	-2.163	NaN	NaN	NaN
YML036W	-1.379	-1.327	-1.219	NaN	NaN	NaN
YGL171W	NaN	NaN	NaN	-0.466	-1.634	-1.191
YOL163W	1.624	0.311	0.618	NaN	NaN	NaN
YGR164W	-0.312	1.735	-0.411	NaN	NaN	NaN
YMR078C	2.426	1.212	0.775	NaN	NaN	NaN
YLR260W	-0.249	-2.300	-2.705	NaN	NaN	NaN
YER178W	-0.944	-2.316	-2.924	NaN	NaN	NaN
YNL268W	1.148	-0.062	1.068	NaN	NaN	NaN
YML129C	0.015	0.780	-0.301	NaN	NaN	NaN
YBR037C	0.493	-0.800	1.062	NaN	NaN	NaN
YPL074W	0.555	-0.208	-2.006	NaN	NaN	NaN
YGR078C	-1.251	-0.110	-0.764	NaN	NaN	NaN
YDR301W	NaN	NaN	NaN	-0.159	-2.885	0.112
YDR254W	1.791	1.278	1.760	NaN	NaN	NaN
YDR371W	0.286	-0.110	0.191	NaN	NaN	NaN
YJR104C	0.433	1.442	0.434	NaN	NaN	NaN
YPL227C	1.222	0.342	-1.789	NaN	NaN	NaN
YCR091W	-0.358	-2.172	-0.692	NaN	NaN	NaN
YDR202C	0.338	0.234	0.307	NaN	NaN	NaN
YCR061W	0.828	4.264	2.737	NaN	NaN	NaN
YAR030C	-0.629	-2.929	-1.471	NaN	NaN	NaN
YAR014C	-0.410	5.379	5.013	NaN	NaN	NaN
YGR058W	-0.679	1.519	2.645	NaN	NaN	NaN
YDR120C	0.012	0.848	-0.394	NaN	NaN	NaN
YGR270W	-0.764	1.042	-0.955	NaN	NaN	NaN
YJL102W	0.968	-0.318	-0.837	NaN	NaN	NaN
YPR180W	NaN	NaN	NaN	0.390	-2.092	-1.443
YDR418W	1.312	-1.058	-0.082	NaN	NaN	NaN
YDR318W	0.311	1.440	-1.433	NaN	NaN	NaN
YMR086W	-0.946	-0.066	-0.136	NaN	NaN	NaN
YPL183W-A	0.437	-0.421	-0.031	NaN	NaN	NaN
YPL204W	NaN	NaN	NaN	2.361	3.579	1.512
YOR115C	1.083	-1.455	1.104	NaN	NaN	NaN
YKL082C	NaN	NaN	NaN	1.462	1.859	0.009
YDL130W	0.597	1.228	0.015	NaN	NaN	NaN
YGL136C	-0.789	0.472	-0.297	NaN	NaN	NaN
YMR270C	NaN	NaN	NaN	0.869	0.768	-0.453
YGR292W	0.996	-0.206	0.194	NaN	NaN	NaN
YMR235C	NaN	NaN	NaN	1.261	0.368	1.247
YMR075C-A	0.746	0.605	-0.000	NaN	NaN	NaN
YBR275C	0.795	3.133	-0.165	NaN	NaN	NaN
YGL020C	-0.270	-2.194	-0.679	NaN	NaN	NaN
YOR025W	1.351	0.145	-1.106	NaN	NaN	NaN
YAL013W	-0.712	1.176	-1.553	NaN	NaN	NaN
YGR143W	1.448	0.922	-0.556	NaN	NaN	NaN
YPR123C	1.145	0.144	0.824	NaN	NaN	NaN
YLR297W	0.108	-0.859	-1.172	NaN	NaN	NaN
YDL191W	0.347	0.031	0.399	NaN	NaN	NaN
YKR094C	1.637	1.592	-1.383	NaN	NaN	NaN
YPR057W	-0.180	-3.008	-2.912	NaN	NaN	NaN
YBR046C	0.069	-1.205	-0.934	NaN	NaN	NaN
YER027C	1.391	1.309	0.594	NaN	NaN	NaN
YDL135C	0.243	-0.972	-1.521	NaN	NaN	NaN
YHR137W	0.633	-1.534	-0.943	NaN	NaN	NaN
YBR104W	0.126	-0.637	-1.769	NaN	NaN	NaN
YHR191C	-1.078	-1.284	0.307	NaN	NaN	NaN
YDR427W	NaN	NaN	NaN	-0.543	-0.993	-1.400
YNL124W	NaN	NaN	NaN	0.321	-0.042	0.382
YML009C-A	0.423	-0.862	-1.408	NaN	NaN	NaN
YCL058C	-0.060	-0.316	-0.304	NaN	NaN	NaN
YOL109W	-0.504	-1.102	-0.103	NaN	NaN	NaN
YOR182C	0.299	-2.136	-2.155	NaN	NaN	NaN
YNR050C	-0.451	-1.631	-0.671	NaN	NaN	NaN
YDR168W	NaN	NaN	NaN	0.337	0.236	-0.009
YJL142C	0.799	-0.043	-1.617	NaN	NaN	NaN
YNL123W	0.939	0.621	0.687	NaN	NaN	NaN
