ORF	hom | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], time [5 generations] | Singh-Babak SD~Cowen LE, 2012	hom | growth (relative abundance in pooled culture) | micafungin [0.045 ug/ml], time [5 generations] | Singh-Babak SD~Cowen LE, 2012	hom | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], micafungin [0.045 ug/ml], time [5 generations] | Singh-Babak SD~Cowen LE, 2012	het | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], time [20 generations] | Singh-Babak SD~Cowen LE, 2012	het | growth (relative abundance in pooled culture) | micafungin [0.045 ug/ml], time [20 generations] | Singh-Babak SD~Cowen LE, 2012	het | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], micafungin [0.045 ug/ml], time [20 generations] | Singh-Babak SD~Cowen LE, 2012
YJL104W	NaN	NaN	NaN	0.291	-1.825	-0.128
YGL054C	0.848	-0.877	-1.382	NaN	NaN	NaN
YGR019W	2.453	1.269	2.577	NaN	NaN	NaN
YHR164C	NaN	NaN	NaN	0.062	-0.315	0.441
YBR137W	0.669	0.442	0.178	NaN	NaN	NaN
YPR097W	0.468	-0.377	-0.382	NaN	NaN	NaN
YHR199C	0.571	-0.293	0.514	NaN	NaN	NaN
YEL029C	0.550	0.571	0.258	NaN	NaN	NaN
YBL015W	0.463	0.143	0.221	NaN	NaN	NaN
YFR050C	NaN	NaN	NaN	0.335	-0.891	-0.509
YLL056C	0.664	-0.683	-0.496	NaN	NaN	NaN
YLR254C	0.492	-0.526	-0.413	NaN	NaN	NaN
YDR518W	0.053	-1.159	-0.328	NaN	NaN	NaN
YDR344C	0.308	0.402	-0.766	NaN	NaN	NaN
YDL229W	0.826	0.725	0.435	NaN	NaN	NaN
YPL263C	1.154	1.830	0.023	NaN	NaN	NaN
YGR029W	NaN	NaN	NaN	0.639	0.931	-0.413
YJL165C	0.301	0.044	1.615	NaN	NaN	NaN
YJR149W	0.775	1.146	-0.791	NaN	NaN	NaN
YBR011C	NaN	NaN	NaN	-2.419	-3.049	-2.238
YHL007C	-0.601	0.068	1.114	NaN	NaN	NaN
YGL077C	0.157	-1.519	1.113	NaN	NaN	NaN
YNL269W	-0.188	-0.990	-0.831	NaN	NaN	NaN
YKL064W	0.030	-1.499	-1.072	NaN	NaN	NaN
YER019C-A	1.581	0.086	1.468	NaN	NaN	NaN
YML078W	-1.351	-1.027	-1.884	NaN	NaN	NaN
YBR209W	NaN	NaN	NaN	-0.035	-0.490	-0.129
YDR080W	0.701	1.338	0.979	NaN	NaN	NaN
YOR385W	1.084	0.179	1.050	NaN	NaN	NaN
YGL009C	-1.076	-1.808	-1.227	NaN	NaN	NaN
YKL004W	NaN	NaN	NaN	-0.032	0.205	0.053
YOR346W	0.781	-0.213	0.216	NaN	NaN	NaN
YPL106C	-0.245	1.171	1.103	NaN	NaN	NaN
YBL049W	0.589	1.982	1.590	NaN	NaN	NaN
YDR468C	NaN	NaN	NaN	0.746	0.955	-0.579
YNR033W	0.458	0.302	0.019	NaN	NaN	NaN
YLR305C	NaN	NaN	NaN	-0.783	-0.165	-0.540
YGL051W	0.336	-0.496	0.749	NaN	NaN	NaN
YHR049C-A	1.017	0.829	1.220	NaN	NaN	NaN
YML110C	-0.350	-1.177	-1.199	NaN	NaN	NaN
YOR196C	-1.166	-2.635	-2.504	NaN	NaN	NaN
YIL098C	0.018	0.309	0.280	NaN	NaN	NaN
YNR075W	0.321	-0.570	-0.365	NaN	NaN	NaN
YHR020W	NaN	NaN	NaN	-0.037	-0.182	0.197
YDL029W	NaN	NaN	NaN	-0.234	0.362	0.039
YGL152C	-0.289	-0.507	-0.921	NaN	NaN	NaN
YJR037W	-0.460	-0.964	-0.503	NaN	NaN	NaN
YLR427W	-0.397	-1.380	-0.210	NaN	NaN	NaN
YJL064W	1.567	-0.402	0.762	NaN	NaN	NaN
YHR066W	0.218	-2.419	-2.362	NaN	NaN	NaN
YPL173W	-0.381	0.277	-0.021	NaN	NaN	NaN
YER065C	0.470	-0.280	1.046	NaN	NaN	NaN
YPL159C	-0.537	-1.558	-0.131	NaN	NaN	NaN
YLL033W	-0.755	-1.199	-1.182	NaN	NaN	NaN
YER047C	-0.208	-0.911	-0.239	NaN	NaN	NaN
YMR107W	-0.565	-0.829	-0.103	NaN	NaN	NaN
YER093C-A	-0.253	-0.860	-0.316	NaN	NaN	NaN
YLL057C	0.734	-0.094	0.431	NaN	NaN	NaN
YJL078C	1.599	1.209	0.364	NaN	NaN	NaN
YER069W	-0.522	0.704	-0.166	NaN	NaN	NaN
YGR155W	-0.030	-1.859	-0.139	NaN	NaN	NaN
YHR037W	0.398	0.461	0.699	NaN	NaN	NaN
YNL059C	-0.622	-0.350	-0.889	NaN	NaN	NaN
YKR077W	-0.046	-1.157	-0.947	NaN	NaN	NaN
YNL246W	-1.643	0.388	-1.069	NaN	NaN	NaN
YKR097W	-0.368	-0.363	0.171	NaN	NaN	NaN
YBR207W	0.720	0.090	-0.068	NaN	NaN	NaN
YOR020C	NaN	NaN	NaN	0.347	-0.039	0.146
YNL070W	-1.323	2.085	1.631	NaN	NaN	NaN
YMR108W	NaN	NaN	NaN	-0.370	-1.772	-1.694
YNR059W	0.217	-0.433	0.157	NaN	NaN	NaN
YMR261C	0.405	0.104	0.485	NaN	NaN	NaN
YPR127W	1.463	1.553	1.825	NaN	NaN	NaN
YPR088C	NaN	NaN	NaN	0.932	0.686	0.412
YCR021C	1.553	1.823	-0.421	NaN	NaN	NaN
YPL216W	-0.030	-0.009	0.512	NaN	NaN	NaN
YOR171C	-0.032	-0.621	-0.818	NaN	NaN	NaN
YAL008W	0.428	-0.437	0.056	NaN	NaN	NaN
YBL021C	1.707	0.880	0.982	NaN	NaN	NaN
YAR019C	NaN	NaN	NaN	0.509	-0.032	-1.359
YEL063C	0.436	0.263	-0.143	NaN	NaN	NaN
YJL110C	-0.053	-0.213	-0.737	NaN	NaN	NaN
YLR190W	-0.825	-1.565	-0.506	NaN	NaN	NaN
YNL217W	-1.234	-1.361	-3.105	NaN	NaN	NaN
YKR104W	-0.056	-1.360	-0.874	NaN	NaN	NaN
YMR290C	NaN	NaN	NaN	0.481	0.355	0.386
YHR166C	NaN	NaN	NaN	0.379	1.998	1.122
YKR058W	0.460	-1.126	-0.358	NaN	NaN	NaN
YNL044W	-0.060	-0.772	-0.406	NaN	NaN	NaN
YDL202W	0.273	-0.965	-0.643	NaN	NaN	NaN
YBR236C	NaN	NaN	NaN	0.449	-0.450	-1.309
YBL009W	0.139	-0.014	-0.699	NaN	NaN	NaN
YPL018W	-0.355	0.886	1.795	NaN	NaN	NaN
YOL064C	-0.585	-1.098	-1.340	NaN	NaN	NaN
YIL084C	-0.655	-2.303	0.150	NaN	NaN	NaN
YLL025W	0.484	-0.475	0.498	NaN	NaN	NaN
YER043C	NaN	NaN	NaN	-0.759	-0.349	-0.001
YCR107W	-0.184	-1.110	-0.613	NaN	NaN	NaN
YDL098C	NaN	NaN	NaN	0.243	-0.039	0.785
YIL076W	0.793	0.037	1.105	NaN	NaN	NaN
YER056C	0.823	-0.050	-0.961	NaN	NaN	NaN
YMR043W	NaN	NaN	NaN	0.381	-1.153	-1.230
YNL201C	-0.236	2.754	0.527	NaN	NaN	NaN
YPL037C	0.319	-0.242	1.649	NaN	NaN	NaN
YPL118W	-0.225	-1.791	-0.644	NaN	NaN	NaN
YLR395C	-0.405	-0.706	-1.053	NaN	NaN	NaN
YAR037W	-0.099	-1.274	-0.123	NaN	NaN	NaN
YGR263C	0.027	-0.443	-1.221	NaN	NaN	NaN
YNL045W	0.021	-0.042	-0.478	NaN	NaN	NaN
YGR254W	0.735	-1.039	-0.061	NaN	NaN	NaN
YIL110W	0.297	-0.614	-0.290	NaN	NaN	NaN
