orf	hom | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], time [5 generations] | Singh-Babak SD~Cowen LE, 2012	hom | growth (relative abundance in pooled culture) | micafungin [0.045 ug/ml], time [5 generations] | Singh-Babak SD~Cowen LE, 2012	hom | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], micafungin [0.045 ug/ml], time [5 generations] | Singh-Babak SD~Cowen LE, 2012	het | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], time [20 generations] | Singh-Babak SD~Cowen LE, 2012	het | growth (relative abundance in pooled culture) | micafungin [0.045 ug/ml], time [20 generations] | Singh-Babak SD~Cowen LE, 2012	het | growth (relative abundance in pooled culture) | cyclosporin A [10 uM], micafungin [0.045 ug/ml], time [20 generations] | Singh-Babak SD~Cowen LE, 2012
YAL002W	0.341656	0.5693684	0.5336730000000001			
YAL004W	0.134467	0.5265329999999999	-0.14151200000000008			
YAL005C	-1.091689	-1.4283649999999999	-1.611746			
YAL007C	2.296222	2.180659	1.277347			
YAL008W	0.4276283	-0.43698370000000003	0.0561365			
YAL009W	-0.3757909999999999	-0.3041489999999999	-1.5678299999999998			
YAL010C						
YAL011W	-0.792298	2.6911319999999996	1.1011630000000001			
YAL012W	-0.057371000000000005	-0.539627	-0.531314			
YAL013W	-0.7119300000000002	1.1757799999999996	-1.5532040000000003			
YAL014C	-0.025270000000000126	0.2846799999999998	-0.17637999999999998			
YAL015C	0.0	2.043526	0.453441			
YAL016W						
YAL017W	-0.3027679999999999	0.19340999999999997	-0.606498			
YAL018C	-0.33065490000000003	-1.1440099000000001	0.6977751000000001			
YAL019W	0.2353243	-0.4655870000000001	0.094636			
YAL020C	0.22618099999999997	-0.28666100000000005	0.4971039999999999			
YAL021C						
YAL022C	-1.127735	-0.20472400000000002	-1.034125			
YAL023C	-0.17575999999999992	-0.851367	-0.740486			
YAL024C	-0.5240589999999999	0.924361	-0.719049			
YAL026C	-0.6892909999999999	1.801779	1.7583389999999999			
YAL027W	0.0	1.548117	0.13626000000000005			
YAL028W	0.7992319999999999	0.7992319999999999	0.4222199999999998			
YAL029C	-0.20723999999999987	0.11460000000000004	0.03820000000000001			
YAL030W	0.1332503	-0.5753429	0.4292241			
YAL031C	0.401709	-1.367521	0.13308899999999996			
YAL034C	0.372973	-1.468188	-0.5808730000000001			
YAL035W						
YAL036C	-0.16279100000000002	0.5536669999999999	0.529517			
YAL037W	0.047811999999999966	0.640217	0.01865			
YAL039C						
YAL040C	0.6440000000000001	2.1883100000000004	1.64735			
YAL042C-A	-0.05343500000000001	-0.27980000000000005	0.427188			
YAL042W	0.06703690000000001	-0.3911151	-0.16620410000000002			
YAL044C	-0.2246800000000002	-1.7279140000000002	-1.0528060000000001			
YAL045C	-0.6719579999999999	-1.6022919999999998	-0.12874799999999997			
YAL046C	0.16578760000000003	-0.4194494	-0.016403			
YAL047C						
YAL048C	0.28524800000000006	-0.731867	-0.19233899999999998			
YAL049C	-0.9885600000000001	-1.700497	0.44531999999999994			
YAL051W	-0.093922	-0.207366	-0.549907			
YAL053W	0.30668000000000006	0.5879610000000001	1.071028			
