orf	hap a | growth (spot assay) | nigericin [0.15-0.5 mg/l] | Jakubkova M~Tomaska L, 2016	hap a | growth (spot assay) | valinomycin [0.5-15 mg/l] | Jakubkova M~Tomaska L, 2016
YAL002W	0.10799271867566909	0.0682218961797901
YAL004W	0.10799271867566909	0.0682218961797901
YAL005C	0.10799271867566909	0.0682218961797901
YAL007C	0.10799271867566909	0.0682218961797901
YAL008W	0.10799271867566909	0.0682218961797901
YAL009W	0.10799271867566909	0.0682218961797901
YAL010C	0.10799271867566909	0.0682218961797901
YAL011W	0.10799271867566909	0.0682218961797901
YAL012W	0.10799271867566909	0.0682218961797901
YAL013W	0.10799271867566909	0.0682218961797901
YAL014C	0.10799271867566909	0.0682218961797901
YAL015C	0.10799271867566909	0.0682218961797901
YAL016C-B	0.10799271867566909	0.0682218961797901
YAL016W	0.10799271867566909	0.0682218961797901
YAL017W	0.10799271867566909	0.0682218961797901
YAL018C	0.10799271867566909	0.0682218961797901
YAL019W	0.10799271867566909	0.0682218961797901
YAL020C	0.10799271867566909	0.0682218961797901
YAL021C	0.10799271867566909	0.0682218961797901
YAL022C	0.10799271867566909	0.0682218961797901
YAL023C	0.10799271867566909	0.0682218961797901
YAL024C	0.10799271867566909	0.0682218961797901
YAL026C	0.10799271867566909	0.0682218961797901
YAL027W	0.10799271867566909	0.0682218961797901
YAL028W	0.10799271867566909	0.0682218961797901
YAL029C	0.10799271867566909	0.0682218961797901
YAL030W	0.10799271867566909	0.0682218961797901
YAL031C	0.10799271867566909	0.0682218961797901
YAL034C	0.10799271867566909	0.0682218961797901
YAL035W	0.10799271867566909	0.0682218961797901
YAL036C	0.10799271867566909	0.0682218961797901
YAL037C-A	0.10799271867566909	0.0682218961797901
YAL037W	0.10799271867566909	0.0682218961797901
YAL039C	0.10799271867566909	0.0682218961797901
YAL040C	0.10799271867566909	0.0682218961797901
YAL042C-A	0.10799271867566909	0.0682218961797901
YAL042W	0.10799271867566909	0.0682218961797901
YAL044C	0.10799271867566909	0.0682218961797901
YAL044W-A	0.10799271867566909	0.0682218961797901
YAL045C	0.10799271867566909	0.0682218961797901
YAL046C	0.10799271867566909	0.0682218961797901
YAL047C	0.10799271867566909	0.0682218961797901
