ORF	hap a | growth (exponential growth rate) | temperature [30°C] | Zakrzewska A~Smits GJ, 2011	hap a | growth (exponential growth rate) | temperature [38ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | hydrogen peroxide [10 mM], time [10 min], temperature [30°C] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | acetic acid [327 mM], time [10 min], temperature [30°C] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | time [10 min], temperature [30°C], temperature [48ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | hydrogen peroxide [10 mM], time [10 min], temperature [38ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | acetic acid [327 mM], time [10 min], temperature [38ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | time [10 min], temperature [38ºC], temperature [48ºC] | Zakrzewska A~Smits GJ, 2011
YAL047C	0.289	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YAL048C	0.169	0.076	6.705	NaN	0.910	560.271	NaN	NaN
YAL051W	0.465	0.352	10.391	56.890	0.007	57.296	80.181	64.290
YAL053W	0.402	0.393	21.132	79.933	0.016	78.589	113.356	98.833
YAL054C	0.368	0.435	12.416	75.614	0.033	71.553	112.855	81.086
YAL055W	0.434	0.327	6.631	45.544	0.018	79.150	111.928	138.294
YAL056W	0.423	0.343	3.495	58.573	0.009	58.486	89.195	48.393
YAL059W	0.392	0.339	24.519	102.686	0.040	96.752	79.548	75.995
YAL060W	0.413	0.325	12.692	66.829	0.014	67.226	82.475	56.904
YAL061W	0.443	0.414	14.369	56.697	0.011	55.709	72.795	57.515
YAL062W	0.424	0.416	14.888	57.695	0.013	53.335	71.125	56.349
YAL064C-A	0.363	0.353	12.346	70.318	0.028	54.432	100.248	90.247
YAL065C	0.451	0.415	14.693	72.885	0.015	60.269	82.944	63.844
YAL066W	0.376	0.486	16.797	78.451	0.018	59.206	103.463	51.324
YAL067C	0.466	0.263	17.776	81.770	0.014	108.694	127.465	61.897
YAL068C	0.414	0.344	12.914	71.415	0.014	72.750	86.012	54.355
YAR002C-A	0.363	0.342	11.692	60.808	0.025	58.055	100.085	84.649
YAR002W	0.187	0.109	6.234	408.702	0.088	NaN	NaN	34.486
YAR003W	0.387	0.320	15.325	106.614	0.043	80.837	111.959	55.629
YAR020C	0.399	0.437	11.642	57.259	0.023	44.622	68.883	68.937
YAR023C	0.423	0.411	13.570	64.374	0.021	49.628	71.482	78.744
YAR027W	0.395	0.353	12.432	69.488	0.026	57.056	86.645	71.695
YAR028W	0.441	0.383	12.928	74.438	0.017	47.973	74.829	65.020
YAR029W	0.413	0.301	10.655	60.781	0.023	56.158	90.781	65.149
YAR030C	0.403	0.422	13.337	67.952	0.022	49.554	66.985	66.849
YAR031W	0.386	0.345	13.341	64.065	0.021	49.966	89.365	74.889
YAR035W	0.413	0.367	11.643	64.837	0.019	55.580	82.487	80.895
YAR042W	0.328	0.162	13.234	276.655	0.028	141.284	488.271	333.910
YAR047C	0.437	0.363	11.128	64.490	0.020	50.571	67.654	80.511
YAR050W	0.352	0.361	7.760	53.165	0.032	53.066	72.247	78.244
YBL001C	0.400	0.368	15.155	69.165	0.025	63.221	85.611	78.962
YBL002W	0.260	0.387	17.655	117.086	0.217	51.157	115.950	113.015
YBL003C	0.379	0.346	14.840	76.454	0.032	69.902	105.928	85.567
YBL005W	0.380	0.333	11.552	63.116	0.027	64.942	91.424	76.010
YBL006C	0.366	0.217	24.675	58.721	0.056	96.492	101.189	25.234
YBL008W	0.328	0.435	7.742	98.849	0.057	64.481	77.668	67.147
YBL009W	0.391	0.389	12.052	61.481	0.026	50.814	90.237	83.260
YBL010C	0.385	0.399	12.832	57.345	0.028	49.614	85.671	70.064
YBL011W	0.365	0.376	12.982	68.549	0.028	50.808	82.353	56.775
YBL012C	0.357	0.225	4.313	46.282	0.043	74.552	90.425	98.421
YBL013W	0.431	0.381	16.615	85.505	0.031	92.750	103.480	138.240
YBL015W	0.413	0.445	7.148	63.667	0.046	50.275	90.811	73.215
YBL017C	0.365	0.419	15.588	89.276	0.054	50.714	88.570	72.953
YBL019W	0.374	0.417	10.747	83.141	0.032	44.668	122.288	76.236
YBL021C	0.366	0.291	10.078	60.955	0.032	49.894	80.581	36.396
YBL022C	0.287	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YBL027W	0.345	0.331	18.157	65.185	0.028	70.172	89.283	108.779
YBL028C	0.347	0.498	14.074	67.829	0.028	44.061	78.056	63.286
YBL029W	0.394	0.362	17.324	88.405	0.027	86.285	125.987	84.690
YBL031W	0.372	0.410	14.187	84.611	0.046	60.998	102.920	75.322
YBL032W	0.355	0.424	19.782	99.336	0.039	58.825	92.860	83.367
YBL036C	0.375	0.401	10.848	79.773	0.029	53.348	94.234	88.011
YBL037W	0.391	0.331	14.596	89.853	0.033	76.608	108.336	125.242
YBL038W	0.254	0.192	10.264	132.679	0.103	NaN	334.460	NaN
YBL039C	0.354	0.436	19.868	100.024	0.050	57.671	106.969	79.414
YBL042C	0.357	0.366	12.106	79.495	0.036	56.369	73.298	79.764
YBL043W	0.357	0.339	11.940	68.779	0.025	53.337	96.250	80.503
YBL044W	0.283	0.364	11.428	95.817	0.078	85.186	130.037	63.024
YBL045C	0.316	0.385	7.896	89.428	0.062	63.362	96.933	58.736
YBL046W	0.372	0.409	10.702	73.568	0.028	47.571	80.407	65.057
YBL048W	0.367	0.351	11.596	79.731	0.027	67.003	95.007	68.618
YBL049W	0.372	0.470	13.451	86.619	0.030	44.986	58.765	65.230
YBL051C	0.344	0.399	17.646	70.856	0.020	49.581	40.335	38.110
YBL052C	0.349	0.426	8.069	64.684	0.032	62.085	86.702	57.058
YBL053W	0.380	0.413	13.304	86.010	0.027	56.941	92.017	80.849
