ORF	hap a | growth (exponential growth rate) | temperature [30°C] | Zakrzewska A~Smits GJ, 2011	hap a | growth (exponential growth rate) | temperature [38ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | hydrogen peroxide [10 mM], time [10 min], temperature [30°C] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | acetic acid [327 mM], time [10 min], temperature [30°C] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | time [10 min], temperature [30°C], temperature [48ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | hydrogen peroxide [10 mM], time [10 min], temperature [38ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | acetic acid [327 mM], time [10 min], temperature [38ºC] | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | time [10 min], temperature [38ºC], temperature [48ºC] | Zakrzewska A~Smits GJ, 2011
YDR388W	0.261	0.087	7.205	39.285	0.125	22.446	59.570	1.747
YDR389W	0.346	0.302	21.359	150.619	0.054	123.997	163.046	156.927
YDR391C	0.398	0.362	13.036	48.738	0.028	57.626	59.788	107.772
YDR393W	0.333	0.442	12.746	143.787	0.218	67.037	184.546	78.289
YDR395W	0.387	0.324	8.601	62.927	0.023	63.748	103.021	81.295
YDR399W	0.392	0.371	13.031	59.635	0.030	69.286	95.267	90.472
YDR400W	0.364	0.324	11.338	56.523	0.027	54.985	103.140	72.212
YDR402C	0.378	0.387	11.782	49.962	0.028	50.929	86.634	68.825
YDR403W	0.389	0.402	11.381	70.829	0.036	61.839	90.148	71.557
YDR405W	0.385	0.311	11.462	54.374	0.048	133.692	91.268	102.267
YDR406W	0.370	0.421	13.474	91.649	0.034	63.391	117.843	88.560
YDR408C	0.309	0.353	9.032	105.850	0.049	60.774	113.813	49.974
YDR409W	0.250	0.403	17.537	117.689	0.101	64.896	123.802	52.919
YDR411C	0.379	0.415	13.147	56.757	0.026	50.399	90.195	69.629
YDR414C	0.325	0.294	14.393	85.345	0.034	141.267	142.200	77.492
YDR415C	0.377	0.343	11.722	65.261	0.029	60.446	101.838	85.899
YDR417C	0.348	0.339	25.924	67.069	0.059	55.317	123.500	97.543
YDR418W	0.338	0.260	28.651	76.925	0.063	133.056	177.260	131.172
YDR419W	0.378	0.347	10.421	60.979	0.027	53.530	95.185	73.733
YDR420W	0.367	0.387	11.337	73.970	0.030	66.894	99.723	70.363
YDR421W	0.350	0.405	9.932	53.920	0.030	46.301	88.187	56.596
YDR422C	0.269	0.408	7.081	67.138	0.029	50.750	221.656	42.408
YDR423C	0.383	0.341	7.623	65.481	0.022	58.605	98.827	90.636
YDR424C	0.352	0.309	14.380	107.832	0.041	110.392	145.954	86.542
YDR425W	0.379	0.328	10.992	63.043	0.026	60.533	95.292	87.030
YDR426C	0.373	0.320	13.073	68.818	0.035	70.937	113.867	128.192
YDR428C	0.377	0.330	9.358	70.599	0.028	63.377	89.471	79.182
YDR430C	0.371	0.369	12.978	58.686	0.032	64.223	90.855	78.750
YDR431W	0.346	0.349	9.283	75.660	0.031	49.880	91.974	43.507
YDR435C	0.346	0.310	8.695	81.915	0.045	59.691	133.029	120.198
YDR436W	0.343	0.427	11.084	78.227	0.037	45.240	99.173	62.440
YDR438W	0.358	0.421	14.325	81.464	0.031	65.373	76.218	77.750
YDR439W	0.393	0.332	10.758	67.785	0.026	71.596	115.087	81.771
YDR440W	0.374	0.472	9.810	69.678	0.039	53.810	97.129	75.587
YDR441C	0.363	0.428	20.976	57.565	0.049	59.187	102.425	86.353
YDR442W	0.223	0.469	53.104	171.006	0.708	86.101	134.601	36.225
YDR443C	0.374	0.264	31.631	61.569	0.174	145.990	174.961	NaN
YDR444W	0.385	0.444	11.534	49.782	0.028	52.471	77.156	81.463
YDR445C	0.350	0.434	10.853	77.825	0.037	60.878	127.122	77.796
YDR447C	0.329	0.537	28.259	96.696	0.031	67.306	43.386	36.514
YDR448W	0.362	0.092	48.918	54.388	0.084	86.905	81.766	41.270
YDR451C	0.396	0.384	14.099	60.638	0.032	61.374	89.844	99.909
YDR452W	0.403	0.332	12.704	49.453	0.029	54.627	87.471	108.195
YDR455C	0.360	0.334	13.512	49.150	0.032	63.016	95.424	60.115
YDR456W	0.345	0.367	9.292	42.118	0.025	38.305	51.133	54.939
YDR457W	0.350	0.269	9.004	43.458	0.025	62.022	102.129	121.415
YDR458C	0.289	0.337	12.328	260.139	0.078	121.996	304.979	89.091
YDR459C	0.361	0.376	10.657	69.258	0.041	49.937	114.312	83.605
YDR461W	0.388	0.371	15.155	62.193	0.022	53.073	81.307	78.849
YDR462W	0.401	1.035	60.768	65.148	0.026	63.318	71.536	16.520
YDR463W	0.410	0.476	13.776	68.414	0.051	75.295	92.811	85.169
YDR466W	0.294	0.303	19.648	179.192	0.052	100.533	125.700	70.959
YDR471W	0.360	0.485	11.898	71.408	0.055	80.951	94.060	90.225
YDR475C	0.385	0.347	7.716	59.863	0.025	55.867	105.162	60.635
YDR476C	0.317	0.275	10.328	121.100	0.038	70.091	142.949	58.304
YDR480W	0.381	0.369	11.794	70.889	0.029	64.978	108.170	77.894
YDR481C	0.356	0.399	12.118	67.281	0.026	53.217	80.751	60.537
YDR482C	0.374	0.397	14.034	58.695	0.034	59.643	73.350	66.562
YDR483W	0.351	0.313	12.157	74.454	0.035	61.120	133.251	92.798
YDR484W	0.277	0.080	38.331	21.833	1.402	NaN	NaN	NaN
YDR485C	0.331	0.380	36.205	148.541	0.181	149.963	185.639	88.451
YDR486C	0.356	0.348	12.167	78.525	0.034	48.207	104.198	86.700
YDR488C	0.375	0.354	14.206	57.457	0.027	74.654	98.903	75.045
YDR490C	0.373	0.411	17.405	44.539	0.036	63.588	79.233	104.894
YDR491C	0.362	0.330	6.866	64.673	0.034	58.124	127.756	82.258
YDR492W	0.361	0.337	11.574	67.742	0.031	63.658	89.911	74.869
YDR493W	0.382	0.377	11.201	61.796	0.029	65.989	92.753	69.476
YDR494W	0.400	0.438	16.994	52.533	0.030	53.984	96.245	85.678
YDR496C	0.373	0.383	7.635	66.579	0.038	68.826	134.099	78.013
YDR497C	0.356	0.352	9.628	73.755	0.031	50.332	79.617	77.093
YDR500C	0.362	0.389	9.128	54.771	0.046	45.334	103.777	99.412
YDR501W	0.363	0.402	11.877	68.427	0.038	66.400	78.926	60.377
YDR502C	0.352	0.352	11.756	78.066	0.032	57.366	86.463	88.881
YDR503C	0.362	0.367	12.079	74.430	0.036	62.588	106.124	81.386
YDR504C	0.335	0.368	10.870	62.090	0.026	41.807	101.926	67.470
YDR505C	0.372	0.392	11.522	58.297	0.023	50.749	83.143	63.898
YDR506C	0.387	0.362	12.845	73.297	0.028	57.075	67.385	64.460
YDR508C	0.378	0.359	12.598	60.413	0.032	52.529	89.829	82.426
YDR509W	0.359	0.371	14.418	80.508	0.043	63.047	104.042	75.071
YDR511W	0.362	0.385	11.695	60.133	0.032	69.801	101.783	58.802
YDR512C	0.398	0.452	19.437	69.405	0.043	79.100	110.330	88.566
YDR513W	0.378	0.284	14.065	61.385	0.033	78.299	107.808	97.100
YDR514C	0.331	0.289	15.722	75.630	0.041	53.005	103.655	74.839
YDR515W	0.385	0.243	8.896	65.312	0.025	71.668	116.876	102.632
YDR516C	0.369	0.332	11.616	63.711	0.025	71.872	115.434	88.733
YDR517W	0.365	0.369	12.598	74.187	0.026	66.844	100.174	62.823
YDR518W	0.247	0.563	23.008	136.592	0.118	114.275	227.056	101.208
YDR519W	0.358	0.273	11.900	62.671	0.032	68.950	114.875	101.884
YDR521W	0.446	0.407	24.329	57.522	0.021	77.550	84.900	58.849
YDR522C	0.370	0.367	12.130	59.186	0.031	56.676	87.483	79.637
YDR524C	0.370	0.329	12.732	68.307	0.031	67.021	100.492	76.880
YDR525W-A	0.391	0.405	10.710	74.535	0.029	67.861	84.666	67.154
YDR528W	0.377	0.345	13.739	71.727	0.027	62.188	99.411	74.890
YDR529C	0.383	0.268	5.611	57.428	0.032	85.282	110.823	157.990
YDR530C	0.357	0.416	12.852	76.349	0.026	54.079	79.671	61.533
YDR533C	0.379	0.422	15.702	62.291	0.035	72.565	90.388	77.275
YDR534C	0.386	0.434	12.211	63.258	0.029	52.597	78.810	70.790
YDR535C	0.377	0.410	12.104	72.032	0.029	54.456	108.421	76.329
YDR536W	0.366	0.490	13.676	71.948	0.027	44.348	66.417	49.538
YDR537C	0.383	0.508	9.457	56.205	0.027	46.382	81.092	39.884
YDR538W	0.372	0.422	13.392	60.023	0.028	51.846	78.886	74.521
YDR539W	0.344	0.409	14.174	76.590	0.035	52.517	85.475	67.295
YDR540C	0.370	0.352	10.033	67.474	0.023	54.952	103.641	84.244
YDR541C	0.368	0.379	12.415	59.977	0.028	54.914	96.253	63.376
YEL001C	0.387	0.383	17.327	110.504	0.029	84.872	97.981	75.502
YEL003W	0.406	0.334	16.980	81.368	0.024	69.531	53.516	100.575
YEL004W	0.402	0.349	13.401	70.719	0.021	73.279	78.805	87.863
YEL005C	0.405	0.326	10.563	62.047	0.022	52.228	102.148	78.437
YEL006W	0.416	0.357	14.200	61.842	0.023	60.998	100.499	64.270
YEL008W	0.379	0.288	19.979	93.893	0.035	103.280	149.354	94.302
YEL010W	0.332	0.214	8.806	71.570	0.038	75.228	149.825	NaN
YEL011W	0.396	0.344	12.323	76.385	0.032	71.840	99.300	80.580
YEL012W	0.438	0.466	11.841	65.675	0.021	56.011	70.191	66.753
YEL013W	0.322	0.325	10.531	48.445	0.070	34.096	46.284	44.403
YEL014C	0.362	0.318	13.086	70.578	0.030	64.406	109.734	68.469
YEL015W	0.345	0.252	18.249	108.289	0.039	86.014	211.843	117.934
YEL016C	0.368	0.409	17.720	82.872	0.031	56.338	81.427	92.333
YEL017C-A	0.382	0.337	11.447	78.242	0.032	78.476	102.253	93.174
YEL017W	0.386	0.398	16.226	79.067	0.030	70.760	92.605	65.890
YEL020C	0.362	0.398	14.833	80.879	0.029	50.841	70.603	61.356
YEL023C	0.357	0.386	13.733	62.523	0.028	57.014	82.425	70.581
YEL024W	0.385	0.207	9.922	170.163	0.057	231.251	NaN	NaN
YEL025C	0.391	0.323	13.885	73.149	0.025	84.614	133.533	128.247
YEL028W	0.287	0.338	12.751	63.498	0.046	54.369	105.994	73.844
YEL030W	0.393	0.260	11.750	57.745	0.023	83.408	124.151	96.197
YEL033W	0.313	0.406	16.028	112.515	0.101	58.217	121.268	76.753
YEL038W	0.353	0.380	13.425	77.453	0.033	61.307	82.797	56.041
YEL039C	0.354	0.336	14.111	97.269	0.039	80.493	129.543	95.723
YEL040W	0.416	0.376	11.493	64.796	0.019	55.997	94.055	81.924
YEL041W	0.393	0.479	10.755	81.267	0.035	50.615	74.208	56.588
YEL042W	0.319	0.366	16.972	96.972	0.046	59.876	72.120	62.063
YEL043W	0.342	0.323	12.046	66.042	0.036	56.776	101.676	80.095
YEL047C	0.382	0.330	13.031	63.350	0.027	65.642	78.753	81.961
YEL048C	0.360	0.431	14.298	78.818	0.038	55.035	77.046	78.569
YEL049W	0.371	0.370	14.945	69.872	0.026	58.122	89.025	74.439
YEL050C	0.457	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YEL052W	0.355	0.349	16.556	75.378	0.029	65.315	83.815	90.402
YEL053C	0.367	0.350	13.490	51.165	0.025	82.518	66.544	53.851
YEL054C	0.319	0.261	18.500	120.407	0.081	192.327	73.602	206.296
YEL056W	0.347	0.393	21.971	112.823	0.048	63.805	78.209	75.386
YEL057C	0.379	0.397	12.585	75.114	0.036	52.632	51.783	82.363
YEL059W	0.358	0.176	12.420	44.374	0.040	89.393	65.874	101.566
YEL060C	0.255	0.215	9.795	67.966	0.034	64.364	NaN	NaN
YEL061C	0.384	0.214	17.823	71.962	0.024	87.480	91.440	105.686
YEL062W	0.318	0.261	5.516	109.507	0.085	75.424	119.867	188.117
YEL063C	0.375	0.284	12.242	66.561	0.021	77.119	100.221	95.673
YEL064C	0.427	0.459	17.298	108.078	0.043	71.218	134.994	121.334
YEL065W	0.379	0.262	9.794	73.952	0.026	75.895	122.472	101.656
YEL066W	0.339	0.427	15.216	87.907	0.035	60.214	98.499	65.646
YEL067C	0.363	0.349	11.949	67.992	0.030	53.972	95.323	82.560
YEL068C	0.345	0.361	12.666	80.833	0.033	55.796	98.838	86.714
YEL071W	0.305	0.374	7.149	86.955	0.086	57.644	115.663	62.036
YER001W	0.369	0.415	14.358	67.808	0.030	48.796	86.753	75.171
YER002W	0.369	0.325	8.736	83.984	0.033	75.333	120.317	76.559
YER004W	0.388	0.344	12.436	57.688	0.025	75.918	108.595	98.515
YER005W	0.366	0.388	14.127	72.134	0.028	56.197	70.507	73.249
YER007C-A	0.385	0.328	15.989	84.317	0.028	82.820	106.810	107.163
YER007W	0.396	0.301	11.793	73.218	0.030	70.424	116.398	98.183
YER010C	0.349	0.277	15.980	105.810	0.045	113.794	201.388	NaN
YER011W	0.376	0.330	11.881	69.679	0.030	64.752	97.708	81.181
YER014W	0.255	0.226	16.538	NaN	0.091	221.867	296.861	113.412
YER016W	0.390	0.329	13.245	60.637	0.030	52.545	71.657	55.998
YER017C	0.373	0.238	26.537	42.113	0.094	66.196	172.945	115.808
YER019C-A	0.373	0.340	8.754	59.598	0.030	52.698	81.762	77.018
YER019W	0.348	NaN	27.485	NaN	21.090	25.807	25.319	38.707
YER020W	0.423	0.302	19.879	50.500	0.066	50.334	78.271	100.710
YER024W	0.387	0.307	9.260	45.095	0.024	48.866	94.501	99.248
YER027C	0.378	0.417	8.685	59.569	0.028	47.829	81.875	79.145
YER028C	0.356	0.378	11.325	83.717	0.032	62.875	94.897	66.555
YER030W	0.369	0.277	10.211	46.876	0.023	68.519	103.060	80.399
YER032W	0.405	0.244	8.863	49.689	0.032	62.101	153.805	153.710
YER033C	0.423	0.272	9.449	53.956	0.022	49.656	104.477	125.943
YER034W	0.385	0.439	12.457	54.144	0.027	44.631	95.184	97.177
YER038W-A	0.382	0.379	13.121	81.069	0.032	40.376	84.093	95.769
YER039C	0.359	0.290	9.371	64.788	0.043	70.931	94.176	126.594
YER039C-A	0.362	0.352	11.673	72.953	0.032	60.196	97.621	66.455
YER040W	0.401	NaN	80.810	NaN	0.219	95.413	NaN	NaN
YER041W	0.364	0.409	10.481	65.690	0.032	32.456	80.602	67.981
YER042W	0.348	0.408	11.135	79.267	0.034	33.169	115.533	69.082
YER044C-A	0.268	0.200	9.840	79.978	0.031	55.262	128.336	87.386
YER045C	0.375	0.301	9.299	53.974	0.027	37.970	101.521	91.093
YER046W	0.348	0.305	11.672	69.986	0.028	48.679	112.089	82.829
YER046W-A	0.392	0.375	7.663	36.110	0.022	39.725	88.296	104.983
YER048C	0.213	0.517	16.904	153.369	0.107	41.759	81.652	29.153
YER050C	0.314	0.183	6.887	45.623	0.101	NaN	273.411	209.118
YER051W	0.342	0.230	10.458	81.144	0.037	48.842	248.029	NaN
YER053C	0.349	0.336	9.418	51.954	0.033	35.725	97.798	67.516
YER054C	0.326	0.238	12.222	70.324	0.047	68.750	147.722	107.314
YER055C	0.369	0.308	8.082	47.085	0.031	38.402	91.798	87.939
YER056C	0.418	0.266	11.296	53.945	0.022	67.056	133.793	111.977
YER056C-A	0.332	0.334	15.493	56.893	0.090	55.804	114.359	72.499
YER058W	0.189	0.472	37.255	245.441	0.450	53.121	93.973	84.478
YER059W	0.396	0.273	12.240	70.639	0.023	55.324	132.177	119.240
YER060W	0.356	0.450	14.233	79.551	0.032	32.577	107.167	97.534
YER062C	0.422	0.235	10.609	61.780	0.026	43.520	90.940	134.616
YER063W	0.219	NaN	7.865	40.122	0.044	29.762	82.298	36.987
YER064C	0.370	0.446	15.690	46.838	0.026	73.279	95.361	61.302
YER065C	0.348	0.338	15.571	78.731	0.039	80.998	144.764	82.998
YER066C-A	0.289	0.381	14.351	59.029	0.031	141.174	100.142	42.377
YER066W	0.361	0.241	10.115	69.992	0.049	90.840	161.372	121.837
YER067C-A	0.377	0.403	14.277	56.746	0.022	50.729	87.077	60.125
YER067W	0.387	0.319	14.276	49.450	0.022	73.383	92.546	81.498
YER071C	0.395	0.315	12.074	55.754	0.023	58.578	93.023	86.414
YER072W	0.401	0.327	10.411	48.000	0.018	57.734	100.248	74.554
YER073W	0.401	0.209	13.194	77.864	0.023	107.259	192.495	122.429
YER074W	0.341	0.288	57.537	169.037	0.099	109.462	233.535	42.571
YER075C	0.379	0.284	16.597	63.461	0.034	80.403	137.140	98.005
YER078C	0.346	0.380	13.073	65.218	0.041	61.684	86.150	56.747
YER079W	0.370	0.345	12.657	57.790	0.025	49.792	82.531	65.438
YER080W	0.378	0.290	5.337	40.957	0.022	41.821	96.011	88.868
YER081W	0.240	0.444	7.884	86.576	0.147	21.589	47.970	54.356
YER084W	0.352	0.221	7.707	45.906	0.035	53.416	110.425	119.679
YER085C	0.397	0.294	9.801	52.441	0.019	57.915	103.197	90.375
YER087C-B	0.418	0.290	13.811	64.947	0.022	63.523	64.170	96.958
YER088C	0.273	NaN	9.482	85.283	0.057	68.242	198.138	99.392
YER089C	0.401	0.289	12.034	70.788	0.019	67.419	123.816	87.965
YER091C	0.359	0.250	6.872	46.521	0.036	42.504	116.254	99.269
YER091C-A	0.360	0.351	11.891	70.470	0.028	61.088	99.140	68.392
YER092W	0.369	0.213	20.909	60.001	0.061	50.189	88.687	119.670
YER093C-A	0.385	0.352	14.818	61.248	0.030	61.258	94.596	91.190
YER095W	0.193	0.183	2.261	62.183	0.366	56.770	101.553	86.195
YER096W	0.379	0.314	9.753	51.044	0.022	44.471	84.256	79.631
YER097W	0.254	0.212	4.881	45.295	0.061	42.035	197.501	75.469
YER098W	0.372	0.295	11.757	63.334	0.022	54.008	94.502	72.165
YER103W	0.334	0.205	12.140	62.390	0.045	117.132	163.535	125.827
YER106W	0.377	0.445	15.902	60.955	0.014	37.242	63.698	46.439
YER109C	0.359	0.302	10.127	41.543	0.022	45.849	84.933	64.930
YER110C	0.275	0.684	20.244	71.628	0.031	13.428	66.530	11.731
YER111C	0.447	0.179	8.136	31.464	0.016	36.704	67.195	53.384
YER113C	0.385	0.211	8.784	41.278	0.025	56.515	141.564	88.127
YER114C	0.350	0.227	9.694	35.674	0.028	59.903	80.466	107.688
YER115C	0.368	0.182	11.351	37.280	0.022	55.749	105.657	116.889
YER116C	0.403	0.114	1.980	46.862	0.033	48.271	159.697	140.282
YER118C	0.348	0.246	8.778	34.488	0.025	47.350	87.344	62.334
YER119C	0.371	0.208	7.994	32.671	0.026	50.684	83.663	100.800
YER119C-A	0.338	0.267	9.517	44.986	0.038	38.201	84.802	76.807
YER120W	0.356	0.202	8.031	33.446	0.029	46.771	96.063	70.171
YER121W	0.341	0.267	9.235	34.224	0.037	56.342	67.885	83.066
YER123W	0.369	0.226	7.503	34.360	0.022	42.851	93.303	56.735
YER124C	0.350	0.229	6.432	34.637	0.030	37.561	101.407	93.488
YER128W	0.371	0.218	10.066	35.051	0.028	51.477	109.691	98.067
YER129W	0.371	0.153	7.176	45.521	0.025	56.011	193.295	88.641
YER130C	0.373	0.200	8.524	40.250	0.027	46.324	104.759	100.398
YER131W	0.350	0.133	7.532	44.178	0.026	53.003	117.063	110.142
YER132C	0.384	0.209	11.011	34.949	0.030	49.091	95.327	80.396
YER134C	0.353	0.175	5.981	39.437	0.032	60.780	148.314	140.879
YER135C	0.372	0.274	5.112	45.574	0.031	39.872	116.749	71.937
YER137C	0.341	0.138	5.576	31.509	0.030	57.639	158.618	98.343
YER139C	0.382	0.150	8.857	51.067	0.045	43.883	75.349	55.908
YER140W	0.387	0.181	6.480	27.888	0.025	60.727	93.086	121.006
YER141W	0.362	0.291	7.539	36.029	0.063	49.775	104.985	108.716
YER142C	0.380	0.228	11.685	53.378	0.033	54.247	122.793	114.749
YER143W	0.381	0.162	6.734	25.271	0.026	36.293	94.829	99.780
YER144C	0.397	0.397	12.395	52.341	0.022	54.574	82.389	76.301
YER149C	0.374	0.256	10.649	55.961	0.029	50.376	75.738	81.389
YER150W	0.365	0.314	14.106	69.820	0.032	54.381	71.688	109.114
YER151C	0.222	0.107	2.234	47.745	0.980	19.031	42.750	68.146
YER152C	0.346	0.288	9.683	64.551	0.033	49.412	94.512	68.981
YER153C	0.383	0.252	14.381	64.655	0.057	99.540	97.438	80.437
YER154W	0.371	0.153	11.968	38.896	0.044	132.606	72.468	247.307
YER155C	0.400	0.009	7.100	1.846	0.017	NaN	80.674	NaN
YER156C	0.360	0.311	33.275	91.172	0.080	54.303	118.922	106.779
YER158C	0.374	0.307	12.023	73.790	0.034	63.956	76.833	74.849
YER161C	0.340	0.361	27.391	101.519	0.073	107.036	159.960	138.712
YER162C	0.393	0.300	9.150	50.895	0.025	57.980	86.159	86.075
YER163C	0.311	0.349	9.007	84.178	0.056	59.884	190.894	91.686
YER164W	0.361	0.124	8.276	100.466	0.041	63.168	NaN	NaN
YER166W	0.390	0.320	9.858	46.421	0.030	54.545	65.060	110.585
YER167W	0.381	0.147	9.276	43.111	0.020	50.799	179.949	78.396
YER169W	0.347	0.219	8.973	76.346	0.056	NaN	NaN	NaN
YER170W	0.360	0.191	10.028	38.928	0.028	44.276	127.505	109.414
YER173W	0.385	0.360	6.338	50.191	0.031	46.779	73.994	88.190
YER174C	0.398	0.294	9.076	50.034	0.028	53.858	118.858	96.656
YER175C	0.424	0.156	6.407	33.443	0.019	48.887	114.998	115.312
YER176W	0.372	0.260	11.615	64.460	0.032	74.330	84.824	115.197
YER177W	0.425	0.252	11.165	50.734	0.021	45.457	84.109	123.409
YER178W	0.279	0.208	6.818	34.092	0.167	71.845	79.248	80.764
YER179W	0.407	0.267	8.898	48.126	0.027	50.231	74.191	94.498
YER180C	0.383	0.321	10.754	48.816	0.025	49.750	95.285	88.108
YER181C	0.374	0.366	11.126	58.750	0.029	46.154	114.446	81.234
YER182W	0.362	0.318	10.119	80.982	0.042	44.756	123.430	73.637
YER183C	0.378	0.355	10.013	50.904	0.030	39.190	84.553	68.891
YER184C	0.381	0.295	10.245	49.619	0.024	43.283	96.286	69.012
YER185W	0.380	0.279	10.050	54.654	0.027	45.699	84.285	85.682
YER186C	0.364	0.280	11.478	77.988	0.037	65.817	100.878	97.401
YER187W	0.375	0.298	10.637	55.811	0.027	42.147	98.104	71.809
YER188W	0.361	0.347	11.087	66.315	0.032	55.774	121.569	85.389
YFL001W	0.262	0.537	22.095	17.902	0.209	59.645	64.254	88.576
YFL003C	0.364	0.396	13.170	53.500	0.026	55.899	89.831	90.336
YFL004W	0.373	0.438	9.229	58.929	0.035	50.886	102.238	77.226
YFL007W	0.372	0.313	19.925	57.760	0.049	91.849	110.729	126.268
YFL010C	0.383	0.324	10.783	40.500	0.024	57.198	92.426	95.392
YFL011W	0.413	0.305	8.227	33.565	0.020	59.094	89.447	104.386
YFL012W	0.355	0.368	10.465	46.329	0.035	43.961	101.607	90.414
YFL012W-A	0.329	0.279	13.676	36.305	0.076	62.304	109.921	126.489
YFL013C	0.363	0.280	12.187	70.089	0.065	84.294	137.269	166.158
YFL014W	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN
YFL015C	0.386	0.336	11.720	58.419	0.030	84.869	124.317	114.083
YFL018C	0.281	0.368	9.670	15.957	0.110	66.364	61.961	83.692
YFL019C	0.448	0.485	14.564	59.856	0.026	65.795	89.304	145.351
YFL020C	0.363	0.554	18.005	76.249	0.040	46.987	85.270	86.867
YFL021W	0.388	0.294	9.885	66.291	0.032	84.530	80.895	117.083
YFL025C	0.411	0.365	6.992	57.016	0.044	88.660	92.409	92.424
YFL027C	0.369	0.412	8.641	79.490	0.031	60.547	102.973	88.769
YFL028C	0.337	0.138	6.287	65.435	0.045	98.561	394.022	192.992
YFL030W	0.366	0.340	10.821	69.825	0.027	57.167	99.784	91.260
YFL031W	0.378	0.406	12.058	84.087	0.033	66.078	97.352	68.659
YFL032W	0.463	0.500	16.135	97.526	0.035	91.902	126.574	178.263
YFL033C	0.364	0.316	5.146	65.520	0.025	64.219	111.080	56.899
YFL034C-A	0.371	0.435	11.188	52.776	0.023	42.306	76.689	69.930
YFL034W	0.368	0.398	14.474	103.643	0.046	80.628	130.589	116.850
YFL040W	0.403	0.350	10.394	65.306	0.018	64.076	93.440	89.471
YFL041W	0.372	0.469	12.863	62.059	0.027	48.813	72.579	67.928
YFL042C	0.369	0.316	12.654	87.918	0.034	78.227	107.314	99.723
YFL044C	0.386	0.342	11.167	59.426	0.026	70.146	97.342	101.271
YFL046W	0.335	0.314	10.889	74.865	0.037	56.588	134.196	101.350
YFL047W	0.382	0.456	8.874	76.294	0.027	57.317	96.105	73.957
YFL048C	0.381	0.315	10.859	59.103	0.027	79.594	94.121	109.888
YFL049W	0.354	0.288	15.044	75.350	0.027	84.697	107.170	110.180
YFL050C	0.322	0.440	17.974	107.889	0.045	69.036	125.696	81.319
YFL051C	0.368	0.390	11.987	97.762	0.031	71.376	106.844	87.906
YFL052W	0.374	0.345	11.857	82.516	0.037	67.937	110.959	105.782
YFL053W	0.346	0.455	14.984	90.030	0.036	65.594	91.001	73.608
YFL054C	0.384	0.431	12.969	78.581	0.030	52.318	110.377	88.677
YFL055W	0.322	0.330	12.534	83.108	0.050	79.113	109.464	84.734
YFL056C	0.375	0.366	9.510	78.018	0.029	59.992	91.012	72.152
YFL063W	0.311	0.543	15.272	117.334	0.044	50.386	82.163	54.038
YFR006W	0.354	0.437	17.649	81.568	0.030	69.874	86.410	90.996
YFR007W	0.380	0.367	11.622	76.025	0.026	55.718	85.125	75.887
YFR008W	0.355	0.381	29.989	116.610	0.075	94.065	165.838	125.134
YFR012W	0.350	0.381	15.723	102.383	0.030	67.194	112.922	84.563
YFR013W	0.372	0.456	13.694	63.088	0.029	51.729	68.681	66.097
YFR014C	0.360	0.432	14.229	80.419	0.043	66.224	79.870	90.937
YFR015C	0.368	0.457	11.253	73.908	0.027	46.357	79.701	67.363
YFR016C	0.355	0.385	10.624	57.673	0.031	54.740	72.171	70.098
YFR017C	0.384	0.406	12.214	73.437	0.028	57.236	82.001	72.593
YFR018C	0.368	0.339	9.670	70.038	0.031	56.526	105.247	89.202
YFR019W	0.333	0.264	15.588	42.669	0.096	65.741	50.185	36.621
YFR020W	0.158	0.229	7.331	78.494	0.057	41.498	86.904	28.364
YFR021W	0.366	0.393	16.115	62.697	0.033	60.978	95.864	75.982
YFR022W	0.325	0.509	15.912	211.279	0.064	81.102	126.824	64.236
YFR023W	0.376	0.467	12.790	68.200	0.029	48.397	69.318	58.596
YFR024C-A	0.369	0.522	14.617	88.326	0.037	46.486	77.922	84.223
YFR025C	0.344	0.366	10.420	81.968	0.036	57.625	104.179	88.140
YFR026C	0.382	0.382	10.769	60.771	0.026	46.746	76.246	80.220
YFR030W	0.343	0.414	8.277	92.249	0.033	36.269	109.328	70.518
YFR031C-A	0.305	0.364	9.788	83.453	0.117	104.873	146.251	114.274
YFR032C	0.379	0.417	12.216	64.386	0.026	54.830	77.650	73.385
YFR032C-A	0.385	0.533	9.332	69.267	0.032	38.833	57.410	54.385
YFR033C	0.335	0.531	11.464	114.216	0.069	67.367	114.997	79.610
YFR034C	0.351	0.422	13.670	73.854	0.036	54.397	94.081	84.628
YFR035C	0.391	0.453	16.548	76.249	0.035	52.513	82.755	83.838
YFR036W	0.348	0.307	8.186	55.616	0.035	44.002	67.677	34.590
YFR038W	0.382	0.401	10.532	62.969	0.027	53.268	81.444	76.499
YFR039C	0.397	0.463	12.759	45.510	0.023	50.975	74.273	62.654
YFR040W	0.389	0.361	21.046	40.415	0.019	68.411	81.094	78.396
YFR041C	0.416	0.421	12.839	35.400	0.032	61.305	93.074	110.183
YFR043C	0.369	0.451	14.535	75.020	0.033	53.670	84.414	80.629
YFR044C	0.368	0.532	13.469	56.471	0.028	48.660	75.414	61.458
