orf	hap a | growth (exponential growth rate) | temperature [30 C] | Verduyn (+ his, leu, met, ura) | Zakrzewska A~Smits GJ, 2011	hap a | growth (exponential growth rate) | temperature [38 C] | Verduyn (+ his, leu, met, ura) | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | hydrogen peroxide [10 mM], temperature [30 C], time [10 min] | Verduyn (+ his, leu, met, ura) | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | acetic acid [327 mM], temperature [30 C], time [10 min] | Verduyn (+ his, leu, met, ura) | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | temperature [30 C], temperature [48 C], time [10 min] | Verduyn (+ his, leu, met, ura) | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | hydrogen peroxide [10 mM], temperature [38 C], time [10 min] | Verduyn (+ his, leu, met, ura) | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | acetic acid [327 mM], temperature [38 C], time [10 min] | Verduyn (+ his, leu, met, ura) | Zakrzewska A~Smits GJ, 2011	hap a | growth (CFU) | temperature [38 C], temperature [48 C], time [10 min] | Verduyn (+ his, leu, met, ura) | Zakrzewska A~Smits GJ, 2011
YAL004W	2.024843000752874	0.5168076147210932	-0.2296731979303858	-0.258964603018774	0.019591333882795256	-0.27746374044000943	-0.6750753509202668	-0.30883654010796
YAL005C	1.251848478463365	0.07228867528434235	-0.02843247861497201	-0.1979822861062094	0.027008687935781758	0.0016479491244511804	-0.6612263358373522	-0.21910735967706577
YAL008W	0.2791339081592755	-0.13987587967002924	0.34244104847437573	0.45075176026409486	0.030549941455103938	-0.03133017689368394	0.40663502381943234	-0.03915287195454136
YAL010C	-0.5338926912835196	0.289422245057762	0.8021014769820333	1.4246950090334485	0.1221356292508951	1.5198479053555964	1.3869632558023608	-1.0896756683081306
YAL011W	0.7013566794791745	0.9538510227955014	0.7828057894166779	0.21133368863864502	0.04622239974572568	0.24321397766161895	-0.31614658676280416	-0.2910710394995406
YAL014C	0.8455901031661875	-0.24930551537903933	0.08677491480256902	0.41127146269786263	0.03569980737889923	0.5598863897703416	-0.07695558278182377	-0.41345874202169464
YAL015C	1.5743996195189132	0.23373994262388248	0.321378723950442	0.49448767466242294	0.021689024185568027	0.01510421064926237	-0.4652945391890629	-0.41935290121008517
YAL017W	2.167750371283822	-0.18033680483394743	0.17373310921198296	0.5329245520402447	0.020779602532207765	-0.0027592921648434293	-0.41651743339931796	0.36980964769247976
YAL018C	1.3230643163639617	0.06177518379325857	0.05257614465469193	0.6028004581628567	0.032040078383370585	0.19356981167363804	-0.020814587461353513	0.5136273992081203
YAL019W	0.9437849307456266	-0.37824063433745764	0.36177808627352087	0.49544851744205964	0.022584325544376074	0.6863663622072421	-0.5008212169851437	0.1807099375033872
YAL020C	-0.5287592241081455	-1.2393751081228896	1.7107855259532405	0.8731799112097155	0.08861134002383614	1.9970575650449922	0.3612388811855132	-0.1538347292570262
YAL021C	-2.8680405052875244	-2.658536352048082	2.071489207768252	0.624715163825378	0.17097249748008267	0.6652994323243977	0.20376645093603063	-0.7140253393104918
YAL022C	1.070777413036565	0.7601015423772388	0.13097589264372933	0.18260805986592954	0.02511413758173935	-0.48925983687540914	-0.5451853299639137	-0.3676839526358064
YAL023C	0.04886611629331288	-1.7592883846189917	0.8498437505702524	0.3261924650303992	0.0368922769134595	3.43168726263078	-0.6888493500312715	0.6728922077970759
YAL024C	0.08496043950137452	-0.09221337909267177	-0.3057864062384555	0.08328511736058218	0.05519119607199396	0.699151620427658	-0.0682748156510273	1.0559187452324552
YAL026C	1.1717742487987917	-1.4846500411246248	1.0553518954512466	1.5781645519150853	0.06384859118861748		0.04760843418738248	0.723143484553207
