orf	hom | sugar utilization efficiency (residual sugar wt-mut) | synthetic grape juice [200 g/L glucose+fructose], time [180 h] | Walker ME~Jiranek V, 2014
YAL021C	-1.4586172322648683
YAL047C	-0.6200338913971752
YAL068C	-0.49194706491806345
YAR015W	-9.508824892756586
YAR018C	-0.4820786596317817
YBL054W	-0.5466484054426343
YBL093C	-2.7696083053518614
YBR025C	-0.639340222825327
YBR077C	-2.5936819669491498
YBR106W	-0.5803041569093323
YBR112C	-3.121724138620656
YBR125C	-0.25686486157524285
YBR126C	-1.2488753266247354
YBR127C	-0.21331622593090221
YBR131W	-0.8728129459002266
YBR133C	-0.6959067659596047
YBR220C	-0.5024923716242758
YBR246W	-0.4687003517255541
YBR251W	-0.20453403629734984
YBR278W	-4.579357975008226
YBR279W	-5.104499500340583
YBR281C	-0.32624505226800954
YBR282W	-0.36538519721914275
YBR289W	-0.598751467334287
YCL007C	-2.5317091642445573
YCL016C	-0.31528053589182053
YCR020W-B	-11.755228818087113
YCR024C-A	-0.44792106799163517
YCR028C	-0.5985657683099919
YCR036W	-0.4434864580569038
YCR047C	-1.1049470594684556
YCR063W	-4.211384889065997
YCR075C	-0.6182111581602587
YCR077C	-0.3631450005916745
YCR106W	-0.5861351075923719
YDL035C	-0.42664547884426124
YDL046W	-0.5799300490103082
YDL076C	-0.3829070148945068
YDL085W	-0.22037655992246755
YDL095W	-0.6488732965539938
YDL117W	-0.2369448719533735
YDL124W	-0.47407736755174984
YDL128W	
YDL160C	-3.3065329822319462
YDL185W	-0.3270431676892741
YDL189W	-0.47449121438097736
YDL204W	-0.5518711098993314
YDR022C	-0.2658223501508367
YDR065W	
YDR069C	-1.2423820775444887
YDR074W	-4.412079925942943
YDR080W	-0.4651582994287482
YDR138W	-4.773569893925451
YDR163W	-0.4688667620292689
YDR175C	-0.2694466676048325
YDR202C	-0.7744715026467133
YDR225W	-0.45339694628626015
YDR247W	-0.5812794424300813
YDR257C	-0.30197252591629314
YDR264C	-4.7166872384525265
YDR268W	-0.4414337797020036
YDR271C	-0.3117767488764004
YDR273W	-0.2794768144957193
YDR289C	-0.2091363967251095
YDR323C	-0.4226223653272495
YDR337W	-0.2685091067555438
YDR364C	-8.243904018331559
YDR368W	-0.46599623191177914
YDR369C	-0.5201991534796562
YDR432W	-10.456980920897733
YDR433W	-1.2417462788166524
YDR438W	-13.69874874809694
YDR439W	-0.599111020434543
YDR456W	-0.2974252669823783
YDR457W	-0.23220402386529
YDR467C	-13.918010959333435
YDR469W	-0.6337118102204605
YDR495C	
YDR508C	-0.608571209057016
YDR524C	-0.640622358814162
YEL013W	-0.6154320565272337
YEL027W	
YEL028W	-0.47020196201879777
YEL029C	-0.9178782296462197
YEL044W	-1.403629448219655
YEL045C	-1.336895286308926
YEL046C	-5.872654423185176
YEL047C	-0.29768368575885673
YEL050C	-0.4243587318366568
YEL051W	-2.2929619782822694
YER020W	-0.8006171429124574
YER027C	-0.19523300769826413
YER046W	-0.6278459270411321
YER057C	-0.20926883410332653
YER063W	-0.23483841890117382
YER144C	-0.6310546765559492
YER164W	-12.009391302444454
YER185W	-1.6499088402293742
YFL004W	-12.770160027980882
YFL007W	-0.4537162247958014
YFL010C	-0.23021931466153753
YFL010W-A	-12.76713122005499
YFL012W	-0.6241688556133811
YFL023W	-11.844120100647935
YFL049W	-0.5620028701160565
YFL063W	-0.5560124057999853
YFR019W	-10.19919381924232
YFR038W	-0.5411404851219606
YFR053C	-0.50259032640813
YGL006W	-0.5386750348434177
YGL007W	-0.33882154732312814
YGL042C	-0.3023280822815456
YGL043W	-0.5442669191076844
YGL053W	-6.997887450662833
YGL070C	-5.331111681511012
YGL095C	
YGL096W	-0.6210895569346926
YGL147C	-0.6754378906761794
YGL197W	-1.1711597161396972
YGL212W	-0.23293103182164718
YGL222C	-0.5403974388575911
YGL240W	-0.5235622161804213
YGR020C	-3.6520056595345816
YGR032W	-0.6083829363469844
YGR063C	-1.5965507396730934
YGR064W	-0.8338278216215627
YGR070W	-0.5342445678666226
YGR084C	-0.6709430332200552
YGR092W	-3.734303293477148
YGR126W	-0.4975651238639995
YGR155W	-10.208729018774152
YGR159C	-0.7906179024569695
YGR160W	-0.8637686781674853
YGR163W	-2.0593413387568167
YGR180C	-1.8315167486934578
YGR188C	-2.0345285836708866
YGR215W	-0.2584703681390099
YGR247W	-0.31254234335364217
YGR285C	-0.5880718041551135
YHL009C	-0.5454626445141799
YHL020C	-0.7312779256756692
YHR003C	-0.24753821820086241
YHR004C	-0.8490785674856528
YHR008C	-0.7666767825257421
YHR026W	-1.75871845993758
YHR039C	-0.5707536632058264
YHR039C-A	-1.2234301022882306
YHR041C	-0.5116054902734088
YHR059W	-2.8771818984571422
YHR060W	-11.903496703027626
YHR061C	-0.5674953024318699
YHR064C	-0.2019698075047265
YHR067W	-0.49274853645309497
YHR131C	-0.30997876171923094
YHR157W	-0.5498755461077458
YHR171W	-0.20583175339081422
YHR180W	-0.685985849172548
YHR183W	-6.496241301210349
YHR184W	-0.5921883258370144
YHR194W	-0.3780855568536991
YHR210C	-0.6058105101662594
YIL101C	-11.348496914128019
YIL105C	-0.6352639229390531
YIR030C	-0.44736749119785885
YJL012C	-10.266779949303963
YJL013C	-0.524789428273944
YJL036W	-0.2059641416310475
YJL051W	-0.21061237484407144
YJL052W	-1.9081859138783208
YJL055W	-0.21220217491051638
YJL056C	-2.7426246437493864
YJL064W	-1.0355506265820866
YJL065C	-1.0415932182543568
YJL066C	-0.20882344342109097
YJL082W	-0.7002473092351729
YJL102W	-0.27100114819288096
YJL112W	-0.22343312769698068
YJL115W	-2.326292653347047
YJL124C	-0.7272430241837399
YJL126W	-0.3373388242885211
YJL127C	-3.061102596323517
YJL128C	-3.210016707947339
YJL129C	-1.9107192905298669
YJL130C	-0.6235639013664585
YJL140W	-10.03240438172456
YJL149W	-0.6520873531609932
YJL168C	-0.6107120800264506
YJL184W	-8.8660178459072
YJL187C	-0.6513513593604474
YJL189W	-2.269789989777534
YJL198W	-0.567242416185438
YJL208C	-0.6650996870197861
YJL211C	-11.075416568367743
YJR003C	-0.2555100306828145
YJR033C	-0.586963490960477
YJR039W	-0.7854740423450429
YJR059W	-0.28770749601732204
YJR087W	-0.36916167718681225
YJR090C	-8.380996525588062
YJR105W	-2.284272218000118
YJR113C	-0.3165265465859021
YKL006W	-0.4592751808368067
YKL054C	-6.565787923764916
YKL056C	-0.567771778438134
YKL061W	-0.4190874990659736
YKL080W	-1.434549435982241
YKL092C	-0.4936447734139416
YKL118W	-1.277127339926243
YKL119C	-0.9365116915030107
YKL134C	-0.5610221760735599
YKL139W	-5.947886046830075
YKL143W	
YKL197C	-0.6229118112710478
YKL201C	-0.24619389870713737
YKR007W	-1.9154159509909021
YKR012C	-0.2789803064833797
YKR024C	-0.7888100087194397
YKR034W	-0.5097603310425628
YKR051W	-0.28160810431270716
YKR082W	-8.780532912730513
YKR084C	-0.5348811948593366
YKR089C	-0.4083036310487088
YLL007C	-1.8560620529191434
YLL046C	-0.6424080720993014
YLL059C	-0.5486908909166823
YLR038C	-0.251998206412883
YLR056W	-1.190572514275312
YLR067C	-0.219487770050213
YLR093C	
YLR112W	-0.6262615848069176
YLR113W	-0.8788054006852587
YLR133W	-0.5770227168933183
YLR179C	-0.5566795596712012
YLR192C	-0.44658712384876104
YLR203C	-0.2679698487332172
YLR226W	-6.124281337305493
YLR227C	-0.5690907302090579
YLR294C	-0.5866554533772272
YLR312W-A	-0.2949145869922064
YLR318W	-0.6156077467146186
YLR356W	-0.4140107453725871
YLR369W	-0.3331751021728363
YLR380W	-0.5786983165404815
YLR403W	-3.5865096160724033
YLR422W	-0.43464627274753237
YLR435W	-0.2881262094651774
YLR447C	
YML008C	-0.2651983471970571
YML022W	-0.3034446835009135
YML032C	-2.1696537361072026
YML048W	-0.3364511485977199
YML094W	-0.8749750801849873
YML102W	-0.5502311161591722
YML103C	-1.6318204369069471
YML106W	-0.2058081929159892
YML112W	-9.15399725192527
YML121W	-4.223504489021177
YML122C	-0.2035451834599909
YMR036C	-0.5458250394076507
YMR054W	
YMR056C	-0.658555149990164
YMR072W	-0.556757067007017
YMR116C	-0.5888452415216048
YMR120C	-0.577893767207177
YMR123W	-0.3870843243657744
YMR153W	-0.4485828674566877
YMR158W	-0.34513741706043055
YMR183C	-0.5592089681679595
YMR202W	-5.694407441092437
YMR204C	-0.234699297818564
YMR205C	-10.373530113159399
YMR206W	-0.3556594147341776
YMR263W	-0.5025201801807309
YMR273C	-6.524964278061904
YMR274C	-0.43222640831958814
YMR289W	-0.43855160870006477
YMR311C	-0.41369912899318334
YMR312W	-0.25143583645012224
YNL003C	-0.24055284311070665
YNL005C	-0.34519419889857395
YNL063W	-0.4953424158813073
YNL064C	-8.426343442092438
YNL068C	-0.512513878110018
YNL076W	-0.9797146046906753
YNL079C	-1.1314872469866564
YNL217W	-0.5337990669497338
YNL225C	-0.3628931338327313
YNL250W	-2.4280355726417433
YNL268W	-0.5972656631922861
YNR025C	-0.571576614180105
YNR052C	-3.6149493794085377
YOL004W	-0.28291269187649304
YOL057W	-0.27739769137444625
YOL058W	-0.4712330411564346
YOL082W	-0.4163222142677576
YOL086C	-9.996825807409767
YOL087C	-0.5932299530498976
YOL090W	-0.23436309415752027
