ORF	hom | sugar utilization efficiency (residual sugar wt-mut) | synthetic grape juice [200 g/L glucose+fructose], time [180 h] | Walker ME~Jiranek V, 2014
YAL068C	-7.877
YAL021C	-23.355
YAR015W	-152.250
YAR018C	-7.719
YLL046C	-10.286
YLR056W	-19.063
YLR112W	-10.027
YLR113W	-14.071
YML048W	-5.387
YML032C	-34.739
YML008C	-4.246
YMR036C	-8.739
YMR153W	-7.182
YMR183C	-8.954
YMR202W	-91.176
YMR204C	-3.758
YMR205C	-166.095
YMR206W	-5.695
YMR263W	-8.046
YMR273C	-104.474
YMR274C	-6.921
YMR289W	-7.022
YOR008C	-8.803
YOR025W	-7.949
YOR080W	-92.051
YOR081C	-3.833
YOR318C	-8.912
YOR320C	-180.175
YOR321W	-8.192
YOR347C	-7.165
YOL004W	-4.530
YOL058W	-7.545
YOL082W	-6.666
YPL254W	-6.533
YPL180W	-42.228
YPL171C	-10.484
YPL245W	-232.960
YOR337W	-4.118
YPL145C	-6.692
YPL135W	-8.960
YPL123C	-182.610
YBR220C	-8.046
YBR246W	-7.505
YDR080W	-7.448
YDR134C	-7.612
YDR138W	-76.432
YDR364C	-131.997
YEL045C	-21.406
YEL046C	-94.030
YGR159C	-12.659
YHR183W	-104.014
YLR226W	-98.058
YOR283W	-195.266
YOR284W	-10.678
YJL211C	-177.333
YJL208C	-10.649
YJL198W	-9.082
YJL187C	-10.429
YJL168C	-9.778
YJL130C	-9.984
YGR084C	-10.743
YLR356W	-6.629
YLR380W	-9.266
YGR070W	-8.554
YLR403W	-57.425
YLR294C	-9.393
YLR318W	-9.857
YDR163W	-7.507
YDR225W	-7.260
YGL197W	-18.752
YGL212W	-3.730
YGL222C	-8.653
YGL240W	-8.383
YPL033C	-10.133
YCR106W	-9.385
YER144C	-10.104
YFR038W	-8.664
YFR053C	-8.047
YBL054W	-8.753
YPR125W	-5.573
YGR020C	-58.474
YGR247W	-5.004
YPL052W	-5.977
YGL006W	-8.625
YGL007W	-5.425
YGL043W	-8.714
YGL070C	-85.359
YNL225C	-5.810
YNL217W	-8.547
YKL197C	-9.974
YKR007W	-30.669
YKR024C	-12.630
YMR072W	-8.914
YDR247W	-9.307
YDR264C	-75.521
YDR289C	-3.349
YDR323C	-6.767
YFL049W	-8.998
YGR285C	-9.416
YHR039C-A	-19.589
YDR273W	-4.475
YFL023W	-189.641
YGL053W	-112.046
YKR012C	-4.467
YKR051W	-4.509
YDR257C	-4.835
YKR082W	-140.589
YKR084C	-8.564
YOL086C	-160.063
YOL087C	-9.498
YOL090W	-3.752
YOL091W	-6.064
YOL107W	-4.339
YOL116W	-4.048
YOL122C	-8.647
YHR064C	-3.234
YLL059C	-8.785
YMR311C	-6.624
YMR312W	-4.026
YNL250W	-38.876
YML094W	-14.010
YML102W	-8.810
YML103C	-26.128
YML106W	-3.295
YML112W	-146.568
YML121W	-67.624
YML122C	-3.259
YMR116C	-9.428
YMR120C	-9.253
YMR123W	-6.198
YPR036W	-25.346
YPR075C	-9.674
YPR097W	-4.619
YPR101W	-191.966
YJL126W	-5.401
YJL124C	-11.644
YJL115W	-37.247
YJL112W	-3.577
YJL102W	-4.339
YJL082W	-11.212
YJL066C	-3.344
YJL064W	-16.581
YJL065C	-16.677
YJL056C	-43.913
YJL055W	-3.398
YJL051W	-3.372
YJL036W	-3.298
YER046W	-10.053
YER063W	-3.760
YGR188C	-32.576
YHR003C	-3.963
YHR008C	-12.276
YHR004C	-13.595
YHR026W	-28.160
YHR041C	-8.192
YHR059W	-46.068
YHR067W	-7.890
YHR180W	-10.984
YHR194W	-6.054
YLL007C	-29.718
YPR074C	-101.403
YJL052W	-30.553
YHR131C	-4.963
YJR090C	-134.192
YBR278W	-73.322
YBR279W	-81.730
YIL101C	-181.705
YNL064C	-134.918
YJL140W	-160.633
YML022W	-4.859
YJR003C	-4.091
YFL004W	-204.468
YFL007W	-7.265
YFL010C	-3.686
YFL010W-A	-204.420
YFL012W	-9.994
YFL063W	-8.903
YNL268W	-9.563
YBR133C	-11.142
YDL035C	-6.831
YDL046W	-9.286
YDL076C	-6.131
YDL085W	-3.529
YDL095W	-10.389
YDR438W	-219.336
YDR439W	-9.593
YDR456W	-4.762
YDR457W	-3.718
YDR467C	-222.847
YDR469W	-10.147
YDR508C	-9.744
YDR524C	-10.257
YGL147C	-10.815
YER185W	-26.417
YMR056C	-10.544
YOL159C	-5.721
YJR105W	-36.574
YKR089C	-6.538
YLR435W	-4.613
YAL047C	-9.928
YJR087W	-5.911
YDL204W	-8.836
YBR281C	-5.224
YCR020W-B	-188.218
YCR024C-A	-7.172
YCR028C	-9.584
YCR036W	-7.101
YCR063W	-67.430
YCR077C	-5.814
YJL012C	-164.386
YJL013C	-8.403
YJR033C	-9.398
YJR059W	-4.607
YDL117W	-3.794
YDL124W	-7.591
YLR422W	-6.959
YDL160C	-52.942
YDL185W	-5.236
YDL189W	-7.597
YGR064W	-13.351
YGL042C	-4.841
YBL093C	-44.345
YBR025C	-10.237
YBR077C	-41.529
YBR106W	-9.291
YBR112C	-49.983
YBR125C	-4.113
YBR126C	-19.996
YBR127C	-3.415
YBR131W	-13.975
YBR251W	-3.275
YBR282W	-5.850
YBR289W	-9.587
YCL007C	-40.536
YCL016C	-5.048
YCR047C	-17.692
YCR075C	-9.898
YDR022C	-4.256
YDR069C	-19.892
YDR074W	-70.644
YDR175C	-4.314
YDR202C	-12.400
YDR268W	-7.068
YDR271C	-4.992
YDR337W	-4.299
YDR368W	-7.461
YDR369C	-8.329
YDR432W	-167.431
YDR433W	-19.882
YEL013W	-9.854
YEL028W	-7.529
YEL029C	-14.697
YEL044W	-22.474
YEL047C	-4.766
YEL050C	-6.795
YEL051W	-36.714
YER020W	-12.819
YER027C	-3.126
YER057C	-3.351
YER164W	-192.287
YFR019W	-163.304
YGL096W	-9.945
YGR032W	-9.741
YGR063C	-25.563
YGR092W	-59.791
YGR126W	-7.967
YGR155W	-163.456
YGR160W	-13.830
YGR163W	-32.973
YGR180C	-29.325
YGR215W	-4.138
YHL009C	-8.734
YHL020C	-11.709
YHR039C	-9.139
YHR060W	-190.592
YHR061C	-9.086
YHR157W	-8.804
YHR171W	-3.296
YHR184W	-9.482
YHR210C	-9.700
YIL105C	-10.171
YIL167W	-9.482
YIR030C	-7.163
YJL127C	-49.013
YJL128C	-51.397
YJL129C	-30.593
YJL149W	-10.441
YJL184W	-141.957
YJL189W	-36.343
YJR039W	-12.577
YJR113C	-5.068
YKL006W	-7.354
YKL054C	-105.128
YKL056C	-9.091
YKL061W	-6.710
YKL080W	-22.969
YKL092C	-7.904
YKL118W	-20.449
YKL119C	-14.995
YKL134C	-8.983
YKL139W	-95.234
YKL201C	-3.942
YKR034W	-8.162
