orf	hom | sugar utilization efficiency (residual sugar wt-mut) | synthetic grape juice [200 g/L glucose+fructose], time [180 h] | Walker ME~Jiranek V, 2014
YKL134C	-8.982758251472895
YKL139W	-95.23406514857257
YKL143W	
YKL197C	-9.97369881489545
YKL201C	-3.9419124045175953
YKR007W	-30.668517524894334
YKR012C	-4.4668691487400904
YKR024C	-12.629963514561489
YKR034W	-8.161983634931644
YKR051W	-4.508943907352661
YKR082W	-140.5887464666239
YKR084C	-8.564204182278893
YKR089C	-6.537518421425527
YLL007C	-29.718177698057854
YLL046C	-10.285861515937949
YLL059C	-8.785316941274697
YLR038C	-4.0348475774242685
YLR056W	-19.06274926854431
YLR067C	-3.5143095257208223
YLR093C	
YLR112W	-10.027333425349699
YLR113W	-14.070916981736914
YLR133W	-9.238949532685044
YLR179C	-8.913226822975219
YLR192C	-7.15049126904391
YLR203C	-4.2905761528019095
YLR226W	-98.05840314912828
YLR227C	-9.11194721107045
YLR294C	-9.393183263231467
YLR312W-A	-4.721999508690746
YLR318W	-9.856750414347818
YLR356W	-6.628897390869677
YLR369W	-5.334604452134807
YLR380W	-9.265778252116533
YLR403W	-57.42508981238039
YLR422W	-6.959301360099729
YLR435W	-4.613307986598333
YLR447C	
YML008C	-4.24620049466456
YML022W	-4.858578414244387
YML032C	-34.739223923833904
YML048W	-5.387058587301601
YML094W	-14.009588134951564
YML102W	-8.809978125085529
YML103C	-26.127752377164548
YML106W	-3.2952801546554675
YML112W	-146.5684385672312
YML121W	-67.62427835635744
YML122C	-3.2590461736633065
YMR036C	-8.73943060667306
YMR054W	
YMR056C	-10.544399062842874
YMR072W	-8.914467825006941
YMR116C	-9.42824486749915
YMR120C	-9.252896279762002
YMR123W	-6.197767320086404
YMR153W	-7.182445945929227
YMR158W	-5.52613802664571
YMR183C	-8.953726229263612
YMR202W	-91.17551428486648
YMR204C	-3.7578675924179006
YMR205C	-166.09488393675764
YMR206W	-5.694610086141335
YMR263W	-8.046058583000182
YMR273C	-104.47390354430723
YMR274C	-6.920555909234143
YMR289W	-7.021831310337888
YMR311C	-6.623907972050311
YMR312W	-4.025843239202338
YNL003C	-3.851591128698346
YNL005C	-5.527047184156534
YNL063W	-7.931132428139379
YNL064C	-134.91767226377132
YNL068C	-8.20607181663974
YNL076W	-15.686616010379886
YNL079C	-18.116710600354367
YNL217W	-8.546877784457749
YNL225C	-5.810432156449035
YNL250W	-38.87628244513029
YNL268W	-9.563067723830013
YNR025C	-9.151749728164177
YNR052C	-57.880450633525726
YOL004W	-4.52983219876635
YOL057W	-4.441529243233729
YOL058W	-7.5451072512677495
YOL082W	-6.665907275998342
YOL086C	-160.06331539071465
YOL087C	-9.498450298480073
YOL090W	-3.752484496456254
YOL091W	-6.063853046838612
YOL107W	-4.338801801376679
YOL116W	-4.0475683443327934
YOL122C	-8.647379663482269
YOL159C	-5.721116972558866
YOR008C	-8.802666178491059
YOR025W	-7.948663345713691
YOR080W	-92.05149792939694
YOR081C	-3.833139019662739
YOR106W	-19.693155516035944
YOR135C	-7.3871354336355965
YOR209C	-85.26171355508498
YOR213C	-3.9848756685309232
YOR221C	-7.083482834191348
YOR241W	-38.59448752988426
YOR248W	-10.064891209075483
YOR265W	-52.607214100277886
YOR267C	-59.7640170878541
YOR270C	-18.24335454055018
YOR283W	-195.26567680060623
YOR284W	-10.678133490845426
YOR318C	-8.911623357102293
YOR320C	-180.1747818591885
YOR321W	-8.192237378712505
YOR332W	
YOR337W	-4.118109228823642
YOR347C	-7.164736556906422
YPL033C	-10.132932288687606
YPL052W	-5.977383464275368
YPL121C	-148.66411002327328
YPL123C	-182.6097531018629
YPL135W	-8.960265438445607
YPL145C	-6.691708756792356
YPL171C	-10.484088110271326
YPL180W	-42.22794950585606
YPL234C	
YPL245W	-232.96007454808944
YPL254W	-6.533480392912462
YPL268W	-32.024871500246384
YPR036W	-25.34591074341842
YPR067W	-3.8702840985921774
YPR074C	-101.40309803717108
YPR075C	-9.674139150191593
YPR095C	
YPR097W	-4.618596421475967
YPR101W	-191.9655794708189
YPR125W	-5.5732314867083455
