YAR002C-	YAR002C-A
YBR084C-	YBR084C-A
YBR162W-	YBR162W-A
YCR102W	YCR102W-A
YDL045W-	YDL045W-A
YDL133C-	YDL133C-A
YER014C-	YER014C-A
YFL010W-	YFL010W-A
YFL013W-	YFL013W-A
YGR122C-	YGR122C-A
YHR132W-	YHR132W-A
YIL015C-	YIL015C-A
YKL053C-	YKL053C-A
YOR298C-	YOR298C-A
YPL183W-	YPL183W-A
YPR133W-	YPR133W-A
TAL004W	YAL004W
YCR102W-	YCR102W-A
YKL096W-	YKL096W
YBR090C-	YBR090C
YELOO1C	YEL001C
KL187C	YKL187C
