orf	hap a | carotenoid production | expression of BTS1 [TDH3p-CYC1t], expression of X.dendrorhous crtI [TDH3p-CYC1t], expression of X.dendrorhous crtYB [TDH3p-CYC1t] | SC - Ura | Özaydın B~Keasling JD, 2013
YAL002W	-0.7179576295261086
YAL004W	-2.768278936922785
YAL005C	-2.084838501123893
YAL007C	2.0158041136694598
YAL008W	1.3323636778705676
YAL009W	0.6489232420716756
YAL010C	0.6489232420716756
YAL011W	0.6489232420716756
YAL012W	
YAL013W	0.6489232420716756
YAL014C	0.6489232420716756
YAL015C	-0.03451719372721654
YAL016C-B	-0.03451719372721654
YAL016W	
YAL017W	-0.03451719372721654
YAL018C	-1.4013980653250009
YAL019W	-2.084838501123893
YAL020C	-2.084838501123893
YAL021C	-0.7179576295261086
YAL022C	
YAL023C	2.0158041136694598
YAL024C	-0.03451719372721654
YAL026C	2.0158041136694598
YAL027W	1.3323636778705676
YAL028W	1.3323636778705676
YAL029C	0.6489232420716756
YAL030W	-0.03451719372721654
YAL031C	-0.03451719372721654
YAL034C	-0.03451719372721654
YAL035W	-0.03451719372721654
YAL036C	-2.084838501123893
YAL037C-A	-0.03451719372721654
YAL037W	1.3323636778705676
YAL039C	0.6489232420716756
YAL040C	0.6489232420716756
YAL042C-A	-0.03451719372721654
YAL042W	-0.03451719372721654
YAL044C	-0.03451719372721654
YAL044W-A	2.699244549468352
YAL045C	-0.03451719372721654
YAL046C	-0.03451719372721654
YAL047C	0.6489232420716756
YAL048C	-0.03451719372721654
YAL049C	-0.03451719372721654
YAL051W	-0.7179576295261086
YAL053W	-3.4517193727216773
YAL054C	-0.03451719372721654
YAL055W	2.0158041136694598
YAL056C-A	2.0158041136694598
YAL056W	1.3323636778705676
YAL058W	1.3323636778705676
YAL059W	0.6489232420716756
YAL060W	0.6489232420716756
YAL061W	0.6489232420716756
YAL062W	-0.03451719372721654
YAL064C-A	-0.7179576295261086
YAL065C	-0.03451719372721654
YAL066W	-0.03451719372721654
YAL067C	-0.03451719372721654
YAL067W-A	-0.03451719372721654
YAL068C	-0.03451719372721654
YAR002C-A	0.6489232420716756
YAR002W	-0.03451719372721654
YAR003W	-0.03451719372721654
YAR014C	-0.03451719372721654
YAR015W	0.6489232420716756
YAR018C	0.6489232420716756
YAR020C	0.6489232420716756
YAR023C	1.3323636778705676
YAR027W	1.3323636778705676
YAR028W	2.0158041136694598
YAR029W	-2.084838501123893
YAR030C	
YAR031W	2.699244549468352
YAR035C-A	-0.03451719372721654
YAR035W	
YAR042W	1.3323636778705676
YAR047C	
YAR050W	
YBL001C	0.6489232420716756
YBL002W	1.3323636778705676
YBL003C	-0.03451719372721654
YBL005W	0.6489232420716756
YBL006C	-3.4517193727216773
YBL007C	-0.03451719372721654
YBL008W	-0.03451719372721654
YBL008W-A	-0.03451719372721654
YBL009W	0.6489232420716756
YBL010C	-0.03451719372721654
YBL011W	-0.03451719372721654
YBL012C	
YBL013W	0.6489232420716756
YBL015W	-0.03451719372721654
YBL016W	-0.03451719372721654
YBL017C	0.6489232420716756
YBL019W	-0.03451719372721654
YBL021C	
YBL022C	
YBL024W	
YBL025W	2.0158041136694598
YBL027W	
YBL028C	-0.03451719372721654
YBL029C-A	-0.03451719372721654
YBL029W	-0.03451719372721654
YBL031W	-0.03451719372721654
YBL032W	-0.03451719372721654
YBL033C	0.6489232420716756
YBL036C	-0.03451719372721654
YBL037W	-0.03451719372721654
YBL038W	
YBL039C	1.3323636778705676
YBL039W-B	-0.03451719372721654
YBL042C	2.0158041136694598
YBL043W	0.6489232420716756
YBL044W	
YBL045C	
YBL046W	0.6489232420716756
YBL047C	-0.7179576295261086
YBL048W	-0.03451719372721654
YBL049W	-0.03451719372721654
YBL051C	0.6489232420716756
YBL052C	
YBL053W	1.3323636778705676
YBL054W	-0.03451719372721654
YBL055C	-0.03451719372721654
YBL056W	-0.03451719372721654
YBL057C	-0.03451719372721654
YBL058W	
YBL059W	
YBL060W	0.6489232420716756
YBL061C	0.6489232420716756
YBL062W	-0.03451719372721654
YBL063W	2.0158041136694598
YBL064C	0.6489232420716756
YBL065W	-0.03451719372721654
YBL066C	-0.03451719372721654
YBL067C	-0.03451719372721654
YBL068W	2.699244549468352
YBL069W	0.6489232420716756
YBL070C	-0.03451719372721654
YBL071C	-0.03451719372721654
YBL071C-B	-0.03451719372721654
YBL071W-A	-0.03451719372721654
YBL072C	-0.03451719372721654
YBL075C	-0.03451719372721654
YBL078C	-0.03451719372721654
YBL079W	-0.7179576295261086
YBL080C	
YBL081W	-0.03451719372721654
YBL082C	
YBL083C	1.3323636778705676
YBL085W	1.3323636778705676
YBL086C	-0.03451719372721654
YBL087C	-0.03451719372721654
YBL088C	-0.03451719372721654
YBL089W	-0.03451719372721654
YBL090W	
YBL091C	-0.03451719372721654
YBL091C-A	-0.37623741162666263
YBL093C	-0.03451719372721654
YBL094C	-0.03451719372721654
YBL095W	-0.03451719372721654
YBL096C	1.3323636778705676
YBL098W	0.6489232420716756
YBL099W	
YBL100C	
YBL100W-C	-0.03451719372721654
YBL101C	
YBL102W	-1.4013980653250009
YBL103C	-0.03451719372721654
YBL104C	1.1615035689208446
YBL106C	1.3323636778705676
YBL107C	
YBR001C	-0.03451719372721654
YBR003W	
YBR005W	-0.03451719372721654
YBR006W	
YBR007C	
YBR008C	-0.03451719372721654
YBR009C	0.6489232420716756
YBR010W	-0.03451719372721654
YBR012C	
YBR013C	
YBR014C	-0.03451719372721654
YBR015C	0.6489232420716756
YBR016W	-0.03451719372721654
YBR018C	-0.03451719372721654
YBR019C	1.3323636778705676
YBR020W	-0.7179576295261086
YBR021W	-0.7179576295261086
YBR022W	0.6489232420716756
YBR023C	-0.03451719372721654
YBR024W	0.6489232420716756
YBR025C	-3.4517193727216773
YBR026C	-3.4517193727216773
YBR027C	-0.03451719372721654
YBR028C	-0.03451719372721654
YBR030W	-0.03451719372721654
YBR031W	-0.03451719372721654
YBR032W	
YBR033W	-0.03451719372721654
YBR034C	-0.03451719372721654
YBR035C	-3.4517193727216773
YBR036C	0.6489232420716756
YBR037C	
YBR040W	-0.03451719372721654
YBR041W	1.3323636778705676
YBR042C	0.6489232420716756
YBR043C	0.6489232420716756
YBR044C	-0.03451719372721654
YBR045C	-0.03451719372721654
YBR046C	-0.03451719372721654
YBR047W	
YBR048W	0.6489232420716756
YBR050C	
YBR051W	2.699244549468352
YBR052C	
YBR053C	-0.03451719372721654
YBR054W	-0.03451719372721654
YBR056W	
YBR056W-A	-0.03451719372721654
YBR057C	0.6489232420716756
YBR058C	-0.7179576295261086
YBR058C-A	
YBR059C	-0.03451719372721654
YBR061C	0.6489232420716756
YBR062C	-0.03451719372721654
YBR063C	0.6489232420716756
YBR064W	
YBR065C	1.3323636778705676
YBR066C	0.6489232420716756
YBR067C	0.6489232420716756
YBR068C	
YBR069C	1.3323636778705676
YBR071W	-3.4517193727216773
YBR072C-A	0.6489232420716756
YBR072W	-0.03451719372721654
YBR073W	0.6489232420716756
YBR074W	0.1363429152225065
YBR076W	
YBR077C	0.6489232420716756
YBR078W	0.6489232420716756
YBR081C	-2.084838501123893
YBR082C	
YBR083W	-1.4013980653250009
YBR084C-A	-1.4013980653250009
YBR084W	0.6489232420716756
YBR085C-A	2.0158041136694598
YBR085W	1.3323636778705676
YBR089C-A	0.6489232420716756
YBR090C	0.6489232420716756
YBR092C	1.3323636778705676
YBR093C	-0.03451719372721654
YBR094W	-0.03451719372721654
YBR095C	
YBR097W	1.3323636778705676
YBR098W	-0.03451719372721654
YBR099C	-3.4517193727216773
YBR101C	
YBR103W	
YBR104W	-0.7179576295261086
YBR105C	0.4780631331219526
YBR106W	1.3323636778705676
YBR107C	0.6489232420716756
YBR108W	-0.7179576295261086
YBR111C	-1.4013980653250009
YBR111W-A	-3.4517193727216773
YBR112C	
YBR113W	-0.03451719372721654
YBR114W	-0.7179576295261086
YBR115C	
YBR116C	-0.03451719372721654
YBR119W	1.3323636778705676
YBR120C	
YBR121C	
YBR122C	-0.7179576295261086
YBR125C	2.699244549468352
YBR126C	-0.03451719372721654
YBR127C	-0.7179576295261086
YBR128C	1.3323636778705676
YBR129C	-0.03451719372721654
YBR130C	-0.03451719372721654
YBR131W	1.3323636778705676
YBR132C	
YBR133C	0.6489232420716756
YBR134W	-0.7179576295261086
YBR137W	-0.03451719372721654
YBR138C	-0.03451719372721654
YBR139W	2.0158041136694598
YBR141C	-0.03451719372721654
YBR144C	-0.03451719372721654
YBR145W	-1.4013980653250009
YBR146W	-0.03451719372721654
YBR147W	-2.084838501123893
YBR148W	-0.03451719372721654
YBR149W	-0.03451719372721654
YBR150C	0.6489232420716756
YBR151W	-0.03451719372721654
YBR156C	-1.4013980653250009
YBR157C	0.30720302417222956
YBR158W	-0.7179576295261086
YBR159W	-0.7179576295261086
YBR161W	0.6489232420716756
YBR162C	0.6489232420716756
YBR162W-A	0.6489232420716756
YBR163W	
YBR164C	-3.4517193727216773
YBR165W	-0.03451719372721654
YBR166C	-0.7179576295261086
YBR168W	2.0158041136694598
YBR169C	-2.084838501123893
YBR170C	-0.03451719372721654
YBR171W	0.6489232420716756
YBR172C	-0.7179576295261086
YBR173C	-1.4013980653250009
YBR174C	-1.4013980653250009
YBR175W	-1.4013980653250009
YBR176W	-0.7179576295261086
YBR177C	-0.03451719372721654
YBR178W	-0.03451719372721654
YBR179C	-0.03451719372721654
YBR180W	1.3323636778705676
YBR181C	-2.084838501123893
YBR182C	-0.03451719372721654
YBR182C-A	-0.7179576295261086
YBR183W	-0.03451719372721654
YBR184W	-0.03451719372721654
YBR185C	-0.03451719372721654
YBR186W	0.6489232420716756
YBR187W	
YBR188C	
YBR189W	1.3323636778705676
YBR191W	-0.03451719372721654
YBR194W	-0.03451719372721654
YBR195C	-0.03451719372721654
YBR196C-A	2.0158041136694598
YBR196C-B	0.6489232420716756
YBR197C	-0.03451719372721654
YBR199W	0.6489232420716756
YBR200W	0.6489232420716756
YBR200W-A	-0.7179576295261086
YBR201W	0.30720302417222956
YBR203W	0.6489232420716756
YBR204C	1.3323636778705676
YBR205W	-2.768278936922785
YBR206W	-0.03451719372721654
YBR207W	-0.03451719372721654
YBR208C	-0.03451719372721654
YBR209W	-0.03451719372721654
YBR210W	-0.03451719372721654
YBR212W	0.6489232420716756
YBR213W	3.382684985267244
YBR214W	-1.4013980653250009
YBR215W	-0.03451719372721654
YBR216C	-0.03451719372721654
YBR217W	-0.03451719372721654
YBR218C	-0.03451719372721654
YBR219C	0.6489232420716756
YBR220C	2.699244549468352
YBR221C	
YBR221W-A	-0.7179576295261086
YBR222C	-0.03451719372721654
YBR223C	-0.03451719372721654
YBR224W	-0.03451719372721654
YBR225W	-0.03451719372721654
YBR226C	-0.03451719372721654
YBR227C	-0.03451719372721654
YBR228W	-0.03451719372721654
YBR229C	
YBR230C	-0.03451719372721654
YBR230W-A	-0.7179576295261086
YBR231C	-0.03451719372721654
YBR232C	-0.03451719372721654
YBR233W	-0.03451719372721654
YBR235W	-0.03451719372721654
YBR238C	-0.03451719372721654
YBR239C	0.6489232420716756
YBR240C	0.6489232420716756
YBR241C	
YBR242W	-0.03451719372721654
YBR244W	-0.03451719372721654
YBR245C	-0.03451719372721654
YBR246W	-0.03451719372721654
YBR248C	-0.03451719372721654
YBR249C	-0.03451719372721654
YBR250W	0.6489232420716756
YBR251W	3.382684985267244
YBR255W	-0.03451719372721654
YBR258C	-0.03451719372721654
YBR259W	-0.03451719372721654
YBR260C	-0.03451719372721654
YBR261C	-0.03451719372721654
YBR262C	0.6489232420716756
YBR263W	2.0158041136694598
YBR264C	-0.03451719372721654
YBR266C	-0.03451719372721654
YBR267W	-0.03451719372721654
YBR268W	0.6489232420716756
YBR269C	1.3323636778705676
YBR270C	3.382684985267244
YBR271W	-0.7179576295261086
YBR272C	-0.03451719372721654
YBR273C	-0.03451719372721654
