ORF	hom | growth (relative abundance in pooled culture) | dimethyl sulfoxide [1%] | Gaytan BD~Vulpe CD, 2013
YIL162W	-4.537
YHR010W	-2.451
YDR083W	-2.413
YNL051W	-2.384
YER156C	-2.313
YOR304C-A	-2.260
YML071C	-2.111
YLR371W	-2.105
YJL132W	-2.071
YKR024C	-1.927
YFR034C	-1.914
YNL107W	-1.903
YLR322W	-1.835
YFR036W	-1.654
YFR045W	-1.624
YKR019C	-1.614
YNL041C	-1.571
YLR261C	-1.543
YBR227C	-1.503
YGL005C	-1.473
YJL205C	-1.410
YER032W	-1.393
YEL039C	-1.358
YER110C	-1.354
YGL158W	-1.351
YBR013C	-1.282
YGL031C	-1.256
YML116W	-1.239
YJR140C	-1.224
YNL198C	-1.193
YGL139W	-1.142
YGR089W	-1.082
YKL040C	-1.059
YAL015C	-1.050
YGR108W	-1.033
YCR067C	-0.919
YIR001C	-0.903
YDL211C	-0.877
YDR534C	-0.875
YER098W	-0.874
YMR289W	4.840
YBR113W	4.362
YPR011C	3.650
YFL020C	3.550
YDR312W	3.540
YFL012W-A	3.329
YPR128C	3.273
YNL217W	3.255
YGR230W	3.248
YIL032C	3.232
YKR078W	3.124
YER087C-B	3.068
YMR042W	3.019
YDR458C	2.952
YBR187W	2.950
YFR018C	2.821
YLR042C	2.763
YFL011W	2.734
YJR080C	2.733
YDL230W	2.721
YMR304W	2.704
YHR176W	2.697
YDR354W	2.652
YOR021C	2.649
YLR450W	2.630
YLR327C	2.630
YBR184W	2.595
YJR088C	2.570
YPL002C	2.565
YMR291W	2.557
YIL139C	2.527
YCR073W-A	2.520
YBR019C	2.508
YJL108C	2.494
YMR244C-A	2.479
YBR042C	2.444
YJL218W	2.442
YFL055W	2.432
YPL060W	2.397
YGL232W	2.384
YIL035C	2.368
YGL138C	2.358
YHR177W	2.357
YCR022C	2.332
YBR114W	2.324
YMR063W	2.308
YBR213W	2.306
YNR019W	2.274
YFL018C	2.269
YDR456W	2.261
YDR105C	2.220
YJL217W	2.219
YJR044C	2.193
YFL044C	2.178
YKR088C	2.177
YMR044W	2.170
YKR096W	2.141
YMR074C	2.137
YER169W	2.137
YHL037C	2.135
YOR314W	2.131
YDL161W	2.126
YLR297W	2.125
YDR322W	2.118
YDR512C	2.111
YOR161C	2.110
YNL058C	2.104
YLR121C	2.099
YCR006C	2.092
YNL278W	2.082
YOR137C	2.080
YLR073C	2.059
YJR111C	2.058
YNR024W	2.051
YDL073W	2.039
YPL052W	2.037
YFL013C	2.032
YCL008C	2.002
YPL026C	1.995
YOR033C	1.993
YKR105C	1.984
YDR409W	1.978
YNL175C	1.975
YGL087C	1.963
YMR175W	1.959
YMR261C	1.953
YFL010C	1.952
YER080W	1.946
YER088C	1.939
YLR202C	1.936
YDR363W	1.935
YGR122W	1.928
YFL012W	1.910
YDR283C	1.898
YFL014W	1.898
YDR326C	1.875
YGR107W	1.870
YPR201W	1.863
YDR321W	1.859
YGL226C-A	1.853
YJL168C	1.851
YFL003C	1.846
YNL315C	1.843
YHR046C	1.839
YMR286W	1.836
YDR305C	1.817
YCR001W	1.813
YLR417W	1.806
YMR214W	1.801
YBR186W	1.796
YBR273C	1.792
YPL140C	1.789
YLR169W	1.783
YPL015C	1.779
YMR295C	1.773
YOR275C	1.764
YDR430C	1.760
YLR257W	1.758
YGL229C	1.758
YLR270W	1.757
YLR330W	1.752
YMR272C	1.741
YDR252W	1.726
YGL136C	1.704
YOR352W	1.703
YOR308C	1.696
YPL004C	1.696
YDL223C	1.684
YBR298C	1.683
YMR154C	1.677
YPR200C	1.677
YBR044C	1.650
YAL042C-A	1.644
YGR276C	1.642
YJR079W	1.638
YNL286W	1.637
YBL094C	1.637
YCR011C	1.636
YGR014W	1.629
YFL007W	1.627
YGR183C	1.620
YAR031W	1.603
YLR370C	1.591
YDR251W	1.586
YOR366W	1.582
YML047W-A	1.576
YLR443W	1.573
YGR192C	1.567
YOR030W	1.564
YGR275W	1.557
YBR040W	1.553
YHR133C	1.551
YNL187W	1.542
YNL334C	1.531
YDR520C	1.530
YDR414C	1.522
YAR042W	1.501
YOR006C	1.496
YBR056W	1.493
YBR024W	1.491
YBR057C	1.489
YNL122C	1.488
YNL010W	1.483
YDR285W	1.482
YDR441C	1.480
YDR372C	1.478
YBL106C	1.467
YNL130C	1.463
YJR050W	1.462
YJL092W	1.462
YLR248W	1.453
YLR356W	1.446
YMR092C	1.441
YHR014W	1.435
YMR244W	1.435
YCL046W	1.428
YLR111W	1.418
YLR057W	1.416
YLR043C	1.404
YLR456W	1.368
YPL033C	1.366
YPR160W	1.348
YNL123W	1.347
YIR020C	1.345
YLR093C	1.340
YOR231W	1.339
YKR066C	1.338
YPL197C	1.336
YMR195W	1.334
YBR225W	1.329
YMR319C	1.326
YDR034C	1.322
YHR096C	1.311
YKL098W	1.293
YPR005C	1.290
YDR215C	1.286
YKR065C	1.284
YLL063C	1.283
YOR044W	1.275
YDR265W	1.261
YBR177C	1.253
YDL135C	1.246
YOR297C	1.242
YDR219C	1.234
YGR271W	1.194
YOL163W	1.187
YLR053C	1.187
YMR225C	1.158
YGL248W	1.139
YMR155W	1.138
YGR117C	1.129
YHR156C	1.113
YBR169C	1.110
YLR454W	1.091
YOR041C	1.035
YML106W	1.024
YNL004W	1.021
YML131W	1.004
YLR174W	0.996
YDR310C	0.981
YOR084W	0.949
YBR286W	0.947
YJL214W	0.944
YLR104W	0.924
