orf	hom | growth (relative abundance in pooled culture) | dimethyl sulfoxide [1%] | Gaytan BD~Vulpe CD, 2013
YAL015C	-2.269437041894046
YAL042C-A	3.5002236651191336
YAR031W	3.4120500536869174
YAR042W	3.193584442297111
YBL094C	3.4846936042457246
YBL106C	3.122165939313772
YBR013C	-2.7645685592766296
YBR019C	5.350544766148946
YBR024W	3.1724931875171962
YBR040W	3.3062318012981957
YBR042C	5.213436417460023
YBR044C	3.512288988412909
YBR056W	3.1763591374856563
YBR057C	3.1692957889668256
YBR113W	9.320429255867085
YBR114W	4.956151462754999
YBR169C	2.3572012357465515
YBR177C	2.66379423302722
YBR184W	5.535919666169788
YBR186W	3.8263275129393444
YBR187W	6.296738827975191
YBR213W	4.91731818551749
YBR225W	2.8260433819821014
YBR227C	-3.2396600230782404
YBR273C	3.816425767307145
YBR286W	2.0068345538124137
YBR298C	3.5836465826767454
YCL008C	4.266177891202803
YCL046W	3.0380452968935283
YCR001W	3.861294559008347
YCR006C	4.4589990554956005
YCR011C	3.482958631871395
YCR022C	4.974246408782036
YCR067C	-1.988626525264497
YCR073W-A	5.377072047765297
YDL073W	4.347336456271274
YDL135C	2.6478357024852475
YDL161W	4.531612484874068
YDL211C	-1.8975596570416084
YDL223C	3.585218452967216
YDL230W	5.806098161010267
YDR034C	2.810736146973761
YDR083W	-5.187919418069334
YDR105C	4.73294215954377
YDR215C	2.733312405004053
YDR219C	2.6214393660480986
YDR251W	3.3754677589551205
YDR252W	3.6759971118825576
YDR265W	2.681318645559043
YDR283C	4.044037117323192
YDR285W	3.1531765584918148
YDR305C	3.870785474262381
YDR310C	2.0808949409480806
YDR312W	7.561639625248269
YDR321W	3.9618474566693385
YDR322W	4.514962461631292
YDR326C	3.9950959594530024
YDR354W	5.65898552687385
YDR363W	4.123269782480044
YDR372C	3.144659117349158
YDR409W	4.2162468637655035
YDR414C	3.238688109045598
YDR430C	3.7487708402578055
YDR441C	3.149175526732327
YDR456W	4.820988128768843
YDR458C	6.300889365172155
YDR512C	4.501326041100147
YDR520C	3.2569136945459576
YDR534C	-1.8939558076940204
YEL039C	-2.9276491714098065
YER032W	-3.0033997044203424
YER080W	4.1473002011400775
YER087C-B	6.549236937815354
YER088C	4.131493651001834
YER098W	-1.8918830515887182
YER110C	-2.9195381258157407
YER156C	-4.9735948612345515
YER169W	4.555974755789024
YFL003C	3.9319889912282977
YFL007W	3.4648792899784215
YFL010C	4.1590427952631535
YFL011W	5.8338701740409595
YFL012W	4.070992847315619
YFL012W-A	7.10827294807988
YFL013C	4.331777755638484
YFL014W	4.043893348810378
YFL018C	4.8391996030516005
YFL020C	7.582859235576065
YFL044C	4.643617790146659
YFL055W	5.188701232481092
YFR018C	6.021127200322884
YFR034C	-4.119581982418695
YFR036W	-3.5619769378113646
YFR045W	-3.4970940619961843
YGL005C	-3.174588214805953
YGL031C	-2.7099641309219233
YGL087C	4.183430482461338
YGL136C	3.6297628158472817
YGL138C	5.0298801876077395
YGL139W	-2.4666000627133298
YGL158W	-2.9130314525404994
YGL226C-A	3.9480803063512444
YGL229C	3.744095019027022
YGL232W	5.085552508594254
YGL248W	2.418648219283665
YGR014W	3.469328686787496
YGR089W	-2.3362448317210447
YGR107W	3.9844899126963202
YGR108W	-2.232694710966448
YGR117C	2.396937325810943
YGR122W	4.108887882485084
YGR183C	3.4487540555456815
YGR192C	3.3350627933563626
YGR230W	6.934302355429633
YGR271W	2.536562513911132
YGR275W	3.3134982484818205
YGR276C	3.4952914683323346
YHL037C	4.5522859245479905
YHR010W	-5.267881765084508
YHR014W	3.0529189698438257
YHR046C	3.917286834686801
YHR096C	2.7874575649667936
YHR133C	3.300841779518832
YHR156C	2.3637822777584443
YHR176W	5.754317891768474
YHR177W	5.028017691487179
YIL032C	6.900040915451962
YIL035C	5.050377120309805
YIL139C	5.390341888981898
YIL162W	-9.736006232834708
YIR001C	-1.954721843214991
YIR020C	2.8602039442475737
YJL092W	3.110286998972168
YJL108C	5.320168970631431
YJL132W	-4.45590874449156
YJL168C	3.94403349670498
YJL205C	-3.0394250468536064
YJL214W	2.000996861623568
YJL217W	4.732177653522228
YJL218W	5.208402895137021
YJR044C	4.676501822723133
YJR050W	3.111532273397465
YJR079W	3.488593479294311
YJR080C	5.833389661390646
YJR088C	5.483896793546799
YJR111C	4.387077502324203
YJR140C	-2.6411818623236827
YKL040C	-2.2876067906276125
YKL098W	2.7491741337343063
YKR019C	-3.475347404399545
YKR024C	-4.147365151406837
YKR065C	2.730252387256098
YKR066C	2.844641851844528
YKR078W	6.669114877247946
YKR088C	4.64273846379226
YKR096W	4.564929977187423
YKR105C	4.228408701476469
YLL063C	2.726491393683144
YLR042C	5.896141242820974
YLR043C	2.9863303937481627
YLR053C	2.52145418784905
YLR057W	3.011391281671223
YLR073C	4.388932357794326
YLR093C	2.8484032768080705
YLR104W	1.9583028436266685
YLR111W	3.016131465281196
YLR121C	4.47417452201647
YLR169W	3.7975178329173134
YLR174W	2.11300726172768
YLR202C	4.1256310785832655
YLR248W	3.0924535558142328
YLR257W	3.7451083108344227
YLR261C	-3.3233893459200745
YLR270W	3.742537885772972
YLR297W	4.529947660124669
YLR322W	-3.9489941436051343
YLR327C	5.611091531224169
YLR330W	3.732508530696902
YLR356W	3.0773216910760626
